region_schema,region_parent,region_child,agerange,2020-03-23,2020-03-24,2020-03-25,2020-04-01,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-12,2020-04-13,2020-04-14,2020-04-17,2020-04-18,2020-04-19,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-29,2020-05-30,2020-05-31,2020-06-03,2020-06-04,2020-06-05,2020-06-14,2020-07-24,2020-07-28,2020-07-29,2020-07-30,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-12,2020-08-13,2020-08-14,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-27,2020-08-28,2020-09-01,2020-09-02,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-29,2020-09-30,2020-10-01,2020-10-07,2020-10-08,2020-10-09,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-27,2020-10-28,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-29,2021-01-05,2021-01-06,2021-01-12,2021-01-13,2021-01-14,2021-01-21,2021-01-22,2021-01-26,2021-01-27,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-09,2021-02-10,2021-02-17,2021-02-23,2021-02-24,2021-02-25,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-30,2021-03-31,2021-04-01,2021-04-06,2021-04-07,2021-04-13,2021-04-14,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-29,2021-04-30,2021-05-06,2021-05-07,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-18,2021-05-19,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-15,2021-06-18,2021-06-24,2021-06-25,2021-06-29,2021-07-02,2021-07-06,2021-07-07,2021-07-08,2021-07-13,2021-07-14
admin_1,af,af-bal,,0,0,0,0,1,2,0,5,0,2,6,0,6,6,0,16,0,0,8,21,0,15,37,0,41,0,22,0,17,0,31,43,31,0,33,49,24,0,31,11,31,55,23,39,75,52,34,116,0,0,8,0,1,5,9,0,14,15,7,0,0,0,20,0,2,0,3,0,3,0,4,0,5,11,7,0,7,9,3,0,4,4,6,0,0,0,1,0,16,12,3,12,11,0,0,45,27,33,14,0,69,34,32,28,21,64,11,2,0,23,0,21,10,33,14,0,61,0,10,16,5,0,7,0,4,3,0,4,0,2,0,4,0,3,0,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,2,8,0,10,0,2,3,4,14,0,6,7,16,11,0,19,0,12,56,30,32,89,88,-966,1269,90,36,104,0,127,0,125,74,47,124,28,79,22,31,0,40
admin_1,af,af-bam,,,,,,,,,,,,2,0,0,0,1,0,1,0,1,2,0,0,-3,0,0,0,4,5,0,0,0,1,0,5,0,2,0,0,1,0,0,0,9,0,2,0,2,0,2,11,0,12,0,0,0,2,0,0,0,4,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,14,1,0,0,0,0,3,0,0,0,11,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,8,0,0,6,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,15,-85,92,22,12,82,0,21,0,0,154,182,19,0,135,25,60,0,0
admin_1,af,af-bdg,,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,0,6,1,0,4,0,4,5,-4,0,0,0,0,18,20,8,0,0,5,8,0,13,0,26,0,0,48,0,2,6,12,0,2,0,0,3,3,0,1,5,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,2,0,8,0,0,0,0,4,0,6,3,3,0,4,0,0,4,0,0,1,0,0,0,8,0,2,5,0,0,4,0,0,0,0,3,0,0,0,0,0,2,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,-95,95,0,3,0,0,8,0,9,0,0,13,95,199,0,0,0,0
admin_1,af,af-bds,,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,3,0,0,0,1,10,4,0,0,8,0,0,1,4,0,4,1,0,0,0,2,1,0,0,0,31,0,0,0,0,0,0,0,0,0,3,1,0,4,0,5,2,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,11,6,0,0,0,0,0,0,0,0,0,0,5,4,3,2,5,0,0,0,0,3,0,3,6,1,0,0,1,1,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,3,0,0,0,8,1,0,2,2,0,1,0,1,0,2,23,10,28,20,44,-323,390,60,26,34,0,106,0,8,195,68,143,130,23,13,75,0,56
admin_1,af,af-bgl,,,,,0,0,0,0,0,0,0,1,0,,0,0,3,0,0,2,1,0,9,0,0,5,0,17,12,0,0,0,0,21,0,0,7,25,0,11,6,6,5,0,19,11,0,0,0,32,0,1,0,1,0,1,0,0,0,0,0,0,0,3,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,4,4,0,0,15,0,0,17,10,13,13,0,5,0,0,0,0,7,0,0,8,2,0,0,0,0,22,0,12,0,19,4,0,16,23,0,0,2,0,1,0,4,1,2,0,2,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,14,0,4,6,1,10,0,0,0,0,0,30,4,7,20,44,-240,284,33,176,86,0,102,0,118,52,26,39,0,103,54,27,0,60
admin_1,af,af-fra,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,-1,0,0,0,0,4,4,0,0,0,18,0,0,2,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,7,0,0,0,0,0,0,48,0,15,0,0,0,0,0,9,0,0,0,0,0,0,0,0,21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,3,0,0,0,5,14,7,0,0,8,-174,192,0,0,38,0,50,0,0,38,42,68,29,38,20,50,0,30
admin_1,af,af-fyb,,,,,,,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,-1,0,1,0,0,0,0,0,4,0,0,0,1,4,1,6,0,8,0,0,0,2,0,11,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,7,0,2,0,2,3,0,0,0,15,43,0,0,3,5,0,0,0,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,3,2,8,18,-201,256,14,24,18,0,55,0,78,46,29,56,0,20,14,29,0,25
admin_1,af,af-gha,,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,2,2,3,2,0,13,4,0,18,0,10,0,0,0,0,8,4,0,0,0,35,2,0,0,0,21,0,10,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,12,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,0,0,15,0,0,0,8,0,0,0,34,0,15,0,0,0,12,0,0,0,3,0,4,9,10,0,6,0,0,1,0,2,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,4,3,0,13,6,2,0,4,0,8,5,0,0,0,6,15,0,0,27,20,-260,343,0,53,104,0,129,0,62,104,0,217,52,85,50,90,0,59
admin_1,af,af-gho,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,3,10,0,0,8,0,0,5,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,32,2,20,0,0,0,0,11,0,0,0,23,2,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,1,0,0,2,0,0,2,0,0,3,0,1,0,17,0,10,0,0,0,4,0,0,1,0,0,0,0,0,1,0,5,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,16,0,1,0,0,0,0,7,3,0,0,5,-160,182,4,0,16,0,41,0,29,76,64,141,81,158,88,82,0,51
admin_1,af,af-hel,,,,,,,,,,,,,8,0,4,0,0,0,4,4,1,0,2,-2,0,2,0,1,1,1,0,0,0,5,3,7,2,0,1,0,0,0,0,0,0,0,0,0,20,7,0,0,0,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,9,0,8,0,4,0,9,4,0,0,6,0,0,0,0,9,0,3,0,3,0,3,2,1,0,0,0,2,2,13,1,2,0,0,3,0,0,1,0,0,0,0,0,2,3,0,2,5,0,4,2,5,0,0,0,14,4,0,0,0,19,28,0,6,0,18,46,20,1,0,12,-506,518,0,48,4,0,79,0,37,39,26,87,54,98,23,62,0,88
