region_schema,region_parent,region_child,agerange,2020-03-23,2020-03-24,2020-03-25,2020-04-01,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-12,2020-04-13,2020-04-14,2020-04-17,2020-04-18,2020-04-19,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-29,2020-05-30,2020-05-31,2020-06-03,2020-06-04,2020-06-05,2020-06-14,2020-07-24,2020-07-28,2020-07-29,2020-07-30,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-12,2020-08-13,2020-08-14,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-27,2020-08-28
admin_1,af,af-bal,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,2,0,0,5,2,16,0,0,2,1,2,1,0,0,13,0,0,60,0,0,0,0,0,0,0,0,22,0,0,0
admin_1,af,af-bam,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,af,af-bdg,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,0,0,5,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0
admin_1,af,af-bds,,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,af,af-bgl,,,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,23,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,af,af-fra,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,af,af-fyb,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,af,af-gha,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,30,0,0,0,0,0,0
admin_1,af,af-gho,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
admin_1,af,af-hel,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,af,af-her,,0,0,0,0,4,0,0,0,0,0,0,0,0,43,0,0,0,0,47,5,-3,5,8,0,0,0,23,6,7,0,4,2,0,0,0,0,0,8,0,0,10,0,5,17,0,0,40,58,0,,,,,,,,,,,,,,,,,
admin_1,af,af-jow,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,,,,,,,,,,,,,,,,,
admin_1,af,af-kab,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,15,11,4,0,31,0,21,0,0,0,47,6,16,13,31,-46,55,0,0,23,15,6,0,17,0,104,406,32,14,31,44,47,0,0,0,0,12,0,0,0,14,3,0,0
admin_1,af,af-kan,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,3,0,-2,0,0,0,5,0,0,0,6,4,0,5,6,1,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,43,26,15,9,3,0,0,0,0,0,0,0
admin_1,af,af-kap,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,af,af-kdz,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,16,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0
admin_1,af,af-kho,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
admin_1,af,af-knr,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,af,af-lag,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,5,-5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,af,af-log,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,0,0,0,18,0,0,0,0,0,0,0,43,0,0,42,0,0,0,0,0,94,0,0,0
admin_1,af,af-nan,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,3,0,0,4,-4,1,0,0,0,-1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
