date,region_schema,region_parent,region_child,agerange,value
2020-01-25,admin_1,au,au-vic,0-9,714
2020-01-25,admin_1,au,au-vic,10-19,1058
2020-01-25,admin_1,au,au-vic,20-29,2554
2020-01-25,admin_1,au,au-vic,30-39,1945
2020-01-25,admin_1,au,au-vic,40-49,1410
2020-01-25,admin_1,au,au-vic,50-59,1
2020-01-25,admin_1,au,au-vic,60-69,721
2020-01-25,admin_1,au,au-vic,70-79,462
2020-01-25,admin_1,au,au-vic,80-89,554
2020-01-25,admin_1,au,au-vic,90+,387
2020-01-28,admin_1,au,au-vic,0-9,811
2020-01-28,admin_1,au,au-vic,10-19,1239
2020-01-28,admin_1,au,au-vic,20-29,3024
2020-01-28,admin_1,au,au-vic,30-39,2285
2020-01-28,admin_1,au,au-vic,40-49,1657
2020-01-28,admin_1,au,au-vic,50-59,1
2020-01-28,admin_1,au,au-vic,60-69,1
2020-01-28,admin_1,au,au-vic,70-79,574
2020-01-28,admin_1,au,au-vic,80-89,691
2020-01-28,admin_1,au,au-vic,90+,454
2020-01-30,admin_1,au,au-vic,0-9,921
2020-01-30,admin_1,au,au-vic,10-19,1481
2020-01-30,admin_1,au,au-vic,20-29,3562
2020-01-30,admin_1,au,au-vic,30-39,2614
2020-01-30,admin_1,au,au-vic,40-49,1
2020-01-30,admin_1,au,au-vic,50-59,1
2020-01-30,admin_1,au,au-vic,60-69,1
2020-01-30,admin_1,au,au-vic,70-79,661
2020-01-30,admin_1,au,au-vic,80-89,777
2020-01-30,admin_1,au,au-vic,90+,514
2020-01-31,admin_1,au,au-vic,0-9,969
2020-01-31,admin_1,au,au-vic,10-19,1552
2020-01-31,admin_1,au,au-vic,20-29,1
2020-01-31,admin_1,au,au-vic,30-39,2759
2020-01-31,admin_1,au,au-vic,40-49,1
2020-01-31,admin_1,au,au-vic,50-59,1
2020-01-31,admin_1,au,au-vic,60-69,1
2020-01-31,admin_1,au,au-vic,70-79,695
2020-01-31,admin_1,au,au-vic,80-89,818
2020-01-31,admin_1,au,au-vic,90+,533
2020-02-22,admin_1,au,au-vic,0-9,611
2020-02-22,admin_1,au,au-vic,10-19,909
2020-02-22,admin_1,au,au-vic,20-29,2
2020-02-22,admin_1,au,au-vic,30-39,1628
2020-02-22,admin_1,au,au-vic,40-49,1
2020-02-22,admin_1,au,au-vic,50-59,1
2020-02-22,admin_1,au,au-vic,60-69,2
2020-02-22,admin_1,au,au-vic,70-79,391
2020-02-22,admin_1,au,au-vic,80-89,487
2020-02-22,admin_1,au,au-vic,90+,332
2020-02-25,admin_1,au,au-vic,0-9,714
2020-02-25,admin_1,au,au-vic,10-19,1058
2020-02-25,admin_1,au,au-vic,20-29,2
2020-02-25,admin_1,au,au-vic,30-39,1945
2020-02-25,admin_1,au,au-vic,40-49,1
2020-02-25,admin_1,au,au-vic,50-59,1
2020-02-25,admin_1,au,au-vic,60-69,3
2020-02-25,admin_1,au,au-vic,70-79,462
2020-02-25,admin_1,au,au-vic,80-89,554
2020-02-25,admin_1,au,au-vic,90+,387
2020-03-01,admin_1,au,au-vic,10-19,1
2020-03-01,admin_1,au,au-vic,20-29,2
2020-03-01,admin_1,au,au-vic,30-39,1
2020-03-01,admin_1,au,au-vic,40-49,1
2020-03-01,admin_1,au,au-vic,50-59,1
2020-03-01,admin_1,au,au-vic,60-69,3
2020-03-01,admin_1,au,au-vic,70-79,1
2020-03-04,admin_1,au,au-vic,0-9,1004
2020-03-04,admin_1,au,au-vic,10-19,1601
2020-03-04,admin_1,au,au-vic,20-29,2
2020-03-04,admin_1,au,au-vic,30-39,2
2020-03-04,admin_1,au,au-vic,40-49,1
2020-03-04,admin_1,au,au-vic,50-59,1
2020-03-04,admin_1,au,au-vic,60-69,3
2020-03-04,admin_1,au,au-vic,70-79,1
2020-03-04,admin_1,au,au-vic,80-89,842
2020-03-04,admin_1,au,au-vic,90+,561
2020-03-06,admin_1,au,au-vic,0-9,1088
2020-03-06,admin_1,au,au-vic,10-19,1757
2020-03-06,admin_1,au,au-vic,20-29,2
2020-03-06,admin_1,au,au-vic,30-39,2
2020-03-06,admin_1,au,au-vic,40-49,1
2020-03-06,admin_1,au,au-vic,50-59,1
2020-03-06,admin_1,au,au-vic,60-69,3
2020-03-06,admin_1,au,au-vic,70-79,2
2020-03-06,admin_1,au,au-vic,80-89,970
2020-03-06,admin_1,au,au-vic,90+,653
2020-03-07,admin_1,au,au-vic,0-9,1139
2020-03-07,admin_1,au,au-vic,10-19,1840
2020-03-07,admin_1,au,au-vic,20-29,2
2020-03-07,admin_1,au,au-vic,30-39,2
2020-03-07,admin_1,au,au-vic,40-49,1
2020-03-07,admin_1,au,au-vic,50-59,2
2020-03-07,admin_1,au,au-vic,60-69,3
2020-03-07,admin_1,au,au-vic,70-79,2
2020-03-07,admin_1,au,au-vic,80-89,996
2020-03-07,admin_1,au,au-vic,90+,663
2020-03-08,admin_1,au,au-vic,0-9,1181
2020-03-08,admin_1,au,au-vic,10-19,1923
2020-03-08,admin_1,au,au-vic,20-29,2
2020-03-08,admin_1,au,au-vic,30-39,2
2020-03-08,admin_1,au,au-vic,40-49,1
2020-03-08,admin_1,au,au-vic,50-59,3
2020-03-08,admin_1,au,au-vic,60-69,4
2020-03-08,admin_1,au,au-vic,70-79,2
2020-03-08,admin_1,au,au-vic,80-89,1040
2020-03-08,admin_1,au,au-vic,90+,695
2020-03-09,admin_1,au,au-vic,0-9,1211
2020-03-09,admin_1,au,au-vic,10-19,1995
2020-03-09,admin_1,au,au-vic,20-29,3
2020-03-09,admin_1,au,au-vic,30-39,2
2020-03-09,admin_1,au,au-vic,40-49,1
2020-03-09,admin_1,au,au-vic,50-59,4
2020-03-09,admin_1,au,au-vic,60-69,4
2020-03-09,admin_1,au,au-vic,70-79,3
2020-03-09,admin_1,au,au-vic,80-89,1074
2020-03-09,admin_1,au,au-vic,90+,725
2020-03-10,admin_1,au,au-vic,0-9,48
2020-03-10,admin_1,au,au-vic,10-19,87
2020-03-10,admin_1,au,au-vic,20-29,3
2020-03-10,admin_1,au,au-vic,30-39,2
2020-03-10,admin_1,au,au-vic,40-49,1
2020-03-10,admin_1,au,au-vic,50-59,6
2020-03-10,admin_1,au,au-vic,60-69,4
2020-03-10,admin_1,au,au-vic,70-79,3
2020-03-10,admin_1,au,au-vic,80-89,45
2020-03-10,admin_1,au,au-vic,90+,39
2020-03-11,admin_1,au,au-vic,0-9,99
2020-03-11,admin_1,au,au-vic,10-19,173
2020-03-11,admin_1,au,au-vic,20-29,4
2020-03-11,admin_1,au,au-vic,30-39,2
2020-03-11,admin_1,au,au-vic,40-49,3
2020-03-11,admin_1,au,au-vic,50-59,8
2020-03-11,admin_1,au,au-vic,60-69,4
2020-03-11,admin_1,au,au-vic,70-79,3
2020-03-11,admin_1,au,au-vic,80-89,76
2020-03-11,admin_1,au,au-vic,90+,71
2020-03-12,admin_1,au,au-vic,0-9,145
2020-03-12,admin_1,au,au-vic,10-19,259
2020-03-12,admin_1,au,au-vic,20-29,6
2020-03-12,admin_1,au,au-vic,30-39,5
2020-03-12,admin_1,au,au-vic,40-49,4
2020-03-12,admin_1,au,au-vic,50-59,10
2020-03-12,admin_1,au,au-vic,60-69,6
2020-03-12,admin_1,au,au-vic,70-79,3
2020-03-12,admin_1,au,au-vic,80-89,103
2020-03-12,admin_1,au,au-vic,90+,86
2020-03-13,admin_1,au,au-vic,0-9,189
2020-03-13,admin_1,au,au-vic,10-19,293
2020-03-13,admin_1,au,au-vic,20-29,7
2020-03-13,admin_1,au,au-vic,30-39,9
2020-03-13,admin_1,au,au-vic,40-49,6
2020-03-13,admin_1,au,au-vic,50-59,16
2020-03-13,admin_1,au,au-vic,60-69,8
2020-03-13,admin_1,au,au-vic,70-79,3
2020-03-13,admin_1,au,au-vic,80-89,128
2020-03-13,admin_1,au,au-vic,90+,102
2020-03-14,admin_1,au,au-vic,0-9,239
2020-03-14,admin_1,au,au-vic,10-19,1
2020-03-14,admin_1,au,au-vic,20-29,8
2020-03-14,admin_1,au,au-vic,30-39,11
2020-03-14,admin_1,au,au-vic,40-49,6
2020-03-14,admin_1,au,au-vic,50-59,16
2020-03-14,admin_1,au,au-vic,60-69,9
2020-03-14,admin_1,au,au-vic,70-79,3
2020-03-14,admin_1,au,au-vic,80-89,159
2020-03-14,admin_1,au,au-vic,90+,125
2020-03-15,admin_1,au,au-vic,0-9,291
2020-03-15,admin_1,au,au-vic,10-19,1
2020-03-15,admin_1,au,au-vic,20-29,8
2020-03-15,admin_1,au,au-vic,30-39,12
2020-03-15,admin_1,au,au-vic,40-49,11
2020-03-15,admin_1,au,au-vic,50-59,16
2020-03-15,admin_1,au,au-vic,60-69,10
2020-03-15,admin_1,au,au-vic,70-79,3
2020-03-15,admin_1,au,au-vic,80-89,197
2020-03-15,admin_1,au,au-vic,90+,139
2020-03-16,admin_1,au,au-vic,0-9,327
2020-03-16,admin_1,au,au-vic,10-19,2
2020-03-16,admin_1,au,au-vic,20-29,8
2020-03-16,admin_1,au,au-vic,30-39,16
