date,region_schema,region_parent,region_child,agerange,value
2020-01-25,lhd,au-nsw,northern sydney,,1
2020-02-27,lhd,au-nsw,northern sydney,,1
2020-03-01,lhd,au-nsw,northern sydney,,-2
2020-03-02,lhd,au-nsw,northern sydney,,3
2020-03-02,lhd,au-nsw,south eastern sydney,,1
2020-03-03,lhd,au-nsw,northern sydney,,3
2020-03-03,lhd,au-nsw,south eastern sydney,,1
2020-03-04,lhd,au-nsw,northern sydney,,6
2020-03-04,lhd,au-nsw,sydney,,1
2020-03-05,lhd,au-nsw,northern sydney,,3
2020-03-05,lhd,au-nsw,sydney,,1
2020-03-06,lhd,au-nsw,northern sydney,,3
2020-03-06,lhd,au-nsw,south eastern sydney,,1
2020-03-06,lhd,au-nsw,sydney,,1
2020-03-06,lhd,au-nsw,western sydney,,2
2020-03-07,lhd,au-nsw,northern sydney,,2
2020-03-07,lhd,au-nsw,south eastern sydney,,1
2020-03-07,lhd,au-nsw,western sydney,,3
2020-03-08,lhd,au-nsw,nepean blue mountains,,-2
2020-03-08,lhd,au-nsw,northern sydney,,2
2020-03-08,lhd,au-nsw,south eastern sydney,,-3
2020-03-08,lhd,au-nsw,south western sydney,,2
2020-03-08,lhd,au-nsw,western sydney,,5
2020-03-09,lhd,au-nsw,northern sydney,,2
2020-03-09,lhd,au-nsw,south eastern sydney,,4
2020-03-09,lhd,au-nsw,western sydney,,2
2020-03-10,lhd,au-nsw,northern sydney,,2
2020-03-10,lhd,au-nsw,south eastern sydney,,1
2020-03-10,lhd,au-nsw,sydney,,1
2020-03-11,lhd,au-nsw,northern sydney,,5
2020-03-11,lhd,au-nsw,south eastern sydney,,9
2020-03-11,lhd,au-nsw,western nsw,,2
2020-03-12,lhd,au-nsw,northern sydney,,4
2020-03-12,lhd,au-nsw,south eastern sydney,,7
2020-03-12,lhd,au-nsw,south western sydney,,6
2020-03-12,lhd,au-nsw,western nsw,,0
2020-03-12,lhd,au-nsw,western sydney,,2
2020-03-13,lhd,au-nsw,mid north coast,,0
2020-03-13,lhd,au-nsw,nepean blue mountains,,2
2020-03-13,lhd,au-nsw,northern sydney,,7
2020-03-13,lhd,au-nsw,south eastern sydney,,15
2020-03-13,lhd,au-nsw,south western sydney,,1
2020-03-13,lhd,au-nsw,sydney,,1
2020-03-13,lhd,au-nsw,western sydney,,3
2020-03-14,lhd,au-nsw,hunter new england,,4
2020-03-14,lhd,au-nsw,nepean blue mountains,,2
2020-03-14,lhd,au-nsw,northern sydney,,2
2020-03-14,lhd,au-nsw,south eastern sydney,,8
2020-03-14,lhd,au-nsw,sydney,,2
2020-03-14,lhd,au-nsw,western sydney,,4
2020-03-15,lhd,au-nsw,hunter new england,,-4
2020-03-15,lhd,au-nsw,illawarra shoalhaven,,0
2020-03-15,lhd,au-nsw,nepean blue mountains,,-2
2020-03-15,lhd,au-nsw,northern sydney,,13
2020-03-15,lhd,au-nsw,south eastern sydney,,10
2020-03-15,lhd,au-nsw,sydney,,6
2020-03-15,lhd,au-nsw,unknown,,1
2020-03-15,lhd,au-nsw,western sydney,,3
2020-03-16,lhd,au-nsw,central coast,,1
2020-03-16,lhd,au-nsw,hunter new england,,8
2020-03-16,lhd,au-nsw,illawarra shoalhaven,,3
2020-03-16,lhd,au-nsw,northern sydney,,17
2020-03-16,lhd,au-nsw,south eastern sydney,,15
2020-03-16,lhd,au-nsw,south western sydney,,3
2020-03-16,lhd,au-nsw,sydney,,3
2020-03-16,lhd,au-nsw,western sydney,,3
2020-03-17,lhd,au-nsw,central coast,,0
2020-03-17,lhd,au-nsw,hunter new england,,6
2020-03-17,lhd,au-nsw,illawarra shoalhaven,,4
2020-03-17,lhd,au-nsw,northern nsw,,0
2020-03-17,lhd,au-nsw,northern sydney,,9
2020-03-17,lhd,au-nsw,south eastern sydney,,22
2020-03-17,lhd,au-nsw,south western sydney,,5
2020-03-17,lhd,au-nsw,sydney,,1
2020-03-17,lhd,au-nsw,western sydney,,1
2020-03-18,lhd,au-nsw,central coast,,3
2020-03-18,lhd,au-nsw,hunter new england,,6
2020-03-18,lhd,au-nsw,illawarra shoalhaven,,4
2020-03-18,lhd,au-nsw,nepean blue mountains,,2
2020-03-18,lhd,au-nsw,northern nsw,,2
2020-03-18,lhd,au-nsw,northern sydney,,11
2020-03-18,lhd,au-nsw,south eastern sydney,,21
2020-03-18,lhd,au-nsw,south western sydney,,7
2020-03-18,lhd,au-nsw,sydney,,2
2020-03-18,lhd,au-nsw,western sydney,,6
2020-03-19,lhd,au-nsw,central coast,,1
2020-03-19,lhd,au-nsw,hunter new england,,8
2020-03-19,lhd,au-nsw,illawarra shoalhaven,,3
2020-03-19,lhd,au-nsw,nepean blue mountains,,1
2020-03-19,lhd,au-nsw,northern nsw,,1
2020-03-19,lhd,au-nsw,northern sydney,,22
2020-03-19,lhd,au-nsw,south eastern sydney,,24
2020-03-19,lhd,au-nsw,south western sydney,,3
2020-03-19,lhd,au-nsw,sydney,,7
2020-03-19,lhd,au-nsw,western sydney,,5
2020-03-20,lhd,au-nsw,central coast,,4
2020-03-20,lhd,au-nsw,hunter new england,,13
2020-03-20,lhd,au-nsw,illawarra shoalhaven,,5
2020-03-20,lhd,au-nsw,nepean blue mountains,,1
2020-03-20,lhd,au-nsw,northern nsw,,0
2020-03-20,lhd,au-nsw,northern sydney,,32
2020-03-20,lhd,au-nsw,south eastern sydney,,49
2020-03-20,lhd,au-nsw,south western sydney,,11
2020-03-20,lhd,au-nsw,sydney,,7
2020-03-20,lhd,au-nsw,western sydney,,3
2020-03-21,lhd,au-nsw,central coast,,6
2020-03-21,lhd,au-nsw,hunter new england,,5
2020-03-21,lhd,au-nsw,illawarra shoalhaven,,7
2020-03-21,lhd,au-nsw,nepean blue mountains,,5
2020-03-21,lhd,au-nsw,northern nsw,,1
2020-03-21,lhd,au-nsw,northern sydney,,12
2020-03-21,lhd,au-nsw,south eastern sydney,,28
2020-03-21,lhd,au-nsw,south western sydney,,13
2020-03-21,lhd,au-nsw,sydney,,4
2020-03-21,lhd,au-nsw,unknown,,2
2020-03-21,lhd,au-nsw,western nsw,,1
2020-03-21,lhd,au-nsw,western sydney,,14
2020-03-22,lhd,au-nsw,central coast,,4
2020-03-22,lhd,au-nsw,hunter new england,,28
2020-03-22,lhd,au-nsw,illawarra shoalhaven,,10
2020-03-22,lhd,au-nsw,mid north coast,,4
2020-03-22,lhd,au-nsw,nepean blue mountains,,3
2020-03-22,lhd,au-nsw,northern nsw,,7
2020-03-22,lhd,au-nsw,northern sydney,,32
2020-03-22,lhd,au-nsw,south eastern sydney,,46
2020-03-22,lhd,au-nsw,south western sydney,,15
2020-03-22,lhd,au-nsw,southern nsw,,3
2020-03-22,lhd,au-nsw,sydney,,11
2020-03-22,lhd,au-nsw,unknown,,1
2020-03-22,lhd,au-nsw,western nsw,,3
2020-03-22,lhd,au-nsw,western sydney,,12
2020-03-23,lhd,au-nsw,central coast,,8
2020-03-23,lhd,au-nsw,hunter new england,,29
2020-03-23,lhd,au-nsw,illawarra shoalhaven,,10
2020-03-23,lhd,au-nsw,mid north coast,,3
2020-03-23,lhd,au-nsw,nepean blue mountains,,10
2020-03-23,lhd,au-nsw,northern nsw,,6
2020-03-23,lhd,au-nsw,northern sydney,,25
2020-03-23,lhd,au-nsw,south eastern sydney,,44
2020-03-23,lhd,au-nsw,south western sydney,,10
2020-03-23,lhd,au-nsw,southern nsw,,2
2020-03-23,lhd,au-nsw,sydney,,20
2020-03-23,lhd,au-nsw,unknown,,1
2020-03-23,lhd,au-nsw,western nsw,,5
2020-03-23,lhd,au-nsw,western sydney,,12
2020-03-24,lhd,au-nsw,central coast,,13
2020-03-24,lhd,au-nsw,hunter new england,,31
2020-03-24,lhd,au-nsw,illawarra shoalhaven,,11
2020-03-24,lhd,au-nsw,mid north coast,,2
2020-03-24,lhd,au-nsw,nepean blue mountains,,20
2020-03-24,lhd,au-nsw,northern nsw,,6
2020-03-24,lhd,au-nsw,northern sydney,,28
2020-03-24,lhd,au-nsw,south eastern sydney,,32
2020-03-24,lhd,au-nsw,south western sydney,,9
2020-03-24,lhd,au-nsw,southern nsw,,7
2020-03-24,lhd,au-nsw,sydney,,11
2020-03-24,lhd,au-nsw,unknown,,3
2020-03-24,lhd,au-nsw,western nsw,,3
2020-03-24,lhd,au-nsw,western sydney,,9
2020-03-25,lhd,au-nsw,central coast,,9
2020-03-25,lhd,au-nsw,hunter new england,,22
2020-03-25,lhd,au-nsw,illawarra shoalhaven,,8
2020-03-25,lhd,au-nsw,mid north coast,,3
2020-03-25,lhd,au-nsw,murrumbidgee,,4
2020-03-25,lhd,au-nsw,nepean blue mountains,,10
2020-03-25,lhd,au-nsw,network with vic,,0
2020-03-25,lhd,au-nsw,northern nsw,,3
2020-03-25,lhd,au-nsw,northern sydney,,30
2020-03-25,lhd,au-nsw,south eastern sydney,,37
2020-03-25,lhd,au-nsw,south western sydney,,18
2020-03-25,lhd,au-nsw,southern nsw,,3
2020-03-25,lhd,au-nsw,sydney,,12
2020-03-25,lhd,au-nsw,unknown,,4
2020-03-25,lhd,au-nsw,western nsw,,8
2020-03-25,lhd,au-nsw,western sydney,,15
2020-03-26,lhd,au-nsw,central coast,,13
2020-03-26,lhd,au-nsw,hunter new england,,18
2020-03-26,lhd,au-nsw,illawarra shoalhaven,,8
2020-03-26,lhd,au-nsw,mid north coast,,8
2020-03-26,lhd,au-nsw,murrumbidgee,,5
2020-03-26,lhd,au-nsw,nepean blue mountains,,9
2020-03-26,lhd,au-nsw,network with vic,,2
2020-03-26,lhd,au-nsw,northern nsw,,4
2020-03-26,lhd,au-nsw,northern sydney,,28
2020-03-26,lhd,au-nsw,south eastern sydney,,33
2020-03-26,lhd,au-nsw,south western sydney,,19
2020-03-26,lhd,au-nsw,southern nsw,,12
2020-03-26,lhd,au-nsw,sydney,,19
2020-03-26,lhd,au-nsw,unknown,,3
2020-03-26,lhd,au-nsw,western nsw,,2
2020-03-26,lhd,au-nsw,western sydney,,15
2020-03-27,lhd,au-nsw,central coast,,15
2020-03-27,lhd,au-nsw,hunter new england,,16
2020-03-27,lhd,au-nsw,illawarra shoalhaven,,8
2020-03-27,lhd,au-nsw,mid north coast,,6
2020-03-27,lhd,au-nsw,murrumbidgee,,4
2020-03-27,lhd,au-nsw,nepean blue mountains,,10
2020-03-27,lhd,au-nsw,northern nsw,,3
2020-03-27,lhd,au-nsw,northern sydney,,39
2020-03-27,lhd,au-nsw,south eastern sydney,,33
2020-03-27,lhd,au-nsw,south western sydney,,13
2020-03-27,lhd,au-nsw,southern nsw,,4
2020-03-27,lhd,au-nsw,sydney,,16
2020-03-27,lhd,au-nsw,unknown,,3
2020-03-27,lhd,au-nsw,western nsw,,3
2020-03-27,lhd,au-nsw,western sydney,,17
2020-03-28,lhd,au-nsw,central coast,,7
2020-03-28,lhd,au-nsw,hunter new england,,10
2020-03-28,lhd,au-nsw,illawarra shoalhaven,,2
2020-03-28,lhd,au-nsw,mid north coast,,5
2020-03-28,lhd,au-nsw,murrumbidgee,,5
2020-03-28,lhd,au-nsw,nepean blue mountains,,3
2020-03-28,lhd,au-nsw,northern nsw,,4
2020-03-28,lhd,au-nsw,northern sydney,,23
2020-03-28,lhd,au-nsw,south eastern sydney,,15
2020-03-28,lhd,au-nsw,south western sydney,,11
2020-03-28,lhd,au-nsw,southern nsw,,5
2020-03-28,lhd,au-nsw,sydney,,9
2020-03-28,lhd,au-nsw,unknown,,8
2020-03-28,lhd,au-nsw,western nsw,,2
2020-03-28,lhd,au-nsw,western sydney,,13
2020-03-29,lhd,au-nsw,central coast,,8
2020-03-29,lhd,au-nsw,hunter new england,,14
2020-03-29,lhd,au-nsw,illawarra shoalhaven,,7
2020-03-29,lhd,au-nsw,mid north coast,,2
2020-03-29,lhd,au-nsw,murrumbidgee,,2
2020-03-29,lhd,au-nsw,nepean blue mountains,,-6
2020-03-29,lhd,au-nsw,northern nsw,,-2
2020-03-29,lhd,au-nsw,northern sydney,,9
2020-03-29,lhd,au-nsw,south eastern sydney,,22
2020-03-29,lhd,au-nsw,south western sydney,,5
2020-03-29,lhd,au-nsw,southern nsw,,3
2020-03-29,lhd,au-nsw,sydney,,17
2020-03-29,lhd,au-nsw,unknown,,3
2020-03-29,lhd,au-nsw,western nsw,,1
2020-03-29,lhd,au-nsw,western sydney,,25
2020-03-30,lhd,au-nsw,central coast,,4
2020-03-30,lhd,au-nsw,hunter new england,,2
2020-03-30,lhd,au-nsw,illawarra shoalhaven,,3
2020-03-30,lhd,au-nsw,mid north coast,,1
2020-03-30,lhd,au-nsw,murrumbidgee,,3
2020-03-30,lhd,au-nsw,nepean blue mountains,,12
2020-03-30,lhd,au-nsw,northern nsw,,3
2020-03-30,lhd,au-nsw,northern sydney,,13
2020-03-30,lhd,au-nsw,south eastern sydney,,13
2020-03-30,lhd,au-nsw,south western sydney,,8
2020-03-30,lhd,au-nsw,southern nsw,,3
2020-03-30,lhd,au-nsw,sydney,,7
2020-03-30,lhd,au-nsw,unknown,,6
2020-03-30,lhd,au-nsw,western sydney,,6
2020-03-31,lhd,au-nsw,central coast,,6
2020-03-31,lhd,au-nsw,far west,,0
2020-03-31,lhd,au-nsw,hunter new england,,15
2020-03-31,lhd,au-nsw,illawarra shoalhaven,,7
2020-03-31,lhd,au-nsw,mid north coast,,2
2020-03-31,lhd,au-nsw,murrumbidgee,,2
2020-03-31,lhd,au-nsw,nepean blue mountains,,3
2020-03-31,lhd,au-nsw,northern nsw,,5
2020-03-31,lhd,au-nsw,northern sydney,,14
2020-03-31,lhd,au-nsw,south eastern sydney,,19
2020-03-31,lhd,au-nsw,south western sydney,,8
2020-03-31,lhd,au-nsw,southern nsw,,2
2020-03-31,lhd,au-nsw,sydney,,9
2020-03-31,lhd,au-nsw,unknown,,12
2020-03-31,lhd,au-nsw,western sydney,,19
2020-04-01,lhd,au-nsw,central coast,,1
2020-04-01,lhd,au-nsw,hunter new england,,5
2020-04-01,lhd,au-nsw,illawarra shoalhaven,,4
2020-04-01,lhd,au-nsw,mid north coast,,2
2020-04-01,lhd,au-nsw,murrumbidgee,,3
2020-04-01,lhd,au-nsw,nepean blue mountains,,4
2020-04-01,lhd,au-nsw,northern nsw,,4
2020-04-01,lhd,au-nsw,northern sydney,,22
2020-04-01,lhd,au-nsw,south eastern sydney,,24
2020-04-01,lhd,au-nsw,south western sydney,,5
2020-04-01,lhd,au-nsw,sydney,,9
2020-04-01,lhd,au-nsw,unknown,,14
2020-04-01,lhd,au-nsw,western sydney,,17
2020-04-02,lhd,au-nsw,central coast,,3
2020-04-02,lhd,au-nsw,hunter new england,,5
2020-04-02,lhd,au-nsw,illawarra shoalhaven,,2
2020-04-02,lhd,au-nsw,mid north coast,,1
2020-04-02,lhd,au-nsw,murrumbidgee,,-1
2020-04-02,lhd,au-nsw,nepean blue mountains,,4
2020-04-02,lhd,au-nsw,northern nsw,,-2
2020-04-02,lhd,au-nsw,northern sydney,,16
2020-04-02,lhd,au-nsw,south eastern sydney,,30
2020-04-02,lhd,au-nsw,south western sydney,,2
2020-04-02,lhd,au-nsw,sydney,,11
2020-04-02,lhd,au-nsw,unknown,,6
2020-04-02,lhd,au-nsw,western nsw,,1
2020-04-02,lhd,au-nsw,western sydney,,11
2020-04-03,lhd,au-nsw,central coast,,2
2020-04-03,lhd,au-nsw,hunter new england,,1
2020-04-03,lhd,au-nsw,illawarra shoalhaven,,1
2020-04-03,lhd,au-nsw,mid north coast,,1
2020-04-03,lhd,au-nsw,murrumbidgee,,3
2020-04-03,lhd,au-nsw,nepean blue mountains,,4
2020-04-03,lhd,au-nsw,northern sydney,,16
2020-04-03,lhd,au-nsw,south eastern sydney,,16
2020-04-03,lhd,au-nsw,south western sydney,,6
2020-04-03,lhd,au-nsw,sydney,,15
2020-04-03,lhd,au-nsw,unknown,,5
2020-04-03,lhd,au-nsw,western nsw,,-1
2020-04-03,lhd,au-nsw,western sydney,,11
2020-04-04,lhd,au-nsw,central coast,,2
2020-04-04,lhd,au-nsw,hunter new england,,7
2020-04-04,lhd,au-nsw,illawarra shoalhaven,,-1
2020-04-04,lhd,au-nsw,mid north coast,,1
2020-04-04,lhd,au-nsw,nepean blue mountains,,-5
2020-04-04,lhd,au-nsw,northern sydney,,15
2020-04-04,lhd,au-nsw,south eastern sydney,,19
2020-04-04,lhd,au-nsw,south western sydney,,4
2020-04-04,lhd,au-nsw,sydney,,6
2020-04-04,lhd,au-nsw,unknown,,11
2020-04-04,lhd,au-nsw,western nsw,,4
2020-04-04,lhd,au-nsw,western sydney,,9
2020-04-05,lhd,au-nsw,central coast,,1
2020-04-05,lhd,au-nsw,hunter new england,,-6
2020-04-05,lhd,au-nsw,illawarra shoalhaven,,2
2020-04-05,lhd,au-nsw,mid north coast,,1
2020-04-05,lhd,au-nsw,northern nsw,,2
2020-04-05,lhd,au-nsw,northern sydney,,8
2020-04-05,lhd,au-nsw,south eastern sydney,,18
2020-04-05,lhd,au-nsw,south western sydney,,5
2020-04-05,lhd,au-nsw,sydney,,4
2020-04-05,lhd,au-nsw,unknown,,9
2020-04-05,lhd,au-nsw,western nsw,,2
2020-04-05,lhd,au-nsw,western sydney,,6
2020-04-06,lhd,au-nsw,central coast,,-3
2020-04-06,lhd,au-nsw,hunter new england,,10
2020-04-06,lhd,au-nsw,illawarra shoalhaven,,1
2020-04-06,lhd,au-nsw,northern nsw,,-1
2020-04-06,lhd,au-nsw,northern sydney,,8
2020-04-06,lhd,au-nsw,south eastern sydney,,10
2020-04-06,lhd,au-nsw,south western sydney,,4
2020-04-06,lhd,au-nsw,sydney,,1
2020-04-06,lhd,au-nsw,unknown,,4
2020-04-06,lhd,au-nsw,western nsw,,-1
2020-04-06,lhd,au-nsw,western sydney,,2
2020-04-07,lhd,au-nsw,central coast,,1
2020-04-07,lhd,au-nsw,hunter new england,,4
2020-04-07,lhd,au-nsw,illawarra shoalhaven,,0
2020-04-07,lhd,au-nsw,northern nsw,,1
2020-04-07,lhd,au-nsw,northern sydney,,6
2020-04-07,lhd,au-nsw,south eastern sydney,,11
2020-04-07,lhd,au-nsw,south western sydney,,4
2020-04-07,lhd,au-nsw,sydney,,2
2020-04-07,lhd,au-nsw,unknown,,2
2020-04-07,lhd,au-nsw,western sydney,,1
2020-04-08,lhd,au-nsw,central coast,,1
2020-04-08,lhd,au-nsw,hunter new england,,5
2020-04-08,lhd,au-nsw,illawarra shoalhaven,,1
2020-04-08,lhd,au-nsw,northern nsw,,3
2020-04-08,lhd,au-nsw,northern sydney,,6
2020-04-08,lhd,au-nsw,south eastern sydney,,7
2020-04-08,lhd,au-nsw,south western sydney,,11
2020-04-08,lhd,au-nsw,sydney,,7
2020-04-08,lhd,au-nsw,unknown,,9
2020-04-08,lhd,au-nsw,western sydney,,4
2020-04-09,lhd,au-nsw,central coast,,3
2020-04-09,lhd,au-nsw,hunter new england,,-7
2020-04-09,lhd,au-nsw,mid north coast,,0
2020-04-09,lhd,au-nsw,murrumbidgee,,0
2020-04-09,lhd,au-nsw,nepean blue mountains,,6
2020-04-09,lhd,au-nsw,northern sydney,,8
2020-04-09,lhd,au-nsw,south eastern sydney,,3
2020-04-09,lhd,au-nsw,south western sydney,,5
2020-04-09,lhd,au-nsw,sydney,,1
2020-04-09,lhd,au-nsw,unknown,,6
2020-04-09,lhd,au-nsw,western sydney,,2
2020-04-10,lhd,au-nsw,hunter new england,,9
2020-04-10,lhd,au-nsw,nepean blue mountains,,2
2020-04-10,lhd,au-nsw,northern sydney,,3
2020-04-10,lhd,au-nsw,south eastern sydney,,3
2020-04-10,lhd,au-nsw,south western sydney,,2
2020-04-10,lhd,au-nsw,sydney,,1
2020-04-10,lhd,au-nsw,unknown,,2
2020-04-10,lhd,au-nsw,western sydney,,1
2020-04-11,lhd,au-nsw,hunter new england,,2
2020-04-11,lhd,au-nsw,nepean blue mountains,,1
2020-04-11,lhd,au-nsw,northern sydney,,-5
2020-04-11,lhd,au-nsw,south eastern sydney,,4
2020-04-11,lhd,au-nsw,south western sydney,,1
2020-04-11,lhd,au-nsw,sydney,,-5
2020-04-11,lhd,au-nsw,unknown,,2
2020-04-11,lhd,au-nsw,western sydney,,1
2020-04-12,lhd,au-nsw,hunter new england,,1
2020-04-12,lhd,au-nsw,nepean blue mountains,,3
2020-04-12,lhd,au-nsw,south eastern sydney,,1
2020-04-12,lhd,au-nsw,unknown,,3
2020-04-13,lhd,au-nsw,hunter new england,,-3
2020-04-13,lhd,au-nsw,nepean blue mountains,,4
2020-04-13,lhd,au-nsw,south eastern sydney,,-2
2020-04-13,lhd,au-nsw,unknown,,-5
2020-04-14,lhd,au-nsw,hunter new england,,4
2020-04-14,lhd,au-nsw,nepean blue mountains,,37
2020-04-14,lhd,au-nsw,northern sydney,,5
