date,region_schema,region_parent,region_child,agerange,value
2020-03-28,admin_1,au,au-vic,,163
2020-03-31,admin_1,au,au-vic,,292
2020-04-01,admin_1,au,au-vic,,303
2020-04-02,admin_1,au,au-vic,,313
2020-04-03,admin_1,au,au-vic,,341
2020-04-04,admin_1,au,au-vic,,366
2020-04-05,admin_1,au,au-vic,,384
2020-04-06,admin_1,au,au-vic,,404
2020-04-07,admin_1,au,au-vic,,414
2020-04-08,admin_1,au,au-vic,,414
2020-04-09,admin_1,au,au-vic,,418
2020-04-10,admin_1,au,au-vic,,422
2020-04-11,admin_1,au,au-vic,,430
2020-04-12,admin_1,au,au-vic,,433
2020-04-13,admin_1,au,au-vic,,439
2020-04-14,admin_1,au,au-vic,,439
2020-04-15,admin_1,au,au-vic,,385
2020-04-17,admin_1,au,au-vic,,389
2020-04-18,admin_1,au,au-vic,,395
2020-04-19,admin_1,au,au-vic,,399
2020-04-20,admin_1,au,au-vic,,402
2020-04-21,admin_1,au,au-vic,,402
2020-04-22,admin_1,au,au-vic,,405
2020-04-23,admin_1,au,au-vic,,405
2020-04-24,admin_1,au,au-vic,,407
2020-04-25,admin_1,au,au-vic,,411
2020-04-26,admin_1,au,au-vic,,411
2020-04-27,admin_1,au,au-vic,,412
2020-04-28,admin_1,au,au-vic,,414
2020-04-29,admin_1,au,au-vic,,414
2020-05-01,admin_1,au,au-vic,,416
2020-05-02,admin_1,au,au-vic,,417
2020-05-03,admin_1,au,au-vic,,418
2020-05-04,admin_1,au,au-vic,,419
2020-05-05,admin_1,au,au-vic,,421
2020-05-06,admin_1,au,au-vic,,423
2020-05-07,admin_1,au,au-vic,,472
2020-05-08,admin_1,au,au-vic,,486
2020-05-09,admin_1,au,au-vic,,494
2020-05-10,admin_1,au,au-vic,,494
2020-05-11,admin_1,au,au-vic,,502
2020-05-13,admin_1,au,au-vic,,505
2020-05-14,admin_1,au,au-vic,,527
2020-05-16,admin_1,au,au-vic,,540
2020-05-18,admin_1,au,au-vic,,551
2020-05-19,admin_1,au,au-vic,,554
2020-05-21,admin_1,au,au-vic,,561
2020-05-22,admin_1,au,au-vic,,567
2020-05-23,admin_1,au,au-vic,,567
2020-05-24,admin_1,au,au-vic,,567
2020-05-25,admin_1,au,au-vic,,567
2020-05-26,admin_1,au,au-vic,,568
2020-05-27,admin_1,au,au-vic,,569
2020-05-28,admin_1,au,au-vic,,588
2020-05-29,admin_1,au,au-vic,,592
2020-05-30,admin_1,au,au-vic,,594
2020-05-31,admin_1,au,au-vic,,597
2020-06-01,admin_1,au,au-vic,,599
2020-06-02,admin_1,au,au-vic,,607
2020-06-03,admin_1,au,au-vic,,612
2020-06-04,admin_1,au,au-vic,,614
2020-06-05,admin_1,au,au-vic,,615
2020-06-07,admin_1,au,au-vic,,616
2020-06-08,admin_1,au,au-vic,,618
2020-06-09,admin_1,au,au-vic,,617
2020-06-10,admin_1,au,au-vic,,618
2020-06-11,admin_1,au,au-vic,,618
2020-06-12,admin_1,au,au-vic,,620
2020-06-14,admin_1,au,au-vic,,624
2020-06-15,admin_1,au,au-vic,,631
2020-06-16,admin_1,au,au-vic,,637
2020-06-17,admin_1,au,au-vic,,641
2020-06-19,admin_1,au,au-vic,,643
2020-06-21,admin_1,au,au-vic,,662
2020-06-22,admin_1,au,au-vic,,672
2020-06-24,admin_1,au,au-vic,,688
2020-06-26,admin_1,au,au-vic,,713
2020-06-27,admin_1,au,au-vic,,718
2020-06-28,admin_1,au,au-vic,,739
2020-06-30,admin_1,au,au-vic,,786
2020-07-01,admin_1,au,au-vic,,818
2020-07-03,admin_1,au,au-vic,,918
2020-07-04,admin_1,au,au-vic,,985
2020-07-06,admin_1,au,au-vic,,1014
2020-07-07,admin_1,au,au-vic,,1116
2020-07-08,admin_1,au,au-vic,,1203
2020-07-09,admin_1,au,au-vic,,1243
2020-07-10,admin_1,au,au-vic,,1274
2020-07-12,admin_1,au,au-vic,,1409
2020-07-13,admin_1,au,au-vic,,1524
2020-07-15,admin_1,au,au-vic,,1702
2020-07-16,admin_1,au,au-vic,,1702
2020-07-17,admin_1,au,au-vic,,1945
2020-07-18,admin_1,au,au-vic,,2115
2020-07-19,admin_1,au,au-vic,,2188
2020-07-20,admin_1,au,au-vic,,2314
2020-07-21,admin_1,au,au-vic,,2332
2020-07-23,admin_1,au,au-vic,,2494
2020-07-24,admin_1,au,au-vic,,2543
2020-07-26,admin_1,au,au-vic,,3078
2020-07-27,admin_1,au,au-vic,,3202
2020-07-28,admin_1,au,au-vic,,3351
2020-07-29,admin_1,au,au-vic,,3480
2020-07-30,admin_1,au,au-vic,,3786
2020-07-31,admin_1,au,au-vic,,4299
2020-08-01,admin_1,au,au-vic,,4737
2020-08-02,admin_1,au,au-vic,,5447
2020-08-03,admin_1,au,au-vic,,5503
2020-08-04,admin_1,au,au-vic,,5566
2020-08-06,admin_1,au,au-vic,,6824
2020-08-07,admin_1,au,au-vic,,6992
2020-08-08,admin_1,au,au-vic,,7416
2020-08-09,admin_1,au,au-vic,,8678
2020-08-10,admin_1,au,au-vic,,9019
2020-08-11,admin_1,au,au-vic,,9212
2020-08-12,admin_1,au,au-vic,,9431
2020-08-15,admin_1,au,au-vic,,10727
2020-08-16,admin_1,au,au-vic,,11072
2020-08-17,admin_1,au,au-vic,,11358
2020-08-19,admin_1,au,au-vic,,11911
2020-08-21,admin_1,au,au-vic,,12333
