date,region_schema,region_parent,region_child,agerange,value
2020-03-01,admin_0,,be,,19
2020-03-01,admin_0,,be,10-19,5
2020-03-01,admin_0,,be,20-29,1
2020-03-01,admin_0,,be,30-39,1
2020-03-01,admin_0,,be,40-49,7
2020-03-01,admin_0,,be,50-59,3
2020-03-01,admin_0,,be,60-69,1
2020-03-01,admin_0,,be,70-79,1
2020-03-01,admin_1,be,be-bru,,6
2020-03-01,admin_1,be,be-van,,1
2020-03-01,admin_1,be,be-vbr,,7
2020-03-01,admin_1,be,be-vli,,1
2020-03-01,admin_1,be,be-vov,,1
2020-03-01,admin_1,be,be-wlg,,3
2020-03-02,admin_0,,be,,38
2020-03-02,admin_0,,be,10-19,10
2020-03-02,admin_0,,be,20-29,2
2020-03-02,admin_0,,be,40-49,13
2020-03-02,admin_0,,be,50-59,7
2020-03-02,admin_0,,be,60-69,3
2020-03-02,admin_0,,be,70-79,2
2020-03-02,admin_1,be,be-bru,,10
2020-03-02,admin_1,be,be-van,,2
2020-03-02,admin_1,be,be-vbr,,15
2020-03-02,admin_1,be,be-vov,,2
2020-03-02,admin_1,be,be-vwv,,2
2020-03-02,admin_1,be,be-wbr,,2
2020-03-02,admin_1,be,be-wlg,,4
2020-03-03,admin_0,,be,,72
2020-03-03,admin_0,,be,0-9,1
2020-03-03,admin_0,,be,10-19,14
2020-03-03,admin_0,,be,20-29,7
2020-03-03,admin_0,,be,30-39,6
2020-03-03,admin_0,,be,40-49,22
2020-03-03,admin_0,,be,50-59,11
2020-03-03,admin_0,,be,60-69,4
2020-03-03,admin_0,,be,70-79,7
2020-03-03,admin_1,be,be-bru,,12
2020-03-03,admin_1,be,be-van,,7
2020-03-03,admin_1,be,be-vbr,,21
2020-03-03,admin_1,be,be-vli,,4
2020-03-03,admin_1,be,be-vov,,5
2020-03-03,admin_1,be,be-vwv,,6
2020-03-03,admin_1,be,be-wbr,,5
2020-03-03,admin_1,be,be-wht,,1
2020-03-03,admin_1,be,be-wlg,,10
2020-03-03,admin_1,be,be-wna,,1
2020-03-04,admin_0,,be,,125
2020-03-04,admin_0,,be,0-9,4
2020-03-04,admin_0,,be,10-19,26
2020-03-04,admin_0,,be,20-29,13
2020-03-04,admin_0,,be,30-39,11
2020-03-04,admin_0,,be,40-49,31
2020-03-04,admin_0,,be,50-59,17
2020-03-04,admin_0,,be,60-69,11
2020-03-04,admin_0,,be,70-79,9
2020-03-04,admin_0,,be,80-89,1
2020-03-04,admin_0,,be,90+,1
2020-03-04,admin_0,,be,NA,1
2020-03-04,admin_1,be,be-bru,,17
2020-03-04,admin_1,be,be-van,,13
2020-03-04,admin_1,be,be-vbr,,32
2020-03-04,admin_1,be,be-vli,,12
2020-03-04,admin_1,be,be-vov,,8
2020-03-04,admin_1,be,be-vwv,,7
2020-03-04,admin_1,be,be-wbr,,6
2020-03-04,admin_1,be,be-wht,,7
2020-03-04,admin_1,be,be-wlg,,15
2020-03-04,admin_1,be,be-wna,,2
2020-03-04,admin_1,be,unknown,,6
2020-03-05,admin_0,,be,,206
2020-03-05,admin_0,,be,0-9,7
2020-03-05,admin_0,,be,10-19,31
2020-03-05,admin_0,,be,20-29,30
2020-03-05,admin_0,,be,30-39,21
2020-03-05,admin_0,,be,40-49,49
2020-03-05,admin_0,,be,50-59,37
2020-03-05,admin_0,,be,60-69,16
2020-03-05,admin_0,,be,70-79,12
2020-03-05,admin_1,be,be-bru,,19
2020-03-05,admin_1,be,be-van,,24
2020-03-05,admin_1,be,be-vbr,,49
2020-03-05,admin_1,be,be-vli,,20
2020-03-05,admin_1,be,be-vov,,17
2020-03-05,admin_1,be,be-vwv,,21
2020-03-05,admin_1,be,be-wbr,,9
2020-03-05,admin_1,be,be-wht,,17
2020-03-05,admin_1,be,be-wlg,,21
2020-03-05,admin_1,be,be-wna,,3
2020-03-06,admin_0,,be,,316
2020-03-06,admin_0,,be,0-9,9
2020-03-06,admin_0,,be,10-19,42
2020-03-06,admin_0,,be,20-29,42
2020-03-06,admin_0,,be,30-39,34
2020-03-06,admin_0,,be,40-49,82
2020-03-06,admin_0,,be,50-59,58
2020-03-06,admin_0,,be,60-69,22
2020-03-06,admin_0,,be,70-79,20
2020-03-06,admin_0,,be,80-89,4
2020-03-06,admin_0,,be,90+,2
2020-03-06,admin_1,be,be-bru,,28
2020-03-06,admin_1,be,be-van,,35
2020-03-06,admin_1,be,be-vbr,,66
2020-03-06,admin_1,be,be-vli,,37
2020-03-06,admin_1,be,be-vov,,33
2020-03-06,admin_1,be,be-vwv,,38
2020-03-06,admin_1,be,be-wbr,,13
2020-03-06,admin_1,be,be-wht,,21
2020-03-06,admin_1,be,be-wlg,,29
2020-03-06,admin_1,be,be-wlx,,1
2020-03-06,admin_1,be,be-wna,,8
2020-03-06,admin_1,be,unknown,,7
2020-03-07,admin_0,,be,,343
2020-03-07,admin_0,,be,10-19,44
2020-03-07,admin_0,,be,20-29,44
2020-03-07,admin_0,,be,30-39,38
2020-03-07,admin_0,,be,40-49,89
2020-03-07,admin_0,,be,50-59,64
2020-03-07,admin_0,,be,60-69,25
2020-03-07,admin_0,,be,70-79,22
2020-03-07,admin_0,,be,80-89,5
2020-03-07,admin_1,be,be-bru,,33
2020-03-07,admin_1,be,be-van,,43
2020-03-07,admin_1,be,be-vli,,40
2020-03-07,admin_1,be,be-vov,,34
2020-03-07,admin_1,be,be-vwv,,42
2020-03-07,admin_1,be,be-wbr,,14
2020-03-07,admin_1,be,be-wht,,22
2020-03-07,admin_1,be,be-wlg,,33
2020-03-08,admin_0,,be,,407
2020-03-08,admin_0,,be,10-19,49
2020-03-08,admin_0,,be,20-29,50
2020-03-08,admin_0,,be,30-39,45
2020-03-08,admin_0,,be,40-49,99
2020-03-08,admin_0,,be,50-59,80
2020-03-08,admin_0,,be,60-69,34
2020-03-08,admin_0,,be,70-79,28
2020-03-08,admin_0,,be,80-89,8
2020-03-08,admin_0,,be,90+,3
2020-03-08,admin_0,,be,NA,2
2020-03-08,admin_1,be,be-bru,,39
2020-03-08,admin_1,be,be-van,,52
2020-03-08,admin_1,be,be-vbr,,72
2020-03-08,admin_1,be,be-vli,,47
2020-03-08,admin_1,be,be-vov,,39
2020-03-08,admin_1,be,be-vwv,,53
2020-03-08,admin_1,be,be-wbr,,15
2020-03-08,admin_1,be,be-wht,,26
2020-03-08,admin_1,be,be-wlg,,44
2020-03-08,admin_1,be,be-wlx,,2
2020-03-08,admin_1,be,be-wna,,10
2020-03-08,admin_1,be,unknown,,8
2020-03-09,admin_0,,be,,501
2020-03-09,admin_0,,be,0-9,11
2020-03-09,admin_0,,be,10-19,53
2020-03-09,admin_0,,be,20-29,59
2020-03-09,admin_0,,be,30-39,55
2020-03-09,admin_0,,be,40-49,133
2020-03-09,admin_0,,be,50-59,96
2020-03-09,admin_0,,be,60-69,44
2020-03-09,admin_0,,be,70-79,30
2020-03-09,admin_0,,be,80-89,14
2020-03-09,admin_0,,be,NA,3
2020-03-09,admin_1,be,be-bru,,51
2020-03-09,admin_1,be,be-van,,60
2020-03-09,admin_1,be,be-vbr,,86
2020-03-09,admin_1,be,be-vli,,53
2020-03-09,admin_1,be,be-vov,,45
2020-03-09,admin_1,be,be-vwv,,56
2020-03-09,admin_1,be,be-wbr,,20
2020-03-09,admin_1,be,be-wht,,38
2020-03-09,admin_1,be,be-wlg,,66
2020-03-09,admin_1,be,be-wna,,13
2020-03-09,admin_1,be,unknown,,11
2020-03-10,admin_0,,be,,600
2020-03-10,admin_0,,be,0-9,12
2020-03-10,admin_0,,be,10-19,58
2020-03-10,admin_0,,be,20-29,66
2020-03-10,admin_0,,be,30-39,75
2020-03-10,admin_0,,be,40-49,154
2020-03-10,admin_0,,be,50-59,118
2020-03-10,admin_0,,be,60-69,55
2020-03-10,admin_0,,be,70-79,39
2020-03-10,admin_0,,be,80-89,16
2020-03-10,admin_0,,be,90+,4
2020-03-10,admin_1,be,be-bru,,64
2020-03-10,admin_1,be,be-van,,74
2020-03-10,admin_1,be,be-vbr,,98
2020-03-10,admin_1,be,be-vli,,65
2020-03-10,admin_1,be,be-vov,,61
2020-03-10,admin_1,be,be-vwv,,59
2020-03-10,admin_1,be,be-wbr,,23
2020-03-10,admin_1,be,be-wht,,45
2020-03-10,admin_1,be,be-wlg,,76
2020-03-10,admin_1,be,be-wlx,,4
2020-03-10,admin_1,be,unknown,,18
2020-03-11,admin_0,,be,,774
2020-03-11,admin_0,,be,0-9,16
2020-03-11,admin_0,,be,10-19,67
2020-03-11,admin_0,,be,20-29,84
2020-03-11,admin_0,,be,30-39,102
2020-03-11,admin_0,,be,40-49,187
2020-03-11,admin_0,,be,50-59,153
2020-03-11,admin_0,,be,60-69,70
2020-03-11,admin_0,,be,70-79,48
2020-03-11,admin_0,,be,80-89,27
2020-03-11,admin_0,,be,90+,15
2020-03-11,admin_0,,be,NA,5
2020-03-11,admin_1,be,be-bru,,83
2020-03-11,admin_1,be,be-van,,95
2020-03-11,admin_1,be,be-vbr,,125
2020-03-11,admin_1,be,be-vli,,87
2020-03-11,admin_1,be,be-vov,,86
2020-03-11,admin_1,be,be-vwv,,71
2020-03-11,admin_1,be,be-wbr,,25
2020-03-11,admin_1,be,be-wht,,58
2020-03-11,admin_1,be,be-wlg,,101
2020-03-11,admin_1,be,be-wlx,,6
2020-03-11,admin_1,be,be-wna,,18
2020-03-11,admin_1,be,unknown,,19
2020-03-12,admin_0,,be,,1024
2020-03-12,admin_0,,be,0-9,20
2020-03-12,admin_0,,be,10-19,74
2020-03-12,admin_0,,be,20-29,111
2020-03-12,admin_0,,be,30-39,136
2020-03-12,admin_0,,be,40-49,234
2020-03-12,admin_0,,be,50-59,195
2020-03-12,admin_0,,be,60-69,97
2020-03-12,admin_0,,be,70-79,77
2020-03-12,admin_0,,be,80-89,49
2020-03-12,admin_0,,be,90+,23
2020-03-12,admin_0,,be,NA,8
2020-03-12,admin_1,be,be-bru,,118
2020-03-12,admin_1,be,be-van,,128
2020-03-12,admin_1,be,be-vbr,,156
2020-03-12,admin_1,be,be-vli,,112
2020-03-12,admin_1,be,be-vov,,117
2020-03-12,admin_1,be,be-vwv,,92
2020-03-12,admin_1,be,be-wbr,,32
2020-03-12,admin_1,be,be-wht,,86
2020-03-12,admin_1,be,be-wlg,,130
2020-03-12,admin_1,be,be-wlx,,9
2020-03-12,admin_1,be,be-wna,,20
2020-03-12,admin_1,be,unknown,,24
2020-03-13,admin_0,,be,,1362
2020-03-13,admin_0,,be,0-9,26
2020-03-13,admin_0,,be,10-19,79
2020-03-13,admin_0,,be,20-29,156
2020-03-13,admin_0,,be,30-39,198
2020-03-13,admin_0,,be,40-49,309
2020-03-13,admin_0,,be,50-59,250
2020-03-13,admin_0,,be,60-69,129
2020-03-13,admin_0,,be,70-79,103
2020-03-13,admin_0,,be,80-89,73
2020-03-13,admin_0,,be,90+,28
2020-03-13,admin_0,,be,NA,11
2020-03-13,admin_1,be,be-bru,,158
2020-03-13,admin_1,be,be-van,,175
2020-03-13,admin_1,be,be-vbr,,193
2020-03-13,admin_1,be,be-vli,,142
2020-03-13,admin_1,be,be-vov,,146
2020-03-13,admin_1,be,be-vwv,,116
2020-03-13,admin_1,be,be-wbr,,45
2020-03-13,admin_1,be,be-wht,,141
2020-03-13,admin_1,be,be-wlg,,160
2020-03-13,admin_1,be,be-wlx,,16
2020-03-13,admin_1,be,be-wna,,27
2020-03-13,admin_1,be,unknown,,43
2020-03-14,admin_0,,be,,1541
2020-03-14,admin_0,,be,0-9,29
2020-03-14,admin_0,,be,20-29,176
2020-03-14,admin_0,,be,30-39,215
2020-03-14,admin_0,,be,40-49,336
2020-03-14,admin_0,,be,50-59,283
2020-03-14,admin_0,,be,60-69,148
2020-03-14,admin_0,,be,70-79,128
2020-03-14,admin_0,,be,80-89,98
2020-03-14,admin_0,,be,90+,36
2020-03-14,admin_0,,be,NA,13
2020-03-14,admin_1,be,be-bru,,188
2020-03-14,admin_1,be,be-van,,196
2020-03-14,admin_1,be,be-vbr,,205
2020-03-14,admin_1,be,be-vli,,153
2020-03-14,admin_1,be,be-vov,,159
2020-03-14,admin_1,be,be-vwv,,135
2020-03-14,admin_1,be,be-wbr,,49
2020-03-14,admin_1,be,be-wht,,176
2020-03-14,admin_1,be,be-wlg,,182
2020-03-14,admin_1,be,be-wlx,,17
2020-03-14,admin_1,be,be-wna,,31
2020-03-14,admin_1,be,unknown,,50
2020-03-15,admin_0,,be,,1755
2020-03-15,admin_0,,be,0-9,31
2020-03-15,admin_0,,be,10-19,82
2020-03-15,admin_0,,be,20-29,196
2020-03-15,admin_0,,be,30-39,244
2020-03-15,admin_0,,be,40-49,371
2020-03-15,admin_0,,be,50-59,311
2020-03-15,admin_0,,be,60-69,164
2020-03-15,admin_0,,be,70-79,164
2020-03-15,admin_0,,be,80-89,130
2020-03-15,admin_0,,be,90+,49
2020-03-15,admin_1,be,be-bru,,216
2020-03-15,admin_1,be,be-van,,220
2020-03-15,admin_1,be,be-vbr,,232
2020-03-15,admin_1,be,be-vli,,190
2020-03-15,admin_1,be,be-vov,,178
2020-03-15,admin_1,be,be-vwv,,151
2020-03-15,admin_1,be,be-wbr,,55
2020-03-15,admin_1,be,be-wht,,206
2020-03-15,admin_1,be,be-wlg,,197
2020-03-15,admin_1,be,be-wlx,,18
2020-03-15,admin_1,be,be-wna,,32
2020-03-15,admin_1,be,unknown,,60
2020-03-16,admin_0,,be,,2142
