date,region_schema,region_parent,region_child,agerange,value
2020-04-19,admin_0,,br,,22130
2020-04-20,admin_0,,br,,22991
2020-04-21,admin_0,,br,,24325
2020-04-22,admin_0,,br,,25318
2020-04-23,admin_0,,br,,26573
2020-04-24,admin_0,,br,,27655
2020-04-25,admin_0,,br,,29160
2020-04-26,admin_0,,br,,30152
2020-04-27,admin_0,,br,,31142
2020-04-28,admin_0,,br,,32544
2020-04-29,admin_0,,br,,34132
2020-04-30,admin_0,,br,,35935
2020-05-01,admin_0,,br,,38039
2020-05-02,admin_0,,br,,40937
2020-05-03,admin_0,,br,,42991
2020-05-04,admin_0,,br,,45186
2020-05-05,admin_0,,br,,48221
2020-05-06,admin_0,,br,,51370
2020-05-07,admin_0,,br,,55350
2020-05-08,admin_0,,br,,59297
2020-05-09,admin_0,,br,,61685
2020-05-10,admin_0,,br,,64957
2020-05-11,admin_0,,br,,67384
2020-05-12,admin_0,,br,,72597
2020-05-13,admin_0,,br,,78424
2020-05-14,admin_0,,br,,79479
2020-05-15,admin_0,,br,,84970
2020-05-16,admin_0,,br,,89672
2020-05-17,admin_0,,br,,94122
2020-05-18,admin_0,,br,,100459
2020-05-19,admin_0,,br,,106794
2020-05-20,admin_0,,br,,116683
2020-05-21,admin_0,,br,,125960
2020-05-22,admin_0,,br,,135430
2020-05-23,admin_0,,br,,142587
2020-05-24,admin_0,,br,,149911
2020-05-25,admin_0,,br,,153833
2020-05-26,admin_0,,br,,158593
2020-05-27,admin_0,,br,,166647
2020-05-28,admin_0,,br,,177604
2020-05-29,admin_0,,br,,189476
2020-05-30,admin_0,,br,,200892
2020-05-31,admin_0,,br,,206555
2020-06-01,admin_0,,br,,211080
2020-06-02,admin_0,,br,,223638
2020-06-03,admin_0,,br,,238617
2020-06-04,admin_0,,br,,254963
2020-06-05,admin_0,,br,,266940
2020-06-06,admin_0,,br,,277149
2020-06-07,admin_0,,br,,283952
2020-06-08,admin_0,,br,,290040
2020-06-09,admin_0,,br,,311064
2020-06-10,admin_0,,br,,325395
2020-06-11,admin_0,,br,,345595
2020-06-12,admin_0,,br,,365063
2020-06-13,admin_0,,br,,379245
2020-06-14,admin_0,,br,,388492
2020-06-15,admin_0,,br,,412252
2020-06-16,admin_0,,br,,441729
2020-06-17,admin_0,,br,,463474
