date,region_schema,region_parent,region_child,agerange,value
2020-02-25,admin_1,ch,ch-ti,,0
2020-02-26,admin_1,ch,ch-ti,,0
2020-02-27,admin_1,ch,ch-bs,,0
2020-02-27,admin_1,ch,ch-ju,,0
2020-02-27,admin_1,ch,ch-ti,,0
2020-02-28,admin_1,ch,ch-bs,,0
2020-02-28,admin_1,ch,ch-ju,,0
2020-02-28,admin_1,ch,ch-ti,,0
2020-02-28,admin_1,ch,ch-vs,,0
2020-02-29,admin_1,ch,ch-bl,,0
2020-02-29,admin_1,ch,ch-bs,,0
2020-02-29,admin_1,ch,ch-ju,,0
2020-02-29,admin_1,ch,ch-ti,,0
2020-02-29,admin_1,ch,ch-vs,,0
2020-02-29,admin_1,ch,ch-zg,,0
2020-03-01,admin_1,ch,ch-bl,,0
2020-03-01,admin_1,ch,ch-bs,,0
2020-03-01,admin_1,ch,ch-ju,,0
2020-03-01,admin_1,ch,ch-ti,,0
2020-03-01,admin_1,ch,ch-vs,,0
2020-03-01,admin_1,ch,ch-zg,,0
2020-03-02,admin_1,ch,ch-bl,,0
2020-03-02,admin_1,ch,ch-bs,,0
2020-03-02,admin_1,ch,ch-ju,,0
2020-03-02,admin_1,ch,ch-ti,,0
2020-03-02,admin_1,ch,ch-vs,,0
2020-03-02,admin_1,ch,ch-zg,,0
2020-03-03,admin_1,ch,ch-bl,,0
2020-03-03,admin_1,ch,ch-bs,,1
2020-03-03,admin_1,ch,ch-ju,,0
2020-03-03,admin_1,ch,ch-ti,,0
2020-03-03,admin_1,ch,ch-vs,,0
2020-03-03,admin_1,ch,ch-zg,,0
2020-03-04,admin_1,ch,ch-bl,,0
2020-03-04,admin_1,ch,ch-bs,,2
2020-03-04,admin_1,ch,ch-ju,,0
2020-03-04,admin_1,ch,ch-ti,,0
2020-03-04,admin_1,ch,ch-vd,,1
2020-03-04,admin_1,ch,ch-vs,,0
2020-03-04,admin_1,ch,ch-zg,,0
2020-03-05,admin_1,ch,ch-bl,,0
2020-03-05,admin_1,ch,ch-bs,,1
2020-03-05,admin_1,ch,ch-ju,,0
2020-03-05,admin_1,ch,ch-tg,,0
2020-03-05,admin_1,ch,ch-ti,,0
2020-03-05,admin_1,ch,ch-vd,,1
2020-03-05,admin_1,ch,ch-vs,,0
2020-03-05,admin_1,ch,ch-zg,,0
2020-03-06,admin_1,ch,ch-bl,,2
2020-03-06,admin_1,ch,ch-bs,,1
2020-03-06,admin_1,ch,ch-ju,,0
2020-03-06,admin_1,ch,ch-tg,,0
2020-03-06,admin_1,ch,ch-ti,,0
2020-03-06,admin_1,ch,ch-vd,,2
2020-03-06,admin_1,ch,ch-vs,,0
2020-03-06,admin_1,ch,ch-zg,,0
2020-03-07,admin_1,ch,ch-bl,,2
2020-03-07,admin_1,ch,ch-bs,,1
2020-03-07,admin_1,ch,ch-ju,,0
2020-03-07,admin_1,ch,ch-tg,,0
2020-03-07,admin_1,ch,ch-ti,,0
2020-03-07,admin_1,ch,ch-vd,,4
2020-03-07,admin_1,ch,ch-vs,,0
2020-03-07,admin_1,ch,ch-zg,,0
2020-03-08,admin_1,ch,ch-bl,,2
2020-03-08,admin_1,ch,ch-bs,,1
2020-03-08,admin_1,ch,ch-ju,,0
2020-03-08,admin_1,ch,ch-tg,,0
2020-03-08,admin_1,ch,ch-ti,,0
2020-03-08,admin_1,ch,ch-vd,,3
2020-03-08,admin_1,ch,ch-vs,,1
2020-03-08,admin_1,ch,ch-zg,,0
2020-03-09,admin_1,ch,ch-bl,,4
2020-03-09,admin_1,ch,ch-bs,,1
2020-03-09,admin_1,ch,ch-ju,,0
2020-03-09,admin_1,ch,ch-tg,,0
2020-03-09,admin_1,ch,ch-ti,,0
2020-03-09,admin_1,ch,ch-vd,,5
2020-03-09,admin_1,ch,ch-vs,,1
2020-03-09,admin_1,ch,ch-zg,,0
2020-03-10,admin_1,ch,ch-bl,,1
2020-03-10,admin_1,ch,ch-bs,,2
2020-03-10,admin_1,ch,ch-ju,,0
2020-03-10,admin_1,ch,ch-tg,,0
2020-03-10,admin_1,ch,ch-ti,,0
2020-03-10,admin_1,ch,ch-vd,,9
2020-03-10,admin_1,ch,ch-vs,,1
2020-03-10,admin_1,ch,ch-zg,,0
