region_schema,region_parent,region_child,agerange,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03
admin_1,ch,ch-ag,,,,,1,,,2,6,7,9,12,,,14,17,18,27,32,,,52,67,101,118,168,,232,241,266,319,349,364,,,481,499,549,592,626,,,727,760,788,822,850,878,899,906,912,929,943,960,987,1003,1012,1017,1026,1037,1052,,,1088,1093,1099,1108,1124,1124,1129,1135,1141,1145,1149,1153,1153,1156,1166,1168,1173,1177,1181,,,1188,1195,1196,1196,1198,,,1199,1201,1202,1203,1210,,,1213,1213,1214,1216,,,,1218,1220,1220,1223,1226,1226,1227,1230,1231,1231,1234,1236,,,1241,1241,1248,1253,1263,,,1278,1301,1316,1329,1333,,,1345,1353,1360,1366,1378,,,1401,1416,1430,1439,1453,,,1469,1486,1495,1510,1525,,,1537,1553,1564,1587,1597,1613,1615,1620,1635,1651,1669,1679,1687,1690,1699,1728,1752,1772,1785,1804,1815,1824,1851,1881,1896,1913,1932,1947,1956,1985,2019,2046,2069,2092,2101,2108,2126,2146,
admin_1,ch,ch-ai,,,,,,,,,,,,,,,,,,,,2,,4,5,,6,,,,,8,9,11,12,13,,14,14,,20,20,21,,21,21,23,24,,24,,24,24,24,24,24,,24,24,24,24,25,25,25,,25,25,25,25,25,,,25,25,25,,,25,,25,25,,25,,25,,,,25,,,,25,25,,25,,25,,,,,25,,25,,,,25,25,,25,,,,25,25,,25,,,,25,25,,25,,,,25,25,,25,,,25,,25,,25,,,25,25,25,,25,,,25,25,25,,25,,,25,,25,25,25,,,25,,25,,25,,,25,,25,,25,,,,25,25,,25,,,25,25,25,25,25,,,25,25,25,25
admin_1,ch,ch-ar,,,,,,,,,,,1,1,1,1,2,,,5,,,,,,11,,,,,30,33,34,42,44,45,48,50,58,61,64,65,66,67,69,69,72,74,77,77,,78,79,79,79,82,,,86,86,87,88,88,,,94,94,94,95,96,96,97,97,97,97,97,97,,,98,98,,,99,,,99,,99,,99,,,99,,99,99,100,,,,100,100,100,100,,,100,,,,100,,,100,,,,100,,,100,,,101,101,,,102,,103,104,,,,104,104,,105,105,,,106,106,,106,107,,,107,107,,107,108,,,108,108,108,108,109,,,110,110,110,110,110,,,113,113,,117,118,,,121,122,125,,127,,,130,,,131,132,,,133,,,135
admin_1,ch,ch-be,,,,,1,,2,4,,6,,17,,,34,,,,,,,123,,193,282,377,418,,470,532,624,660,718,767,798,826,856,909,1003,1073,1106,1137,1173,1228,1286,1335,1375,1419,1441,1456,1470,1489,1515,1553,1586,1599,1613,1622,1643,1670,1694,1708,1714,1722,1733,1741,1757,1767,1779,1791,1796,1798,1804,1809,1818,1825,1832,1835,1840,1843,1847,1852,1860,1860,1863,1865,1867,1869,1874,1878,1881,1881,1881,1881,1883,1884,1909,1910,1910,1911,1912,1914,1916,1918,1918,1918,1919,1919,1924,1927,,,,,,,,,,,,,,1928,1929,1931,1935,1937,1939,1945,1949,1953,1959,1962,1963,1967,1969,1976,1982,1991,1992,1998,2005,2013,2024,2031,2041,2045,2049,2053,2055,2059,,2072,2082,2092,2094,2098,2111,2125,2143,2148,2151,2165,2177,2190,2198,2203,2207,2220,2234,2258,2280,2296,2309,2315,2322,2341,2352,2373,2382,2397,2409,2420,2443,2462,2487,2506,2529,2536,2552,2561,2584
admin_1,ch,ch-bl,,,,,1,2,2,2,2,2,6,6,15,19,20,22,26,26,42,47,54,76,89,116,134,184,282,289,302,306,341,422,466,502,511,539,561,588,610,625,656,670,682,690,694,711,722,736,740,749,755,768,781,794,798,803,806,809,811,811,813,816,816,816,818,822,824,825,828,828,828,829,830,833,834,835,836,836,837,837,837,837,838,838,838,838,838,838,838,838,838,838,838,838,840,840,841,842,843,843,844,844,845,845,845,845,845,846,846,846,846,846,846,847,847,847,847,848,849,849,849,851,852,854,856,858,859,859,860,861,865,869,869,871,874,877,880,883,884,889,892,895,898,898,901,901,901,901,902,906,908,910,914,914,914,917,918,919,924,926,927,929,936,941,943,945,945,945,945,953,957,959,963,975,975,978,979,983,992,1001,1006,1008,1009,1014,1020,1024,1029,1038,1039,1040,1046,1051,1058
admin_1,ch,ch-bs,,,,1,1,1,1,1,3,3,8,15,21,24,28,33,49,73,92,100,,143,164,181,220,270,297,356,374,410,462,501,530,569,605,617,653,687,714,754,767,789,798,808,829,841,854,861,877,888,894,904,912,918,924,927,928,928,928,931,936,938,940,941,943,946,951,952,955,956,958,959,962,965,966,967,968,970,970,970,971,972,974,974,974,975,976,976,976,976,976,976,976,976,976,978,978,978,978,978,979,979,982,982,982,982,983,983,983,983,983,983,983,983,984,984,985,985,985,985,985,985,985,985,985,985,985,985,985,986,988,989,990,990,993,996,999,1004,1006,1008,1009,1014,1016,1018,1022,1024,1025,1026,1032,1032,1033,1034,1035,1036,1038,1039,1043,1052,1054,1064,1068,1069,1073,1079,1081,1082,1083,1085,1087,1092,1098,1110,1115,1135,1140,1144,1149,1160,1165,1169,1179,1183,1185,1185,1190,1196,1205,1210,1213,1215,1219,1226,1229
admin_1,ch,ch-fr,,,,,,,1,2,,4,6,,,8,11,,16,22,29,36,40,45,59,86,111,145,167,202,226,255,293,309,369,421,442,477,491,525,550,588,638,669,689,729,756,786,796,834,846,859,879,890,907,930,956,980,989,995,1006,1014,1021,1029,1033,1040,1044,1057,1070,1078,1092,1097,1102,1104,1107,1115,1117,1121,1126,1129,1138,1141,1143,1145,1146,1147,1147,1147,1152,1152,1152,1154,1155,1156,1156,1157,1158,1159,1159,1159,1159,1161,1162,1164,1166,1166,1168,1172,1172,1174,1175,1175,1179,1181,1181,1182,1183,1185,1186,1191,1191,1191,1195,1203,1206,1211,1215,1220,1220,1220,1231,1238,1243,1246,1251,1253,1255,1258,1259,1263,1266,1271,1274,1274,1278,1282,1284,1292,1297,1304,1305,1311,1312,1315,1319,1320,1321,1325,1332,1342,1350,1353,1358,1360,1360,1368,1373,1377,1378,1384,1389,1393,1401,1405,1408,1418,1425,1428,1434,1451,1464,1487,1516,1550,1561,1572,1595,1613,1634,1654,1679,1686,1703,1730,1765
admin_1,ch,ch-gl,,,,,,,,,,,,,,,,1,1,3,6,8,10,10,12,14,16,20,25,29,31,33,40,43,47,47,50,51,53,56,58,59,61,63,63,63,64,67,76,91,91,92,105,105,106,108,111,111,114,115,117,117,117,120,120,121,121,122,122,122,122,122,122,122,125,125,125,126,126,127,127,127,128,128,,,128,128,128,128,128,,,128,128,128,128,128,,,,128,128,128,128,,,128,128,128,128,128,,,128,128,128,128,128,,,128,128,129,129,129,,,129,129,129,129,129,,,129,130,130,131,131,,,131,131,133,135,136,,,136,137,138,138,138,,,138,138,138,139,141,,,141,142,144,145,145,,,146,147,149,150,150,,,151,153,154,156,157,,,161,162,162,163,163,,,164,166,166,166
admin_1,ch,ch-ju,,,,1,1,1,1,1,2,2,4,4,5,5,7,7,7,12,17,18,19,25,29,32,36,44,54,61,69,82,92,100,114,119,127,128,140,145,149,149,154,160,164,171,174,179,182,183,183,184,185,188,189,191,192,192,195,195,196,196,196,196,196,196,197,197,198,198,198,198,198,201,201,201,202,202,202,202,202,202,202,202,202,202,202,203,203,204,204,204,204,204,204,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,206,206,206,206,206,206,206,206,208,208,208,208,210,211,214,216,216,217,222,227,235,238,244,244,246,249,252,253,256,256,256,257,258,259,259,259,259,259,259,259,259,259,259,259,259,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,261,262,262,262,262,262,263,263,264,264,265,266,266,266,266,267,268,268,268,270,272,273
admin_1,ch,ch-lu,,,,,,,,,,0,,,,,,,,,,,,,,65,,92,109,131,156,205,228,253,287,317,339,351,375,401,422,449,469,478,497,509,527,542,560,568,576,580,589,596,599,607,623,626,633,643,648,654,660,667,670,674,677,687,694,703,704,705,705,706,709,710,713,713,713,713,715,715,715,715,719,723,726,727,732,,733,733,733,733,734,735,735,735,735,735,735,735,735,735,735,,736,736,736,736,736,,,738,,740,740,740,741,741,744,745,746,747,747,749,749,752,754,760,763,763,767,,771,771,772,775,778,784,,790,793,796,806,807,813,,819,819,828,832,832,839,,841,841,848,854,866,874,878,,882,892,905,910,916,924,,925,932,940,957,970,,,984,986,995,998,1004,,,1013,1017,1027,1034,1045,,,1060,1064,1067,1077
