region_schema,region_parent,region_child,agerange,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05
admin_0,,co,,1,1,4,2,3,5,1,5,5,4,7,14,15,8,12,9,5,13,5,9,12,7,11,12,16,5,13,9,10,10,9,10,15,11,18,11,13,21,26,13,21,19,21,20,24,27,21,19,19,32,13,14,21,25,20,25,28,31,31,28,41,42,41,28,48,35,41,49,52,47,52,58,81,61,75,66,73,74,82,71,79,80,80,116,101,113,107,126,113,113,140,139,129,143,140,134,142,132,150,152,152,172,185,154,178,197,216,203,220,211,227,218,266,235,252,252,298,272,261,272,335,308,315,322,299,314,328,332,346,374,350,321,315,362,312,324,339,338,371,331,309,337,291,335,288,295,299,294,312,328,285,304,267,267,279,278,251,289,271,261,204,234,210,191,179,150,35
admin_1,co,co-ama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,1,1,,,3,5,2,1,,,3,5,8,2,,,,2,4,2,2,1,2,4,3,,,2,2,2,,,6,,,1,,,3,4,1,4,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,co,co-ant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,2,,,,,,2,2,1,6,1,1,1,2,2,6,5,6,6,4,6,7,3,8,18,16,20,14,26,18,15,27,22,17,28,23,36,29,28,36,30,38,33,45,44,47,38,45,35,45,47,31,48,41,50,42,34,39,42,35,32,46,34,30,42,37,34,45,33,44,33,40,20,41,39,34,30,31,22,24,16,17,6
admin_1,co,co-ara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,2,1,1,,,,,1,,,1,,,,,,,,,,
admin_1,co,co-atl,,,,,,,1,,,,,,1,,,,,-1,0,,,,,,,,,,,,,,7,-8,4,-3,1,,,1,5,0,1,4,-2,3,1,1,2,1,6,2,-7,9,-5,1,2,2,4,2,2,3,6,3,5,6,2,4,6,7,6,8,12,12,13,6,7,8,10,18,11,16,13,17,22,24,27,17,30,22,28,29,27,19,29,27,25,30,17,30,21,26,14,27,24,18,15,34,28,15,17,12,16,18,12,10,25,20,26,20,7,13,12,15,10,14,8,7,18,12,9,8,12,19,9,8,10,4,6,5,5,6,3,9,7,4,7,8,5,5,-1307,1324,8,7,5,7,3,-1353,1362,3,1,1,3,3,-1371,1372,2,-987
admin_1,co,co-bol,,,,,,,,,,1,,,,,,5,,,,1,1,1,1,,,,12,1,,,,,-14,17,1,,,1,1,3,2,1,4,3,5,4,5,3,3,4,-58,68,2,-69,81,5,-85,97,-95,2,107,5,-111,126,8,5,5,-143,153,-152,2,163,-162,172,-170,181,9,3,5,5,3,-205,3,1,1,232,-231,1,1,3,3,274,-271,1,4,295,-294,3,4,320,7,3,-325,4,2,1,1,5,2,2,3,7,3,2,4,3,2,3,1,1,5,364,-360,2,4,6,4,4,4,2,5,6,1,3,3,1,3,2,,,3,4,1,1,4,2,2,1,2,3,6,1,352,-351,3,3,349,-346,3,4,,,1,2,1,1,1,
admin_1,co,co-boy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,2,,,,,2,,,2,,,1,,,,3,,,2,2,,,1,3,1,,,1,2,3,2,3,3,,,2,1,,,1,,,1,,,4,3,2,3,1,,,,,
admin_1,co,co-cal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,3,1,1,2,1,,,,2,1,2,2,2,1,,,2,,,3,3,,,4,1,3,2,2,4,3,1,6,2,1,3,7,3,,
admin_1,co,co-caq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,2,1,1,,,1,2,3,2,2,1,6,6,7,4,1,3,3,6,5,7,7,11,9,6,6,12,13,3,7,5,14,11,8,7,5,4,2,4,,,7,2,2,5,2,1,2,,
admin_1,co,co-cas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,2,,,,,,1,1,
admin_1,co,co-cau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,1,1,1,,,,,,3,,,3,1,1,3,1,1,1,,,2,3,4,5,2,1,3,6,1,3,2,4,5,2,2,7,3,5,5,4,3,5,2,4,3,5,3,2,3,7,2,2,3,4,5,1,3,3,2,6,1,3,1,3,7,3,1,2,3
admin_1,co,co-ces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,3,1,1,,,1,1,,,,,,1,,,,,2,1,,,2,1,1,,,,,,,,,,,,2,1,2,2,2,2,3,,,2,3,3,3,1,4,4,,,4,3,6,6,9,2,2,5,4,7,5,3,8,13,11,8,7,15,11,10,13,10,9,11,16,10,7,11,9,12,6,12,8,9,9,3,2
admin_1,co,co-cho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,5,,,1,1,3,1,2,3,3,2,1,2,,,,,,1,4,2,5,2,4,1,3,4,,,2,2,2,2,3,2,,,4,2,2,1,3,2,3,1,3,1,,,,,2,,,,,1,1,6,4,2,,,,,1,,,1,2,1,,,1,,,,,,,3,1,1,,,1,,,,,1,1,1,2,,,,,,
admin_1,co,co-cor,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,2,,,,,,1,1,,,1,1,2,4,2,4,3,5,5,3,4,7,12,17,6,12,12,20,16,22,28,28,28,24,27,29,39,26,32,30,49,29,35,30,41,47,31,40,31,26,39,41,34,34,26,24,27,29,20,16,23,25,21,19,18,20,13,18,17,19,16,17,10,16,13,12,6,14,13,4,9,5,3,5,3,12,5,2,4,4,1
admin_1,co,co-cun,,,,,2,,,1,1,2,-9,14,-11,26,4,6,5,2,-42,49,5,1,4,6,3,-67,1,73,4,4,-79,86,2,-87,92,-91,100,6,6,8,3,3,-125,133,2,7,3,4,6,7,7,,,2,7,4,3,-187,2,202,10,9,9,5,4,-238,1,1,1,2,280,-276,2,3,5,1,1,2,1,2,1,1,2,392,-391,1,441,24,-464,490,-489,1,1,2,1,1,1,1,1,2,2,3,810,-804,6,2,5,1,3,6,4,3,7,9,10,7,4,13,7,9,10,14,11,8,8,10,10,19,7,15,17,12,12,7,9,12,14,18,17,15,13,13,14,15,19,13,12,11,12,8,10,16,15,13,13,14,15,15,12,14,11,13,12,16,8,17,6,5407
admin_1,co,co-hui,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,1,1,1,2,2,1,2,3,3,2,2,3,5,5,6,2,3,3,5,7,4,2,3,3,9,4,3,8,6,11,4,5,8,4,4,4,8,11,4,4,
admin_1,co,co-lag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,4,,,,,5,1,2,4,1,7,6,2,1,3,6,1,3,3,4,8,4,4,4,5,4,3,1,4,5,6,4,3,9,,,,,4,3,3,3,5,6,4,2,,,2,2,4,8,3,2,5,3,2,4,6,4,2,6,5,1,2,5,,,1,3,,,4,1,4,1,
