region_schema,region_parent,region_child,agerange,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08
cz_okres,cz,cz0100,,0,0,0,0,8,4,0,4,12,6,12,7,15,39,20,20,32,77,33,61,26,38,58,82,68,107,56,35,37,54,81,80,60,27,37,34,34,55,40,33,20,15,10,11,39,21,22,29,13,42,10,14,2,13,15,0,5,8,12,20,14,1,2,6,17,8,14,15,11,10,12,5,22,9,16,15,12,24,15,8,1,20,4,10,-5,5,6,12,9,9,9,8,18,31,16,-6,3,5,24,-5,13,12,28,9,12,14,23,-1,35,10,5,10,6,19,19,14,11,23,-7,6,6,22,2,11,15,8,-7,6,13,13,15,6,23,-3,12,14,23,11,14,37,13,83,57,26,80,65,7,71,58,44,47,49,32,26,44,74,63,29,68,48,31,53,83,79,89,78,38,38,69,38,82,45,126,78,67,25,68,100,97,158,56,102,82,88,169,146,196,120,162,131,301,269,319,272,400,53,324,378,452,665,369,182,245,206,623,375,208,699,455,354,199,335,501,631,490,451,473,437,776,792,676,1279,921,101,599,1086,1229,1100,1667,709,630,992,1517,1605,1668,1459,1264,717,1217,1448,1060,1314,1288,834,357,703,853,889,865,704,401,198,391,573,756,475,479,256,136,364,344,335,491,509,217,127,315,454,365,289,361,236,137,285,399,376,483,402,358,135,327,525,516,538,507,393,230,419,843,752,830,819,772,416,765,1176,1440,761,330,306,583,1330,1999,1835,1746,393,554,824,1228,2028,1765,1380,1233
cz_okres,cz,cz0201,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,4,2,4,0,1,0,1,2,5,0,1,5,3,1,4,3,0,4,4,8,4,2,5,3,0,1,1,1,2,-1,1,-1,1,1,-1,3,0,0,0,1,0,-1,0,1,-1,1,0,0,2,-1,1,0,-1,1,0,1,0,1,-2,2,-2,1,1,0,2,-2,2,0,0,0,0,-2,2,-2,0,2,-2,2,-2,0,0,0,0,2,-2,0,2,0,-2,0,0,0,0,0,0,0,2,-2,3,-1,0,0,0,0,0,2,-2,0,2,-2,1,0,2,-1,0,0,2,-1,0,0,0,2,-2,1,2,1,1,5,-2,2,-1,3,2,1,2,2,-3,4,1,-2,4,4,2,-1,2,6,0,4,3,0,0,-2,5,8,-3,5,-3,3,1,0,1,7,-3,4,-1,5,3,5,6,8,5,5,4,2,16,17,18,23,11,15,21,32,21,38,16,5,21,34,7,38,31,31,27,41,56,18,63,56,26,41,39,45,70,63,91,70,10,60,57,99,74,174,87,73,159,77,169,206,194,180,88,201,156,295,139,225,268,79,64,79,243,231,227,39,81,36,102,86,125,53,24,25,29,63,30,34,92,30,41,20,79,53,52,45,37,20,14,71,27,74,54,21,45,36,88,83,62,81,40,24,72,80,62,119,92,48,23,40,142,132,59,33,24,58,59,123,189,187,56,8,117,64,187,211,81,147
cz_okres,cz,cz0202,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,2,1,4,1,0,1,6,3,0,0,0,2,2,0,3,1,0,5,0,3,3,2,0,1,1,0,3,6,2,0,0,0,3,0,0,3,4,0,1,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,1,3,2,2,8,0,1,3,1,2,4,2,1,1,2,2,0,2,1,2,1,1,2,4,3,2,0,0,1,1,2,1,1,4,1,1,4,5,3,8,2,14,2,3,16,7,15,13,1,7,19,20,16,24,12,4,21,18,20,27,13,9,18,10,12,17,26,29,15,12,11,15,22,28,34,23,13,21,22,56,36,68,55,14,9,73,105,61,109,88,30,30,133,163,103,106,204,21,34,138,128,114,109,75,72,29,97,123,79,67,48,9,26,59,80,42,46,29,4,37,24,39,56,43,24,2,29,40,25,33,27,17,3,35,40,24,14,52,17,11,33,76,34,43,40,26,4,53,66,61,66,84,37,6,81,141,137,16,11,16,13,118,224,269,196,10,26,21,85,227,234,160,101
cz_okres,cz,cz0203,,0,0,0,0,0,0,1,0,0,2,2,1,0,0,0,2,3,3,4,1,5,0,0,2,4,11,4,2,1,1,6,4,3,2,1,5,3,6,3,4,1,2,1,0,4,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,4,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,2,-1,0,2,2,4,4,1,-2,4,-2,7,9,5,-1,3,-2,5,3,-2,7,5,5,-1,5,4,5,2,10,0,10,3,7,1,4,8,3,0,3,2,4,6,8,9,6,8,11,11,12,39,12,8,18,37,36,39,60,43,14,16,14,25,85,34,19,16,21,35,24,36,40,18,27,27,11,63,60,60,37,25,20,57,95,57,106,72,23,47,159,105,140,117,125,52,115,184,171,102,220,197,82,121,216,154,190,158,136,119,74,178,247,141,115,100,49,63,129,127,96,86,35,29,75,53,134,71,117,57,14,115,93,94,74,73,45,2,81,87,71,111,78,49,7,108,87,87,84,102,45,9,151,124,105,106,141,63,14,193,205,229,45,15,102,34,222,328,279,221,35,97,87,209,366,276,164,179
cz_okres,cz,cz0204,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,0,1,1,1,3,2,5,0,0,-1,2,0,8,6,4,1,-1,1,0,-1,3,2,4,0,-2,3,0,0,-2,3,2,0,-1,2,-2,4,2,-2,0,0,1,0,3,1,-2,0,1,0,0,2,1,-2,0,0,2,4,-2,0,3,0,-1,0,1,4,-2,2,-2,0,0,2,0,0,0,-2,2,0,-2,2,-2,0,0,0,2,0,-2,0,0,2,-2,0,2,1,0,-2,1,4,0,-1,4,1,0,0,1,1,2,0,6,0,2,0,2,2,-1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,3,0,2,2,1,2,2,1,2,3,7,6,9,3,0,0,3,1,1,2,-1,3,0,7,8,2,20,5,2,1,6,8,3,9,5,1,1,14,4,15,6,6,5,7,21,14,10,15,13,16,9,14,19,17,27,27,3,15,26,24,34,31,26,27,19,22,14,24,38,28,15,31,46,53,65,87,75,89,43,128,50,101,88,118,78,159,75,138,128,121,83,40,97,203,115,73,137,159,128,188,121,155,161,142,42,18,33,55,100,44,51,37,9,34,48,46,40,40,19,11,42,57,31,41,38,17,12,24,52,48,63,51,32,7,32,80,65,62,45,46,4,44,79,53,74,69,48,26,88,99,107,48,23,21,32,119,174,177,178,67,27,86,147,211,160,173,153
cz_okres,cz,cz0205,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,1,0,1,5,1,0,1,1,-1,0,3,1,3,1,1,0,5,0,0,0,0,1,0,-1,0,1,0,-1,1,0,-1,1,-1,0,1,0,-1,0,1,0,0,-1,0,0,1,2,0,-1,0,0,0,1,0,-1,0,1,0,-1,1,1,0,-1,1,-1,1,-1,1,0,-1,1,0,0,1,0,0,0,-1,1,-1,1,0,0,0,-1,1,-1,1,-1,2,4,12,1,1,7,6,9,5,-1,0,3,2,0,2,1,1,-1,1,0,1,0,0,-1,0,1,-1,1,-1,0,1,0,1,0,7,1,4,1,0,0,5,1,0,2,0,0,1,1,2,1,4,0,0,3,1,1,1,0,0,2,0,2,4,5,5,1,0,9,6,5,7,10,1,9,18,8,6,13,10,20,3,11,7,6,16,20,6,10,10,13,9,23,10,12,7,6,29,37,22,32,18,16,39,34,43,46,73,53,26,54,45,107,73,79,97,8,62,90,78,66,72,72,38,53,86,75,103,77,52,25,31,61,64,79,65,23,20,47,50,50,102,41,20,12,39,59,45,85,40,27,2,50,54,28,53,26,44,3,46,66,78,64,46,37,5,53,70,56,73,55,45,12,65,69,116,21,5,18,18,100,150,110,169,26,36,25,123,164,104,227,97
cz_okres,cz,cz0206,,0,0,0,0,0,0,1,0,0,5,0,0,2,2,0,1,3,4,2,1,0,0,1,0,2,4,2,0,2,3,1,0,3,8,2,2,1,2,3,1,1,0,0,2,0,2,0,2,2,2,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,2,3,13,9,0,0,2,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,-1,1,1,1,0,-1,0,0,0,1,0,0,-1,4,0,0,15,2,0,4,2,0,4,2,3,6,1,2,1,3,-1,7,-1,4,2,0,0,3,0,4,3,0,4,2,5,1,1,-1,2,1,4,2,3,4,2,2,-1,0,1,4,14,3,16,5,5,3,10,5,10,12,6,10,8,20,6,32,9,24,16,19,37,40,20,17,3,24,20,30,49,23,21,12,16,39,55,53,35,22,18,45,47,24,102,62,20,30,68,59,85,92,67,23,85,104,166,94,105,99,48,114,105,139,94,95,112,66,93,126,98,85,79,54,9,64,93,87,75,61,53,7,90,46,75,49,64,52,3,80,81,39,35,35,45,5,37,82,44,70,35,50,3,63,43,52,60,111,84,9,40,92,99,90,82,75,38,65,115,120,57,16,8,46,158,298,207,119,28,59,34,94,232,144,147,82
cz_okres,cz,cz0207,,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,2,2,1,3,0,2,2,5,1,0,3,1,4,4,-1,1,1,-1,1,0,0,2,0,0,0,0,1,0,-1,0,1,-1,1,1,1,2,1,0,0,0,0,1,3,1,0,1,-2,4,3,-4,1,6,-6,0,0,6,2,-2,2,-8,8,0,0,-1,0,0,-7,7,-7,9,-9,10,2,-12,13,-3,-10,13,0,0,2,-2,0,1,2,-4,0,0,4,-3,4,-2,-2,4,-3,-12,13,-1,1,1,-2,1,-1,1,1,2,-1,2,-1,2,0,-4,4,0,-1,0,-2,2,-1,-10,14,-13,15,0,0,6,3,2,8,2,1,2,-1,3,2,8,5,-2,0,-8,14,3,8,0,1,3,6,0,2,10,-5,15,-1,4,-1,-8,5,13,2,-14,13,6,7,7,4,2,5,14,6,16,16,10,16,3,7,32,45,30,15,28,5,26,22,75,45,16,9,12,30,37,40,64,27,20,48,36,98,57,102,80,40,51,104,82,109,112,78,56,112,120,172,177,149,129,61,177,184,146,161,185,79,97,144,147,160,165,154,105,40,66,112,102,88,57,22,8,50,39,62,67,66,31,4,55,72,54,45,33,33,0,60,53,48,35,48,26,1,73,90,84,88,74,68,0,103,106,91,80,118,73,6,121,132,138,70,20,5,59,113,104,148,138,12,66,80,172,229,178,182,140
cz_okres,cz,cz0208,,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,2,5,0,4,1,0,0,4,0,1,4,4,0,5,1,3,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,-1,0,1,1,-1,2,0,0,3,2,0,7,-1,1,-1,1,0,-1,1,0,0,-1,1,-1,1,0,0,1,0,0,0,1,-1,3,0,2,0,1,0,0,-1,2,1,0,0,-1,3,1,0,0,1,1,1,-1,1,1,1,1,1,1,0,2,3,2,1,2,3,5,3,11,7,1,4,1,2,0,2,0,0,3,6,-2,2,4,3,5,2,0,-2,2,1,2,4,5,1,6,1,2,8,1,4,2,-1,1,5,5,2,6,2,3,5,8,9,14,14,11,14,8,8,24,25,36,27,5,20,18,9,30,47,22,29,21,15,63,45,26,24,15,24,47,54,53,80,82,38,31,63,72,95,75,90,47,72,65,117,165,104,163,32,27,130,122,85,155,77,73,61,57,115,144,61,75,8,29,42,172,44,47,34,8,29,34,14,84,67,28,7,28,53,63,102,32,37,7,15,87,46,41,39,60,10,40,51,59,58,81,33,5,49,77,105,105,85,78,18,56,113,113,52,32,17,28,106,160,159,232,21,41,65,135,217,192,202,149
cz_okres,cz,cz0209,,0,0,0,0,0,0,0,0,0,1,0,0,1,2,3,5,1,3,6,3,1,3,6,7,8,19,8,2,1,7,3,3,8,7,0,4,2,6,3,6,4,1,-1,3,7,3,0,7,1,4,6,0,-1,0,0,1,-1,0,3,1,1,1,0,1,3,1,1,-1,1,0,2,0,-1,2,2,0,2,1,3,0,1,0,0,1,3,-1,2,0,0,2,0,-1,0,0,0,1,0,-1,-1,4,3,3,4,5,3,-1,5,1,1,-1,0,1,-1,4,5,-1,5,-1,1,4,3,0,2,7,2,1,2,1,-2,5,0,3,1,1,0,3,3,1,1,7,5,6,10,9,4,3,2,9,4,14,3,1,7,-4,7,2,5,8,5,8,10,2,-2,13,5,1,3,3,3,8,1,5,5,10,-3,8,1,10,8,23,4,8,12,6,12,14,24,11,15,7,23,22,22,20,43,35,11,26,38,34,32,35,30,47,47,34,53,68,51,54,34,34,55,60,83,25,34,36,65,88,48,145,72,58,91,100,114,99,164,127,147,91,217,247,227,198,205,104,180,229,169,173,194,184,100,98,157,273,165,160,67,44,47,87,128,76,128,49,12,42,53,70,93,77,23,26,59,74,59,52,45,45,18,32,79,41,47,68,57,20,55,90,81,97,95,72,26,48,131,104,137,148,111,63,84,179,233,93,46,23,103,198,354,313,297,44,89,154,211,293,281,225,182
