region_schema,region_parent,region_child,agerange,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24
cz_okres,cz,cz0100,,2,2,2,2,2,10,14,14,18,30,36,48,55,70,109,129,149,181,258,292,353,378,416,475,556,625,731,790,822,859,917,994,1075,1135,1161,1198,1235,1265,1322,1360,1394,1412,1430,1440,1452,1489,1512,1534,1560,1574,1617,1626,1640,1642,1656,1670,1671,1675,1685,1696,1716,1730,1731,1733,1740,1755,1764,1781,1791,1803,1816,1824,1831,1854,1866,1877,1894,1906,1928,1937,1951,1956,1978,1978,1979,1984,1988,1999,2010,2017,2024,2030,2045,2057,2088,2104,2105,2107,2107,2119,2130,2139,2162,2166,2191,2200,2211,2228,2236,2259,2286,2285,2293,2303,2326,2343,2353,2369,2374,2382,2390,2397,2402,2420,2433,2428,2450,2449,2449,2467,2476,2496,2513,2504,2514,2535,2544,2562,2580,2598,2613,2642,2706,2760,2809,2890,2932,2965,3007,3070,3138,3199,3229,3267,3310,3335,3427,3447,3500,3568,3612,3649,3714,3790,3857,3947,4030,4071,4099,4148,4217,4298,4365,4461,4539,4570,4639,4704,4798,4898,5027,5084,5208,5263,5414,5526,5695,5917,6013,6197,6313,6607,6902,7190,7473,7870,7919,8243,8519,9079,9737,10110,10496,10534,10740,11370,11729,12179,12659,13111,13411,13643,14004,14500,15131,15629,16070,16555,16986,17749,18543,19231,20502,21127,21527,22442,23205,24426,25533,26813,27923,28983,29531,31041,32656,34311,35785,37037,37769,38992,40438,41486,42802,43942,44846,45287,45989,46847,47735,48597,49290,49692,49887,50283,50863,51623,52083,52582,52824,52964,53317,53637,54018,54519,55019,55246,55348,55664,56133,56466,56769,57123,57372,57506,57804,58170,58567,59064,59473,59799,59930,60268,60814,61325,61877,62364,62766,62980,63392,64224,65004,65839,66639,67410,67827,68602,69766,71231,71966,72295,72606,73183,74518,76523,78375,80095,80499,81039,81882,83108,85170,86918,88316,89499,90333,90784,91605,92533,93569,94282,95021,95499,95756,96435,97325,98137,98784,99654,100117,100396,101165,102112,102931,103787,104680,105102,105464,106218,107167,108121,109165,110043,110649,110986,112157,113301,114270,115370,116368,117179,117640,118723,120087,121411,122788,123998,124957,125738,126990,129012,130494
cz_okres,cz,cz0201,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,10,14,16,20,20,21,21,22,24,29,29,30,35,38,39,43,46,46,50,54,62,66,68,73,75,76,78,77,79,80,81,81,80,81,81,82,84,84,84,85,85,84,84,85,84,85,85,84,86,86,87,86,87,87,87,87,88,88,89,89,87,89,88,89,89,91,89,91,91,89,89,91,91,89,89,91,91,89,89,89,91,89,91,91,91,89,91,89,91,91,89,91,91,89,89,91,91,89,91,92,93,91,91,91,91,93,91,93,91,93,91,94,92,94,95,95,93,95,96,96,94,94,94,94,95,95,98,99,102,102,104,103,108,108,109,111,113,113,111,112,116,117,118,123,122,127,127,130,137,137,137,134,138,143,145,145,147,147,147,151,154,152,159,159,160,162,164,167,175,178,183,191,193,197,199,218,232,251,274,287,303,323,352,374,415,427,435,454,488,498,534,565,596,624,665,721,739,802,859,886,923,964,1009,1079,1142,1233,1299,1309,1373,1430,1529,1604,1776,1862,1938,2096,2173,2342,2548,2735,2922,3010,3212,3367,3662,3808,4026,4276,4374,4436,4515,4759,4991,5218,5256,5337,5373,5475,5559,5684,5738,5765,5787,5816,5879,5910,5945,6037,6066,6108,6126,6205,6259,6311,6355,6392,6412,6424,6497,6525,6601,6651,6672,6718,6756,6843,6926,6986,7066,7108,7132,7204,7283,7346,7464,7556,7605,7628,7670,7811,7942,8002,8034,8059,8119,8176,8300,8489,8675,8732,8739,8859,8923,9110,9319,9402,9546,9601,9652,9703,9767,9907,10002,10121,10170,10182,10253,10337,10429,10503,10628,10682,10708,10779,10909,11009,11087,11192,11226,11276,11337,11456,11546,11665,11806,11857,11898,11951,12039,12235,12415,12491,12569,12625,12702,12944,13088,13256,13467,13547,13638,13748,14004,14154
cz_okres,cz,cz0202,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,6,8,9,13,14,14,15,21,24,24,24,24,26,28,28,31,32,32,37,37,40,43,45,45,46,47,47,52,56,58,58,58,58,61,61,61,64,68,68,69,75,75,76,76,76,76,76,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,80,80,80,80,80,82,82,84,84,86,86,86,87,87,88,88,88,88,88,88,89,89,89,90,90,90,90,90,90,90,90,90,90,90,91,91,93,94,96,97,100,102,104,112,112,113,116,117,119,123,125,126,127,129,131,131,133,134,136,137,138,140,144,147,149,149,149,150,151,153,154,155,159,160,161,165,170,173,181,183,197,199,202,218,225,240,253,254,261,280,300,316,339,352,356,378,396,415,442,458,468,486,492,500,521,540,573,591,601,616,627,651,679,713,735,749,773,792,853,884,952,1007,1019,1034,1103,1208,1269,1378,1463,1495,1525,1659,1809,1925,2031,2251,2274,2312,2449,2606,2669,2779,2910,2926,2956,3052,3174,3254,3321,3369,3379,3402,3463,3543,3584,3631,3659,3663,3700,3726,3764,3821,3863,3887,3889,3917,3958,3983,4015,4044,4061,4064,4098,4137,4163,4177,4228,4245,4257,4289,4365,4401,4441,4482,4508,4512,4566,4631,4692,4757,4842,4878,4885,4966,5106,5244,5260,5271,5287,5300,5417,5641,5911,6108,6118,6142,6164,6249,6476,6709,6870,6971,7041,7052,7112,7228,7307,7343,7412,7440,7445,7510,7580,7649,7694,7765,7807,7809,7853,7969,8028,8097,8154,8180,8185,8244,8362,8424,8481,8534,8584,8598,8653,8763,8847,8905,8977,9000,9006,9057,9176,9259,9339,9447,9521,9527,9599,9810,9923
cz_okres,cz,cz0203,,0,0,0,0,0,0,0,1,1,1,3,5,6,6,6,6,8,11,14,18,19,24,24,24,26,30,41,45,47,48,49,55,59,62,64,65,70,73,79,83,86,87,89,90,90,94,95,95,95,95,95,95,95,95,95,96,97,97,97,97,97,97,97,98,99,99,99,99,100,100,101,104,106,107,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,110,110,111,111,113,117,119,123,126,126,126,126,126,126,126,126,126,126,126,126,126,127,128,128,128,128,129,129,130,130,130,130,130,130,130,130,130,130,130,134,134,135,134,135,135,138,142,144,147,145,147,147,156,163,168,169,170,168,171,173,177,181,186,188,193,195,199,201,206,213,216,223,232,236,238,242,247,250,253,255,257,261,267,273,286,289,297,310,321,332,375,386,391,406,448,485,523,581,624,633,654,667,689,778,807,827,853,867,899,931,966,1000,1025,1048,1076,1087,1150,1210,1271,1304,1332,1355,1412,1511,1567,1655,1739,1761,1808,1968,2071,2211,2329,2454,2506,2616,2806,2972,3078,3305,3494,3578,3697,3914,4081,4259,4450,4594,4671,4745,4924,5169,5311,5423,5526,5577,5636,5769,5895,5988,6076,6111,6142,6216,6268,6402,6474,6590,6646,6662,6776,6869,6962,7035,7108,7157,7159,7237,7324,7397,7508,7585,7634,7641,7749,7836,7922,8008,8110,8155,8164,8314,8438,8544,8648,8791,8853,8867,9059,9265,9494,9539,9555,9656,9690,9911,10239,10519,10741,10775,10872,10959,11169,11535,11811,11975,12153,12260,12309,12457,12631,12787,12885,13031,13108,13124,13280,13448,13575,13727,13855,13930,13951,14082,14245,14367,14496,14618,14688,14715,14889,15052,15179,15311,15459,15535,15575,15722,15917,16043,16169,16320,16408,16442,16616,16824,17050,17233,17444,17595,17667,17958,18257,18559
cz_okres,cz,cz0204,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,8,8,8,10,11,14,17,20,20,21,20,21,22,30,36,39,41,40,41,40,42,43,45,49,49,47,50,48,50,50,49,51,51,54,52,54,58,58,56,56,56,57,57,58,59,59,61,60,62,62,60,61,63,63,63,61,67,67,65,68,68,67,67,68,72,70,70,70,72,70,70,72,70,72,70,70,72,70,72,72,72,72,72,70,70,70,70,70,72,72,72,72,71,73,71,74,76,73,75,79,77,77,77,78,82,84,84,88,90,92,94,94,96,96,96,97,96,97,98,98,98,97,98,98,99,99,100,100,103,103,105,107,108,110,112,113,115,118,125,131,140,143,143,143,146,147,147,150,150,152,152,158,168,169,189,194,197,196,202,210,215,223,228,229,230,244,248,263,269,276,280,287,308,322,332,347,360,376,385,399,418,435,462,489,492,507,532,556,591,622,647,673,693,717,730,756,792,820,838,862,908,965,1030,1117,1202,1279,1334,1451,1521,1622,1713,1828,1885,2045,2145,2257,2385,2507,2589,2691,2786,2871,3042,3119,3252,3415,3541,3734,3852,4007,4167,4308,4327,4345,4402,4456,4558,4611,4661,4693,4700,4731,4780,4824,4865,4906,4928,4937,4977,5036,5067,5106,5143,5160,5175,5198,5250,5299,5360,5411,5446,5450,5483,5562,5627,5690,5735,5779,5786,5830,5907,5962,6035,6106,6153,6180,6266,6368,6470,6520,6544,6562,6595,6714,6887,7057,7243,7300,7324,7425,7574,7783,7944,8123,8278,8387,8427,8520,8642,8771,8841,8928,9001,9016,9105,9208,9288,9365,9448,9501,9537,9594,9700,9802,9851,9905,9942,9958,10032,10187,10351,10430,10562,10637,10659,10756,10866,10994,11100,11202,11297,11323,11400,11570,11707,11853,12035,12147,12216,12339,12572,12790
cz_okres,cz,cz0205,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,8,10,11,11,12,16,18,19,20,20,20,20,21,22,26,28,28,28,33,32,33,34,33,34,33,33,33,34,33,34,34,33,34,34,34,33,33,34,34,34,34,34,33,34,33,33,33,36,36,36,36,35,36,35,35,35,35,36,36,35,35,37,36,36,36,37,37,37,37,36,36,36,37,37,38,37,37,38,37,37,38,38,37,37,37,37,37,38,38,37,38,44,55,57,57,64,70,80,83,83,83,86,88,88,89,92,92,91,91,91,92,93,93,93,93,92,92,92,92,93,92,92,94,93,101,101,106,107,106,107,111,114,113,114,115,114,115,117,119,120,124,124,124,127,128,129,130,130,130,132,132,134,138,143,148,149,149,158,164,169,176,186,187,196,214,222,228,241,251,271,274,285,292,298,314,334,339,351,360,375,384,403,417,429,433,441,469,503,528,567,585,594,633,667,718,756,829,882,909,962,1020,1114,1187,1278,1364,1371,1445,1538,1579,1667,1740,1817,1849,1903,1988,2061,2165,2244,2294,2320,2351,2413,2475,2553,2618,2642,2664,2709,2762,2811,2909,2952,2974,2985,3024,3081,3127,3213,3253,3280,3283,3332,3385,3414,3466,3494,3537,3541,3586,3652,3730,3795,3840,3876,3881,3935,4004,4061,4135,4190,4235,4247,4312,4379,4496,4522,4528,4545,4558,4657,4807,4909,5087,5118,5145,5173,5297,5462,5565,5790,5887,5934,5953,6031,6150,6248,6324,6390,6434,6448,6514,6594,6674,6750,6821,6844,6852,6913,6985,7039,7081,7147,7162,7168,7223,7305,7352,7422,7486,7531,7536,7617,7736,7814,7897,7965,8029,8036,8115,8212,8322,8435,8530,8569,8580,8675,8762,8881
cz_okres,cz,cz0206,,0,0,0,0,0,0,0,1,1,1,6,6,6,8,10,10,11,14,18,20,21,21,21,22,22,24,28,30,30,32,35,36,36,39,47,49,51,52,54,57,57,59,59,59,61,61,63,63,65,67,69,69,69,69,70,71,71,71,71,71,72,72,73,73,73,74,74,75,75,75,75,76,78,81,94,103,103,103,105,105,106,106,106,106,106,106,106,106,107,108,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,110,110,111,111,111,112,111,111,112,112,113,113,114,114,114,114,114,113,113,114,117,117,117,133,134,134,138,140,140,144,147,149,154,156,157,160,161,161,167,167,171,173,173,173,175,176,180,182,184,187,188,194,196,196,195,197,199,201,206,206,211,213,214,215,214,216,218,233,237,255,257,262,268,272,280,288,301,309,318,326,345,351,384,396,416,430,452,490,526,549,568,571,594,613,647,692,715,736,748,769,803,858,910,946,968,987,1023,1078,1103,1204,1269,1288,1315,1384,1443,1528,1625,1687,1710,1794,1893,2079,2157,2264,2389,2411,2525,2667,2733,2864,2958,3101,3132,3229,3358,3452,3543,3617,3671,3682,3744,3836,3921,4002,4063,4116,4119,4210,4256,4331,4379,4445,4494,4502,4579,4660,4698,4734,4771,4815,4818,4854,4939,4980,5052,5091,5138,5140,5204,5245,5297,5361,5472,5554,5565,5602,5694,5798,5883,5969,6039,6078,6143,6257,6377,6435,6447,6461,6503,6663,6961,7167,7290,7314,7374,7408,7501,7737,7877,8028,8105,8198,8209,8299,8407,8529,8591,8671,8729,8737,8788,8890,8938,9012,9080,9124,9130,9199,9280,9355,9425,9480,9525,9543,9628,9731,9816,9910,10011,10097,10113,10231,10325,10459,10570,10660,10740,10767,10897,11095,11270,11424,11571,11725,11757,11971,12212,12406
cz_okres,cz,cz0207,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,4,4,4,5,5,6,8,10,11,14,14,16,18,24,24,24,26,28,32,36,36,35,36,37,37,36,37,38,38,39,39,39,39,39,40,40,39,40,41,41,42,44,45,45,45,45,45,46,49,51,49,49,49,50,55,52,53,53,60,53,59,59,61,53,62,61,59,53,65,66,64,66,64,66,61,63,63,67,68,68,67,68,63,67,66,65,66,70,54,68,68,67,66,69,68,72,71,67,70,66,70,71,67,70,68,68,55,70,67,71,73,76,73,74,74,73,73,71,71,69,70,74,72,77,75,78,79,73,79,75,75,87,92,93,98,97,87,106,108,106,110,116,118,116,119,125,125,114,135,131,135,137,146,146,147,155,167,167,162,167,167,173,174,174,165,176,181,185,189,198,204,209,208,225,233,249,265,271,287,296,296,334,373,405,424,447,435,497,513,575,605,637,651,655,682,728,767,829,858,874,921,958,1057,1111,1217,1297,1335,1391,1489,1573,1679,1794,1873,1927,2046,2162,2333,2507,2661,2793,2849,3024,3216,3358,3519,3684,3786,3878,4022,4155,4327,4499,4654,4763,4797,4861,4971,5074,5158,5217,5239,5250,5299,5336,5400,5467,5531,5562,5566,5624,5692,5751,5790,5831,5859,5857,5916,5975,6025,6055,6104,6126,6131,6205,6290,6378,6468,6539,6610,6611,6710,6819,6911,6988,7108,7174,7182,7309,7436,7574,7642,7663,7673,7729,7846,7949,8093,8234,8245,8308,8393,8571,8791,8968,9155,9302,9409,9431,9612,9744,9855,10009,10148,10215,10217,10381,10496,10627,10733,10828,10877,10884,11044,11165,11321,11417,11495,11521,11532,11671,11780,11939,12070,12180,12220,12230,12411,12546,12693,12810,12922,12980,13003,13216,13428,13592,13806,14000,14108,14141,14375,14618,14831
cz_okres,cz,cz0208,,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,6,6,6,6,6,8,13,13,17,18,18,18,22,22,23,27,31,31,36,37,40,41,41,42,42,42,42,43,43,44,45,45,46,47,47,47,47,47,47,47,47,47,49,50,50,50,50,50,51,51,51,51,51,51,51,51,52,52,52,52,52,53,53,52,54,54,55,54,56,55,57,59,59,67,66,67,67,66,66,67,66,67,67,67,67,67,66,66,67,68,69,69,69,69,69,70,71,72,73,74,74,74,73,75,76,76,75,75,78,79,78,80,80,82,82,82,83,83,85,84,86,87,87,88,91,94,95,96,99,105,109,119,126,127,130,132,134,136,136,136,138,139,145,143,145,149,154,155,157,157,159,157,158,160,164,168,172,175,176,181,189,190,191,196,195,196,201,206,208,211,219,219,224,235,241,251,265,284,298,302,314,330,359,395,422,427,450,463,474,504,557,579,602,623,637,701,746,770,796,811,833,883,936,988,1069,1151,1188,1224,1283,1363,1443,1525,1615,1662,1734,1816,1916,2058,2185,2325,2380,2429,2515,2659,2774,2917,2964,3050,3110,3167,3282,3426,3487,3562,3570,3599,3641,3813,3860,3899,3939,3945,3973,4008,4022,4107,4173,4202,4208,4237,4290,4353,4454,4486,4522,4529,4546,4631,4681,4721,4759,4819,4829,4868,4919,4978,5036,5118,5151,5155,5204,5280,5389,5491,5575,5654,5673,5729,5843,5956,6008,6039,6055,6084,6190,6348,6511,6739,6762,6804,6866,7005,7221,7412,7616,7763,7865,7902,7990,8083,8228,8308,8382,8452,8471,8530,8656,8748,8829,8925,8988,9007,9093,9195,9283,9362,9456,9513,9545,9616,9733,9860,9974,10087,10149,10174,10237,10350,10494,10591,10697,10782,10809,10907,11062,11230,11420,11596,11722,11771,11924,12139,12336
cz_okres,cz,cz0209,,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,7,12,13,16,22,25,26,29,35,42,50,69,77,79,80,86,90,92,102,108,109,112,115,119,123,130,134,133,134,136,142,146,146,153,153,157,163,164,163,163,163,163,164,163,165,166,168,169,168,170,172,174,174,174,174,175,176,176,176,178,179,181,181,183,186,187,187,189,187,188,191,193,193,191,191,193,192,193,192,193,194,192,192,194,194,195,199,203,206,209,214,213,216,218,220,219,219,220,220,222,227,229,231,231,234,236,239,241,242,249,250,251,253,254,254,256,259,259,262,262,263,266,267,269,272,278,282,287,299,307,311,314,317,326,330,347,346,351,354,351,357,358,364,372,377,389,391,392,400,403,412,418,416,419,423,430,437,438,441,446,455,452,464,474,483,499,509,512,516,530,541,557,578,591,604,619,637,664,672,699,743,778,790,815,859,886,919,953,981,1031,1077,1112,1166,1233,1282,1328,1363,1406,1449,1521,1584,1628,1686,1700,1765,1851,1882,2029,2117,2195,2245,2348,2465,2568,2728,2884,2996,3109,3324,3570,3798,3995,4225,4309,4488,4714,4882,5055,5251,5437,5534,5643,5801,6062,6229,6393,6451,6502,6553,6632,6764,6836,6964,7016,7026,7068,7124,7197,7284,7362,7383,7414,7478,7545,7604,7654,7697,7748,7761,7797,7872,7922,7968,8036,8091,8106,8166,8249,8334,8426,8529,8595,8630,8670,8804,8914,9040,9188,9301,9370,9446,9628,9860,9951,9998,10034,10126,10328,10681,10996,11301,11339,11435,11578,11784,12079,12360,12584,12775,12874,12921,13060,13213,13390,13477,13616,13718,13757,13851,14000,14166,14277,14450,14529,14569,14713,14863,15020,15137,15302,15380,15438,15581,15796,15997,16182,16365,16514,16557,16751,16923,17127,17329,17509,17682,17762,17928,18139,18373,18621,18848,18996,19135,19300,19581,19825
