region_schema,region_parent,region_child,agerange,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29
cz_okres,cz,cz0100,,0,0,0,0,8,4,0,4,12,6,12,7,15,39,20,20,32,77,34,60,26,38,58,81,69,107,58,33,37,54,81,80,60,26,38,36,32,55,40,34,17,17,10,11,39,22,21,29,13,43,9,14,1,14,15,1,3,9,12,21,13,1,1,8,16,8,14,15,11,9,12,6,22,9,16,15,16,22,8,12,3,18,4,4,2,11,0,13,8,10,15,13,5,22,15,6,2,15,3,7,13,12,27,19,13,2,24,-1,24,32,-8,21,-3,20,18,14,12,9,7,16,-5,7,17,11,0,8,9,4,26,0,15,7,6,13,13,16,20,9,17,37,33,38,82,49,58,38,34,70,33,67,70,29,31,27,42,73,38,54,97,45,7,51,97,84,71,80,53,21,44,63,83,76,93,112,1,57,66,105,92,135,83,99,54,152,136,145,222,97,160,129,303,270,313,273,404,247,242,267,445,487,556,373,203,253,425,242,557,321,610,313,281,300,496,629,584,360,604,312,954,612,917,1032,625,710,289,1427,886,1103,1267,1113,627,990,1515,1603,1668,1460,1812,718,1246,874,1063,1307,1294,760,432,687,856,903,860,704,397,198,394,565,762,472,485,258,132,361,345,363,491,491,237,104,312,451,361,293,360,240,136,288,392,382,488,400,350,137,322,538,507,547,498,393,227,431,830,761,827,823,770,418,763,1174,1440,764,329,308,581,1327,1993
cz_okres,cz,cz0201,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,4,2,4,0,1,0,1,2,5,0,1,5,3,1,4,3,0,4,4,8,4,2,5,2,1,2,-1,1,2,1,0,-1,0,2,-1,3,1,-1,0,0,1,-1,1,-1,1,-1,1,1,0,0,0,1,0,-1,0,1,1,-1,0,2,0,-1,1,0,0,0,2,-2,2,0,-2,0,0,0,2,0,0,-2,2,-2,0,2,0,-2,0,2,-2,2,0,-2,0,2,-2,0,2,-2,0,2,-1,1,0,0,2,-2,0,2,-2,0,0,2,-1,0,0,1,0,0,0,1,0,2,-2,0,0,3,0,1,1,3,2,-2,3,3,0,-2,5,-1,0,4,1,-2,4,1,2,5,2,3,3,1,3,0,0,1,5,5,0,-1,0,0,1,3,4,4,0,1,2,-1,9,2,6,5,8,5,1,5,16,14,22,23,8,18,18,31,25,36,17,3,24,34,7,37,31,27,31,38,56,21,63,57,25,39,42,44,70,66,82,73,13,60,58,98,75,173,85,75,159,77,170,202,190,187,88,202,152,298,139,225,250,98,63,79,247,227,228,38,82,35,102,86,125,54,25,24,29,62,31,35,91,30,42,18,80,52,50,49,38,17,14,71,28,74,53,22,45,36,88,81,62,81,41,24,73,79,63,118,92,48,23,40,143,131,59,32,24,61,57,125
cz_okres,cz,cz0202,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,2,1,4,1,0,1,6,3,0,0,0,2,2,0,3,1,0,5,0,3,3,2,0,1,1,0,3,6,2,0,0,0,3,0,0,3,4,0,2,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,1,3,2,2,8,0,1,3,1,2,4,2,1,1,2,2,0,2,1,2,1,1,2,4,3,2,0,0,1,1,2,1,1,4,1,1,4,5,3,8,2,14,2,3,16,7,15,13,1,7,19,20,17,23,12,4,22,17,18,29,13,9,18,10,12,17,19,33,18,12,13,13,22,28,34,22,15,20,25,53,36,68,58,9,15,64,110,61,109,85,33,27,141,145,116,90,220,40,37,137,107,61,104,190,15,30,96,123,79,68,47,9,24,61,81,41,46,29,4,37,24,39,57,43,23,2,29,41,24,32,29,16,4,33,40,25,15,52,17,10,33,76,34,43,39,26,4,54,66,61,65,85,37,6,81,141,137,16,10,18,12,118,224
cz_okres,cz,cz0203,,0,0,0,0,0,0,1,0,0,2,2,1,0,0,0,2,3,3,4,1,5,0,0,2,4,11,4,2,1,1,6,4,3,2,1,5,3,6,4,3,1,2,1,0,4,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,4,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,1,5,2,1,0,4,-2,9,9,1,1,1,0,3,5,1,4,2,5,2,2,7,5,2,10,3,4,9,5,1,1,8,3,4,1,3,3,6,6,11,4,11,10,13,14,35,12,9,17,40,33,42,57,43,9,17,18,21,89,35,14,26,10,36,28,40,33,21,27,26,14,60,60,64,32,27,24,53,95,57,95,84,14,46,170,103,140,117,125,52,115,186,165,116,217,190,75,128,226,144,175,207,102,120,73,179,246,141,113,102,51,60,132,125,96,87,35,30,74,52,133,73,117,56,15,115,91,94,73,75,47,0,79,87,73,110,79,50,6,107,88,87,85,102,44,9,151,124,106,105,142,63,13,193,206,229,43,16,101,35,221,328
cz_okres,cz,cz0204,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,0,1,2,1,2,2,5,0,0,-1,2,-1,8,7,3,1,0,0,1,-1,5,0,4,-2,0,1,0,0,2,-1,2,0,1,2,-2,4,0,0,0,2,-1,0,1,1,2,-2,3,-2,0,2,-1,0,2,-2,2,2,2,-2,1,0,1,0,1,2,2,-2,0,0,0,2,-2,0,0,0,0,0,0,2,0,-2,0,0,2,0,0,-2,0,0,0,2,-2,1,2,-2,3,2,-3,2,1,1,3,-3,4,-2,5,0,4,2,0,2,4,0,0,-1,1,0,1,0,1,0,-1,1,0,1,0,1,0,3,0,2,2,1,2,2,1,2,3,7,6,9,3,0,0,3,1,0,2,0,2,2,6,8,2,21,4,2,0,7,8,3,9,5,1,1,14,4,15,6,7,4,7,21,14,10,15,13,16,9,14,19,17,27,27,3,15,26,24,34,31,26,25,20,23,14,24,38,28,18,24,46,57,71,73,83,89,55,116,50,120,69,118,78,159,101,112,78,171,22,161,37,203,115,133,77,159,128,188,113,193,131,142,42,18,19,63,99,63,39,40,6,34,48,46,38,42,19,11,41,58,31,42,37,17,12,25,52,46,64,51,33,5,33,79,65,63,45,46,4,44,79,54,74,69,46,26,91,97,105,48,25,21,32,119,178
cz_okres,cz,cz0205,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,2,0,1,4,2,0,1,0,-1,1,2,0,4,2,-1,2,3,0,1,0,1,0,-1,0,1,0,0,0,-1,0,0,1,0,-1,0,0,0,0,1,0,0,-1,1,0,-1,2,0,1,-1,1,0,0,-1,0,0,1,0,-1,0,2,-1,0,1,0,0,0,0,-1,1,0,0,0,0,0,1,0,-1,0,0,0,1,0,0,-1,1,-1,1,-1,1,6,11,2,-1,8,6,10,3,1,0,1,2,1,1,2,0,1,-1,1,1,0,0,0,0,-1,1,0,0,-1,0,0,2,0,8,-1,4,2,-1,1,4,2,1,0,1,0,1,1,2,1,4,0,0,3,1,1,1,0,0,2,0,2,4,5,5,1,0,9,6,5,7,10,1,9,18,8,6,13,10,20,3,11,7,6,16,20,6,10,10,13,11,21,12,12,5,6,29,34,25,39,11,16,31,42,43,37,73,52,25,65,58,94,59,93,97,22,48,104,42,88,72,72,39,52,87,71,106,78,50,27,30,61,62,79,67,23,20,47,50,50,100,43,21,11,40,57,46,85,39,28,3,49,54,28,53,26,44,3,46,66,78,64,46,37,5,53,70,56,73,55,45,12,65,69,116,21,5,18,18,95,150
cz_okres,cz,cz0206,,0,0,0,0,0,0,1,0,0,5,0,0,2,2,0,1,3,4,2,1,0,0,1,0,2,4,2,0,2,3,1,0,3,8,2,2,1,2,3,1,1,0,0,2,0,2,0,2,2,2,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,2,3,13,9,0,0,2,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,-1,1,1,0,1,-1,1,0,-1,1,0,0,-1,2,2,0,16,0,0,5,2,0,3,3,3,6,1,1,3,1,0,7,0,3,2,0,0,3,1,2,3,2,3,1,5,3,0,0,0,2,4,2,2,4,2,2,0,0,1,2,14,3,18,3,7,5,5,8,8,13,5,9,9,22,4,33,12,19,16,20,40,36,23,17,3,24,20,33,38,22,21,21,20,36,54,47,41,21,12,44,55,15,111,62,20,25,73,59,84,93,67,17,90,104,181,61,99,124,48,114,105,138,59,131,112,66,93,126,98,85,79,56,9,62,93,84,75,64,53,7,90,47,72,49,66,50,5,80,81,37,39,33,47,1,37,86,40,72,36,50,2,64,41,53,59,111,86,7,41,91,102,88,82,76,38,64,113,123,55,13,15,43,158,297
cz_okres,cz,cz0207,,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,2,2,1,3,0,2,2,6,0,0,2,3,4,3,-1,1,1,0,-1,0,0,3,-1,1,1,0,-1,0,0,0,0,0,2,-1,2,2,0,1,-1,1,-1,2,4,-1,1,1,0,3,-2,0,6,0,-5,0,7,0,0,-1,-6,6,1,0,2,-9,7,1,0,0,0,1,-9,12,-2,-10,11,1,-12,0,13,1,-1,-12,11,2,-13,14,-3,2,0,1,-2,2,-1,0,0,-1,3,-1,1,-1,0,-13,14,-14,0,15,0,0,0,-1,1,-1,-11,12,3,-1,-1,1,0,1,2,-1,-10,11,3,6,1,4,5,3,3,1,0,-9,1,7,15,-11,13,-9,14,-8,17,3,-13,14,-7,11,7,10,5,1,-11,2,3,3,17,-1,-10,13,-3,7,7,5,8,2,4,18,2,16,16,10,16,5,8,31,42,32,13,29,7,40,7,75,42,19,12,3,35,38,39,65,24,26,48,38,92,64,93,84,35,59,99,84,107,114,76,53,118,120,167,179,149,130,60,182,180,146,161,182,83,86,139,159,162,166,154,111,27,69,119,100,80,57,27,3,52,44,62,68,65,29,5,57,70,57,42,34,33,-1,60,55,46,36,47,24,2,74,89,87,88,71,70,0,103,105,93,80,119,72,5,122,130,137,72,21,5,59,113,104
cz_okres,cz,cz0208,,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,2,5,0,4,1,0,0,4,0,1,4,4,0,5,1,3,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,-1,2,-1,2,1,1,2,0,7,0,0,-1,1,0,-1,1,-1,0,1,-1,0,1,-1,1,2,-1,1,0,0,-1,3,0,1,0,2,-1,0,0,2,1,-1,1,0,2,0,0,2,0,2,0,-1,2,0,1,0,1,1,0,3,2,4,1,0,4,5,4,10,6,3,3,3,0,0,0,2,0,3,4,2,0,6,3,1,4,-2,0,0,1,2,4,4,4,6,1,-1,11,1,4,2,-1,4,-1,5,2,9,2,3,5,8,9,14,10,15,14,8,12,20,25,36,23,9,20,16,11,29,54,22,23,20,16,63,45,24,27,14,22,49,54,53,80,82,38,35,59,72,88,71,101,47,86,51,117,142,127,163,8,51,108,144,85,155,65,85,61,58,115,143,61,75,8,29,42,173,46,40,38,8,29,34,14,84,67,28,7,28,53,63,101,34,36,7,18,82,50,39,39,56,14,40,51,59,58,81,33,5,49,77,106,104,83,81,18,56,113,112,52,31,17,29,105,159
cz_okres,cz,cz0209,,0,0,0,0,0,0,0,0,0,1,0,0,1,2,3,5,1,3,6,3,1,3,6,7,8,19,8,2,1,6,3,3,10,5,1,5,1,6,1,9,3,0,1,2,7,3,0,6,2,3,6,0,1,0,0,0,-1,1,1,2,0,2,0,3,0,2,1,0,-1,0,3,0,-1,1,3,1,1,1,3,0,3,0,0,1,2,-1,1,1,-1,2,-1,1,-1,0,0,1,0,0,0,1,4,5,2,3,5,1,2,2,0,1,-1,0,0,4,5,1,4,-1,1,5,1,1,2,6,2,2,2,0,-1,4,2,1,2,0,1,2,3,1,3,6,4,7,9,9,6,2,3,8,4,17,2,-1,3,0,6,6,1,4,14,7,6,-2,7,8,9,-3,3,7,3,8,-2,5,8,6,-2,7,7,10,3,16,16,9,5,12,12,9,29,6,14,7,23,22,15,27,46,30,14,32,31,35,31,36,27,49,48,34,45,77,48,46,43,34,43,95,60,25,58,12,84,51,50,161,71,80,70,82,132,99,164,142,109,115,216,265,236,169,205,138,148,255,167,148,195,129,153,100,164,266,163,161,65,47,51,83,133,70,123,55,11,44,49,73,89,82,22,23,62,72,60,52,44,46,18,30,85,41,46,66,57,19,54,91,80,97,98,69,27,50,129,105,138,145,113,64,83,179,233,93,44,25,102,198,355
