region_schema,region_parent,region_child,agerange,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26
cz_okres,cz,cz0100,,2,2,2,2,2,10,14,14,18,30,36,48,55,70,109,129,149,181,258,291,353,378,417,475,555,624,733,789,823,859,917,990,1074,1134,1162,1199,1235,1265,1320,1361,1395,1414,1430,1440,1452,1490,1511,1533,1562,1575,1616,1625,1640,1642,1656,1670,1671,1676,1683,1696,1717,1729,1731,1731,1740,1753,1768,1780,1791,1803,1816,1825,1831,1855,1865,1878,1891,1907,1928,1943,1953,1953,1971,1980,1980,1982,1991,2000,2004,2013,2028,2031,2039,2059,2078,2094,2100,2100,2108,2119,2128,2143,2150,2178,2191,2201,2218,2224,2241,2265,2281,2291,2297,2300,2322,2351,2353,2371,2380,2380,2386,2406,2400,2422,2426,2427,2440,2444,2450,2462,2480,2495,2502,2519,2521,2528,2544,2564,2581,2592,2622,2640,2698,2756,2829,2885,2924,2959,3002,3064,3133,3180,3229,3268,3292,3329,3410,3446,3502,3563,3611,3666,3695,3777,3859,3947,4031,4065,4098,4144,4216,4297,4336,4467,4570,4577,4639,4698,4808,4902,5053,5109,5211,5272,5387,5520,5707,5901,6023,6197,6302,6606,6875,7195,7473,7740,8119,8362,8627,9071,9743,10110,10496,10705,10938,11381,11606,12187,12650,13110,13422,13662,13992,14498,15127,15620,16072,16533,16979,17755,18543,19230,20488,21121,21524,22117,23200,24434,25527,26795,27913,28552,29535,31043,32643,34329,35776,37037,37758,38989,40428,41506,42799,43935,44850,45286,45992,46841,47722,48587,49297,49698,49895,50274,50859,51607,52086,52559,52824,52958,53319,53657,54023,54519,55026,55240,55351,55654,56133,56494,56773,57123,57379,57514,57799,58187,58565,59055,59456,59802,59933,60272,60790,61326,61843,62374,62755,62977,63410,64253,64999,65828,66667,67409,67850,68601,69775,71209,71980,72308,72611,73189,74525,76523,78368,80098,80488,81072,81880,83110,85155,86906,88267,89573,90326,90825,91596,92557,93571,94294,95007,95485,95752,96435,97345,98131,98789,99656,100131,100421,101101,102084,102991,103763,104709,105119,105431,106190,107161,108097,109153,110083,110636,111007,112157,113272,114270,115355,116356,117179,117652,118732,120087,121411,122788,124000,124959,125740,126993,129015,130497,132147,133911
cz_okres,cz,cz0201,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,10,14,16,20,20,21,21,22,24,29,29,30,35,38,39,43,46,46,50,54,62,66,68,73,76,76,77,78,78,81,81,81,81,81,81,82,84,85,85,84,84,84,85,85,85,84,85,85,86,87,86,86,87,87,86,87,87,87,89,87,87,87,90,90,91,89,89,91,89,91,89,91,91,91,91,89,89,89,89,91,91,91,91,89,91,91,91,89,91,89,91,91,89,91,89,89,89,89,89,92,91,91,93,93,93,93,91,93,93,91,91,92,92,94,93,95,93,93,94,94,96,94,94,96,97,95,100,99,102,102,102,103,106,108,109,111,110,110,111,112,113,120,118,120,122,124,130,130,134,134,137,134,138,140,148,145,150,150,147,148,151,152,159,159,160,159,161,170,172,175,186,188,193,200,202,220,235,254,274,287,300,324,355,377,413,430,436,457,491,498,535,562,596,624,662,721,738,802,858,884,925,965,1009,1078,1145,1227,1299,1309,1378,1431,1533,1603,1775,1862,1939,2095,2173,2342,2545,2742,2922,3010,3212,3367,3662,3809,4025,4293,4374,4436,4515,4760,4989,5219,5254,5336,5373,5474,5559,5684,5739,5763,5789,5816,5880,5910,5944,6035,6065,6107,6125,6207,6259,6311,6356,6392,6415,6423,6496,6523,6598,6653,6675,6719,6757,6844,6923,6987,7067,7109,7133,7204,7285,7348,7464,7556,7606,7630,7669,7810,7943,8002,8035,8059,8118,8174,8300,8489,8676,8731,8742,8860,8920,9110,9321,9399,9547,9602,9649,9702,9770,9907,10002,10125,10174,10181,10258,10336,10429,10506,10631,10682,10705,10782,10910,11008,11087,11192,11226,11276,11337,11456,11546,11665,11806,11857,11898,11951,12039,12235,12415,12491,12569,12625,12702,12944,13088,13256,13467,13547,13638,13748,14004,14154,14328,14518
cz_okres,cz,cz0202,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,6,8,9,13,14,14,15,21,24,24,24,24,26,28,28,31,32,32,37,37,40,43,45,45,46,47,47,50,56,58,58,58,58,61,61,61,64,68,68,70,75,75,76,76,76,76,76,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,80,80,80,80,80,82,82,84,84,86,86,86,87,87,88,88,88,88,88,88,89,89,89,90,90,90,90,90,90,90,90,90,90,90,91,91,93,94,96,97,100,102,104,112,112,113,116,117,119,123,125,126,127,129,131,131,133,134,136,137,138,140,144,147,149,149,149,150,151,153,154,155,159,160,161,165,170,173,181,183,197,199,202,218,225,240,253,254,261,280,300,316,340,352,358,378,396,413,442,455,468,482,492,504,521,547,573,591,601,616,627,651,679,713,736,750,773,792,853,883,949,1010,1019,1030,1098,1207,1276,1382,1463,1496,1523,1663,1821,1943,2030,2251,2275,2311,2449,2605,2670,2778,2854,2927,2956,3053,3175,3253,3321,3370,3378,3403,3463,3544,3585,3630,3660,3664,3701,3725,3764,3820,3864,3886,3888,3917,3958,3983,4016,4044,4061,4063,4098,4137,4162,4176,4229,4246,4256,4288,4366,4399,4441,4481,4508,4511,4565,4631,4692,4757,4841,4878,4886,4966,5106,5244,5260,5271,5287,5299,5417,5641,5911,6107,6118,6144,6165,6248,6475,6709,6870,6971,7040,7051,7112,7228,7307,7344,7411,7440,7445,7511,7580,7648,7694,7766,7806,7809,7854,7969,8028,8097,8154,8180,8185,8244,8362,8424,8481,8534,8584,8598,8654,8764,8847,8905,8977,9000,9006,9057,9176,9259,9339,9447,9521,9527,9599,9810,9923,10055,10179
cz_okres,cz,cz0203,,0,0,0,0,0,0,0,1,1,1,3,5,6,6,6,6,8,11,14,18,19,24,24,24,26,30,41,45,47,48,49,55,59,62,64,65,70,73,79,83,86,87,89,90,90,94,95,95,95,95,95,95,95,95,95,96,97,97,97,97,97,97,97,98,99,99,99,99,100,100,101,104,106,107,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,110,110,111,111,113,117,119,123,125,126,126,126,126,126,126,126,126,126,126,126,126,127,128,128,128,128,129,129,130,130,130,130,130,130,130,130,130,130,130,134,133,134,135,135,136,137,144,144,147,145,147,149,154,163,166,167,168,170,171,173,177,181,186,191,193,195,199,201,209,216,219,226,232,234,237,239,247,250,254,254,256,261,269,274,286,290,299,310,320,332,375,383,391,408,448,485,521,577,628,637,654,662,689,777,807,830,853,863,899,931,963,1004,1021,1050,1075,1088,1148,1210,1272,1305,1332,1354,1413,1511,1560,1666,1739,1760,1807,1969,2072,2214,2328,2452,2505,2621,2806,2972,3087,3305,3494,3570,3697,3924,4068,4259,4449,4552,4672,4747,4924,5169,5311,5424,5526,5577,5636,5769,5894,5990,6076,6110,6142,6216,6268,6401,6473,6590,6646,6662,6776,6868,6962,7037,7108,7157,7157,7238,7323,7397,7506,7583,7635,7640,7748,7835,7923,8007,8110,8154,8163,8314,8437,8544,8649,8791,8853,8867,9060,9266,9494,9539,9554,9656,9691,9912,10240,10520,10741,10775,10873,10959,11169,11534,11810,11974,12154,12259,12308,12457,12631,12788,12884,13031,13106,13127,13279,13448,13574,13728,13854,13930,13952,14081,14245,14367,14495,14617,14688,14717,14888,15051,15180,15312,15461,15535,15575,15724,15919,16044,16169,16319,16408,16443,16617,16825,17050,17233,17444,17596,17667,17959,18258,18560,18845,19110
cz_okres,cz,cz0204,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,8,8,8,10,12,13,16,20,21,20,20,21,22,29,35,39,41,40,40,40,40,43,47,47,47,47,48,48,50,48,51,53,53,52,54,54,58,56,56,56,58,57,59,58,61,61,61,62,62,60,60,63,63,61,63,63,65,65,67,66,66,67,69,70,72,72,72,70,72,72,70,72,72,70,72,70,72,70,70,70,70,72,70,72,72,70,72,70,70,70,70,70,73,71,71,72,76,73,75,76,77,77,80,78,82,84,84,88,90,90,92,96,96,95,96,96,96,96,98,98,97,97,98,98,99,99,100,100,103,103,105,107,108,110,112,113,115,118,125,131,140,143,143,143,146,147,148,150,150,152,152,159,167,169,189,193,196,197,202,211,215,223,228,229,230,244,248,263,269,275,280,287,308,322,332,347,360,376,385,399,418,435,462,489,492,506,533,557,591,622,648,675,693,716,727,755,791,816,835,865,910,963,1036,1115,1204,1267,1335,1452,1521,1620,1711,1828,1886,2044,2144,2257,2387,2450,2591,2690,2787,2928,3043,3119,3231,3415,3543,3737,3851,4035,4168,4309,4327,4370,4403,4452,4558,4613,4664,4690,4699,4733,4783,4824,4866,4906,4925,4939,4976,5035,5067,5108,5146,5161,5174,5199,5249,5296,5360,5413,5443,5451,5484,5561,5627,5689,5735,5780,5783,5828,5908,5964,6035,6107,6151,6178,6267,6366,6472,6520,6541,6565,6596,6714,6894,7058,7256,7297,7326,7425,7572,7784,7948,8123,8277,8389,8424,8521,8641,8770,8839,8927,9000,9016,9105,9210,9285,9366,9448,9500,9537,9595,9700,9790,9857,9900,9942,9964,10033,10179,10351,10431,10562,10630,10658,10755,10866,10994,11099,11202,11297,11323,11401,11571,11708,11852,12036,12147,12216,12339,12572,12790,13048,13317
cz_okres,cz,cz0205,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,8,10,12,12,13,16,18,18,19,20,20,19,21,22,26,28,27,29,32,32,33,33,34,34,34,33,34,34,34,34,33,33,34,34,34,34,33,33,34,33,34,33,34,33,33,34,33,36,36,35,35,35,36,36,36,35,35,35,35,35,35,37,36,37,37,37,36,37,36,36,37,37,37,37,38,37,38,37,37,38,38,38,37,37,37,37,37,37,37,37,39,43,54,57,57,63,70,80,83,84,83,85,88,88,89,91,92,92,92,92,92,93,93,92,93,92,92,92,92,93,92,93,94,93,102,101,105,106,107,108,112,113,114,114,114,114,115,117,119,120,124,124,124,127,128,129,130,130,130,132,132,134,138,143,148,149,149,158,164,169,176,186,187,196,214,222,228,241,251,271,274,285,292,298,314,334,340,351,362,375,384,405,415,429,434,440,471,503,525,560,585,601,625,658,718,756,830,883,909,963,1020,1128,1188,1279,1364,1386,1444,1538,1602,1652,1740,1811,1849,1902,1989,2061,2165,2244,2295,2320,2352,2412,2476,2553,2620,2642,2664,2708,2761,2812,2910,2954,2974,2985,3024,3082,3127,3215,3251,3281,3282,3332,3386,3414,3466,3492,3538,3540,3585,3652,3730,3794,3840,3876,3881,3935,4004,4062,4135,4188,4235,4246,4311,4379,4496,4522,4526,4546,4558,4657,4803,4918,5088,5116,5149,5175,5297,5462,5564,5790,5888,5934,5953,6029,6148,6249,6326,6390,6435,6448,6513,6596,6672,6751,6821,6844,6851,6914,6984,7041,7081,7147,7162,7170,7222,7305,7353,7422,7485,7530,7536,7617,7736,7814,7897,7965,8029,8036,8115,8212,8322,8435,8530,8569,8580,8675,8762,8881,8996,9105
cz_okres,cz,cz0206,,0,0,0,0,0,0,0,1,1,1,6,6,6,8,10,10,11,14,18,20,21,21,21,22,22,24,28,30,30,32,35,36,36,39,47,49,51,52,54,57,57,59,59,59,61,61,63,63,65,67,69,69,69,69,70,71,71,71,71,71,72,72,73,73,73,74,74,75,75,75,75,76,78,81,94,103,103,103,105,105,106,106,106,106,106,106,106,106,107,108,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,110,110,111,111,112,111,111,111,113,113,114,113,113,113,114,114,114,113,114,114,115,116,117,132,134,133,138,140,140,144,147,149,154,156,158,159,161,162,167,168,170,173,173,173,176,177,180,183,184,186,188,193,196,195,196,196,200,201,205,206,212,214,213,215,216,215,217,234,234,254,258,265,265,274,282,289,302,308,318,326,347,351,384,396,417,432,453,490,528,551,568,569,594,615,647,691,715,736,748,769,803,858,911,942,968,979,1030,1078,1103,1205,1269,1288,1315,1387,1449,1526,1624,1681,1704,1794,1897,2079,2157,2239,2363,2442,2526,2630,2769,2866,2958,3105,3136,3233,3355,3453,3543,3618,3676,3680,3744,3840,3923,3998,4064,4112,4123,4204,4260,4330,4379,4444,4495,4497,4578,4663,4699,4736,4771,4816,4817,4856,4938,4985,5052,5087,5138,5141,5203,5245,5301,5357,5468,5554,5561,5602,5697,5798,5883,5964,6041,6079,6142,6257,6378,6435,6450,6466,6503,6668,6961,7167,7286,7315,7374,7411,7502,7733,7881,8025,8105,8200,8209,8296,8406,8529,8594,8668,8730,8737,8791,8887,8938,9008,9080,9120,9130,9195,9279,9354,9423,9479,9525,9538,9629,9731,9815,9910,10009,10098,10118,10226,10324,10459,10570,10660,10740,10772,10897,11095,11266,11424,11571,11725,11757,11971,12212,12406,12628,12796
cz_okres,cz,cz0207,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,4,4,4,5,5,6,8,10,11,14,14,16,18,23,24,24,26,28,33,36,35,35,36,37,37,36,37,38,38,38,40,39,40,40,39,39,39,39,40,40,43,43,44,45,45,45,44,45,50,50,49,50,51,54,52,57,53,59,53,53,53,62,60,53,63,63,59,61,65,53,60,64,64,60,60,67,65,69,53,65,53,63,53,69,67,67,72,71,54,68,65,68,70,68,65,65,66,55,67,55,70,67,67,70,70,69,72,73,70,67,71,58,75,69,71,75,70,72,69,76,70,72,75,74,72,73,75,75,74,77,82,87,87,95,98,96,100,100,101,110,111,116,103,117,119,123,126,132,132,136,136,134,139,145,152,159,166,165,163,170,166,174,175,176,165,180,177,182,190,197,207,204,195,223,226,249,260,270,284,290,299,332,375,402,420,447,454,498,517,573,623,637,648,656,690,728,765,831,851,874,921,965,1059,1118,1222,1298,1339,1387,1488,1581,1681,1795,1871,1927,2047,2162,2331,2514,2661,2790,2845,3025,3209,3352,3521,3700,3784,3880,4018,4164,4329,4495,4659,4761,4794,4860,4970,5078,5166,5222,5242,5250,5292,5337,5397,5469,5534,5563,5566,5624,5696,5750,5795,5826,5855,5858,5917,5974,6018,6055,6102,6130,6128,6200,6293,6378,6469,6541,6608,6606,6712,6818,6907,6989,7106,7178,7182,7307,7435,7574,7647,7666,7673,7731,7842,7946,8091,8234,8243,8310,8387,8560,8805,8980,9164,9294,9397,9430,9592,9735,9875,10010,10152,10216,10209,10378,10480,10626,10735,10827,10875,10888,11043,11167,11322,11416,11497,11522,11531,11673,11783,11939,12065,12176,12217,12230,12408,12550,12693,12813,12918,12985,13003,13216,13428,13592,13806,14000,14108,14142,14376,14619,14831,15086,15342
cz_okres,cz,cz0208,,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,6,6,6,6,6,8,13,13,17,18,18,18,22,22,23,27,31,31,36,37,40,41,41,42,42,42,42,43,43,44,45,45,46,47,47,47,47,47,47,47,47,47,49,50,50,50,50,50,51,51,51,51,51,51,51,51,52,52,52,52,52,52,53,52,53,53,53,55,55,55,57,59,60,66,67,67,67,66,67,66,67,66,67,66,67,66,66,67,67,69,68,68,69,68,68,71,71,72,72,74,73,74,74,75,76,76,75,75,77,79,78,80,79,82,81,81,82,82,84,85,85,86,87,88,92,94,95,96,100,105,109,119,125,127,130,134,134,134,134,136,136,139,145,143,147,149,152,155,157,159,159,159,160,160,166,171,172,178,179,178,189,187,194,193,198,199,201,206,208,214,216,219,221,232,241,255,265,284,294,298,310,334,355,399,422,424,450,463,474,503,551,573,602,622,638,701,746,772,796,811,833,883,936,988,1069,1151,1188,1224,1283,1355,1443,1514,1615,1674,1748,1816,1937,2081,2161,2348,2380,2429,2515,2634,2744,2917,2976,3049,3110,3168,3283,3426,3487,3562,3570,3599,3641,3814,3857,3900,3938,3945,3973,4008,4023,4106,4173,4201,4208,4237,4289,4352,4453,4486,4522,4529,4548,4631,4679,4722,4759,4819,4827,4868,4920,4979,5036,5118,5150,5155,5204,5281,5386,5492,5575,5654,5674,5729,5842,5956,6008,6038,6055,6084,6190,6350,6511,6742,6763,6805,6868,7004,7220,7412,7613,7765,7864,7903,7991,8083,8229,8308,8383,8452,8470,8531,8656,8748,8829,8923,8986,9008,9094,9194,9288,9361,9452,9519,9541,9618,9733,9860,9970,10087,10151,10174,10236,10351,10494,10591,10696,10782,10807,10907,11062,11230,11420,11596,11722,11771,11924,12139,12336,12581,12783
cz_okres,cz,cz0209,,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,7,12,13,16,22,25,26,29,35,42,50,69,77,79,80,87,90,93,101,107,108,113,114,120,121,130,134,134,133,136,142,145,146,153,153,157,163,164,164,164,164,164,163,163,166,167,168,169,169,172,172,174,174,174,175,174,177,177,177,178,180,180,181,183,185,186,188,188,187,190,192,191,191,193,191,194,192,192,192,192,192,193,192,193,194,196,200,202,205,211,212,215,217,219,218,218,218,218,220,222,227,228,231,232,233,238,239,241,241,248,251,253,252,254,254,257,257,260,260,261,263,265,268,267,271,277,281,289,299,304,313,315,316,324,330,347,349,348,354,351,356,359,368,367,377,385,391,392,400,404,412,414,421,420,422,430,437,437,442,447,449,452,464,468,483,499,509,518,516,529,547,556,580,590,612,611,634,659,672,699,743,778,791,816,853,890,919,955,984,1029,1076,1114,1157,1231,1284,1332,1371,1405,1448,1543,1583,1629,1661,1701,1765,1835,1884,2044,2115,2175,2244,2350,2468,2567,2724,2884,2993,3111,3344,3574,3825,3997,4200,4312,4485,4715,4884,5057,5255,5379,5534,5643,5798,6066,6225,6391,6457,6503,6556,6643,6764,6838,6967,7015,7027,7072,7127,7190,7284,7365,7392,7406,7478,7546,7602,7652,7699,7742,7765,7790,7883,7918,7968,8029,8091,8104,8164,8255,8336,8425,8524,8594,8621,8671,8804,8915,9043,9192,9302,9368,9447,9635,9867,9952,9996,10024,10130,10323,10682,11001,11285,11341,11433,11578,11788,12079,12360,12590,12773,12881,12927,13061,13213,13384,13475,13621,13711,13763,13854,13997,14158,14295,14451,14527,14572,14716,14864,15011,15150,15299,15387,15434,15594,15809,16003,16183,16365,16520,16560,16751,16926,17133,17335,17509,17688,17765,17930,18143,18374,18626,18851,18997,19135,19301,19582,19826,20111,20428
