date,region_schema,region_parent,region_child,agerange,value
2020-03-03,admin_1,de,de-bb,,0
2020-03-03,admin_1,de,de-be,,6
2020-03-03,admin_1,de,de-bw,,24
2020-03-03,admin_1,de,de-by,,6
2020-03-03,admin_1,de,de-hb,,2
2020-03-03,admin_1,de,de-he,,4
2020-03-03,admin_1,de,de-hh,,3
2020-03-03,admin_1,de,de-mv,,2
2020-03-03,admin_1,de,de-ni,,6
2020-03-03,admin_1,de,de-nw,,29
2020-03-03,admin_1,de,de-rp,,1
2020-03-03,admin_1,de,de-sh,,1
2020-03-03,admin_1,de,de-sl,,0
2020-03-03,admin_1,de,de-sn,,0
2020-03-03,admin_1,de,de-st,,0
2020-03-03,admin_1,de,de-th,,1
2020-03-04,admin_1,de,de-bb,,0
2020-03-04,admin_1,de,de-be,,3
2020-03-04,admin_1,de,de-bw,,38
2020-03-04,admin_1,de,de-by,,10
2020-03-04,admin_1,de,de-hb,,0
2020-03-04,admin_1,de,de-he,,2
2020-03-04,admin_1,de,de-hh,,1
2020-03-04,admin_1,de,de-mv,,2
2020-03-04,admin_1,de,de-ni,,4
2020-03-04,admin_1,de,de-nw,,90
2020-03-04,admin_1,de,de-rp,,4
2020-03-04,admin_1,de,de-sh,,0
2020-03-04,admin_1,de,de-sl,,0
2020-03-04,admin_1,de,de-sn,,0
2020-03-04,admin_1,de,de-st,,0
2020-03-04,admin_1,de,de-th,,0
2020-03-05,admin_1,de,de-bb,,2
2020-03-05,admin_1,de,de-be,,10
2020-03-05,admin_1,de,de-bw,,36
2020-03-05,admin_1,de,de-by,,19
2020-03-05,admin_1,de,de-hb,,0
2020-03-05,admin_1,de,de-he,,6
2020-03-05,admin_1,de,de-hh,,5
2020-03-05,admin_1,de,de-mv,,1
2020-03-05,admin_1,de,de-ni,,6
2020-03-05,admin_1,de,de-nw,,97
2020-03-05,admin_1,de,de-rp,,1
2020-03-05,admin_1,de,de-sh,,1
2020-03-05,admin_1,de,de-sl,,0
2020-03-05,admin_1,de,de-sn,,0
2020-03-05,admin_1,de,de-st,,0
2020-03-05,admin_1,de,de-th,,0
2020-03-06,admin_1,de,de-bb,,0
2020-03-06,admin_1,de,de-be,,5
2020-03-06,admin_1,de,de-bw,,51
2020-03-06,admin_1,de,de-by,,51
2020-03-06,admin_1,de,de-hb,,0
2020-03-06,admin_1,de,de-he,,1
2020-03-06,admin_1,de,de-hh,,3
2020-03-06,admin_1,de,de-mv,,0
2020-03-06,admin_1,de,de-ni,,7
2020-03-06,admin_1,de,de-nw,,62
2020-03-06,admin_1,de,de-rp,,2
2020-03-06,admin_1,de,de-sh,,2
2020-03-06,admin_1,de,de-sl,,0
2020-03-06,admin_1,de,de-sn,,2
2020-03-06,admin_1,de,de-st,,0
2020-03-06,admin_1,de,de-th,,0
2020-03-07,admin_1,de,de-bb,,0
2020-03-07,admin_1,de,de-be,,1
2020-03-07,admin_1,de,de-bw,,32
2020-03-07,admin_1,de,de-by,,20
2020-03-07,admin_1,de,de-hb,,0
2020-03-07,admin_1,de,de-he,,4
2020-03-07,admin_1,de,de-hh,,4
2020-03-07,admin_1,de,de-mv,,0
2020-03-07,admin_1,de,de-ni,,8
2020-03-07,admin_1,de,de-nw,,67
2020-03-07,admin_1,de,de-rp,,2
2020-03-07,admin_1,de,de-sh,,0
2020-03-07,admin_1,de,de-sl,,0
2020-03-07,admin_1,de,de-sn,,2
2020-03-07,admin_1,de,de-st,,0
2020-03-07,admin_1,de,de-th,,1
2020-03-08,admin_1,de,de-bb,,4
2020-03-08,admin_1,de,de-be,,12
2020-03-08,admin_1,de,de-bw,,19
2020-03-08,admin_1,de,de-by,,20
2020-03-08,admin_1,de,de-hb,,0
2020-03-08,admin_1,de,de-he,,0
2020-03-08,admin_1,de,de-hh,,5
2020-03-08,admin_1,de,de-mv,,2
2020-03-08,admin_1,de,de-ni,,4
2020-03-08,admin_1,de,de-nw,,26
2020-03-08,admin_1,de,de-rp,,3
2020-03-08,admin_1,de,de-sh,,1
2020-03-08,admin_1,de,de-sl,,1
2020-03-08,admin_1,de,de-sn,,5
2020-03-08,admin_1,de,de-st,,0
2020-03-08,admin_1,de,de-th,,0
2020-03-09,admin_1,de,de-bb,,4
2020-03-09,admin_1,de,de-be,,22
2020-03-09,admin_1,de,de-bw,,52
2020-03-09,admin_1,de,de-by,,87
2020-03-09,admin_1,de,de-hb,,7
2020-03-09,admin_1,de,de-he,,20
2020-03-09,admin_1,de,de-hh,,21
2020-03-09,admin_1,de,de-mv,,4
2020-03-09,admin_1,de,de-ni,,14
2020-03-09,admin_1,de,de-nw,,97
2020-03-09,admin_1,de,de-rp,,6
2020-03-09,admin_1,de,de-sh,,3
2020-03-09,admin_1,de,de-sl,,5
2020-03-09,admin_1,de,de-sn,,5
2020-03-09,admin_1,de,de-st,,0
2020-03-09,admin_1,de,de-th,,0
2020-03-10,admin_1,de,de-bb,,9
2020-03-10,admin_1,de,de-be,,34
2020-03-10,admin_1,de,de-bw,,-45
2020-03-10,admin_1,de,de-by,,111
2020-03-10,admin_1,de,de-hb,,-7
2020-03-10,admin_1,de,de-he,,16
2020-03-10,admin_1,de,de-hh,,29
2020-03-10,admin_1,de,de-mv,,1
2020-03-10,admin_1,de,de-ni,,35
2020-03-10,admin_1,de,de-nw,,-100
2020-03-10,admin_1,de,de-rp,,17
2020-03-10,admin_1,de,de-sh,,7
2020-03-10,admin_1,de,de-sl,,-2
2020-03-10,admin_1,de,de-sn,,22
2020-03-10,admin_1,de,de-st,,6
2020-03-10,admin_1,de,de-th,,9
2020-03-11,admin_1,de,de-bb,,8
2020-03-11,admin_1,de,de-be,,42
2020-03-11,admin_1,de,de-bw,,40
2020-03-11,admin_1,de,de-by,,8
2020-03-11,admin_1,de,de-hb,,29
2020-03-11,admin_1,de,de-he,,-14
2020-03-11,admin_1,de,de-hh,,-25
2020-03-11,admin_1,de,de-mv,,8
2020-03-11,admin_1,de,de-ni,,-13
2020-03-11,admin_1,de,de-nw,,0
2020-03-11,admin_1,de,de-rp,,29
2020-03-11,admin_1,de,de-sh,,19
2020-03-11,admin_1,de,de-sl,,7
2020-03-11,admin_1,de,de-sn,,-11
2020-03-11,admin_1,de,de-st,,9
2020-03-11,admin_1,de,de-th,,-1
2020-03-12,admin_1,de,de-bb,,25
2020-03-12,admin_1,de,de-be,,47
2020-03-12,admin_1,de,de-bw,,457
2020-03-12,admin_1,de,de-by,,249
2020-03-12,admin_1,de,de-hb,,7
2020-03-12,admin_1,de,de-he,,51
2020-03-12,admin_1,de,de-hh,,96
2020-03-12,admin_1,de,de-mv,,3
2020-03-12,admin_1,de,de-ni,,54
2020-03-12,admin_1,de,de-nw,,204
2020-03-12,admin_1,de,de-rp,,64
2020-03-12,admin_1,de,de-sh,,18
2020-03-12,admin_1,de,de-sl,,20
2020-03-12,admin_1,de,de-sn,,54
2020-03-12,admin_1,de,de-st,,20
2020-03-12,admin_1,de,de-th,,13
2020-03-13,admin_1,de,de-bb,,-10
2020-03-13,admin_1,de,de-be,,59
2020-03-13,admin_1,de,de-bw,,-280
2020-03-13,admin_1,de,de-by,,-57
2020-03-13,admin_1,de,de-hb,,9
2020-03-13,admin_1,de,de-he,,116
2020-03-13,admin_1,de,de-hh,,38
2020-03-13,admin_1,de,de-mv,,10
2020-03-13,admin_1,de,de-ni,,182
2020-03-13,admin_1,de,de-nw,,248
2020-03-13,admin_1,de,de-rp,,58
2020-03-13,admin_1,de,de-sh,,27
2020-03-13,admin_1,de,de-sl,,17
2020-03-13,admin_1,de,de-sn,,36
2020-03-13,admin_1,de,de-st,,7
2020-03-13,admin_1,de,de-th,,10
2020-03-14,admin_1,de,de-bb,,17
2020-03-14,admin_1,de,de-be,,29
2020-03-14,admin_1,de,de-bw,,115
2020-03-14,admin_1,de,de-by,,539
2020-03-14,admin_1,de,de-hb,,1
2020-03-14,admin_1,de,de-he,,-12
2020-03-14,admin_1,de,de-hh,,79
2020-03-14,admin_1,de,de-mv,,6
2020-03-14,admin_1,de,de-ni,,-58
2020-03-14,admin_1,de,de-nw,,1052
2020-03-14,admin_1,de,de-rp,,-68
2020-03-14,admin_1,de,de-sh,,-23
2020-03-14,admin_1,de,de-sl,,-11
2020-03-14,admin_1,de,de-sn,,-23
2020-03-14,admin_1,de,de-st,,6
2020-03-14,admin_1,de,de-th,,13
2020-03-15,admin_1,de,de-bb,,49
2020-03-15,admin_1,de,de-be,,-5
2020-03-15,admin_1,de,de-bw,,988
2020-03-15,admin_1,de,de-by,,169
2020-03-15,admin_1,de,de-hb,,3
2020-03-15,admin_1,de,de-he,,83
2020-03-15,admin_1,de,de-hh,,-99
2020-03-15,admin_1,de,de-mv,,11
2020-03-15,admin_1,de,de-ni,,34
2020-03-15,admin_1,de,de-nw,,241
2020-03-15,admin_1,de,de-rp,,214
2020-03-15,admin_1,de,de-sh,,68
2020-03-15,admin_1,de,de-sl,,40
2020-03-15,admin_1,de,de-sn,,37
2020-03-15,admin_1,de,de-st,,-1
2020-03-15,admin_1,de,de-th,,5
2020-03-16,admin_1,de,de-bb,,20
2020-03-16,admin_1,de,de-be,,35
2020-03-16,admin_1,de,de-bw,,-452
2020-03-16,admin_1,de,de-by,,-199
2020-03-16,admin_1,de,de-hb,,3
2020-03-16,admin_1,de,de-he,,163
2020-03-16,admin_1,de,de-hh,,257
2020-03-16,admin_1,de,de-mv,,4
2020-03-16,admin_1,de,de-ni,,104
2020-03-16,admin_1,de,de-nw,,-688
2020-03-16,admin_1,de,de-rp,,-10
2020-03-16,admin_1,de,de-sh,,-5
2020-03-16,admin_1,de,de-sl,,24
2020-03-16,admin_1,de,de-sn,,93
2020-03-16,admin_1,de,de-st,,36
2020-03-16,admin_1,de,de-th,,19
2020-03-17,admin_1,de,de-bb,,65
2020-03-17,admin_1,de,de-be,,83
2020-03-17,admin_1,de,de-bw,,1487
2020-03-17,admin_1,de,de-by,,942
2020-03-17,admin_1,de,de-hb,,10
2020-03-17,admin_1,de,de-he,,168
2020-03-17,admin_1,de,de-hh,,-107
2020-03-17,admin_1,de,de-mv,,15
2020-03-17,admin_1,de,de-ni,,172
2020-03-17,admin_1,de,de-nw,,1834
2020-03-17,admin_1,de,de-rp,,303
2020-03-17,admin_1,de,de-sh,,80
2020-03-17,admin_1,de,de-sl,,23
2020-03-17,admin_1,de,de-sn,,24
2020-03-17,admin_1,de,de-st,,10
2020-03-17,admin_1,de,de-th,,31
2020-03-18,admin_1,de,de-bb,,-24
2020-03-18,admin_1,de,de-be,,215
2020-03-18,admin_1,de,de-bw,,804
2020-03-18,admin_1,de,de-by,,-211
2020-03-18,admin_1,de,de-hb,,0
2020-03-18,admin_1,de,de-he,,224
2020-03-18,admin_1,de,de-hh,,102
2020-03-18,admin_1,de,de-mv,,31
2020-03-18,admin_1,de,de-ni,,497
2020-03-18,admin_1,de,de-nw,,1089
2020-03-18,admin_1,de,de-rp,,158
2020-03-18,admin_1,de,de-sh,,53
2020-03-18,admin_1,de,de-sl,,-26
2020-03-18,admin_1,de,de-sn,,49
2020-03-18,admin_1,de,de-st,,40
2020-03-18,admin_1,de,de-th,,37
2020-03-19,admin_1,de,de-bb,,126
2020-03-19,admin_1,de,de-be,,180
2020-03-19,admin_1,de,de-bw,,-648
2020-03-19,admin_1,de,de-by,,484
2020-03-19,admin_1,de,de-hb,,53
2020-03-19,admin_1,de,de-he,,203
2020-03-19,admin_1,de,de-hh,,459
2020-03-19,admin_1,de,de-mv,,62
2020-03-19,admin_1,de,de-ni,,249
2020-03-19,admin_1,de,de-nw,,1141
2020-03-19,admin_1,de,de-rp,,-37
2020-03-19,admin_1,de,de-sh,,-3
2020-03-19,admin_1,de,de-sl,,116
2020-03-19,admin_1,de,de-sn,,300
2020-03-19,admin_1,de,de-st,,19
2020-03-19,admin_1,de,de-th,,-30
2020-03-20,admin_1,de,de-bb,,-32
2020-03-20,admin_1,de,de-be,,170
2020-03-20,admin_1,de,de-bw,,2152
2020-03-20,admin_1,de,de-by,,2164
2020-03-20,admin_1,de,de-hb,,8
2020-03-20,admin_1,de,de-he,,-82
2020-03-20,admin_1,de,de-hh,,-209
2020-03-20,admin_1,de,de-mv,,16
2020-03-20,admin_1,de,de-ni,,266
2020-03-20,admin_1,de,de-nw,,875
2020-03-20,admin_1,de,de-rp,,352
2020-03-20,admin_1,de,de-sh,,68
2020-03-20,admin_1,de,de-sl,,0
2020-03-20,admin_1,de,de-sn,,-34
2020-03-20,admin_1,de,de-st,,65
2020-03-20,admin_1,de,de-th,,160
2020-03-21,admin_1,de,de-bb,,50
2020-03-21,admin_1,de,de-be,,128
2020-03-21,admin_1,de,de-bw,,566
2020-03-21,admin_1,de,de-by,,-751
2020-03-21,admin_1,de,de-hb,,37
2020-03-21,admin_1,de,de-he,,428
2020-03-21,admin_1,de,de-hh,,104
2020-03-21,admin_1,de,de-mv,,4
2020-03-21,admin_1,de,de-ni,,179
2020-03-21,admin_1,de,de-nw,,691
2020-03-21,admin_1,de,de-rp,,115
2020-03-21,admin_1,de,de-sh,,118
2020-03-21,admin_1,de,de-sl,,0
2020-03-21,admin_1,de,de-sn,,306
2020-03-21,admin_1,de,de-st,,36
2020-03-21,admin_1,de,de-th,,38
2020-03-22,admin_1,de,de-bb,,91
2020-03-22,admin_1,de,de-be,,68
2020-03-22,admin_1,de,de-bw,,548
2020-03-22,admin_1,de,de-by,,2420
2020-03-22,admin_1,de,de-hb,,4
2020-03-22,admin_1,de,de-he,,59
2020-03-22,admin_1,de,de-hh,,506
2020-03-22,admin_1,de,de-mv,,8
2020-03-22,admin_1,de,de-ni,,-168
2020-03-22,admin_1,de,de-nw,,435
2020-03-22,admin_1,de,de-rp,,-67
2020-03-22,admin_1,de,de-sh,,-3
2020-03-22,admin_1,de,de-sl,,84
2020-03-22,admin_1,de,de-sn,,-137
2020-03-22,admin_1,de,de-st,,16
2020-03-22,admin_1,de,de-th,,-69
2020-03-23,admin_1,de,de-bb,,51
2020-03-23,admin_1,de,de-be,,75
2020-03-23,admin_1,de,de-bw,,650
2020-03-23,admin_1,de,de-by,,721
2020-03-23,admin_1,de,de-hb,,12
2020-03-23,admin_1,de,de-he,,-97
2020-03-23,admin_1,de,de-hh,,132
2020-03-23,admin_1,de,de-mv,,11
2020-03-23,admin_1,de,de-ni,,519
2020-03-23,admin_1,de,de-nw,,618
2020-03-23,admin_1,de,de-rp,,405
2020-03-23,admin_1,de,de-sh,,131
2020-03-23,admin_1,de,de-sl,,82
2020-03-23,admin_1,de,de-sn,,314
2020-03-23,admin_1,de,de-st,,34
2020-03-23,admin_1,de,de-th,,148
2020-03-24,admin_1,de,de-bb,,56
2020-03-24,admin_1,de,de-be,,283
2020-03-24,admin_1,de,de-bw,,1187
2020-03-24,admin_1,de,de-by,,-170
2020-03-24,admin_1,de,de-hb,,19
2020-03-24,admin_1,de,de-he,,330
2020-03-24,admin_1,de,de-hh,,207
2020-03-24,admin_1,de,de-mv,,39
2020-03-24,admin_1,de,de-ni,,5
2020-03-24,admin_1,de,de-nw,,1061
2020-03-24,admin_1,de,de-rp,,86
2020-03-24,admin_1,de,de-sh,,-15
2020-03-24,admin_1,de,de-sl,,45
2020-03-24,admin_1,de,de-sn,,-9
2020-03-24,admin_1,de,de-st,,101
2020-03-24,admin_1,de,de-th,,28
2020-03-25,admin_1,de,de-bb,,97
2020-03-25,admin_1,de,de-be,,-77
2020-03-25,admin_1,de,de-bw,,-566
2020-03-25,admin_1,de,de-by,,3074
2020-03-25,admin_1,de,de-hb,,4
2020-03-25,admin_1,de,de-he,,525
2020-03-25,admin_1,de,de-hh,,162
2020-03-25,admin_1,de,de-mv,,24
2020-03-25,admin_1,de,de-ni,,666
2020-03-25,admin_1,de,de-nw,,1039
2020-03-25,admin_1,de,de-rp,,289
2020-03-25,admin_1,de,de-sh,,59
2020-03-25,admin_1,de,de-sl,,9
2020-03-25,admin_1,de,de-sn,,92
2020-03-25,admin_1,de,de-st,,51
2020-03-25,admin_1,de,de-th,,123
2020-03-26,admin_1,de,de-bb,,73
2020-03-26,admin_1,de,de-be,,512
2020-03-26,admin_1,de,de-bw,,1295
2020-03-26,admin_1,de,de-by,,1704
2020-03-26,admin_1,de,de-hb,,38
2020-03-26,admin_1,de,de-he,,302
2020-03-26,admin_1,de,de-hh,,-161
2020-03-26,admin_1,de,de-mv,,24
2020-03-26,admin_1,de,de-ni,,-61
2020-03-26,admin_1,de,de-nw,,413
2020-03-26,admin_1,de,de-rp,,134
2020-03-26,admin_1,de,de-sh,,94
2020-03-26,admin_1,de,de-sl,,110
2020-03-26,admin_1,de,de-sn,,232
2020-03-26,admin_1,de,de-st,,38
2020-03-26,admin_1,de,de-th,,22
2020-03-27,admin_1,de,de-bb,,79
2020-03-27,admin_1,de,de-be,,301
2020-03-27,admin_1,de,de-bw,,2930
2020-03-27,admin_1,de,de-by,,-224
2020-03-27,admin_1,de,de-hb,,23
2020-03-27,admin_1,de,de-he,,-39
2020-03-27,admin_1,de,de-hh,,145
2020-03-27,admin_1,de,de-mv,,11
2020-03-27,admin_1,de,de-ni,,845
2020-03-27,admin_1,de,de-nw,,1732
2020-03-27,admin_1,de,de-rp,,217
2020-03-27,admin_1,de,de-sh,,261
2020-03-27,admin_1,de,de-sl,,63
2020-03-27,admin_1,de,de-sn,,383
2020-03-27,admin_1,de,de-st,,61
2020-03-27,admin_1,de,de-th,,75
2020-03-28,admin_1,de,de-bb,,4
2020-03-28,admin_1,de,de-be,,197
2020-03-28,admin_1,de,de-bw,,0
2020-03-28,admin_1,de,de-by,,3291
2020-03-28,admin_1,de,de-hb,,22
2020-03-28,admin_1,de,de-he,,374
2020-03-28,admin_1,de,de-hh,,473
2020-03-28,admin_1,de,de-mv,,52
2020-03-28,admin_1,de,de-ni,,70
2020-03-28,admin_1,de,de-nw,,750
2020-03-28,admin_1,de,de-rp,,219
2020-03-28,admin_1,de,de-sh,,-41
2020-03-28,admin_1,de,de-sl,,59
2020-03-28,admin_1,de,de-sn,,-24
2020-03-28,admin_1,de,de-st,,79
2020-03-28,admin_1,de,de-th,,119
2020-03-29,admin_1,de,de-bb,,67
