region_schema,region_parent,region_child,agerange,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05
admin_0,,de,,,,,,,,,,271,802,693,733,1043,1174,3336,2875,3017,4472,2389,2172,4669,4914,4093,5989,6933,5646,4647,3786,,,6030,12565,4704,4643,1609,2361,6872,,,,,,,3041,,,5361,,,2380,944,,,636,,,,,3115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598,,,,,,,,,,1579,2008,,,,,,,,,,,1576,,,,,,2115,2569,2337,2223,,,,2966,,,5068,,,1236,4521,4595,6753,8885,7344,,,7647,7778,8935,14565,11597,13352,9088,11966,13578,17262,22188,20883,,,,,20943,26926,23012,15367,13512,11750,16895,30494,23243,,,13947,,,33897,23963,,,7839,20554,11064,20685,33101,16069,16324,5800,14229,16442,21574,24576,26730,12186,14335,,,24919,43078,23876,18019,9645,30602,19595,21842,40536,23981,28549,21759,9105,35602,19725,33146,21035,9164,,,,,,,,11708,,,,26784,,,,,,,,,,,12230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22102,,,,,,,23905,,,,,,15107,,,,15724,,,27178,27408,25041,,,12618,,,,,18683,,,,,23647,,,12998,9679,12436,20679,19591,,,10569,7934,9334,,,,,,12939,7570,,,,,,2668,2739,,,6640,,,,,,,,
admin_1,de,de-bb,,0,0,2,0,0,4,4,-3,15,30,-10,17,23,10,20,127,56,-32,120,21,-21,81,144,73,79,4,67,33,191,69,116,136,-3,69,75,-7,231,115,6,118,44,12,54,66,62,35,85,80,57,66,51,40,60,10,46,37,68,37,35,33,32,2,12,30,39,12,37,-16,3,68,-53,10,16,7,13,1,6,4,13,3,5,5,1,7,5,55,-43,3,5,1,0,4,5,3,3,1,0,2,6,5,65,-52,5,1,11,56,-37,14,53,-22,0,4,13,10,3,6,70,-67,5,4,9,8,10,71,-65,5,81,-79,84,-76,4,1,2,6,4,2,5,7,0,27,14,11,5,1,1,2,4,9,1,9,31,-25,3,5,30,-9,17,19,5,19,-11,8,20,10,8,5,5,16,18,19,21,12,12,4,13,18,18,13,4,1,1,5,8,10,11,15,11,0,13,15,7,20,7,22,-3,7,20,18,5,30,7,2,17,8,40,35,26,4,3,26,40,39,-19,112,29,10,35,60,60,75,114,42,-16,9,63,90,350,155,74,42,12,320,193,-140,628,-194,339,40,561,-249,1011,336,-26,399,-91,681,41,867,86,433,221,341,232,494,307,428,408,101,510,354,583,279,834,352,202,553,471,-104,502,1310,293,155,314,304,486,653,1437,348,189,634,565,863,958,877,503,315,617,1042,1144,1212,1351,765,1576,763,160,2148,230,177,2526,-1633,1029,1476,1565,787,432,294,1919,302,400,1580,1593,1231,814,468,793,1270,1331,1205,1046,583,427,784,940,974,672,850,584,192,284,734,664,604,547,348,136,217,483,494,390,357,265,109,167,286,477,326,284,247,129,364,44,344,287,255,249,404,-203,300,338,336,240,211,70,182,317,303,308,228,221,67,145,291,446,417,306,336,322,-56,523,535,615,451,430,233,135,664,769,614,664,450,257,308,626,176,1414,490,239,180,107,209,574,872,661,442,304,212,207,1282,639,141,884,235,152,644,821,520,505,145,458,158,510,620,143,715,226,317,157,155,765,375,332,199,235,154,259,402,164,237,215,87,97,253,293,163,182,124,41,204,19,-54,171,149,-40,30,10,83,79,58,38,176
admin_1,de,de-be,,6,3,10,5,1,12,22,34,42,47,59,-25,49,35,152,67,259,90,157,119,159,199,245,286,205,99,185,59,321,-125,550,239,108,13,209,202,-60,414,82,87,54,59,-67,254,94,120,82,33,-25,40,187,87,73,-80,156,-11,146,68,-10,92,31,0,88,53,58,58,4,17,8,17,37,58,45,16,16,8,33,46,48,10,36,8,3,22,22,-43,110,31,23,27,2,41,-33,120,35,16,8,29,57,77,50,42,68,12,31,75,85,128,-104,276,20,63,72,58,62,43,-52,71,53,35,46,57,41,-55,88,33,37,46,-60,128,4,1,-32,84,24,16,-37,76,0,31,5,55,47,61,18,3,41,64,-55,171,-50,160,0,48,57,67,83,102,19,-40,142,105,144,28,136,33,3,-26,201,71,-62,249,32,1,95,67,99,76,-71,209,5,123,-82,235,77,119,47,3,132,56,114,-98,328,42,6,-58,270,175,176,192,58,28,194,-105,459,227,-132,421,28,203,-136,627,315,-237,676,111,-171,812,496,-341,1307,171,-264,247,252,1605,-396,1713,167,195,778,-485,2199,901,924,-555,1166,-446,2602,1285,1048,-673,2098,359,1415,1324,1234,-819,1387,2310,292,-335,3104,-710,3092,1328,1382,-551,1769,2675,-1103,2708,2663,456,389,1609,493,0,1630,2510,0,1156,1555,1100,-569,3149,-947,1260,1914,1352,1220,-823,3691,1335,470,303,-432,3171,1573,1662,-1513,3541,348,1582,1445,-1073,1593,1840,25,1161,1141,1213,1062,486,273,483,459,1031,1182,1376,787,2148,426,232,1371,1177,1189,1017,897,295,167,495,1061,872,674,663,267,57,613,690,490,663,396,293,138,546,512,489,440,389,202,25,423,462,425,379,336,100,35,286,472,444,299,459,176,11,424,478,484,466,479,137,28,256,763,518,442,440,170,90,30,477,611,251,1107,266,-13,776,652,750,769,629,251,-141,1151,1110,303,1006,1651,471,103,788,955,286,1205,904,686,-19,532,263,1110,961,1110,501,-59,970,246,1327,1022,1288,824,113,475,1409,516,1568,453,781,98,935,991,630,1023,638,196,57,550,946,819,603,616,187,-84,78,1122,666,127,449,81,33,417,476,440,-40,610,100,-27,50,211,253,-37,281,274,9,165,180,214,193,110,7
admin_1,de,de-bw,,24,38,36,51,32,19,52,118,146,-92,594,-479,988,433,602,-408,564,917,1801,-1648,2846,1187,-566,2974,1251,1010,660,933,1225,-520,1258,2642,995,960,519,253,1585,1002,-63,1481,428,291,277,634,743,555,391,298,508,310,357,424,367,544,-96,625,-271,278,875,-464,122,759,-634,126,128,177,206,128,52,836,-638,128,104,106,54,32,41,103,88,42,64,49,17,35,57,772,-628,39,24,728,-710,17,31,48,34,31,13,12,31,51,694,-649,10,20,17,39,25,25,35,36,12,25,36,44,305,-188,35,11,16,48,48,33,40,22,4,41,293,-212,278,-187,24,16,231,-120,46,59,271,-132,28,67,282,-127,91,111,51,18,278,-129,100,95,181,-35,11,56,225,-66,80,81,58,156,-51,121,151,287,15,94,31,100,399,296,258,307,184,140,-2,539,293,331,288,178,147,176,288,306,283,146,408,100,222,241,286,282,23,468,113,-65,629,357,-52,730,205,114,189,62,507,305,321,279,141,212,255,23,300,332,758,159,293,614,603,596,722,636,-574,399,1861,941,1080,1074,-614,1948,-675,943,927,4650,1950,1329,-1299,1172,1514,1945,2393,6934,1627,1259,1903,2795,-2141,7842,-1732,2972,5140,1661,-955,2004,7423,2722,1991,-1006,1662,4669,-1024,3446,3266,5511,1057,-434,3964,-430,2724,6343,1979,1164,-188,1568,5818,-779,7151,2448,1431,1799,3178,-1059,3965,8909,2910,-579,2097,6214,270,3356,9111,3287,-710,4981,3443,4522,3259,1688,1297,890,2089,3026,3829,2799,1324,998,904,1626,3207,2571,3060,2342,2172,1185,1300,2566,3000,2206,2039,1616,757,823,2642,1451,2858,583,1324,524,551,1575,1744,1578,1368,1227,489,503,1238,1402,1229,1035,1064,390,419,1108,1147,977,932,592,323,317,839,881,2178,-301,902,271,404,1078,1099,1060,952,946,404,1746,-5,1288,1157,1194,1116,358,542,1468,1590,2473,624,1372,1386,-135,2132,2206,1968,1941,2115,1579,-45,2487,2852,2602,2572,2168,1086,1209,2617,3600,2212,2091,1129,940,671,1333,3383,3495,3148,2745,1994,602,3330,3639,4703,2202,2680,1138,1679,4484,4430,3880,3609,2943,1280,2027,4197,5580,2044,3379,3675,-180,1416,3529,4474,1816,2487,3350,1051,1323,949,2781,1651,1174,1230,1983,-586,2061,1918,3588,-922,1057,2866,-2282,3184,-1511,3255,-1248,643,259,359,785,741,487,206,3226
admin_1,de,de-by,,6,10,19,51,20,20,87,111,8,249,252,-186,585,270,473,753,-480,2164,1110,559,721,1220,-135,3523,1646,-353,1284,2398,1851,-1432,5361,1867,-172,1482,2038,1535,1548,1271,946,765,419,464,-131,943,1772,780,521,387,380,237,185,1250,528,310,189,143,560,85,820,-85,127,75,166,617,-139,233,209,123,78,188,213,188,208,135,101,58,735,-539,194,93,117,78,94,88,134,692,-489,77,83,37,20,37,678,-540,636,-556,39,41,45,75,646,-578,22,18,34,263,-177,46,41,33,28,41,47,56,237,-92,212,-138,61,86,63,69,83,70,28,83,90,70,89,91,61,18,197,-49,107,98,191,-63,44,78,221,-57,142,92,154,85,74,102,206,13,145,72,70,124,170,118,133,79,47,33,184,130,251,237,219,88,162,369,314,398,7,699,193,124,-361,1052,493,410,-364,823,112,276,333,346,399,386,309,199,430,463,536,-468,521,582,595,-453,1396,517,-480,1475,309,166,390,-385,1152,402,-388,988,127,422,-440,640,344,175,1027,151,361,495,664,687,740,422,-317,1307,-563,604,3086,1267,983,574,1079,-905,4591,2241,-1879,5661,1410,2290,-1985,7838,2979,3140,-1038,5727,-3072,9334,-3365,3740,11777,3110,-1476,6691,3862,-3237,6600,4748,8330,1532,-538,6576,-2946,12315,-1217,8211,-682,646,4480,1198,11899,3813,-757,5679,2661,-2156,3216,11545,3805,-438,528,8152,4290,-2924,3946,8291,4804,6793,3086,4786,5310,5568,-574,1808,6899,5354,-1353,5640,1778,9811,2227,1714,2322,4459,5694,3876,1968,1829,465,2161,5609,3512,534,7092,3019,1755,1869,3334,4012,3266,2894,1448,1970,1143,2900,2823,2240,2519,1764,1028,756,2584,2387,2153,1922,1716,786,716,1933,2272,1775,1469,1432,565,468,1476,1701,1388,1247,812,671,541,1352,1639,1635,991,1048,1270,-161,1523,1638,1504,1486,1461,735,1388,1036,1803,1730,1680,1315,759,878,1830,2465,1303,2769,1661,949,968,2644,3010,2585,2378,2100,818,1461,3193,1405,3632,5358,2647,1400,1404,3365,4104,3231,2583,1815,515,1889,1236,2795,7237,3693,2965,459,3257,4703,5260,4497,3915,3208,1802,2058,4856,1436,7512,1315,5062,1735,1230,4273,1493,4294,4201,1005,2513,1688,1349,2961,4419,2430,958,1994,881,2629,2439,829,1949,1433,-384,2546,972,2053,1437,928,863,386,339,564,1122,1421,396,545,377,217,868,698,1302,-653,1394
admin_1,de,de-hb,,2,0,0,0,0,0,7,-7,17,17,4,10,3,1,10,12,41,23,22,4,7,24,11,3,48,17,12,8,14,16,4,22,34,7,0,2,40,18,9,13,4,6,7,5,55,12,18,11,8,23,1,117,-24,2,68,7,43,42,-21,55,3,-25,59,10,54,29,28,15,12,3,20,29,23,21,19,10,11,19,18,16,4,3,13,2,10,3,49,29,24,-21,30,11,3,49,15,5,15,1,15,17,7,9,8,3,1,2,24,7,3,15,3,6,0,2,3,1,2,0,1,5,4,4,0,3,1,0,2,3,3,2,0,1,1,0,6,4,3,14,2,1,4,2,6,9,5,0,8,3,5,11,7,1,0,4,5,1,6,2,3,4,5,10,0,6,7,6,4,6,14,12,7,8,7,5,-5,24,19,14,21,12,1,8,10,27,11,9,11,3,3,12,9,15,8,7,10,2,18,15,4,13,25,5,5,24,11,22,38,45,6,2,19,48,39,40,88,11,-13,35,165,6,77,181,6,10,35,52,108,103,100,95,19,41,218,13,159,133,223,99,13,383,244,-16,413,221,133,208,25,495,16,445,71,104,31,306,261,154,189,82,45,132,279,39,124,298,33,69,41,138,277,143,125,77,0,26,153,172,172,44,140,51,111,33,362,156,135,30,65,112,221,21,257,31,86,195,0,122,249,81,69,2,60,157,154,111,24,12,26,65,105,154,130,80,46,41,40,96,142,71,90,130,12,37,54,123,101,75,75,37,32,88,81,118,118,98,27,39,122,115,91,96,58,44,10,86,75,70,65,44,73,23,98,95,61,109,97,34,30,120,106,82,98,90,49,7,112,94,61,79,56,21,20,82,98,58,107,83,59,67,98,147,135,113,94,56,61,158,184,174,175,117,77,74,139,154,149,148,60,88,57,43,195,234,163,116,95,109,153,276,167,184,157,104,75,179,217,212,151,166,38,103,163,188,109,140,167,37,41,115,189,121,82,89,36,26,102,119,48,29,13,42,27,68,96,64,44,32,14,19,15,37,53,39,44,12,7,43,20,40,26,16
admin_1,de,de-he,,4,2,6,1,4,0,20,16,-14,51,49,150,-12,56,275,-70,193,222,204,101,85,608,247,-12,275,374,298,183,254,-156,752,250,224,3,73,409,303,292,155,151,99,77,160,227,207,190,20,182,-19,267,176,125,102,89,24,57,150,-29,255,78,41,25,28,90,104,83,86,47,15,68,46,70,46,6,97,74,-4,139,102,28,51,4,61,30,76,29,75,38,34,11,2,26,35,29,14,29,8,36,17,37,9,25,19,6,8,40,57,48,58,20,7,20,38,27,16,52,19,2,20,30,50,29,31,14,13,27,39,42,39,42,28,3,20,51,48,40,38,33,9,24,27,72,-23,151,34,5,59,64,6,159,84,50,21,69,74,116,122,123,76,-79,198,98,154,185,149,61,48,188,139,208,-12,436,132,53,3,346,108,123,118,54,41,-13,180,150,145,-25,206,56,128,91,113,-29,113,165,138,-30,229,175,-74,339,74,34,119,-19,108,416,-91,442,57,-16,306,11,176,546,208,76,-74,227,719,-187,1008,328,131,361,412,725,-492,2068,-608,1379,-309,1881,1212,1148,1591,1202,545,1291,-725,4075,1706,-308,3433,924,-920,3703,1862,-1264,2752,3850,849,1698,1871,1882,-232,1745,3617,840,-21,3197,-1400,3538,1830,3633,-284,2005,187,540,1547,2959,1611,1381,416,753,1213,4225,-1039,4069,-993,2886,1829,2050,2218,-540,4339,-50,2062,1887,2615,-1473,3197,4930,964,144,569,5335,-1641,1958,2942,313,963,2014,2293,1673,807,491,339,999,2017,2214,1874,-45,2894,451,744,1589,1718,1536,1320,311,1193,462,1344,1598,1410,1145,826,273,416,1102,1277,1015,698,1090,227,389,966,1149,888,735,730,185,247,653,836,646,591,392,218,628,346,758,700,641,614,114,341,785,769,716,807,568,182,406,838,861,796,719,745,193,333,913,1106,587,1452,931,413,541,1272,1577,1293,1392,1199,195,865,1558,223,1909,3137,1159,559,1021,1641,191,1971,3131,620,456,667,390,903,3328,1932,268,1645,952,335,2119,2101,1729,2686,608,783,2122,2446,1962,297,3172,676,140,2844,1945,1660,1560,1228,406,523,145,3181,1325,1119,1110,334,31,2097,1444,-11,1357,696,-614,1292,173,1782,761,668,582,169,68,184,818,684,36,736,96,159,494,423,277,98,93
admin_1,de,de-hh,,3,1,5,3,4,5,21,-15,74,-15,94,-24,4,257,-107,375,-181,513,-251,119,102,624,-163,495,-186,176,143,136,363,139,-159,182,408,108,-167,470,117,113,97,79,46,41,77,-203,359,107,39,22,33,57,-141,239,41,-123,184,21,25,42,25,8,13,-42,56,-35,78,17,-43,65,3,-24,30,14,10,-29,47,1,1,3,13,2,3,9,-6,1,3,1,0,5,1,21,-13,2,10,6,5,1,1,3,2,4,31,-20,3,1,1,3,7,8,19,-11,4,3,9,11,4,8,-6,15,1,3,7,4,2,10,-6,3,4,3,2,2,0,0,3,0,1,6,4,1,2,5,9,24,12,22,15,4,7,15,-2,53,19,17,6,43,36,58,60,34,34,-52,100,-16,93,26,34,10,8,-32,81,35,-14,77,16,22,26,32,30,19,-44,122,19,-58,-6249,6419,50,40,35,32,23,57,69,-27,0,162,35,46,45,56,-33,189,65,31,45,-110,61,292,-152,323,50,58,91,-57,0,168,302,76,-201,98,402,-197,270,233,82,143,95,194,159,169,-142,393,-231,93,204,201,276,1223,-392,923,513,405,498,469,271,224,-781,1756,-1049,388,2151,415,-557,1227,-507,0,1986,-395,1085,-314,185,1071,-647,905,362,961,-356,0,1144,-515,363,612,357,148,310,332,-304,326,1115,34,0,691,348,-296,333,1388,291,292,-259,1108,495,548,586,-29,624,-14,1266,540,-662,1213,248,1,638,495,578,342,213,272,203,-194,1230,487,522,373,205,285,355,390,346,311,391,156,118,32,251,622,-31,561,257,161,228,290,120,448,32,361,23,304,226,227,202,193,136,129,203,191,198,205,216,99,165,192,197,238,179,250,144,152,207,274,263,245,203,118,224,62,393,281,229,227,158,167,231,224,292,13,554,186,3,480,428,413,365,317,188,249,296,453,-37,1138,436,293,295,361,615,-29,541,907,279,-34,559,320,-14,950,466,378,298,290,-13,479,458,420,702,269,244,384,-3,761,298,-44,529,17,531,-2,401,547,3,203,430,254,267,-5,492,6,148,316,191,191,138,108,92,84,-14,234,139,20,180,94,-5,113,-6,158,69,13,129,20,69,69,70,48,0,73
admin_1,de,de-mv,,2,2,1,0,0,2,4,2,4,6,10,12,5,1,18,31,62,16,11,1,13,37,24,24,11,52,11,6,57,23,29,31,18,-1,5,1,42,15,-2,26,3,4,3,3,17,1,6,3,0,3,1,4,1,6,6,2,12,4,5,3,3,-1,5,7,3,6,-2,6,3,1,6,4,5,-3,6,1,5,-3,8,0,0,7,-7,1,0,7,-6,1,0,0,0,0,2,1,7,3,0,0,3,1,2,2,0,1,2,2,5,0,1,0,0,0,1,3,1,2,2,0,1,1,3,-2,0,0,0,0,0,0,3,-3,0,0,3,-3,1,0,2,1,2,0,1,5,0,29,0,0,5,3,10,4,3,11,4,4,9,14,15,10,4,-6,12,5,3,3,13,1,1,4,2,3,-1,10,3,2,-6,10,2,2,0,4,1,2,0,5,4,1,9,1,6,5,3,3,0,6,11,-11,26,0,67,-41,8,0,7,3,10,13,8,8,3,-13,15,18,62,15,26,6,9,-9,44,-8,60,37,-56,0,48,48,153,49,35,13,16,-10,82,198,-60,210,-12,32,36,119,305,168,-12,144,49,183,-36,325,145,-23,110,52,180,118,-10,136,243,-11,68,169,165,-3,280,90,-3,31,55,141,124,183,126,148,-17,45,130,141,345,-4,95,144,257,279,233,-18,533,-62,166,85,665,-30,276,248,189,134,491,271,150,160,117,-48,238,483,379,239,140,102,67,207,554,447,237,468,191,78,196,393,355,366,310,236,109,169,352,304,261,287,221,136,106,396,237,236,235,160,89,98,283,305,241,225,124,80,87,222,194,184,159,148,62,80,248,220,130,304,113,55,55,279,192,181,206,174,29,6,323,273,169,236,92,27,61,264,202,191,209,162,24,67,299,225,206,260,220,56,108,430,73,683,353,216,70,112,465,248,316,314,95,-76,379,115,471,477,467,290,137,237,366,573,331,572,277,67,105,613,333,569,371,244,80,102,607,318,304,346,199,70,98,362,290,202,272,132,54,58,302,205,167,54,109,-7,76,243,113,99,85,71,10,10,11,76,53,65,22,7,10,59,21,13,22,11
admin_1,de,de-ni,,6,4,6,7,8,4,14,-4,102,68,92,77,-101,326,-50,177,241,594,-123,134,519,294,-26,342,845,347,4,259,585,369,333,388,224,198,413,-160,530,412,81,307,150,80,166,227,242,197,377,-139,131,163,206,94,234,-48,50,75,100,85,85,39,35,240,-135,80,94,87,146,-43,10,48,50,79,40,194,-131,9,292,-160,94,50,95,217,-171,46,60,123,76,64,59,23,42,56,180,41,138,15,32,55,76,64,50,75,30,13,37,191,-77,84,226,-106,12,16,71,34,231,-151,29,14,32,26,34,33,32,242,-219,28,14,19,14,11,3,2,21,30,30,26,226,-110,11,20,269,-148,29,22,33,21,27,63,176,-64,150,-28,15,65,146,-8,83,92,40,16,90,63,108,91,76,58,17,104,157,149,75,114,47,16,125,115,100,112,83,64,31,70,94,102,97,122,36,28,112,75,110,102,89,116,78,115,199,180,172,205,100,68,91,143,-5,388,-64,401,56,-50,313,76,148,502,215,120,-132,279,672,361,339,270,-38,97,898,521,555,526,-3,686,360,584,-31,583,2032,854,401,-203,685,2597,1540,-616,3086,716,-311,2635,-474,3487,1482,1288,661,907,1368,13,1542,3185,1094,429,840,1329,1598,-153,1741,2580,526,730,1182,-518,1358,2030,1863,372,-135,1733,1346,50,1342,1974,280,845,1115,1445,1689,1273,-37,1230,252,1225,3083,1766,1523,1374,489,1226,1657,82,3392,803,535,214,951,1665,2179,1453,514,576,209,436,2319,2242,1696,1483,1471,343,689,1529,1641,1442,1445,1098,527,875,1185,1397,1266,1249,891,322,418,1161,932,1508,1108,940,246,433,1069,1163,1029,910,863,254,267,849,1180,1013,1085,531,531,774,712,997,869,932,959,259,380,1034,1150,970,1009,707,327,322,809,1201,869,899,934,199,422,993,1224,959,1536,1051,366,530,1210,1768,1507,1398,1112,248,797,1525,743,3339,1687,1406,449,836,1473,1955,1747,1340,683,323,552,861,1734,1992,1888,1443,286,823,1938,1009,1988,2952,1333,431,695,1870,1107,2826,1652,648,1265,833,1414,921,1514,2127,1100,164,644,741,1463,1441,1745,234,850,602,1064,1182,650,594,594,-299,986,644,900,609,528,422,225,-40,441,217,363,472,241,95,184,345,302,303,37,321
