region_schema,region_parent,region_child,agerange,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-16
admin_0,,de,,,,,,,,,,0,0,0,0,0,0,0,24,36,43,64,81,92,122,144,181,261,351,423,490,597,,746,1033,1206,1398,1521,1683,1823,2151,,2579,,,,3246,3622,,4000,4478,,4700,4912,5141,,5686,5898,,6088,,6502,6745,,,6973,,7244,,,7511,,,7760,,,,8067,,,8238,,,,,8455,,,,8592,,,,8704,,,8748,,8813,,,,,,8943,,,,,8978,,,9043,,,,,,9094,,9124,,,,9150,,,9175,,,9188,,9222,,,,9233,,,,9253,,,,9269,,9273,,,,9292,,9311,,9312,,,,9319,,,,,9344,,9362,,9376,,,,9386,,,9414,,,,9425,,,,9446,,,9452,9194,,,9488,,,,,,9505,9507,9512,,9518,,,9538,,,,,9564,9572,,9598,,,9620,9627,9639,9656,9660,,,9685,9692,,9731,9747,,9775,9778,9799,9827,9859,9844,9867,,9901,9931,9989,10018,10061,10106,10133,10161,10205,10284,10383,10456,10543,,10649,,10908,11071,11217,11432,11467,11566,11681,11866,12166,12360,,12660,12813,,13283,13584,13837,,14293,14365,14855,14992,15430,15802,16240,16478,16554,16898,17366,17884,18333,18882,19025,19223,,20269,20782,21486,22010,22274,22455,23761,24013,24629,25418,26193,26631,26996,27491,28236,29335,29918,30324,30518,,,,,,,35129,35613,,,38946,40048,,,,,,,,47148,,48115,49265,,51156,,,,,,55374,,57046,,57811,,,,,,,,,,,,,,,65989,,,67642,,,68532,,,,,,,,71042,,,,,,,,,,73647,,,74044,,,,,,,75325,,,76009,76209,,,,,,77153,77370,,,77687,,77982,78275,,,78992,79086,,79640,79924,80219,80457,,80651,80876,,81503,,82041,82221,,82507,,83072,83366,,83770,83864,84084,84421,84687,84939,,85326,85448,85618,85909,,86358,,86716
admin_1,de,de-bb,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,1,1,1,3,4,13,25,33,8,11,14,66,69,31,33,86,96,98,103,109,109,111,72,125,76,85,131,93,144,106,148,118,151,151,154,156,157,159,160,160,160,162,162,162,163,159,163,163,164,163,164,164,164,164,164,164,164,164,164,164,170,164,164,164,165,166,166,166,166,166,166,172,166,174,166,166,166,166,167,167,167,167,167,167,167,167,167,175,167,167,167,167,167,167,167,167,167,167,167,167,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,177,169,169,169,169,178,169,169,169,169,169,169,169,178,169,169,178,169,169,169,169,169,169,169,178,169,169,178,178,169,169,169,169,169,169,170,170,170,170,178,170,170,170,170,170,170,170,170,170,170,178,170,171,171,171,171,171,171,172,175,175,175,178,176,178,179,180,181,179,179,185,181,182,193,181,197,201,204,185,211,188,188,190,193,194,230,198,203,246,247,210,264,218,221,291,297,232,236,237,325,239,345,357,359,259,377,270,413,421,426,437,453,468,480,340,344,352,553,371,377,396,431,676,458,459,460,737,486,810,840,561,884,929,615,635,1087,714,1183,1214,1252,1311,1362,1393,908,924,1474,1524,1597,1680,1729,1757,1775,1192,1862,1928,1988,2033,1413,2128,2176,2226,2297,2358,2411,2459,1811,2499,1854,1931,2635,2672,2724,2760,2766,2793,2827,2281,2885,2906,2916,2926,2939,2960,2978,3004,3016,3028,3034,3044,3058,3074,3087,3092,3108,3111,3115,3127,3136,3152,3168,3179,2946,3189,3196,3200,3210,3216,3218,3223,3036,3232,3239,3244,3250,3256,3256,3260,3273,3287,3296,3304,3312,3313,3318,3331,3343,3352,3358,3363,3367,3373,3394,3291,3300,3421,3427,3436,3445,3454,3338,3481,3483,3489,3352,3498,3501,3384,3531,3537,3400,3550,3551,3435,3447,3581,3472,3596,3482,3607,3611,3615,3623,3629,3635,3635,3528,3641,3555,3650,3653,3592,3596,3599,3661,3664,3664,3665,3667,3667,3688,3691,3672,3673,3673,3722
admin_1,de,de-be,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,2,3,19,23,28,31,11,39,42,50,17,74,76,81,28,105,37,121,42,127,127,130,56,74,137,143,147,148,94,152,105,161,164,113,172,182,189,147,193,193,195,196,196,159,198,199,163,200,200,202,203,203,204,204,204,204,205,208,209,210,210,191,210,210,210,193,210,210,210,198,210,211,198,212,213,213,213,213,213,214,208,215,215,215,215,208,215,215,216,216,216,216,216,216,212,217,217,217,220,221,222,223,223,223,223,225,225,225,225,226,226,226,219,226,226,226,221,226,226,226,226,226,226,226,226,226,226,226,223,226,223,226,226,226,226,226,226,226,226,224,226,224,226,224,226,226,226,227,228,228,229,229,229,229,229,229,229,229,226,229,229,226,229,230,230,226,230,230,230,230,230,226,230,226,230,226,230,230,227,230,230,230,231,232,232,232,233,233,233,228,228,228,239,240,240,240,241,231,242,232,244,245,234,234,234,250,237,255,255,255,262,270,275,281,245,289,295,303,251,330,253,253,359,365,383,408,265,442,287,455,295,481,496,518,333,553,567,575,371,623,393,422,441,683,447,731,492,800,833,866,877,886,553,953,594,1030,1070,1083,679,1124,1203,732,749,768,1353,821,821,1445,1491,1547,958,1638,1007,1024,1752,1814,1843,1852,1890,1911,1984,2030,2061,2079,2085,2104,2136,2182,2243,2288,2346,1547,2394,2406,2447,2505,2539,2579,2617,2627,2635,2674,1918,2743,1996,2783,2791,2794,2817,2829,2848,2860,2235,2883,2886,2912,2931,2948,2968,2982,2987,2989,3004,3012,3021,3026,3044,3048,3050,2620,3075,3081,3088,3091,3094,3095,3103,3111,3121,3128,3133,3134,3134,2825,3156,3163,3168,3172,3175,3177,3177,3187,3196,2928,3209,3211,2934,3218,3225,3227,3231,3234,3235,3237,3240,3246,3252,3258,3262,3264,3264,3269,3279,3055,3292,3295,3301,3303,3305,3314,3098,3323,3332,3123,3123,3339,3128,3349,3353,3356,3358,3358,3367,3369,3372,3375,3180,3187,3378,3381,3386,3390,3392,3392,3392,3216,3228,3395,3396,3397,3398,3398,3302,3398,3306,3399,3325,3399,3399
admin_1,de,de-bw,,0,0,1,1,3,4,5,7,0,12,16,20,29,33,0,59,8,97,126,23,164,31,237,282,356,407,465,497,556,639,726,258,335,945,979,449,467,1147,1214,612,1291,1336,1369,1397,1442,1475,911,996,1551,1572,1093,1138,1637,1226,1674,1678,1682,1692,1705,1715,1723,1733,1736,1739,1526,1752,1758,1573,1775,1776,1778,1785,1789,1795,1799,1801,1801,1723,1819,1823,1825,1826,1829,1829,1830,1833,1834,1838,1839,1839,1807,1839,1840,1843,1846,1846,1846,1847,1847,1847,1848,1855,1849,1849,1849,1849,1864,1850,1850,1875,1851,1852,1852,1852,1852,1853,1854,1884,1854,1854,1854,1856,1856,1856,1891,1858,1858,1859,1859,1893,1859,1859,1860,1893,1860,1863,1863,1863,1863,1864,1865,1896,1869,1896,1870,1872,1872,1898,1872,1901,1872,1872,1872,1872,1872,1872,1873,1873,1873,1873,1873,1873,1908,1875,1909,1876,1876,1876,1909,1876,1876,1911,1878,1878,1878,1879,1879,1879,1879,1917,1880,1880,1918,1880,1880,1880,1921,1883,1883,1883,1884,1886,1888,1889,1923,1890,1923,1890,1894,1924,1896,1896,1897,1898,1927,1901,1902,1928,1913,1913,1914,1918,1921,1929,1936,1934,1935,1945,1942,1950,1951,1951,1972,1976,1983,1955,1959,2013,2032,1969,2046,2054,1978,2082,1991,2001,2006,2172,2009,2226,2026,2038,2310,2064,2351,2382,2430,2104,2497,2525,2158,2571,2165,2177,2204,2226,2823,2887,2305,2326,3040,2393,2435,3252,3291,2512,2518,2588,3475,2656,2704,2757,2785,3808,3888,2900,4076,3001,3055,4256,4331,4456,4558,4677,3357,3426,3467,3489,5101,5208,5326,3876,5544,5612,5711,5839,4325,4382,4430,4489,4519,6241,6368,6499,6580,6620,6679,6718,5031,6875,6945,5366,5494,7172,7197,7249,7322,7425,7501,7564,6178,7624,7657,7724,7777,6600,7889,7918,7931,7950,7985,8021,8053,7099,8116,8143,8165,8185,8216,8237,8255,8282,8292,8310,8334,8354,8369,8387,8401,8406,8415,8429,8449,7967,8488,8502,8514,8531,8547,8556,8576,8593,8611,8615,8622,8639,8648,8667,8676,8685,8689,8700,8715,8736,8457,8765,8774,8780,8795,8822,8836,8862,8880,8895,8605,8917,8935,8960,8982,9009,9036,9048,9072,9101,9126,8807,9173,9184,9196,9208,8874,9262,9287,9299,9327,8994,9357,9057,9393,9105,9130,9456,9462,9475,9496,9238,9525,9289,9562,9568,9347,9606,9403,9432,9643,9468,9476,9654,9539,9669,9673,9674,9617,9678,9679,9696,9685,9736,9686,9784
admin_1,de,de-by,,0,0,0,1,1,1,1,1,0,5,8,11,0,19,0,37,49,13,20,21,147,27,243,309,51,72,106,125,682,813,920,262,341,399,431,475,1442,1532,1621,735,1750,1792,1837,904,1978,2033,2085,2120,2159,2192,1447,1505,2301,2325,2344,2355,1767,2396,2414,2425,2447,2454,2063,2465,2473,2485,2500,2513,2517,2523,2289,2540,2547,2551,2356,2566,2568,2394,2576,2583,2585,2590,2592,2592,2595,2600,2497,2603,2604,2604,2605,2606,2607,2521,2611,2542,2613,2616,2616,2616,2617,2587,2619,2619,2619,2620,2590,2622,2623,2602,2623,2624,2624,2627,2628,2624,2630,2633,2631,2631,2631,2636,2632,2632,2632,2632,2632,2632,2633,2652,2634,2634,2634,2635,2635,2636,2638,2657,2638,2639,2639,2640,2640,2661,2640,2640,2640,2640,2640,2664,2642,2642,2642,2642,2643,2664,2643,2644,2644,2644,2671,2644,2644,2644,2644,2644,2644,2645,2675,2647,2647,2675,2647,2647,2647,2648,2649,2650,2650,2679,2653,2653,2653,2684,2655,2655,2655,2655,2655,2657,2662,2664,2688,2689,2689,2669,2690,2673,2676,2691,2680,2682,2683,2689,2693,2696,2697,2698,2699,2700,2702,2703,2706,2706,2706,2721,2726,2711,2736,2743,2750,2756,2759,2730,2767,2769,2736,2794,2804,2723,2817,2735,2838,2746,2746,2877,2755,2899,2925,2769,3007,3041,2805,2814,3159,3210,3280,2844,2862,3438,3466,2930,2949,3615,3006,3761,3842,3894,3933,4032,4129,4244,3296,4447,4506,3447,3451,3530,4847,3629,5116,3746,3810,3813,3865,5630,5773,5880,4305,4312,4340,6332,4543,4646,6814,6927,4916,7166,5093,7497,7706,5599,7968,5761,5797,5843,5623,6150,6258,8815,8900,9008,9214,9404,9563,9627,9724,9805,7099,10051,10165,10308,10445,10549,10629,10681,10791,10935,11108,11217,11281,11348,11407,11516,11622,9420,11768,11828,11859,11903,11989,12069,12124,12186,12233,12253,12289,12334,12401,12459,12490,12518,12528,12558,12597,12636,12668,12701,12712,12725,12748,12774,12815,12850,12877,12897,12914,12933,12962,12993,13016,13036,13046,13057,13075,13093,13115,13138,13161,13181,13187,13205,13231,13254,12839,13297,13314,13330,13348,13374,13408,13434,13455,13478,13490,13512,13544,13150,13174,13637,13669,13685,13703,13746,13798,13345,13856,13886,13388,13922,13961,13475,14031,14056,14083,13575,14124,14163,13703,14213,14230,14244,13817,13835,14318,13927,14374,14016,14045,14426,14436,14458,14148,14195,14510,14264,14271,14535,14338,14373,14415,14566,14471,14569,14511,14573,14575,14576,14576,14654
admin_1,de,de-hb,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,4,2,5,5,4,8,5,6,6,6,16,16,18,11,20,21,23,23,26,19,27,28,22,29,29,25,25,25,33,33,26,33,26,36,29,36,36,36,31,36,31,37,39,31,42,43,43,43,44,44,44,46,46,36,47,47,47,47,39,47,48,48,39,48,48,48,40,49,50,41,51,51,51,51,51,51,51,51,52,52,53,53,47,53,53,48,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,54,58,58,58,58,58,58,58,58,58,54,58,58,58,58,58,58,58,55,58,58,58,58,55,58,58,58,58,59,59,59,55,59,59,55,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,57,59,57,59,57,59,59,59,59,59,59,59,59,58,59,58,59,59,58,58,58,58,60,60,61,61,58,62,63,64,64,64,60,60,61,61,61,61,67,62,62,62,62,62,77,63,81,83,65,69,70,71,95,98,101,77,106,80,110,112,114,87,117,88,92,126,93,130,131,101,137,141,145,104,106,148,112,152,155,117,118,120,164,124,169,131,169,169,170,172,142,146,149,184,153,188,160,159,162,209,212,167,218,220,227,176,176,180,180,240,244,246,248,249,249,201,208,252,252,253,219,256,256,257,257,264,265,268,231,276,277,239,284,248,293,296,296,298,301,260,313,320,322,322,324,328,330,330,334,335,335,336,338,340,343,345,347,349,352,360,360,365,367,371,372,376,383,383,387,391,393,394,394,398,400,402,405,405,406,408,409,410,410,413,413,378,416,417,417,420,422,422,392,423,424,398,427,429,430,431,432,433,433,407,438,440,441,442,412,443,445,447,447,441,450,428,453,433,436,454,454,455,456,443,458,445,460,460,448,460,462,453,464,454,466,467,454,468,460,468,461,463,463,464,468,468,468,468
admin_1,de,de-he,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,4,5,2,2,3,18,4,7,45,60,13,78,17,102,126,29,161,57,66,71,78,243,275,290,305,317,328,165,357,372,382,224,404,238,422,434,442,448,452,455,331,461,354,361,470,471,472,475,394,480,484,408,491,491,425,498,499,499,439,504,506,507,507,509,510,510,513,514,514,514,478,514,514,514,514,515,515,488,516,490,516,516,516,516,518,518,518,518,518,518,500,519,519,521,521,521,521,521,521,511,521,512,521,521,521,514,521,522,518,522,522,519,522,521,523,523,523,521,523,524,524,524,524,524,525,522,528,528,530,530,530,525,534,534,535,527,537,537,538,538,538,538,538,538,520,538,538,538,538,539,539,540,533,540,540,535,540,540,540,540,540,540,540,540,540,540,538,538,544,546,542,547,547,548,548,549,551,544,554,555,546,555,558,558,559,559,560,562,552,552,567,553,570,570,571,558,558,558,579,582,582,559,560,590,595,597,600,600,611,614,570,630,641,645,652,581,585,683,709,605,747,616,619,791,631,827,649,880,892,912,943,975,1006,1022,1051,1063,768,1137,808,1216,1249,1292,870,1346,1396,1446,1497,987,1573,1047,1051,1090,1736,1147,1832,1864,1263,1931,1994,2064,2178,2269,1474,2362,1503,2539,1603,2724,2818,1779,1820,1834,3094,1939,1990,3389,3463,2191,2214,3666,2333,2421,2491,2552,4006,4071,4155,4265,4354,4389,4417,3040,3109,4579,4647,4733,3455,4865,4901,4931,4995,5073,5127,5195,5256,5292,4147,5386,5458,5516,5559,5588,5610,5639,5675,4744,5759,5797,5821,5833,5847,5882,5918,5946,5977,5994,6004,6020,6036,6063,6079,6084,6094,6099,5563,6132,6153,5707,6178,6188,6191,6199,6216,6234,6238,6252,6264,6275,6286,6298,6318,6332,6341,6352,6360,6368,6375,6393,6128,6421,6432,6163,6455,6473,6485,6500,6518,6529,6264,6548,6563,6316,6351,6619,6633,6644,6663,6685,6709,6450,6733,6742,6748,6758,6501,6526,6807,6826,6580,6584,6853,6873,6647,6666,6685,6932,6943,6956,6970,6774,7005,7012,7022,7030,6852,7051,6888,7061,7079,7082,6962,6974,7105,7107,7076,7113,7115,7118,7116,7148,7116,7171,7118,7188
admin_1,de,de-hh,,0,0,0,0,1,1,1,1,0,0,0,0,4,4,0,0,5,7,1,10,12,13,16,29,35,2,54,4,4,67,75,14,16,115,19,134,19,29,169,44,174,182,188,56,61,210,80,90,222,225,91,230,238,113,243,245,142,249,251,155,252,252,164,256,172,259,260,261,261,261,262,262,262,263,228,263,264,234,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,264,254,264,264,264,264,264,264,264,259,264,264,264,264,264,259,264,264,264,264,264,264,264,264,264,265,265,265,265,265,265,265,265,261,265,265,265,261,265,265,265,261,266,261,266,266,266,266,266,261,266,261,266,266,267,267,267,267,267,267,262,268,268,268,268,268,268,268,268,269,269,269,269,269,269,265,269,269,269,266,269,269,266,0,269,269,271,271,271,271,271,271,267,272,272,272,268,273,273,273,273,273,273,273,273,273,273,269,275,275,276,269,269,271,271,283,283,272,285,285,286,276,286,286,277,277,288,289,278,278,296,280,280,299,281,282,283,283,283,283,332,283,283,283,340,285,360,291,294,376,384,298,304,411,418,305,308,451,454,462,472,314,492,318,511,334,522,338,543,347,347,358,368,372,372,373,609,627,404,407,419,661,673,693,717,458,744,478,478,782,491,822,830,528,857,889,908,561,917,923,929,941,956,986,992,999,1010,1024,661,1059,1072,725,763,1107,1114,1131,1143,1153,1172,1182,895,1185,906,1205,1211,950,1226,1233,1234,1243,1255,1262,1264,1037,1280,1071,1286,1287,1292,1292,1298,1303,1304,1311,1313,1316,1322,1328,1330,1333,1196,1345,1352,1356,1362,1365,1369,1371,1374,1375,1378,1384,1385,1387,1387,1390,1393,1397,1398,1400,1403,1406,1410,1414,1314,1421,1422,1332,1425,1429,1434,1435,1439,1441,1348,1445,1450,1358,1458,1460,1462,1465,1467,1470,1474,1475,1477,1477,1478,1480,1398,1398,1486,1488,1409,1411,1491,1492,1496,1499,1427,1504,1509,1511,1514,1516,1518,1447,1523,1523,1461,1529,1474,1483,1529,1496,1502,1503,1530,1530,1531,1531,1517,1519,1531,1519,1531,1530,1531,1531
admin_1,de,de-mv,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,5,7,10,3,13,13,6,8,16,16,16,11,17,17,17,18,18,18,13,19,19,16,19,16,19,19,17,20,20,20,20,19,20,20,20,20,20,20,20,20,20,20,21,20,20,20,20,20,20,21,20,20,20,20,21,20,20,20,21,20,20,20,21,20,20,20,20,21,20,20,20,20,20,20,20,20,20,20,21,20,20,20,20,20,20,20,20,20,20,21,20,20,20,21,20,20,21,20,20,21,20,21,20,20,20,21,20,20,20,20,20,20,20,21,20,21,20,20,20,21,20,21,20,20,20,20,20,20,20,20,20,20,20,20,21,20,20,20,20,20,20,20,20,21,20,20,20,21,20,20,20,21,20,20,21,20,20,20,21,20,20,20,20,20,21,21,20,20,21,20,20,20,20,20,20,20,21,21,20,21,20,20,21,21,21,21,21,20,20,21,21,20,20,20,20,20,21,21,21,21,20,20,21,21,22,21,21,21,26,26,21,22,22,22,23,23,33,23,33,24,40,26,29,29,31,45,49,53,36,59,38,38,61,42,47,67,67,53,53,55,55,57,58,82,61,61,92,65,103,73,75,117,77,131,135,89,145,96,152,154,100,103,174,111,114,117,192,208,127,217,135,142,230,240,269,285,296,303,308,177,316,337,345,361,373,379,382,394,416,441,450,477,298,495,505,519,536,345,562,572,581,585,617,413,637,443,660,662,669,678,687,703,714,720,723,730,739,744,751,758,763,763,768,778,785,680,798,804,692,806,813,815,817,821,824,826,746,838,843,845,852,853,855,857,864,870,875,882,886,888,891,899,899,901,908,917,919,921,928,840,942,944,948,948,951,958,962,965,968,969,972,974,976,980,986,992,992,910,1001,917,921,1016,927,1021,929,934,1034,1037,1040,963,965,1051,1051,1056,1058,1062,1064,999,1000,1009,1011,1018,1074,1074,1074,1075,1055,1059,1075,1075,1075,1079
admin_1,de,de-ni,,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,9,11,18,4,22,27,6,49,10,19,121,137,32,173,46,58,247,94,276,113,126,152,364,380,389,401,412,242,265,463,289,322,490,330,342,518,530,537,540,542,552,559,567,466,574,574,479,582,494,590,591,594,596,597,598,602,606,607,555,610,611,614,619,620,620,623,588,624,625,627,604,628,629,630,614,631,632,633,634,624,634,634,635,635,636,631,640,640,640,641,642,646,648,640,649,649,649,650,650,645,652,650,652,653,653,653,654,654,655,656,657,657,658,658,658,658,658,661,659,659,660,663,660,660,660,667,660,660,661,661,661,668,661,661,662,671,663,663,663,663,663,663,664,664,664,664,664,665,673,665,666,667,668,670,670,676,671,671,671,672,672,673,674,678,674,674,674,674,674,674,682,674,675,675,680,681,682,683,683,684,684,686,688,684,689,690,693,694,688,688,699,696,707,707,708,710,711,700,702,716,716,718,707,724,727,709,734,712,746,719,757,721,722,724,764,766,732,738,739,815,828,836,750,876,889,917,937,776,953,963,983,1005,1016,832,1046,1052,854,867,1119,911,914,1191,930,1220,1266,979,1329,1356,1378,1041,1046,1077,1480,1514,1152,1545,1558,1187,1205,1232,1250,1694,1715,1297,1741,1777,1808,1387,1904,1452,1942,1461,2025,2066,1589,2178,2218,2231,2301,1714,2415,1801,1825,2489,1850,2565,2617,2692,2747,2760,2792,2819,2108,2938,3005,2296,3128,3166,3181,3219,3277,3333,3395,3459,3497,3524,3569,3633,3695,2944,3788,3817,3836,3867,3918,3983,4032,4083,4115,3356,4153,4188,4229,4272,4305,4337,4353,4366,4394,4445,4486,4514,4525,4545,4554,4577,4608,4623,4646,4659,4198,4680,4701,4731,4754,4768,4784,4789,4805,4819,4829,4842,4851,4862,4865,4876,4891,4902,4917,4922,4931,4695,4944,4963,4981,4995,5006,5013,4819,5029,5043,5063,5082,5104,5119,5125,5136,5150,4989,5191,5206,5215,5222,5226,5236,5253,5267,5279,5290,5134,5307,5182,5208,5225,5362,5374,5240,5248,5393,5401,5413,5328,5424,5429,5433,5438,5443,5414,5450,5433,5452,5452,5465,5474,5464,5465,5466,5507,5524,5467,5468,5468,5469,5581
