region_schema,region_parent,region_child,agerange,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21
admin_0,,de,,,,,,,,,,0,0,0,0,0,0,24,12,7,21,17,11,30,22,37,80,90,72,67,107,,,287,173,192,123,162,140,328,,,,,,,376,,,478,,,212,229,,,212,,,,,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-258,,,,,,,,,,2,5,,,,,,,,,,,8,,,,,,7,12,17,4,,,,7,,,16,,,3,21,28,32,-15,23,,,30,58,29,43,45,27,28,44,79,99,73,87,,,,,163,146,215,35,99,115,185,300,194,,,153,,,301,253,,,72,490,137,438,372,438,238,76,344,468,518,449,549,143,198,,,513,704,524,264,181,1306,252,616,789,775,438,365,495,745,1099,583,406,194,,,,,,,,484,,,,1102,,,,,,,,,,,1150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,217,,,,,,293,,,,94,,,284,295,238,,,225,,,,,180,,,,,294,,,94,220,337,266,252,,,122,170,291,,,,,,188,288,,,,,,35,108,,,200,,,,,,,,,,,127,,,,,,,,,,,,,46
admin_1,de,de-bb,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,1,0,-1,0,2,10,0,12,8,-25,3,3,52,3,-38,52,-44,57,-44,51,6,0,2,9,5,-49,9,46,9,-45,11,42,2,1,0,3,2,1,-9,12,3,0,2,-13,13,1,-7,7,0,0,0,1,0,-1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,-3,0,0,0,0,0,1,0,0,0,0,0,5,-5,0,5,-5,0,0,0,0,5,-5,0,0,0,0,5,-4,0,0,0,0,0,0,6,-6,0,0,1,-1,0,0,0,0,0,0,6,-6,6,-6,0,0,6,-6,0,0,0,0,0,0,1,0,0,0,0,6,-6,6,-6,6,-6,0,0,6,-6,0,6,-6,0,0,0,0,0,0,0,0,0,0,6,-6,0,6,-6,0,0,1,0,0,0,0,0,0,0,0,5,-5,0,0,0,5,0,-5,5,-4,0,4,-4,4,-3,2,0,0,0,1,2,-1,0,4,-4,0,0,2,12,2,3,1,-16,24,-22,1,2,0,2,3,1,40,7,-38,2,51,7,7,6,16,5,-67,2,79,8,-82,2,2,117,-106,7,119,22,14,8,5,-123,150,15,11,-140,182,23,11,27,22,25,-199,22,5,235,23,23,32,42,30,-282,8,363,-317,20,27,52,474,31,40,59,-460,543,-493,16,558,51,73,85,49,29,18,24,63,66,61,-639,51,730,48,50,72,61,53,48,-664,705,53,45,39,38,53,36,6,27,35,31,27,21,11,10,13,21,18,28,13,12,6,10,15,17,13,5,19,3,4,12,9,17,16,12,-265,275,6,4,11,7,2,6,7,2,7,5,6,6,0,4,13,14,-159,176,8,2,5,12,13,9,6,6,-131,141,21,9,10,13,6,9,9,9,12,16,2,6,-179,189,-182,201,18,8,-186,0,203,10,15,9,13,5,-173,4,184,-165,182,7,-174,181,4,7,5,6,4,8,2,-138,143,-88,98,2,4,1,4,2,4,3,2,1,0,-53,3,55,0,2,0,0,1,-37,39,1,0,1,0,0,0,0,-5,5,0,0,0,0,0,8,-8,0,0,0,12,-12,0,42,-42,0,47
admin_1,de,de-be,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,5,-14,5,20,3,4,4,3,-27,42,17,-50,2,2,0,83,10,-79,85,0,3,1,-57,63,6,4,1,-54,3,8,56,3,7,1,-45,62,0,-40,44,3,1,0,-38,40,1,0,1,0,-36,39,0,1,-28,28,0,-23,27,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-13,14,0,0,0,1,-7,9,0,0,0,0,0,0,2,0,0,0,0,0,-7,8,-7,7,3,1,-10,12,0,0,0,2,-13,13,-12,13,0,0,-10,10,0,0,0,0,0,0,0,0,0,0,0,0,-6,6,-6,6,0,0,0,0,0,0,0,0,0,-5,5,-5,5,0,0,0,0,-5,7,0,-5,6,0,0,-6,6,0,0,0,0,0,-6,6,1,0,-7,7,0,0,0,0,0,-7,0,7,-7,7,0,-6,6,0,0,1,1,0,0,-7,8,0,3,-11,14,-14,1,14,0,1,-13,15,1,-14,16,-15,18,-18,20,-17,22,-20,20,-18,0,2,46,8,2,-50,69,11,17,-93,0,2,138,21,19,15,20,8,7,3,-185,229,-216,252,-218,248,-238,13,287,-265,29,19,282,13,-287,364,-321,392,34,-379,399,-385,12,479,46,42,-475,22,4,543,37,39,-534,45,585,-577,78,627,-598,30,26,23,738,-721,825,-744,13,807,22,73,46,33,18,6,19,-837,916,61,46,-841,60,887,13,42,58,36,42,41,9,8,39,-804,875,-797,838,8,4,23,12,19,14,-679,702,-661,693,18,18,20,16,6,2,16,8,8,5,18,5,2,-491,516,6,7,3,2,1,10,8,10,7,6,2,0,-373,395,8,6,5,3,2,0,10,10,-336,351,2,0,7,8,2,5,5,1,-317,323,5,6,6,4,2,0,5,10,-298,312,4,7,2,2,-292,309,5,10,3,-294,303,-298,6,9,309,3,0,9,4,-299,307,3,-292,294,7,10,6,2,2,-294,295,-281,285,-271,0,277,-253,255,-219,4,222,-203,205,0,0,2,1,0,-117,121,0,-99,99,0,0,0,-72,72,0,1,1,1,-41,43,1,0,1,0,0,0,1,0,-27,27,-25,25,0,-4,4,0,0
admin_1,de,de-bw,,0,1,0,2,1,1,2,-7,12,-12,20,9,-29,0,59,-51,89,29,18,20,-133,206,45,74,51,-292,23,418,83,-427,75,615,-524,601,45,53,-543,680,40,37,45,33,-623,696,33,29,21,26,-508,50,45,499,15,-382,408,4,10,-305,328,8,22,-277,283,-225,238,6,-197,214,1,2,7,4,6,-124,130,0,9,9,5,2,1,3,0,1,3,1,2,1,0,-43,43,1,-29,35,-22,22,1,0,0,1,-4,5,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,23,-21,0,1,1,0,1,0,0,0,0,1,22,-22,3,0,21,-21,1,1,20,-16,0,1,2,0,0,0,18,-18,19,-19,0,0,19,-18,0,0,0,0,0,0,2,23,-22,0,0,0,0,0,24,-22,0,0,23,-22,0,0,0,1,0,0,0,0,0,2,2,0,0,1,2,25,-22,1,0,21,-20,4,17,-15,0,1,1,16,-13,1,5,6,0,1,5,2,7,5,0,1,-8,3,22,2,9,12,4,-38,2,4,6,-1,5,94,8,14,16,-110,10,5,193,-190,8,280,34,16,-283,328,-321,387,-354,422,-385,442,-423,482,32,-470,22,618,54,39,57,60,-661,817,63,40,33,40,44,70,-844,48,1038,-957,10,56,49,64,37,1241,-1166,16,1386,103,-1290,66,69,41,22,1640,107,-1457,97,98,51,36,1815,129,-1623,1732,61,-1656,1762,127,131,83,40,58,-1732,1825,103,72,-1622,128,1723,25,54,75,104,77,65,-1439,1501,-1381,1481,54,66,47,30,13,20,35,37,32,-1014,1079,27,22,20,32,21,19,29,11,18,25,20,15,18,14,5,9,14,20,-550,590,11,-549,578,17,11,21,17,18,4,7,18,11,21,10,11,4,10,16,22,12,17,9,8,15,27,16,26,20,17,9,14,22,-361,17,422,27,12,27,33,27,31,21,12,-469,495,29,-441,499,14,-434,6,494,24,-431,482,20,30,6,18,32,30,21,25,23,7,42,24,19,20,21,11,14,7,23,18,-397,428,-388,9,25,45,360,-320,335,8,3,-269,25,265,2,11,1,-164,170,3,3,7,3,3,2,2,3,1,2,1,1,0,1,-14,15,11,-10,1,1,1,1,0,0,98,-98,0,112
admin_1,de,de-by,,0,0,1,0,0,0,0,3,1,3,-8,0,0,27,10,-30,53,26,41,-105,5,216,-205,13,422,-367,503,-451,655,107,128,94,83,49,72,96,90,89,58,71,42,45,70,-859,985,52,35,39,33,-745,817,37,-625,41,638,-588,629,18,11,22,14,-398,410,9,12,15,-288,305,6,-243,262,7,4,9,7,2,5,4,7,2,5,2,0,3,5,-116,119,1,0,-104,106,1,3,1,1,1,3,0,0,1,0,2,0,0,1,2,0,1,-34,35,1,0,3,1,-18,20,-11,12,0,0,1,0,0,-7,7,0,0,1,1,0,0,0,7,-6,1,2,0,0,1,0,7,-6,0,0,0,0,8,-8,0,2,8,-8,0,1,7,-7,1,0,0,13,-13,14,-14,17,-17,0,1,2,1,0,13,-13,0,0,1,1,0,0,15,-12,0,14,-13,1,0,17,-17,0,2,6,2,9,1,0,-5,6,-1,3,-1,5,2,1,6,-10,1,18,-16,18,1,-15,1,3,15,4,2,5,-21,31,7,8,8,3,-38,0,2,4,5,-19,105,3,7,-95,4,0,145,8,15,-151,222,35,37,44,-287,364,-354,468,60,-490,16,50,603,52,-626,49,783,-704,837,40,99,97,116,105,98,59,34,-1119,1324,-1220,1472,120,73,-1410,3,1738,116,139,-1646,1838,-1686,28,2025,142,201,-1912,2181,-2061,2304,-2127,2465,-2215,2576,115,72,-2309,46,2750,-2443,2643,98,-2557,2751,211,190,160,63,97,-2767,2955,143,114,-2626,144,2869,81,53,113,144,174,109,-2571,2703,59,111,106,69,80,61,32,44,87,81,56,64,48,19,37,45,68,59,32,28,10,31,39,41,33,33,11,14,23,27,41,-859,922,21,16,20,30,31,24,21,10,11,-689,727,22,25,23,21,7,19,28,24,-548,593,18,-551,586,29,34,27,21,24,13,22,36,-541,609,32,34,17,20,43,54,-614,680,31,-668,706,-657,38,735,30,-682,17,741,43,-656,43,697,22,17,-647,724,35,38,34,29,13,15,33,-608,671,30,27,-605,632,-565,35,590,20,8,-503,526,-460,489,12,8,9,-418,441,6,5,12,10,5,-270,277,-253,265,7,9,3,2,2,1,1,-100,102,3,1,1,-55,55,3,0,0,0,0,8,-8,0,0,0,0,68
admin_1,de,de-hb,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,0,0,1,0,2,1,-3,3,2,1,1,-3,9,-9,2,1,0,9,2,-7,10,0,3,0,-6,8,-6,3,4,0,-4,8,0,-7,7,0,-7,10,0,-7,7,0,0,0,-5,6,2,-8,11,1,-10,10,1,0,-8,10,0,-10,11,0,0,0,-8,8,1,0,0,0,0,0,0,1,1,-9,10,0,0,0,0,0,0,0,1,0,1,0,1,0,0,-6,9,0,0,0,0,-9,9,0,0,0,0,-5,5,0,-5,5,0,-4,4,-4,4,0,0,-3,3,0,0,-3,5,0,0,-5,5,0,0,0,0,0,0,-5,5,0,0,0,0,0,0,0,0,0,0,0,-4,4,0,1,0,0,0,0,0,-5,5,0,0,-5,5,0,0,0,0,0,-5,0,5,0,-3,3,0,0,0,0,-3,0,3,0,-3,3,0,-2,2,0,0,0,-2,0,2,-2,2,0,-2,0,0,3,-3,3,1,-4,4,1,-4,6,0,0,-5,5,-4,0,0,6,1,-6,8,-8,0,0,17,-16,0,22,1,-17,1,1,24,3,3,-24,29,3,-24,27,-25,28,-27,0,36,2,0,4,1,-30,1,1,42,1,1,-35,0,40,3,1,0,2,6,2,-38,3,1,3,35,2,-30,4,3,35,3,-30,3,41,-39,2,48,5,1,-47,56,-51,0,4,58,2,4,2,2,1,0,-48,50,1,0,-42,9,37,0,1,0,7,1,3,6,2,1,-38,45,-36,45,3,0,2,3,-41,53,7,2,-53,55,4,2,0,4,1,0,1,2,2,3,2,2,2,-34,45,0,5,2,4,1,4,7,0,4,4,2,1,0,4,2,3,3,0,1,2,1,1,-33,36,0,-36,39,1,1,3,2,0,-32,33,1,2,1,2,1,1,1,1,0,-28,33,3,1,1,1,0,2,2,-29,29,3,-25,0,28,1,0,0,2,1,-17,21,-19,1,20,0,0,2,-15,17,-16,19,1,-20,21,-15,15,1,-13,0,1,14,-11,11,0,-10,10,-8,10,0,1,1,0,-11,1,10,-9,0,9,0,1,0,0,0,0,0,0,-8,0,8,0,0,0,-5,5,0,0,0,0,0,0,0
admin_1,de,de-he,,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,1,4,-3,10,-9,15,-14,28,-25,3,3,0,76,13,-81,128,12,18,-113,140,-128,165,32,-155,185,12,11,-163,192,15,-169,21,180,8,10,-156,176,6,4,3,2,4,1,-101,109,3,1,3,-83,89,4,-79,86,0,-69,76,1,0,-63,68,2,1,0,1,1,0,-41,45,0,0,0,0,0,0,-29,30,0,0,1,-28,28,0,0,0,2,0,0,0,0,0,-20,21,0,2,0,0,0,0,0,-12,12,0,0,0,0,-9,9,1,-6,6,0,-5,5,-3,4,0,0,-4,4,1,0,0,0,0,1,-5,8,1,2,0,0,-8,12,0,1,4,0,0,1,-16,16,0,0,0,-23,23,-11,11,0,1,0,1,0,0,0,-10,10,0,0,0,0,0,0,-8,8,0,-7,11,0,2,0,1,0,1,0,1,2,-12,1,15,-14,15,3,0,1,0,1,2,-16,0,21,1,3,0,1,1,-21,25,1,3,0,2,4,2,6,-41,47,0,12,3,6,-53,74,-71,82,9,11,15,29,30,-143,5,3,4,210,19,-203,257,14,-251,301,32,32,-305,351,-326,14,15,426,-384,15,481,18,-455,545,-492,597,37,42,21,33,36,72,61,-645,718,-646,704,62,73,94,90,62,-867,22,1057,-957,56,42,1216,51,-1134,1287,-1182,51,1429,-1298,1417,63,98,122,74,-1404,1510,-1449,1553,85,110,90,35,28,33,-1377,1509,70,-1329,96,1455,36,30,64,78,56,68,-1165,1263,-1193,1290,72,-1100,1201,29,22,31,36,-984,1069,39,25,-955,981,37,36,28,32,17,10,16,16,26,16,5,10,5,-594,628,21,14,12,10,3,8,17,19,4,15,13,11,11,12,21,16,9,11,9,9,7,19,16,13,12,6,18,18,15,15,18,12,-341,362,19,19,-313,352,13,12,19,22,30,-349,377,9,8,12,18,-348,385,23,-354,372,12,23,-340,384,11,17,-355,23,378,-331,381,9,-340,366,24,13,13,-325,357,-326,16,339,17,-270,28,274,6,-238,246,13,6,8,8,5,-216,221,7,5,-162,173,7,2,-149,150,10,2,2,0,0,3,2,0,-2,4,2,0,9,-8,0,23,-22,1,0,1,38,-38,0,1,0,57,13
admin_1,de,de-hh,,0,0,0,1,0,0,0,-1,0,2,-2,4,-4,4,-4,5,-4,8,1,2,-11,0,28,6,9,10,1,-51,63,8,13,-72,0,3,115,-115,10,140,1,4,8,6,-132,5,149,9,-129,132,3,3,2,8,1,-100,106,-103,107,-96,99,0,1,0,4,-85,88,1,1,0,0,1,0,0,1,-36,36,1,-31,31,1,0,0,-26,26,0,0,-24,24,0,0,-20,20,0,-13,13,0,0,0,0,0,0,-12,12,0,0,0,0,0,0,-7,7,0,0,0,0,-7,7,-7,7,0,0,-7,7,0,0,1,0,-6,6,0,0,0,0,0,0,0,0,0,0,0,0,-6,7,-7,7,0,0,-7,7,-7,7,-7,7,0,1,0,0,0,0,0,-7,8,0,0,0,0,0,0,0,1,0,-7,7,0,0,0,0,0,0,-5,5,0,0,0,0,0,-4,6,0,0,0,0,1,-7,8,0,1,0,0,0,0,0,0,0,-7,0,7,0,2,0,-9,0,10,1,5,2,0,-15,17,0,-15,16,0,-13,14,0,-14,1,17,4,1,-20,0,23,9,-30,36,-35,0,45,7,3,-55,63,0,-61,80,-74,85,5,7,-90,6,113,5,10,-124,146,-143,154,10,6,-166,3,200,-184,2,207,-204,8,0,220,-199,4,216,10,-213,244,10,6,7,9,12,20,24,-259,286,3,-269,3,10,9,330,5,22,32,19,-347,10,352,-339,357,15,30,6,8,11,14,-364,399,13,-348,38,345,7,17,12,10,19,10,-288,291,7,14,6,8,7,7,1,10,12,7,2,11,6,-213,220,1,6,0,6,5,1,7,2,3,6,6,2,4,7,6,8,-155,165,3,4,2,3,1,3,6,1,2,-124,127,3,4,1,2,3,3,5,5,-111,118,1,1,2,4,5,1,4,2,2,3,5,-104,114,3,2,3,2,3,-107,114,3,1,2,3,-103,0,111,3,-103,106,2,-105,9,2,4,108,5,-109,115,3,2,-104,9,103,4,4,1,1,0,-73,6,1,1,5,65,1,0,-56,0,0,56,-45,45,0,1,1,1,1,0,0,0,0,1,-35,38,0,-26,27,1,0,1,0,0,0,0,1,0,-14,14,-9,9,0,-7,7,-7,7,0,-2,2,0,0
admin_1,de,de-mv,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,5,0,0,2,-4,1,1,0,8,-5,8,0,0,1,0,0,0,-5,2,4,-5,2,4,0,-3,3,0,0,-2,3,0,0,-2,2,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,0,0,0,0,0,1,-1,0,1,-1,1,-1,0,0,0,0,0,0,1,-1,0,0,1,-1,1,-1,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,1,-1,1,-1,0,0,0,0,1,-1,0,1,-1,0,0,0,0,0,0,0,0,0,0,1,-1,0,1,-1,0,0,0,0,0,1,-1,0,1,-1,0,1,-1,0,0,0,0,1,-1,1,-1,0,0,0,0,0,1,-1,0,1,-1,0,0,0,0,0,0,1,-1,1,-1,1,0,0,1,1,-2,0,0,0,0,1,0,0,9,-8,11,0,0,-10,17,1,-13,0,2,0,3,0,21,5,-22,0,24,2,3,1,0,0,-15,2,0,21,5,-20,0,26,6,8,-31,40,7,1,-41,54,4,-46,56,5,2,2,-54,3,8,68,3,-65,75,16,-81,7,1,92,-85,98,29,17,11,8,5,1,7,22,8,16,-131,149,3,13,22,25,9,27,11,7,10,14,17,9,18,10,9,4,33,-210,231,-201,224,3,7,10,10,16,11,6,3,7,10,5,7,7,5,0,-129,144,7,-116,131,6,0,2,7,2,2,4,5,2,-95,107,5,2,8,1,2,2,8,6,6,8,4,-99,104,8,0,3,8,10,-110,114,8,10,-117,126,4,0,4,8,-109,2,120,1,3,2,-119,126,6,7,0,-115,124,7,-120,130,4,3,5,-129,138,-121,129,-117,127,2,-116,124,-115,121,4,-111,1,9,2,7,14,96,-85,1,87,4,1,1,0,1,1,-52,3,52,1,0,0,-34,35,0,0,-24,24,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,-1,1,0,0,0,0,0
admin_1,de,de-ni,,0,0,0,0,0,0,0,0,0,2,0,-2,3,-3,0,1,10,-11,4,18,5,5,17,-39,9,102,16,-105,141,-127,169,-133,185,-170,16,208,-169,212,-186,211,12,11,-170,23,198,11,7,9,-160,181,7,12,-137,147,2,-119,136,8,7,0,3,-98,106,7,2,1,3,2,1,-75,80,4,1,2,1,1,-48,56,1,0,4,1,0,1,2,-28,29,1,1,-21,22,1,1,1,-15,15,0,1,0,1,0,4,0,0,1,1,4,2,0,0,0,0,1,0,0,2,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,-1,2,0,1,0,0,0,0,0,0,3,-2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,3,0,0,2,-1,0,0,3,-2,1,1,0,0,0,0,0,0,0,0,0,1,0,5,1,-3,5,-4,5,-4,6,2,-8,9,1,3,1,-10,0,15,-7,15,0,2,2,1,1,-15,19,0,-14,0,23,-22,1,31,-28,0,7,45,-43,46,0,3,-44,50,11,23,11,12,-86,119,-114,144,28,-157,188,6,-169,198,-184,17,218,-196,4,225,-207,10,285,-248,291,11,18,46,40,-326,377,22,-352,392,-356,12,33,30,403,-370,394,-374,27,18,446,21,-420,8,474,-396,4,520,-455,493,28,55,-479,583,-515,605,13,-545,681,-600,30,24,667,24,51,52,76,55,13,32,27,42,80,68,-716,840,39,15,38,58,56,62,65,-769,834,47,64,64,49,45,29,19,31,49,65,50,-733,818,-775,813,36,41,44,34,33,16,13,29,52,41,30,11,21,-604,638,32,16,23,15,7,15,21,30,23,14,16,5,16,14,12,13,9,11,3,12,15,11,-280,300,9,7,6,20,19,16,11,7,-233,250,15,21,21,22,16,7,13,16,23,20,17,10,-237,250,11,23,18,13,13,7,14,-200,237,13,17,14,3,-218,242,12,19,-193,11,207,-191,211,8,9,7,5,-156,13,165,7,13,6,5,4,3,-116,126,-97,104,3,5,2,9,5,4,1,5,5,0,-46,52,2,3,0,1,1,0,0,0,0,0,0,48,11,-56,0,0,0,0,0,0,0,0,0,0,0,110
