region_schema,region_parent,region_child,agerange,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13
admin_0,,de,,,,,,,,,,1296,1567,2369,3062,3795,4838,6012,9348,12223,15240,19712,22101,24273,28942,33856,37949,43938,50871,56517,61164,64950,,71571,81221,90166,94870,99513,101122,103483,110355,,118215,,,,130162,133203,,137780,143141,,145681,148061,149005,,154960,155596,,158388,,160577,163692,,,166061,,167665,,,170134,,,173278,,,,175659,,,177891,,,,,180547,,,,182132,,,,183906,,,184651,,185483,,,,,,187737,,,,,188639,,,190365,,,,,,193468,,194523,,,,195959,,,197436,,,198195,,198786,,,,200185,,,,202020,,,,203877,,204433,,,,207353,,208217,,209819,,,,212249,,,,,216819,,218721,,222116,,,,224986,,,229959,,,,234246,,,,240181,,,243103,243701,,,249065,,,,,,256133,257712,259720,,260999,,,266664,,,,,275117,276693,,280894,,,286082,288197,290766,293103,295326,,,301251,304217,,310614,315682,,324764,326000,330521,335116,341869,350754,358098,,366426,374073,381851,390786,405351,416948,430300,439388,451354,464932,482194,504382,525265,,546451,,576604,600755,627681,650693,666060,679572,691322,708217,738711,761954,,796319,810266,,833418,867315,891278,,925400,933239,953793,964857,985542,1018643,1034712,1051036,1056836,1071065,1087507,1109081,1133657,1160387,1172573,1186908,,1221609,1246528,1289606,1313482,1331501,1341146,1371748,1391343,1413185,1453721,1477702,1506251,1528010,1537115,1572717,1592442,1625588,1646623,1655787,,,,,,,1780281,1791989,,,1862916,1889700,,,,,,,,2038993,,2060261,2072491,,2109832,,,,,,2180630,,2208565,,2226627,,,,,,,,,,,,,,,2348123,,,2373087,,,2395030,,,,,,,,2456500,,,,,,,,,,2546776,,2570124
admin_1,de,de-bb,,2,2,2,4,4,4,8,12,21,24,54,75,89,84,94,195,171,204,361,315,353,457,513,610,683,762,766,833,928,1057,1126,1107,1313,1375,1444,1519,1625,1697,1858,1864,1982,2026,2038,2097,2158,2220,2330,2340,2420,2477,2470,2480,2634,2694,2704,2750,2788,2855,2843,2912,2960,2992,2986,3006,3049,3075,3087,3103,3108,3111,3120,3126,3136,3152,3159,3172,3173,3179,3183,3196,3199,3204,3209,3210,3217,3222,3228,3234,3237,3242,3243,3243,3247,3252,3255,3258,3259,3259,3261,3267,3272,3277,3285,3290,3291,3302,3358,3321,3335,3388,3366,3366,3370,3383,3393,3454,3402,3403,3405,3410,3414,3423,3431,3441,3512,3447,3452,3454,3454,3459,3462,3466,3467,3517,3475,3479,3481,3529,3493,3493,3520,3544,3545,3550,3551,3552,3554,3575,3567,3586,3577,3581,3583,3586,3591,3621,3612,3629,3648,3653,3672,3661,3669,3689,3699,3707,3712,3717,3733,3751,3770,3788,3803,3815,3819,3832,3850,3868,3881,3888,3886,3887,3892,3900,3910,3921,3943,3947,3947,3960,3975,3982,4002,4016,4031,4028,4035,4055,4073,4084,4108,4115,4117,4134,4142,4182,4217,4197,4247,4250,4262,4316,4306,4336,4448,4477,4487,4522,4582,4642,4604,4662,4873,4857,5001,4929,5019,5369,5284,5598,5640,5763,5972,5842,6025,6653,6806,6882,6838,6986,7150,8161,8497,8753,8870,9103,9460,9255,10368,10454,10980,11238,11449,11768,12175,12482,12910,13318,13419,13781,14283,14370,15145,15979,16331,16533,16717,17309,18159,17955,19265,19601,19713,20027,20331,21554,22301,22581,23333,23444,23908,24643,24846,25566,27311,27844,28159,28776,30289,31190,32174,33525,34290,34757,35686,36958,38109,39167,39341,39867,42133,41263,42739,44304,45091,45526,45820,46053,48041,48441,50021,51504,53119,53659,54127,54920,56190,57521,58726,59772,60602,60782,61566,62288,63480,64294,65002,65586,65778,66062,66796,67350,68064,68611,68959,69394,69312,69795,70289,70679,71036,71301,71410,71578,71864,72342,72668,72952,73199,73328,73427,73736,74081,74525,74623,74872,75273,75073,75373,75711,76047,76287,76498,76568,76981,77068,77363,77672,77900,78121,78189,78339,78630,79073,79474,79749,80166
admin_1,de,de-be,,0,6,9,19,24,25,37,59,93,135,182,174,270,265,300,383,598,688,868,1076,1144,1303,1502,1425,2033,2152,2435,2462,2689,2902,3089,3223,3486,3674,3752,3687,4098,4276,4452,4357,4621,4675,4734,4667,4736,5015,4971,5091,5250,5295,5371,5452,5539,5476,5532,5688,5677,5823,5738,5881,5973,6004,6004,6092,6145,6203,6261,6203,6282,6290,6272,6344,6402,6447,6463,6479,6487,6520,6566,6614,6624,6660,6611,6671,6693,6715,6672,6782,6813,6836,6863,6865,6906,6873,6993,7028,7044,7052,7081,7138,7215,7265,7307,7375,7387,7418,7368,7578,7706,7843,7878,7898,7961,8033,8091,8020,8196,8213,8215,8268,8303,8242,8406,8447,8478,8480,8513,8461,8596,8536,8664,8668,8669,8696,8721,8745,8761,8724,8800,8800,8831,8836,8891,8938,8999,9017,9020,9019,9125,9192,9241,9317,9351,9351,9399,9366,9523,9606,9708,9727,9687,9829,9934,10078,10106,10242,10275,10278,10252,10453,10524,10462,10711,10743,10744,10727,10906,11005,11081,11010,11219,11224,11188,11265,11500,11577,11528,11743,11746,11878,11934,12048,11950,12089,12215,12326,12268,12538,12713,12592,13081,13139,13167,13361,13256,13715,13942,14148,14231,14259,14462,14678,14499,14787,15031,15707,15818,16133,16459,16955,16614,17921,18092,18241,18838,19346,19033,19536,20087,21416,21611,22389,23286,22726,23697,25928,25373,25789,27563,28695,29980,31028,32099,32453,32812,32592,35551,34818,38090,39254,39379,39955,41428,42724,42014,45961,47355,47816,47265,49034,51709,53063,53314,55977,56433,56822,56504,58924,58924,60554,63821,64308,64577,65775,66875,66306,69455,70919,69768,71682,73034,74254,75691,74554,77212,78250,78798,78798,80935,83542,85204,83691,85236,87580,88030,88030,92188,92785,92965,92992,93807,95292,96505,97567,98053,98327,98810,99269,99536,101482,102858,103646,105125,106219,106451,107822,109000,110190,111207,112105,112232,112567,113060,113884,114996,115517,116333,116600,116657,117270,117960,118447,119113,119506,119802,119858,120486,120998,121487,121928,122317,122519,122544,122967,123429,123854,124233,124569,124669,124704,125090,125462,125906,126201,126664,126840,126851,127275,127753,128237,128703,129182,129319,129347,129861,130366,130886,131329,131769,131936,132025,132100,132554,133153,133808,134026,134543
admin_1,de,de-bw,,30,54,92,128,179,211,230,282,400,277,454,1048,569,1557,1105,2592,3396,4053,4900,5466,3818,6664,7851,9038,10259,10272,11510,12485,13477,15338,16583,18003,19277,20131,20673,20879,22096,23030,24032,24698,25450,25878,26169,26540,27162,27823,27721,28828,29067,29343,29885,30242,30666,31418,31348,31481,32106,31835,32564,32371,32524,32646,32693,32771,32897,33025,33202,33904,33536,33588,33685,33786,33914,34018,34124,34178,34210,35012,34354,34442,34484,34548,35307,34614,34649,34706,34786,34850,34889,34913,34924,34931,34948,35697,35027,35061,35092,35105,35117,35148,35199,35893,35244,35254,35274,35291,36007,35355,35380,36090,35451,35463,35488,35524,35568,35611,35685,35720,35731,35747,35795,36103,35876,35916,36216,35942,35983,36019,36064,36342,36155,36179,36195,36240,36306,36352,36411,36492,36550,36578,36645,36698,36800,36891,37002,37053,37071,37152,37220,37320,37415,37596,37561,37572,37628,37695,37787,37867,37948,38006,38030,38111,38312,38383,38670,38685,38779,38810,39032,39309,39605,39645,40170,40354,40494,40492,41031,41324,41655,41943,42121,42268,42444,42732,43038,43321,43467,43875,43975,44197,44438,44724,45006,45273,45299,45610,45545,46174,46531,46479,47209,47414,47528,47717,47779,48286,48591,48912,49191,49332,49229,49618,49822,50122,50454,51212,51371,51664,52278,52881,53477,54199,54835,55138,54660,55320,55987,58542,59616,60412,60950,60275,61218,64803,63530,65450,67366,68775,69947,74934,73406,80021,82733,84360,85619,87522,90317,88176,96018,98851,97258,99549,101346,106485,109515,108676,115253,117244,118374,117900,122569,121545,124991,128257,133768,132960,136083,138355,137925,140649,146992,146579,150135,149947,151515,153503,160574,159891,166153,167584,169383,172561,171502,175467,182957,183959,186707,188804,193391,195288,198644,203183,207450,210332,214889,218757,219791,226539,228227,229522,230594,232503,235529,239359,242158,243481,244479,245557,247128,250214,252785,255845,258132,260359,261544,262844,265410,268410,270616,272655,274271,275028,277071,278493,279944,282802,283385,284709,285233,285784,287359,289103,290681,292049,293276,294699,294270,295508,296910,298139,299174,300238,300628,301048,302156,303303,304280,305212,305804,306127,306444,307283,308164,310339,310041,310944,311215,311619,312697,313796,314857,315809,316755,317159,318900,318901,320191,321351,322539,323654,324013,324587,326044,327609,329075,330253,332874
admin_1,de,de-by,,34,40,50,69,120,140,160,247,358,478,500,558,681,1266,1067,1352,2762,3582,4446,3695,6115,6836,6666,9740,11444,13090,12737,15375,15160,18270,20258,19663,24066,25560,25376,27414,26533,30497,31768,32714,33479,33898,34362,34231,36080,36946,36390,38247,38634,39014,39516,39436,40686,41214,41524,41713,41856,42416,42501,43321,43236,43363,43872,43604,44221,44082,44315,44524,44647,44725,44913,45126,45314,45522,45657,45758,45816,46551,46012,46206,46299,46416,46494,46588,46676,46810,46925,47013,47090,47173,47210,47230,47267,47321,47405,47462,47485,47524,47565,47610,47685,48331,47753,47775,47793,47827,48090,47913,47959,48000,48033,48061,48102,48149,48205,48264,48350,48393,48424,48485,48571,48634,48703,48786,48856,48884,48967,49176,49127,49216,49307,49368,49386,49583,49534,49641,49739,49930,49867,49911,49989,50210,50153,50295,50387,50541,50626,50854,50802,50920,51021,51166,51238,51308,51432,51511,51720,51853,51932,51979,52078,52196,52326,52577,52814,53033,53121,53283,53142,53966,54364,54758,55070,55263,55387,55744,56078,56571,56981,57265,57440,57552,57828,62869,58507,58906,59292,59601,59800,60230,60693,61229,60761,61986,61864,62459,62006,63402,63919,63439,64914,65223,65389,65779,65394,66546,66948,67309,67548,67675,67371,67657,68837,68641,68816,69843,69994,70355,69953,71514,70857,71515,73363,73674,74353,73790,76195,77480,77029,79730,80304,79374,82846,85069,87310,85431,91092,92502,94792,97518,95227,103624,106764,109382,111453,114284,117715,114350,125385,124375,132977,135161,138192,142054,146659,145417,150165,158495,157295,159489,166065,163119,169666,174217,182428,181746,182392,191114,188070,192021,203782,206668,208704,206367,209209,212425,223970,220610,230612,233049,230701,240307,237383,250219,255171,258554,257651,258427,269089,268724,270529,279393,281201,288100,293454,297774,303121,306601,309339,311568,313282,315604,320064,325761,329637,331602,333431,333884,337398,341668,345180,345700,349487,355826,357581,359450,362786,366798,370064,372958,374389,376376,377519,380419,383242,385707,388002,389766,390794,391550,394136,396524,398677,400599,402316,403102,403818,405751,408023,409798,411267,412701,413266,413734,415211,416913,418301,419548,420361,421032,421573,422925,424563,425877,427190,428238,429481,429347,430870,432509,434013,435499,436960,437694,439055,440115,441919,443645,445322,446640,447399,448215,450044,452502,454579,456084,457522
admin_1,de,de-hb,,2,4,4,4,4,4,4,11,4,33,38,49,50,53,56,66,78,119,142,168,168,175,199,203,213,261,278,290,295,312,315,332,354,388,395,395,397,437,455,464,477,481,487,494,499,554,566,584,595,603,619,727,744,720,776,790,797,840,798,861,916,919,936,953,919,1017,1046,1074,1089,1101,1104,1124,1153,1176,1197,1216,1226,1237,1256,1274,1290,1294,1301,1310,1312,1322,1325,1374,1403,1427,1435,1436,1447,1465,1499,1502,1519,1534,1535,1550,1567,1575,1583,1591,1594,1595,1597,1621,1628,1638,1646,1649,1655,1655,1657,1660,1661,1664,1663,1664,1669,1672,1677,1677,1680,1681,1681,1683,1686,1690,1691,1691,1692,1695,1693,1699,1703,1711,1720,1722,1723,1730,1729,1735,1744,1749,1749,1754,1760,1765,1776,1783,1784,1784,1788,1793,1794,1800,1802,1805,1806,1814,1824,1824,1830,1837,1843,1847,1853,1867,1879,1886,1894,1901,1906,1901,1925,1944,1958,1979,1991,1992,2000,2010,2037,2048,2057,2068,2071,2074,2086,2095,2102,2117,2125,2135,2137,2155,2170,2180,2187,2212,2217,2222,2227,2257,2279,2317,2362,2368,2370,2389,2467,2512,2516,2604,2615,2602,2637,2802,2876,2939,3066,3072,3082,3117,3169,3277,3380,3480,3575,3594,3635,3853,3866,4025,4158,4349,4480,4673,4876,4894,5319,5517,5738,5527,6079,6104,6599,6877,7060,7088,7235,7266,7572,7602,7848,8176,8210,8302,8435,8457,8753,8877,9175,9251,9277,9421,9614,9651,9847,9876,10078,10078,10223,10257,10429,10504,10645,10775,10831,10947,10980,11342,11498,11663,11690,11712,11870,11870,12082,12254,12370,12456,12651,12651,12773,13072,13024,13172,13174,13234,13391,13545,13656,13680,13692,13729,13807,13888,14042,14145,14252,14298,14339,14379,14475,14617,14688,14778,14908,14920,14940,15011,15134,15234,15310,15385,15422,15454,15542,15634,15741,15859,15957,15984,16023,16145,16260,16351,16447,16505,16549,16559,16645,16720,16790,16855,16899,16972,16995,17093,17188,17249,17358,17455,17482,17519,17639,17745,17827,17925,18015,18064,18078,18183,18277,18338,18417,18473,18494,18516,18599,18701,18785,18852,18935
admin_1,de,de-he,,9,13,15,21,22,26,26,46,62,48,99,215,203,286,342,617,841,1044,1255,1390,1449,1725,1682,1941,2509,2470,3002,3037,3091,3579,3423,3758,4265,4498,4652,4879,4816,5182,5729,5884,6035,6134,6211,6191,6598,6805,6682,7015,7197,7178,7372,7621,7746,7818,7847,7961,8018,8168,8290,8380,8472,8513,8538,8566,8656,8760,8843,8837,8976,8991,9059,9105,9175,9221,9227,9324,9398,9394,9533,9635,9663,9714,9718,9779,9809,9885,9914,9989,10027,10061,10064,10074,10100,10135,10164,10178,10207,10215,10251,10268,10305,10314,10339,10358,10364,10372,10412,10469,10517,10575,10595,10602,10622,10660,10687,10726,10755,10774,10776,10796,10826,10876,10905,10936,10950,10963,10990,11019,11071,11076,11152,11180,11183,11214,11254,11302,11342,11380,11413,11422,11446,11481,11545,11602,11673,11707,11712,11771,11835,11919,12000,12084,12134,12155,12224,12298,12414,12536,12659,12735,12753,12854,12858,13106,13291,13440,13501,13549,13737,13876,14084,14299,14508,14640,14693,14866,15042,15150,15273,15391,15445,15486,15615,15720,15803,15948,15923,16129,16185,16313,16404,16517,16619,16748,16766,16904,16874,17103,17278,17204,17543,17617,17651,17770,17895,18065,18275,18184,18626,18683,18825,18798,18984,19160,19706,19914,19990,19916,20143,20862,20675,21683,22011,22142,22503,22915,23640,24329,25216,25672,25987,26680,26201,26929,27947,29166,30241,31579,34548,36024,35138,39604,39296,41111,43653,44871,46436,48298,47034,49786,53636,53586,54592,58054,59936,61758,63635,65066,64805,67106,69082,71337,73330,75235,76683,77354,78404,79781,79131,80678,83637,86742,86629,88278,89643,91389,90464,95035,96266,95273,98159,99988,102038,100835,103716,106460,108005,110067,110132,110900,113096,116293,121223,121358,123417,122900,125397,126594,130888,131494,131807,132770,134784,137077,138750,139557,140048,140546,141386,143403,145617,147491,149116,150340,150791,151535,153124,154842,156378,157698,158786,159202,159756,161008,162606,163360,165161,165987,166260,166676,167778,169055,170070,171032,171858,172309,172474,173440,174589,175477,176211,176941,177126,177373,178026,178862,179508,180099,180491,180709,181338,181683,182441,183142,183782,184396,184849,184851,185635,186404,187120,187927,188493,188675,189081,189919,190786,191582,192299,193042,193235,193530,194438,195533,196520,197413,198131
admin_1,de,de-hh,,2,5,6,11,14,18,23,44,29,48,88,99,261,162,260,312,414,506,1019,1125,1274,989,1613,1775,1945,1759,1935,2078,2214,2577,2290,2881,3039,3147,3255,3348,3088,3370,3788,3518,3964,4010,4051,4128,4211,4284,4064,4297,4452,4347,4401,4591,4640,4681,4558,4742,4763,4788,4830,4855,4863,4876,4881,4890,4911,4933,4950,4962,4972,4975,4951,4981,4995,5005,5017,5023,5024,5034,5028,5041,5043,5046,5055,5049,5050,5053,5066,5054,5059,5060,5066,5068,5070,5080,5086,5091,5092,5093,5096,5098,5102,5133,5113,5116,5117,5118,5146,5128,5136,5155,5144,5148,5151,5160,5171,5175,5183,5177,5192,5193,5196,5205,5207,5209,5219,5213,5216,5222,5223,5225,5227,5227,5227,5228,5230,5231,5237,5241,5242,5244,5249,5258,5282,5294,5316,5331,5335,5342,5357,5387,5408,5427,5444,5450,5493,5443,5587,5647,5681,5715,5729,5763,5747,5840,5820,5900,5910,5918,5935,5967,6002,5988,6065,6081,6103,6129,6161,6191,6210,6248,6288,6307,6249,6364,6419,6469,6509,6544,6576,6599,6656,6725,6698,6830,6860,6895,6824,6986,7042,7123,7198,7263,7294,7339,7417,7492,7582,7678,7753,7803,7689,7749,7895,7895,8283,8365,8441,8539,8634,8740,8543,8987,9046,8963,8963,9366,9560,9287,9888,9746,10139,9908,10543,10864,10406,11658,11905,11513,12436,11852,13354,13852,14321,13752,14816,14035,15791,16313,15130,16262,16854,17139,17437,17859,19379,18915,19450,20535,20221,20406,21477,21972,21735,22097,23058,22702,23452,23331,23331,23694,24306,24606,24811,25121,25453,25149,26236,26590,26624,26624,27315,27663,27367,27700,29088,29379,29412,29412,29994,30563,30563,31595,32523,32429,32730,32730,33874,34872,34818,35334,35487,35973,36468,37046,37388,37601,37873,37571,37883,39112,39599,40121,40129,40699,40984,41339,41729,42075,42386,42777,42933,43051,43343,43651,43956,44242,44486,44743,44904,45132,45422,45543,45990,46023,46383,46407,46710,46936,47163,47365,47558,47694,47823,48026,48217,48415,48620,48836,48935,49100,49292,49489,49727,49906,50156,50300,50452,50659,50933,51196,51441,51644,51763,51988,52049,52443,52723,52952,53179,53337,53504,53734,53962,54256,54264,54591,54813
admin_1,de,de-mv,,0,2,4,5,5,5,7,11,13,20,29,38,45,40,51,85,100,133,167,182,182,203,240,227,288,330,351,362,375,425,417,446,506,523,528,529,565,573,588,586,612,615,619,618,633,642,643,649,652,654,655,660,660,666,667,673,675,687,687,695,699,702,702,706,712,716,722,722,726,729,730,736,740,745,742,748,749,754,751,759,759,759,759,759,760,760,760,761,762,762,762,762,762,764,765,768,775,775,775,778,779,783,783,783,784,786,788,793,793,794,794,794,794,795,798,799,801,803,803,804,805,808,806,806,809,806,806,809,806,806,806,806,806,809,806,807,807,809,810,812,812,813,818,829,847,847,847,848,855,865,869,872,883,887,891,881,914,929,939,943,937,949,945,957,962,973,974,975,979,981,984,983,993,996,998,992,1002,1004,1006,1009,1010,1011,1013,1013,1018,1022,1028,1032,1033,1039,1044,1047,1048,1060,1066,1067,1056,1082,1082,1098,1108,1116,1116,1123,1136,1136,1149,1157,1165,1168,1155,1209,1221,1250,1265,1291,1297,1306,1322,1341,1368,1393,1430,1374,1374,1511,1572,1623,1595,1707,1720,1736,1824,1905,1887,2091,2066,2181,2228,2380,2331,2636,2619,2792,2936,2928,3168,3327,3457,3443,3719,3689,3797,3788,4039,4205,4321,4408,4440,4465,4634,4799,4796,5076,5166,5195,5247,5394,5518,5514,5821,5929,5971,6003,5999,6129,6270,6448,6737,6706,6783,7107,7386,7619,7905,7876,8072,8238,8323,8642,9271,9234,9688,9671,9805,9910,10566,10540,10688,10946,11087,11183,11666,12045,12284,12425,12527,12594,12586,13355,13802,14039,14043,14698,14776,14972,15365,15720,16086,16396,16631,16741,16944,17262,17566,17827,18114,18335,18471,18577,18973,19205,19446,19681,19841,19935,20028,20311,20616,20857,21082,21206,21286,21373,21595,21789,21973,22132,22280,22342,22395,22670,22890,23096,23324,23437,23492,23547,23826,24018,24199,24405,24580,24609,24614,24938,25189,25357,25591,25683,25710,25771,26032,26229,26415,26525,26697
admin_1,de,de-ni,,4,10,14,20,27,35,39,53,49,75,219,311,388,287,391,789,740,981,1575,1452,1862,2105,2399,2776,2715,3560,3630,3911,4170,4755,4659,5457,5845,5999,6267,6442,6814,7148,7462,7722,7850,8000,8080,8246,8473,8715,8937,9054,9150,9444,9444,9650,9744,9978,9930,9980,10055,10155,10303,10325,10364,10399,10639,10504,10584,10678,10765,10911,10868,10878,11157,10976,11055,11095,11289,11158,11167,11459,11299,11393,11443,11538,11755,11584,11630,11690,11861,11889,11953,12012,12035,12077,12133,12313,12354,12492,12507,12539,12594,12670,12734,12946,12859,12889,12902,12939,13130,13053,13137,13363,13257,13269,13285,13356,13390,13431,13470,13701,13513,13545,13571,13605,13638,13670,13912,13693,13721,13735,13754,13768,13779,13782,13784,14018,13835,13865,13891,14117,14007,14018,14038,14307,14159,14188,14210,14243,14264,14491,14354,14405,14466,14616,14588,14603,14668,14729,14806,14889,14981,15021,15160,15127,15190,15298,15471,15465,15523,15540,15640,15801,15950,16025,16139,16186,16202,16327,16442,16542,16654,16709,16801,16832,16898,16996,17098,17195,17317,17353,17381,17493,17568,17678,17780,17901,18032,18063,18123,18377,18557,18729,18934,19034,19102,19193,19236,19331,19719,19655,20056,20112,20062,20375,20585,20599,20910,21316,21436,21558,21583,22255,22070,22566,23225,23429,23733,23640,23996,24430,25148,26202,26467,26325,26753,27380,29224,29995,29795,31250,31913,31732,34329,35869,35253,38339,39055,38744,41379,42958,42698,44272,47162,47823,48730,50098,50111,51653,53260,55932,55826,57201,58530,60128,61800,63261,64296,64822,64350,65636,66216,67574,69604,70595,71839,72426,73437,74783,76162,76175,77247,78145,78634,80389,80380,83523,84796,84759,86393,87277,88593,88703,92315,92330,93807,95701,96927,96435,100633,99469,102200,103396,103610,104560,106225,108404,109857,110372,110948,111332,112143,113912,116154,117850,118049,120804,121147,121836,123365,125006,126448,127893,128406,129518,130393,131091,132975,133728,135490,136381,136703,137121,138282,139214,140722,141545,142770,143138,143449,144518,145681,146710,147620,148483,148737,149004,149853,151033,152046,153131,153662,154193,154610,155679,156676,157575,158477,159436,159839,160075,161109,162259,163228,164236,164943,165270,165591,166400,167599,168470,169370,170305,170504,170930,171918,173135,174293,174917,176165
