region_schema,region_parent,region_child,agerange,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10
es_province,es,es-a,,,,,,,,,,10,24,44,69,87,128,186,292,402,528,682,855,1044,1259,1457,1634,1826,2046,2198,2349,2501,2617,2737,2847,2952,3044,3096,3162,3230,3297,3345,3402,3435,3462,3496,3519,3550,3584,3614,3630,3638,3654,3668,3687,3711,3723,3743,3749,3760,3779,3797,3818,3837,3852,3856,3862,3884,3902,3912,3918,3929,3933,3936,3941,3943,3946,3950,3952,3955,3962,3970,3974,3984,3986,3991,3993,3996,4000,4006,4009,4017,4018,4018,4019,4026,4029,4030,4033,4033,4033,4037,4038,4039,4040,4041,4042,4043,4045,4047,4048,4049,4052,4052,4052,4054,4055,4057,4059,4060,4060,4063,4064,4065,4066,4068,4069,4069,4071,4074,4078,4083,4088,4089,4089,4092,4097,4101,4110,4117,4121,4128,4134,4149,4161,4183,4199,4236,4262,4286,4319,4365,4408,4442,4484,4536,4592,4660,4712,4797,4855,4921,4995,5058,5129,5206,5301,5377,5462,5545,5603,5721,5846,5960,6080,6214,6331,6465,6638,6797,6972,7136,7340,7510,7663,7866,8062,8250,8404,8587,8761,8887,9081,9274,9487,9690,9924,10099,10262,10491,10731,10962,11192,11429,11596,11749,11999,12178,12370,12565,12727,12883,13009,13194,13371,13539,13703,13890,14014,14101,14269,14420,14564,14735,14903,15046,15178,15425,15667,15881,16153,16387,16614,16767,17041,17306,17639,17963,18306,18613,18927,19395,19863,20288,20711,21095,21418,21691,22075,22440,22824,23136,23531,23850,24105,24462,24721,25002,25229,25421,25508,25563,25578,25578
es_province,es,es-ab,,,,,,,,10,19,27,36,45,57,82,106,135,176,235,317,423,517,697,834,961,1075,1224,1355,1484,1609,1721,1828,1906,2047,2111,2179,2279,2388,2465,2524,2585,2615,2687,2735,2786,2814,2855,2914,2939,2953,2973,3001,3026,3050,3063,3071,3091,3114,3134,3148,3171,3180,3189,3201,3225,3255,3276,3292,3299,3301,3308,3317,3329,3341,3353,3359,3366,3371,3374,3374,3374,3374,3374,3376,3380,3380,3382,3383,3386,3388,3390,3392,3394,3401,3404,3408,3410,3416,3421,3422,3425,3428,3432,3436,3438,3439,3439,3441,3441,3443,3443,3443,3443,3443,3443,3443,3444,3444,3444,3445,3445,3445,3445,3445,3447,3449,3449,3451,3452,3452,3452,3453,3456,3456,3456,3456,3456,3456,3457,3458,3459,3459,3461,3464,3464,3466,3467,3468,3468,3469,3472,3476,3477,3484,3489,3491,3494,3499,3499,3503,3511,3513,3517,3521,3539,3551,3569,3586,3601,3613,3636,3664,3690,3720,3761,3799,3837,3894,3930,3958,4006,4059,4109,4153,4215,4264,4318,4381,4449,4496,4549,4613,4700,4775,4835,4911,4959,4989,5042,5096,5173,5236,5300,5348,5396,5448,5524,5614,5666,5734,5801,5840,5916,5969,6035,6088,6142,6192,6235,6293,6341,6381,6434,6482,6530,6579,6644,6714,6783,6844,6936,7023,7067,7145,7242,7344,7429,7510,7589,7680,7810,7944,8100,8228,8417,8531,8642,8819,8987,9136,9273,9419,9532,9637,9760,9899,10030,10126,10218,10236,10251,10256,10256
es_province,es,es-al,,,,,,,,,,,,,,1,4,11,18,29,40,56,67,87,110,122,135,157,186,217,234,257,286,302,312,330,346,369,376,391,404,420,431,434,438,440,445,450,455,459,465,467,469,473,479,481,485,485,486,490,492,493,494,495,496,496,499,499,500,502,502,503,506,509,509,509,509,509,509,511,511,511,511,511,511,512,512,512,512,512,512,513,514,515,517,519,522,523,525,527,527,529,529,532,533,537,537,537,537,538,539,539,539,539,540,541,542,542,543,544,544,545,546,547,549,554,554,555,556,560,565,568,572,581,589,592,594,599,617,626,655,679,698,710,764,778,791,805,836,895,954,974,997,1047,1085,1127,1156,1206,1244,1288,1366,1431,1501,1585,1691,1779,1885,2009,2136,2238,2281,2382,2489,2620,2778,2930,3071,3169,3330,3471,3578,3696,3871,4028,4144,4271,4370,4506,4703,4788,4959,5068,5213,5327,5478,5606,5725,5845,5946,6050,6151,6272,6410,6489,6556,6657,6698,6789,6915,7026,7128,7208,7282,7324,7412,7515,7603,7670,7765,7824,7881,7950,8064,8146,8222,8278,8365,8410,8475,8577,8668,8733,8810,8858,8916,8979,9078,9182,9290,9474,9576,9709,9872,10084,10311,10513,10657,10809,10962,11186,11444,11646,11916,12118,12247,12413,12581,12852,13029,13267,13507,13619,13672,13672
es_province,es,es-av,,,,,,,,,1,2,4,8,12,14,18,32,52,73,96,158,219,244,283,353,423,512,582,657,717,770,823,910,952,1014,1078,1106,1156,1175,1221,1268,1296,1328,1355,1388,1404,1448,1468,1504,1525,1544,1570,1589,1602,1621,1634,1644,1652,1662,1665,1674,1686,1690,1703,1706,1707,1711,1716,1718,1721,1726,1731,1733,1733,1734,1734,1737,1737,1737,1738,1739,1743,1745,1746,1747,1747,1756,1756,1756,1757,1760,1764,1769,1773,1778,1782,1784,1786,1797,1801,1805,1807,1809,1811,1817,1818,1819,1820,1821,1822,1822,1825,1827,1827,1829,1831,1831,1831,1832,1835,1837,1839,1843,1844,1845,1847,1849,1849,1849,1850,1851,1851,1852,1853,1853,1853,1853,1853,1854,1855,1855,1856,1856,1856,1857,1857,1857,1857,1858,1859,1860,1860,1861,1862,1862,1862,1863,1864,1865,1865,1866,1868,1869,1873,1876,1880,1884,1889,1895,1905,1915,1929,1938,1950,1957,1971,1987,2004,2023,2065,2115,2161,2181,2203,2225,2245,2277,2292,2334,2353,2371,2389,2413,2440,2474,2522,2541,2580,2619,2642,2666,2711,2752,2806,2836,2859,2895,2940,2956,3020,3058,3101,3129,3185,3236,3277,3319,3338,3356,3393,3419,3468,3512,3552,3577,3607,3654,3688,3718,3754,3788,3822,3845,3880,3913,3957,3990,4038,4087,4138,4204,4274,4347,4418,4496,4555,4610,4748,4824,4909,5014,5083,5128,5187,5268,5324,5393,5455,5503,5522,5531,5545,5545
es_province,es,es-b,,,,,,,,,,71,193,347,569,827,1112,1608,2294,2950,3840,5015,6141,7339,8760,10066,11476,12805,14411,15575,16636,17869,19001,20156,21301,22337,23417,24221,25197,26123,27177,28036,29003,29801,30497,31144,31739,32556,33397,34241,35170,35692,36172,36780,37375,37938,38390,38725,38951,39254,39417,39679,39901,40113,40252,40378,40483,40626,40749,40915,41043,41166,41286,41390,41443,41483,41535,41593,41633,41695,41800,41896,42021,42135,42304,42384,42450,42597,42774,42916,43091,43339,43429,43531,43697,43870,43991,44158,44300,44368,44398,44446,44514,44597,44686,44803,44848,44885,44967,45042,45139,45226,45313,45336,45360,45410,45468,45531,45596,45656,45704,45738,45803,45890,45928,46009,46115,46156,46204,46300,46385,46538,46656,46797,46900,47028,47235,47458,47694,47941,48308,48517,48748,49191,49618,50167,50692,51372,51792,52195,52921,53650,54402,55186,56003,56476,56903,57743,58559,59418,60239,61170,61726,62102,62851,63676,64527,65297,66273,66852,67273,68137,68916,69767,70600,71496,72068,72572,73420,74330,75164,76139,77055,77648,78162,79146,80061,81038,81992,82927,83410,83859,84752,85736,86588,87481,88446,89010,89453,90231,91046,91847,92756,93292,93844,94280,95112,96102,97109,98047,99015,99601,100128,101154,102050,102947,103595,104474,105001,105461,106444,107466,108492,109705,110897,111646,112260,113619,115125,116680,118596,120672,122028,123076,124393,126688,129160,131849,134605,136486,138210,141643,145543,149506,153397,157217,159252,161059,164154,167665,170872,174276,177795,179402,180453,184122,187743,190826,193709,196394,197409,197927,199296,199296
es_province,es,es-ba,,,,,,,,,,,1,1,5,7,10,19,36,52,81,100,122,142,174,205,235,276,331,367,420,476,511,541,579,601,616,629,646,651,687,710,735,754,761,771,772,780,783,795,803,809,819,831,834,842,843,847,850,865,871,878,883,887,893,897,901,901,905,909,913,918,918,924,925,927,930,931,932,933,936,939,941,942,942,943,945,947,947,948,949,952,952,953,954,954,955,955,955,956,956,956,956,956,957,957,957,957,957,957,957,957,957,958,958,961,963,963,964,964,965,966,966,967,968,968,968,973,977,982,989,997,1000,1004,1008,1014,1016,1031,1036,1058,1103,1121,1132,1143,1146,1152,1159,1164,1167,1169,1174,1185,1190,1193,1196,1199,1202,1210,1221,1236,1252,1270,1284,1299,1315,1319,1340,1361,1399,1412,1416,1428,1451,1500,1541,1570,1584,1611,1634,1665,1708,1750,1802,1836,1868,1924,1985,2040,2097,2200,2261,2340,2421,2501,2579,2700,2817,2886,2960,3042,3109,3222,3323,3436,3573,3702,3870,4003,4182,4336,4511,4604,4729,4873,5022,5120,5227,5310,5417,5483,5566,5679,5800,5916,6019,6117,6235,6343,6456,6576,6703,6861,6985,7118,7254,7465,7610,7839,8041,8313,8495,8721,9034,9306,9617,9895,10218,10526,10836,11186,11483,11852,12230,12463,12838,13242,13590,13814,14020,14269,14305,14330,14339,14339
es_province,es,es-bi,,,,,,,7,27,39,56,74,100,122,142,184,240,337,440,558,767,960,1175,1505,1803,2083,2356,2665,2912,3133,3392,3607,3833,4025,4287,4461,4599,4778,4941,5100,5249,5446,5585,5742,5925,6092,6259,6384,6502,6591,6692,6773,6843,6920,7000,7105,7192,7227,7284,7347,7384,7437,7515,7549,7580,7606,7637,7662,7683,7708,7737,7755,7767,7781,7794,7805,7822,7833,7840,7859,7870,7887,7897,7908,7915,7921,7932,7935,7939,7945,7947,7953,7956,7962,7968,7969,7972,7973,7975,7977,7986,7996,8000,8003,8010,8015,8024,8032,8041,8049,8058,8066,8074,8080,8087,8093,8100,8109,8118,8118,8121,8123,8127,8131,8132,8138,8142,8146,8149,8154,8158,8163,8168,8171,8176,8182,8187,8205,8217,8227,8241,8266,8291,8325,8374,8413,8465,8545,8596,8670,8733,8832,8902,8967,9068,9199,9347,9503,9638,9739,9852,10013,10225,10546,10814,11068,11289,11480,11685,12073,12369,12709,13060,13267,13435,13752,14136,14560,14914,15295,15553,15782,16063,16427,16840,17338,17710,17979,18196,18455,18797,19129,19546,19872,20156,20383,20668,21006,21329,21684,21955,22124,22295,22516,22750,23007,23282,23524,23704,23872,24030,24246,24411,24611,24899,25086,25230,25415,25548,25743,25945,26116,26234,26407,26584,26777,26977,27235,27486,27626,27889,28074,28350,28680,29031,29337,29667,29960,30287,30672,31212,31678,32143,32626,33051,33504,34012,34595,35205,35654,36171,36657,37187,37765,38376,38953,39575,40178,40721,40819,40876,40981,40981
es_province,es,es-bu,,,,,,,,,9,18,27,41,55,71,88,114,149,186,223,273,331,394,462,536,606,676,752,813,867,927,977,1029,1075,1113,1148,1184,1210,1242,1284,1330,1379,1414,1434,1478,1503,1550,1635,1683,1728,1752,1795,1826,1858,1879,1911,1925,1955,1969,1993,2031,2048,2060,2079,2089,2098,2105,2110,2120,2125,2130,2136,2137,2137,2137,2139,2139,2139,2140,2144,2148,2151,2155,2163,2167,2167,2173,2176,2180,2189,2193,2193,2194,2198,2200,2204,2209,2211,2217,2218,2224,2228,2231,2236,2239,2241,2243,2247,2250,2252,2252,2252,2253,2255,2255,2256,2257,2259,2260,2261,2261,2261,2262,2263,2266,2267,2267,2267,2268,2268,2268,2268,2268,2269,2270,2272,2273,2276,2276,2277,2279,2280,2281,2282,2283,2291,2295,2302,2305,2313,2316,2325,2334,2342,2350,2363,2379,2394,2413,2433,2477,2506,2545,2585,2672,2790,2848,2937,2995,3128,3184,3244,3334,3433,3487,3553,3632,3751,3825,3881,3944,4023,4064,4108,4171,4211,4256,4307,4357,4415,4457,4492,4580,4640,4722,4802,4862,4919,4978,5093,5171,5308,5439,5547,5619,5706,5826,5943,6046,6163,6267,6349,6425,6533,6665,6785,6896,6987,7043,7117,7226,7385,7511,7634,7754,7832,7977,8117,8270,8452,8578,8768,8863,8981,9141,9381,9551,9791,10004,10162,10400,10691,10996,11278,11592,11795,12068,12458,12874,13349,13586,13849,14063,14359,14689,15141,15478,15891,15972,16008,16059,16059,16059
es_province,es,es-c,,,,,,,,,,,,,,15,31,66,119,171,248,346,441,554,715,861,1000,1115,1301,1406,1512,1643,1751,1877,1966,2097,2214,2308,2399,2443,2565,2658,2746,2797,2877,2986,3062,3120,3197,3239,3271,3299,3373,3407,3477,3518,3547,3578,3599,3632,3659,3694,3736,3762,3773,3784,3805,3821,3856,3874,3879,3895,3900,3907,3912,3920,3923,3929,3937,3943,3948,3955,3959,3961,3963,3967,3968,3974,3980,3985,3995,3997,4000,4005,4006,4007,4007,4008,4009,4009,4010,4011,4011,4011,4011,4013,4013,4013,4015,4018,4018,4018,4019,4019,4019,4020,4020,4022,4024,4024,4024,4027,4027,4028,4028,4029,4029,4031,4032,4033,4034,4037,4038,4038,4038,4039,4040,4040,4042,4044,4044,4046,4049,4051,4054,4061,4070,4074,4076,4081,4086,4091,4100,4109,4116,4121,4126,4141,4168,4187,4210,4228,4248,4276,4326,4402,4446,4505,4565,4650,4728,4857,4972,5081,5171,5257,5349,5433,5557,5710,5859,6003,6117,6250,6371,6507,6654,6784,6923,7050,7176,7300,7438,7532,7659,7753,7844,7959,8084,8218,8298,8371,8487,8571,8655,8755,8843,8926,9038,9129,9222,9322,9406,9487,9553,9643,9720,9788,9839,9891,9950,10024,10101,10191,10258,10322,10406,10508,10615,10719,10851,10949,11055,11141,11274,11427,11597,11759,11944,12101,12278,12557,12821,13109,13335,13612,13883,14150,14453,14765,15020,15301,15543,15826,16067,16325,16532,16699,16865,17046,17105,17113,17115,17116
es_province,es,es-ca,,,,,,,,,,,,,,3,9,21,40,68,94,127,174,228,293,346,393,447,511,575,615,668,715,754,789,819,849,882,916,936,962,983,1003,1015,1026,1054,1077,1104,1111,1129,1141,1152,1163,1171,1181,1189,1196,1205,1211,1216,1223,1228,1237,1244,1249,1251,1254,1259,1262,1262,1262,1263,1264,1266,1268,1268,1268,1269,1269,1269,1270,1274,1277,1279,1279,1279,1279,1281,1281,1285,1287,1287,1287,1287,1289,1292,1294,1295,1296,1296,1299,1301,1302,1305,1305,1307,1307,1307,1307,1308,1309,1310,1311,1311,1311,1312,1312,1314,1327,1328,1329,1329,1330,1331,1333,1333,1336,1337,1337,1340,1341,1342,1345,1345,1348,1348,1348,1350,1353,1355,1356,1356,1356,1360,1362,1364,1365,1367,1370,1374,1378,1381,1382,1385,1392,1397,1404,1408,1417,1422,1439,1458,1477,1491,1512,1529,1558,1581,1618,1654,1695,1737,1795,1856,1899,1964,2055,2107,2169,2261,2336,2424,2508,2568,2633,2730,2838,2939,3082,3206,3291,3343,3431,3582,3708,3816,4002,4106,4287,4369,4493,4632,4749,4945,5079,5170,5253,5361,5509,5642,5836,5955,6043,6123,6239,6362,6520,6678,6830,6896,6981,7106,7213,7325,7450,7574,7642,7729,7840,7985,8102,8263,8381,8464,8535,8640,8810,8999,9184,9383,9500,9660,9873,10170,10434,10732,11028,11221,11436,11789,12116,12529,12868,13228,13478,13635,13871,14237,14608,14974,15380,15730,15740,15740
