date,region_schema,region_parent,region_child,agerange,value
2020-03-06,admin_1,fr,fr-74,,0
2020-03-07,admin_1,fr,fr-26,,0
2020-03-07,admin_1,fr,fr-69,,4
2020-03-07,admin_1,fr,fr-74,,1
2020-03-08,admin_1,fr,fr-26,,-1
2020-03-08,admin_1,fr,fr-42,,1
2020-03-08,admin_1,fr,fr-69,,1
2020-03-08,admin_1,fr,fr-74,,0
2020-03-10,admin_1,fr,fr-2a,,0
2020-03-11,admin_1,fr,fr-2a,,0
2020-03-11,admin_1,fr,fr-42,,1
2020-03-12,admin_1,fr,fr-2a,,0
2020-03-12,admin_1,fr,fr-42,,0
2020-03-13,admin_1,fr,fr-2a,,0
2020-03-14,admin_1,fr,fr-2a,,0
2020-03-15,admin_1,fr,fr-2a,,0
2020-03-16,admin_1,fr,fr-2a,,0
2020-03-17,admin_1,fr,fr-gp,,1
2020-03-18,admin_1,fr,fr-gp,,-2
2020-03-19,admin_1,fr,fr-01,,0
2020-03-19,admin_1,fr,fr-02,,5
2020-03-19,admin_1,fr,fr-03,,0
2020-03-19,admin_1,fr,fr-04,,0
2020-03-19,admin_1,fr,fr-05,,0
2020-03-19,admin_1,fr,fr-06,,4
2020-03-19,admin_1,fr,fr-07,,1
2020-03-19,admin_1,fr,fr-08,,0
2020-03-19,admin_1,fr,fr-09,,0
2020-03-19,admin_1,fr,fr-10,,1
2020-03-19,admin_1,fr,fr-11,,4
2020-03-19,admin_1,fr,fr-12,,0
2020-03-19,admin_1,fr,fr-13,,9
2020-03-19,admin_1,fr,fr-14,,0
2020-03-19,admin_1,fr,fr-15,,0
2020-03-19,admin_1,fr,fr-16,,0
2020-03-19,admin_1,fr,fr-17,,0
2020-03-19,admin_1,fr,fr-18,,0
2020-03-19,admin_1,fr,fr-19,,0
2020-03-19,admin_1,fr,fr-21,,3
2020-03-19,admin_1,fr,fr-22,,0
2020-03-19,admin_1,fr,fr-23,,0
2020-03-19,admin_1,fr,fr-24,,0
2020-03-19,admin_1,fr,fr-25,,8
2020-03-19,admin_1,fr,fr-26,,6
2020-03-19,admin_1,fr,fr-27,,1
2020-03-19,admin_1,fr,fr-28,,1
2020-03-19,admin_1,fr,fr-29,,0
2020-03-19,admin_1,fr,fr-2a,,0
2020-03-19,admin_1,fr,fr-2b,,0
2020-03-19,admin_1,fr,fr-30,,-2
2020-03-19,admin_1,fr,fr-31,,1
2020-03-19,admin_1,fr,fr-32,,2
2020-03-19,admin_1,fr,fr-33,,1
2020-03-19,admin_1,fr,fr-34,,3
2020-03-19,admin_1,fr,fr-35,,5
2020-03-19,admin_1,fr,fr-36,,0
2020-03-19,admin_1,fr,fr-37,,2
2020-03-19,admin_1,fr,fr-38,,0
2020-03-19,admin_1,fr,fr-39,,0
2020-03-19,admin_1,fr,fr-40,,0
2020-03-19,admin_1,fr,fr-41,,0
2020-03-19,admin_1,fr,fr-42,,8
2020-03-19,admin_1,fr,fr-43,,0
2020-03-19,admin_1,fr,fr-44,,3
2020-03-19,admin_1,fr,fr-45,,2
2020-03-19,admin_1,fr,fr-46,,0
2020-03-19,admin_1,fr,fr-47,,-3
2020-03-19,admin_1,fr,fr-48,,0
2020-03-19,admin_1,fr,fr-49,,2
2020-03-19,admin_1,fr,fr-50,,0
2020-03-19,admin_1,fr,fr-51,,0
2020-03-19,admin_1,fr,fr-52,,0
2020-03-19,admin_1,fr,fr-53,,1
2020-03-19,admin_1,fr,fr-54,,4
2020-03-19,admin_1,fr,fr-55,,0
2020-03-19,admin_1,fr,fr-56,,-2
2020-03-19,admin_1,fr,fr-57,,12
2020-03-19,admin_1,fr,fr-58,,0
2020-03-19,admin_1,fr,fr-59,,9
2020-03-19,admin_1,fr,fr-60,,-1
2020-03-19,admin_1,fr,fr-61,,0
2020-03-19,admin_1,fr,fr-62,,2
2020-03-19,admin_1,fr,fr-63,,-1
2020-03-19,admin_1,fr,fr-64,,0
2020-03-19,admin_1,fr,fr-65,,1
2020-03-19,admin_1,fr,fr-66,,6
