date,region_schema,region_parent,region_child,agerange,value
2020-01-07,admin_0,,fr,,-2527242
2020-01-16,admin_0,,fr,,-2685291
2020-01-17,admin_0,,fr,,-2701646
2020-01-27,admin_0,,fr,,-3
2020-01-28,admin_0,,fr,,-4
2020-01-29,admin_0,,fr,,-5
2020-01-30,admin_0,,fr,,-6
2020-01-31,admin_0,,fr,,-6
2020-02-02,admin_0,,fr,,-6
2020-02-03,admin_0,,fr,,-6
2020-02-04,admin_0,,fr,,-6
2020-02-05,admin_0,,fr,,-6
2020-02-07,admin_0,,fr,,-6
2020-02-08,admin_0,,fr,,-11
2020-02-09,admin_0,,fr,,-11
2020-02-10,admin_0,,fr,,-11
2020-02-12,admin_0,,fr,,-9
2020-02-13,admin_0,,fr,,-8
2020-02-15,admin_0,,fr,,-8
2020-02-19,admin_0,,fr,,-5
2020-02-21,admin_0,,fr,,-2
2020-02-23,admin_0,,fr,,-2
2020-02-24,admin_0,,fr,,-1
2020-02-25,admin_0,,fr,,-3
2020-02-26,admin_0,,fr,,-6
2020-02-27,admin_0,,fr,,-26
2020-02-29,admin_0,,fr,,-88
2020-03-01,admin_0,,fr,,-118
2020-03-03,admin_0,,fr,,-200
2020-03-04,admin_1,fr,fr-17,,0
2020-03-05,admin_1,fr,fr-17,,0
2020-03-06,admin_1,fr,fr-17,,-1
2020-03-06,admin_1,fr,fr-64,,0
2020-03-07,admin_1,fr,fr-17,,-1
2020-03-07,admin_1,fr,fr-64,,-1
2020-03-08,admin_1,fr,fr-17,,-6
2020-03-08,admin_1,fr,fr-64,,-1
2020-03-08,admin_1,fr,fr-74,,-51
2020-03-09,admin_1,fr,fr-17,,-6
2020-03-09,admin_1,fr,fr-64,,-1
2020-03-09,admin_1,fr,fr-74,,-58
2020-03-10,admin_1,fr,fr-17,,-12
2020-03-10,admin_1,fr,fr-64,,-1
2020-03-10,admin_1,fr,fr-74,,-63
2020-03-11,admin_1,fr,fr-17,,-19
2020-03-11,admin_1,fr,fr-64,,0
2020-03-11,admin_1,fr,fr-74,,-64
2020-03-12,admin_1,fr,fr-17,,-19
2020-03-12,admin_1,fr,fr-64,,-6
2020-03-12,admin_1,fr,fr-74,,-75
2020-03-13,admin_1,fr,fr-17,,-22
2020-03-13,admin_1,fr,fr-64,,-6
2020-03-14,admin_1,fr,fr-17,,-24
2020-03-14,admin_1,fr,fr-64,,-12
2020-03-14,admin_1,fr,fr-74,,-84
2020-03-15,admin_1,fr,fr-17,,-24
2020-03-15,admin_1,fr,fr-64,,-17
2020-03-15,admin_1,fr,fr-74,,-107
2020-03-17,admin_0,,fr,,-7128
2020-03-18,admin_0,,fr,,-8134
