region_schema,region_parent,region_child,agerange,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03
admin_1,fr,fr-01,,11,18,10,0,11,29,3,19,6,14,0,1,6,4,7,14,1,5,1,8,7,2,0,11,5,2,1,3,4,13,7,2,0,0,6,11,13,0,6,10,7,15,2,18,11,9,5,22,2,4,3,4,1,0,14,2,4,9,3,0,2,0,3,3,2,10,8,2,12,17,17,15,28,3,6,44,0,48,2,42,0,5,25,29,13,28,26,9,20,27,30,21,51,32,0,24,37,54,55,99,66,23,58,82,104,232,54,79,39,94,144,174,167,122,169,48,50,188,133,339,99,134,55,78,474,14,336,249,135,36,107,261,306,72,173,112,27,14,272,175,135,273,234
admin_1,fr,fr-02,,36,20,24,7,4,13,21,23,4,19,0,12,22,20,26,1,1,6,1,19,4,11,11,14,27,7,25,13,12,14,14,2,4,18,20,1,3,0,2,1,20,5,0,10,3,1,2,12,0,5,15,3,3,0,10,8,7,12,5,4,6,4,0,4,0,7,1,0,7,19,0,10,7,3,5,9,6,0,0,14,0,2,27,10,5,12,0,0,7,14,17,14,2,0,2,1,15,16,48,0,40,15,9,15,30,45,43,33,10,0,69,26,46,33,46,1,6,101,58,23,50,114,41,46,56,86,76,128,100,0,44,56,87,81,82,106,47,31,52,84,100,153,84
admin_1,fr,fr-03,,1,7,1,5,2,0,8,8,34,1,1,3,6,1,2,4,2,0,1,1,2,1,1,0,0,0,0,1,5,6,1,1,0,0,8,1,1,0,0,0,0,0,2,1,3,0,2,2,2,2,2,2,0,0,0,0,4,2,0,0,1,1,3,4,6,1,0,0,0,6,7,7,3,7,3,5,6,0,1,3,0,0,10,2,2,0,2,0,4,6,4,4,0,6,0,7,14,5,6,19,13,2,8,12,30,26,18,7,13,5,41,13,29,34,17,11,19,25,42,43,31,24,18,20,34,29,64,46,45,19,18,45,19,51,26,36,1,13,48,13,28,121,0
admin_1,fr,fr-04,,3,5,0,0,0,0,0,4,2,2,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,6,0,0,0,1,13,1,2,1,6,0,1,5,4,0,14,9,5,2,20,26,16,20,12,0,1,21,24,25,18,13,6,25,41,35,15,36,28,4,12,18,48,10,29,20,3,44,4,34,0,35,29,20,14,49,45,30,26,21,9,2,71,79,60,26,2,14,15,21,47,21,40,25
admin_1,fr,fr-05,,14,0,0,0,1,7,6,4,0,0,0,0,2,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,4,10,6,0,4,6,4,6,6,6,12,3,3,20,19,7,0,0,0,1,14,16,5,46,0,4,0,24,4,16,17,21,0,22,22,30,29,21,10,4,38,1,33,14,31,21,2,8,51,28,34,15,10,4,18,20,10,19,79,66
admin_1,fr,fr-06,,34,56,32,4,51,54,19,11,6,10,1,1,37,26,18,6,6,1,0,1,24,28,15,15,3,12,4,11,9,10,0,2,0,2,4,2,10,0,0,1,3,2,9,5,6,0,0,7,8,4,7,0,4,1,6,7,8,16,6,4,6,10,3,25,8,27,9,17,24,30,22,121,4,30,14,40,34,48,95,149,1,7,152,188,53,229,30,34,118,226,182,228,241,171,19,207,355,468,274,380,603,7,279,551,469,494,532,462,10,253,473,843,188,460,498,180,372,958,274,960,6,692,120,48,964,856,154,522,259,104,288,368,352,240,321,341,5,186,291,267,214,274,327
admin_1,fr,fr-07,,8,8,7,0,2,3,3,0,2,0,4,2,4,2,7,6,6,10,0,8,0,4,1,4,2,4,12,4,13,10,11,2,8,13,5,14,9,5,0,0,2,2,4,0,4,2,2,0,3,2,0,2,0,1,5,2,10,0,21,3,0,6,2,14,1,3,0,0,10,0,3,9,0,0,0,7,2,3,8,6,0,1,7,4,1,1,12,0,16,6,11,6,10,17,0,12,19,9,30,5,10,9,1,38,21,13,22,43,12,10,43,35,20,48,33,6,9,49,42,40,32,30,14,6,42,46,72,16,38,14,25,36,28,13,40,55,19,40,40,114,13,58,87
admin_1,fr,fr-08,,10,5,9,1,4,0,18,0,6,2,0,3,3,3,1,4,0,0,0,1,2,3,6,2,0,2,1,3,6,2,2,0,3,5,9,15,6,0,2,2,4,0,2,6,0,0,0,2,0,0,1,7,0,2,0,0,2,0,0,0,6,0,0,0,0,0,0,0,4,0,5,3,0,0,0,1,3,2,3,1,1,1,1,9,6,0,0,0,2,4,2,2,10,0,6,6,4,10,12,4,0,4,2,22,6,10,18,3,4,25,7,7,24,10,37,29,1,26,28,5,32,11,37,21,34,19,45,39,24,27,24,60,30,18,38,6,0,34,16,54,0,47,62
admin_1,fr,fr-09,,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,2,4,1,3,2,6,0,0,4,2,0,0,0,3,9,1,1,0,0,12,0,22,0,12,12,2,22,0,16,19,12,11,0,0,26,38,16,32,0,12,11,12,40,22,20,10,1,21,34,93,0,84,42,13,14,129,11,48,77,40,0,28,56,31,64,59,55
admin_1,fr,fr-10,,0,10,0,0,1,10,23,0,0,0,2,3,5,16,1,3,8,2,0,2,2,6,0,0,0,2,0,2,0,2,1,1,0,4,1,1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,5,0,0,2,4,0,4,0,0,2,4,3,3,0,6,0,2,0,0,0,1,15,0,0,2,6,2,8,0,11,23,0,8,0,5,9,8,7,28,19,0,28,33,18,39,25,16,5,2,34,12,33,41,22,1,12,33,22,14,22,26,0,4,40,48,49,44,22,21,4,61,48,34,32,32,25,18,50,26,62,49,27,11,25,34,69,56,83,53
