region_schema,region_parent,region_child,agerange,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03
admin_1,fr,fr-01,,7,18,36,46,46,57,86,89,108,114,128,128,129,135,139,146,160,161,166,167,175,182,184,184,195,200,202,203,206,210,223,230,232,232,232,238,249,262,262,268,278,285,300,302,320,331,340,345,367,369,373,376,380,381,381,395,397,401,410,413,413,415,415,418,421,423,433,441,443,455,472,489,504,532,535,541,585,585,633,635,677,677,682,707,736,749,777,803,812,832,859,889,910,961,993,993,1017,1054,1108,1163,1262,1328,1351,1409,1491,1595,1827,1881,1960,1999,2093,2237,2411,2578,2700,2869,2917,2967,3155,3288,3627,3726,3860,3915,3993,4467,4481,4817,5066,5201,5237,5344,5605,5911,5983,6156,6268,6295,6309,6581,6756,6891,7164,7398
admin_1,fr,fr-02,,6,42,62,86,93,97,110,131,154,158,177,177,189,211,231,257,258,259,265,266,285,289,300,311,325,352,359,384,397,409,423,437,439,443,461,481,482,485,485,487,488,508,513,513,523,526,527,529,541,541,546,561,564,567,567,577,585,592,604,609,613,619,623,623,627,627,634,635,635,642,661,661,671,678,681,686,695,701,701,701,715,715,717,744,754,759,771,771,771,778,792,809,823,825,825,827,828,843,859,907,907,947,962,971,986,1016,1061,1104,1137,1147,1147,1216,1242,1288,1321,1367,1368,1374,1475,1533,1556,1606,1720,1761,1807,1863,1949,2025,2153,2253,2253,2297,2353,2440,2521,2603,2709,2756,2787,2839,2923,3023,3176,3260
admin_1,fr,fr-03,,0,1,8,9,14,16,16,24,32,66,67,68,71,77,78,80,84,86,86,87,88,90,91,92,92,92,92,92,93,98,104,105,106,106,106,114,115,116,116,116,116,116,116,118,119,122,122,124,126,128,130,132,134,134,134,134,134,138,140,140,140,141,142,145,149,155,156,156,156,156,162,169,176,179,186,189,194,200,200,201,204,204,204,214,216,218,218,220,220,224,230,234,238,238,244,244,251,265,270,276,295,308,310,318,330,360,386,404,411,424,429,470,483,512,546,563,574,593,618,660,703,734,758,776,796,830,859,923,969,1014,1033,1051,1096,1115,1166,1192,1228,1229,1242,1290,1303,1331,1452,1452
admin_1,fr,fr-04,,0,3,8,8,8,8,8,8,12,14,16,16,16,16,16,16,20,20,20,20,20,20,21,22,22,22,23,26,26,26,26,26,26,26,28,28,28,28,28,28,28,28,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,36,36,36,36,36,38,38,44,44,44,44,45,58,59,61,62,68,68,69,74,78,78,92,101,106,108,128,154,170,190,202,202,203,224,248,273,291,304,310,335,376,411,426,462,490,494,506,524,572,582,611,631,634,678,682,716,716,751,780,800,814,863,908,938,964,985,994,996,1067,1146,1206,1232,1234,1248,1263,1284,1331,1352,1392,1417
admin_1,fr,fr-05,,0,14,14,14,14,15,22,28,32,32,32,32,32,34,36,36,36,36,36,36,37,40,40,40,40,40,40,40,40,41,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,44,44,44,44,44,44,44,44,44,44,44,44,44,44,45,46,46,46,46,46,46,46,46,46,46,46,48,48,48,48,48,50,50,50,50,52,52,56,66,72,72,76,82,86,92,98,104,116,119,122,142,161,168,168,168,168,169,183,199,204,250,250,254,254,278,282,298,315,336,336,358,380,410,439,460,470,474,512,513,546,560,591,612,614,622,673,701,735,750,760,764,782,802,812,831,910,976
admin_1,fr,fr-06,,5,39,95,127,131,182,236,255,266,272,282,283,284,321,347,365,371,377,378,378,379,403,431,446,461,464,476,480,491,500,510,510,512,512,514,518,520,530,530,530,531,534,536,545,550,556,556,556,563,571,575,582,582,586,587,593,600,608,624,630,634,640,650,653,678,686,713,722,739,763,793,815,936,940,970,984,1024,1058,1106,1201,1350,1351,1358,1510,1698,1751,1980,2010,2044,2162,2388,2570,2798,3039,3210,3229,3436,3791,4259,4533,4913,5516,5523,5802,6353,6822,7316,7848,8310,8320,8573,9046,9889,10077,10537,11035,11215,11587,12545,12819,13779,13785,14477,14597,14645,15609,16465,16619,17141,17400,17504,17792,18160,18512,18752,19073,19414,19419,19605,19896,20163,20377,20651,20978
admin_1,fr,fr-07,,3,11,19,26,26,28,31,34,34,36,36,40,42,46,48,55,61,67,77,77,85,85,89,90,94,96,100,112,116,129,139,150,152,160,173,178,192,201,206,206,206,208,210,214,214,218,220,222,222,225,227,227,229,229,230,235,237,247,247,268,271,271,277,279,293,294,297,297,297,307,307,310,319,319,319,319,326,328,331,339,345,345,346,353,357,358,359,371,371,387,393,404,410,420,437,437,449,468,477,507,512,522,531,532,570,591,604,626,669,681,691,734,769,789,837,870,876,885,934,976,1016,1048,1078,1092,1098,1140,1186,1258,1274,1312,1326,1351,1387,1415,1428,1468,1523,1542,1582,1622,1736,1749,1807,1894
admin_1,fr,fr-08,,4,14,19,28,29,33,33,51,51,57,59,59,62,65,68,69,73,73,73,73,74,76,79,85,87,87,89,90,93,99,101,103,103,106,111,120,135,141,141,143,145,149,149,151,157,157,157,157,159,159,159,160,167,167,169,169,169,171,171,171,171,177,177,177,177,177,177,177,177,181,181,186,189,189,189,189,190,193,195,198,199,200,201,202,211,217,217,217,217,219,223,225,227,237,237,243,249,253,263,275,279,279,283,285,307,313,323,341,344,348,373,380,387,411,421,458,487,488,514,542,547,579,590,627,648,682,701,746,785,809,836,860,920,950,968,1006,1012,1012,1046,1062,1116,1116,1163,1225
admin_1,fr,fr-09,,0,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,8,8,8,9,10,10,10,10,10,10,10,10,10,10,12,12,13,14,14,14,14,16,20,21,24,26,32,32,32,36,38,38,38,38,41,50,51,52,52,52,64,64,86,86,98,110,112,134,134,150,169,181,192,192,192,218,256,272,304,304,316,327,339,379,401,421,431,432,453,487,580,580,664,706,719,733,862,873,921,998,1038,1038,1066,1122,1153,1217,1276,1331
admin_1,fr,fr-10,,6,6,16,16,16,17,27,50,50,50,50,52,55,60,76,77,80,88,90,90,92,94,100,100,100,100,102,102,104,104,106,107,108,108,112,113,114,118,118,118,118,118,118,120,120,120,120,120,120,120,120,122,122,122,123,128,128,128,130,134,134,138,138,138,140,144,147,150,150,156,156,158,158,158,158,159,174,174,174,176,182,184,192,192,203,226,226,234,234,239,248,256,263,291,310,310,338,371,389,428,453,469,474,476,510,522,555,596,618,619,631,664,686,700,722,748,748,752,792,840,889,933,955,976,980,1041,1089,1123,1155,1187,1212,1230,1280,1306,1368,1417,1444,1455,1480,1514,1583,1639,1722,1775
