date,region_schema,region_parent,region_child,agerange,value
2020-01-11,admin_1,gb,gb-drs,,1
2020-01-12,admin_1,gb,gb-drs,,1
2020-01-13,admin_1,gb,gb-drs,,1
2020-01-14,admin_1,gb,gb-drs,,1
2020-01-15,admin_1,gb,gb-drs,,1
2020-01-16,admin_1,gb,gb-drs,,1
2020-01-16,admin_1,gb,gb-nmd,,0
2020-01-17,admin_1,gb,gb-drs,,1
2020-01-17,admin_1,gb,gb-nmd,,0
2020-01-18,admin_1,gb,gb-drs,,1
2020-01-18,admin_1,gb,gb-nmd,,0
2020-01-19,admin_1,gb,gb-drs,,1
2020-01-19,admin_1,gb,gb-nmd,,0
2020-01-20,admin_1,gb,gb-drs,,1
2020-01-20,admin_1,gb,gb-nmd,,0
2020-01-21,admin_1,gb,gb-drs,,1
2020-01-21,admin_1,gb,gb-nmd,,0
2020-01-22,admin_1,gb,gb-drs,,1
2020-01-22,admin_1,gb,gb-nmd,,0
2020-01-23,admin_1,gb,gb-drs,,1
2020-01-23,admin_1,gb,gb-nmd,,0
2020-01-24,admin_1,gb,gb-drs,,1
2020-01-24,admin_1,gb,gb-nmd,,0
2020-01-25,admin_1,gb,gb-drs,,1
2020-01-25,admin_1,gb,gb-nmd,,0
2020-01-26,admin_1,gb,gb-drs,,1
2020-01-26,admin_1,gb,gb-nmd,,0
2020-01-27,admin_1,gb,gb-drs,,1
2020-01-27,admin_1,gb,gb-nmd,,0
2020-01-28,admin_1,gb,gb-drs,,1
2020-01-28,admin_1,gb,gb-nmd,,0
2020-01-29,admin_1,gb,gb-drs,,1
2020-01-29,admin_1,gb,gb-nmd,,0
2020-01-30,admin_1,gb,gb-drs,,1
2020-01-30,admin_1,gb,gb-nmd,,0
2020-01-30,admin_1,gb,gb-yor,,1
2020-01-31,admin_1,gb,gb-cry,,1
2020-01-31,admin_1,gb,gb-drs,,1
2020-01-31,admin_1,gb,gb-nmd,,0
2020-01-31,admin_1,gb,gb-yor,,1
2020-02-01,admin_1,gb,gb-bry,,1
2020-02-01,admin_1,gb,gb-cry,,1
2020-02-01,admin_1,gb,gb-drs,,1
2020-02-01,admin_1,gb,gb-nmd,,0
2020-02-01,admin_1,gb,gb-yor,,1
2020-02-02,admin_1,gb,gb-bry,,1
2020-02-02,admin_1,gb,gb-cry,,1
2020-02-02,admin_1,gb,gb-drs,,1
2020-02-02,admin_1,gb,gb-liv,,1
2020-02-02,admin_1,gb,gb-nmd,,0
2020-02-02,admin_1,gb,gb-yor,,1
2020-02-03,admin_1,gb,gb-bkm,,1
2020-02-03,admin_1,gb,gb-bry,,1
2020-02-03,admin_1,gb,gb-cry,,1
2020-02-03,admin_1,gb,gb-drs,,1
2020-02-03,admin_1,gb,gb-fmo,,0
2020-02-03,admin_1,gb,gb-liv,,2
2020-02-03,admin_1,gb,gb-nmd,,0
2020-02-03,admin_1,gb,gb-yor,,1
2020-02-04,admin_1,gb,gb-bkm,,1
2020-02-04,admin_1,gb,gb-bry,,1
2020-02-04,admin_1,gb,gb-cry,,1
2020-02-04,admin_1,gb,gb-drs,,1
2020-02-04,admin_1,gb,gb-fmo,,0
2020-02-04,admin_1,gb,gb-liv,,1
2020-02-04,admin_1,gb,gb-nmd,,0
2020-02-04,admin_1,gb,gb-yor,,1
2020-02-05,admin_1,gb,gb-bkm,,1
2020-02-05,admin_1,gb,gb-bnh,,1
2020-02-05,admin_1,gb,gb-bry,,1
2020-02-05,admin_1,gb,gb-cry,,1
2020-02-05,admin_1,gb,gb-drs,,1
2020-02-05,admin_1,gb,gb-fmo,,0
2020-02-05,admin_1,gb,gb-liv,,2
2020-02-05,admin_1,gb,gb-nmd,,0
2020-02-05,admin_1,gb,gb-yor,,1
2020-02-06,admin_1,gb,gb-bkm,,1
2020-02-06,admin_1,gb,gb-bnh,,1
2020-02-06,admin_1,gb,gb-bry,,1
2020-02-06,admin_1,gb,gb-cry,,1
2020-02-06,admin_1,gb,gb-drs,,1
2020-02-06,admin_1,gb,gb-fmo,,0
2020-02-06,admin_1,gb,gb-liv,,1
2020-02-06,admin_1,gb,gb-nmd,,0
2020-02-06,admin_1,gb,gb-yor,,1
2020-02-07,admin_1,gb,gb-abc,,0
2020-02-07,admin_1,gb,gb-and,,0
2020-02-07,admin_1,gb,gb-bkm,,1
2020-02-07,admin_1,gb,gb-bnh,,1
2020-02-07,admin_1,gb,gb-bry,,1
