region_schema,region_parent,region_child,agerange,2020-01-11,2020-01-12,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23
admin_1,gb,gb-abc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,0,0,0,1,0,0,0,0,0,1,1,2,1,0,4,4,9,5,5,10,2,13,4,7,19,3,9,1,10,12,9,7,11,10,5,11,20,22,19,20,5,7,13,20,9,6,11,14,5,12,6,6,14,17,14,7,8,16,22,32,13,8,8,19,27,15,23,10,2,3,13,10,8,9,6,14,4,4,2,11,2,0,0,3,4,5,2,1,3,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,2,0,0,0,1,1,0,2,1,0,1,0,2,0,2,0,0,2,1,3,1,3,1,0,1,3,2,1,2,3,2,6,5,11,23,11,13,8,8,7,7,12,21,13,8,5,7,12,14,15,14,17,14,23,23,20,21,11,18,6,18,6,22,17,14,7,22,30,44,34,43,35,29,24,32,62,23,55,29,31,37,50,78,87,92,101,75,87,99,107,99,95,49,48,93,76,58,86,64,59,43,52,76,51,61,50,44,60,66,77,83,91,67,87,40,66,93,61,39,43,36,28,7,45,48,33,33,35,23,39,38,24,30,50,46,25,41,39,46,61,57,38,47,96,60,78,65,87,76,77,119,74,85,81,44,85,160,176,332,381,270,219,335,219,265,245,255,196,192,151,101,218,225,224,207,194,136,115,208,181,133,144,,
admin_1,gb,gb-abd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,2,1,0,1,0,2,0,0,1,0,0,0,0,2,0,0,2,2,6,3,2,5,5,9,9,13,2,6,6,4,4,5,6,8,14,13,8,12,13,6,15,21,8,5,18,19,18,16,22,4,3,5,9,7,7,13,7,2,5,7,7,7,3,9,4,14,11,4,5,2,2,0,2,1,1,3,1,1,1,0,3,1,2,0,0,0,1,3,0,0,0,0,1,1,1,0,0,2,1,0,1,1,0,0,1,0,1,0,0,0,3,1,0,0,0,1,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,1,0,0,5,3,5,3,9,6,8,7,8,5,7,11,9,6,9,5,3,1,2,3,1,0,2,0,1,3,1,0,1,1,0,3,0,3,3,2,0,4,2,0,2,1,2,1,2,0,0,3,0,2,1,5,6,2,2,4,8,4,2,6,2,6,2,5,7,6,11,5,6,8,6,4,7,7,5,8,11,13,3,0,1,9,11,1,13,16,3,14,4,1,14,7,1,3,4,9,18,11,3,0,7,2,2,31,27,18,17,0,24,32,6,25,2,1,29,51,28,39,39,37,13,10,4,20,2,28,21,24,11,47,37,44,1,1,9,32,9,54,3,54,49,26,40,54,76,61,49,18,47,74,69,126,115,121,49,97,84,126,160,97,11,56,2,42,15,63,47,45,48,9,10,61,40,58,10,37,6
admin_1,gb,gb-abe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,0,2,1,0,1,0,0,3,4,2,5,3,2,8,9,14,23,6,8,7,4,3,8,3,4,9,11,6,8,24,6,10,17,16,11,36,37,20,30,28,18,13,35,18,18,17,17,14,7,11,9,20,15,20,18,12,24,12,8,16,13,4,3,12,12,5,3,7,6,4,3,4,7,0,1,5,2,1,4,1,0,1,0,0,1,0,0,0,0,3,0,3,0,0,1,0,0,0,0,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,1,2,0,2,7,3,7,6,21,30,25,19,28,22,14,21,15,19,18,5,2,7,8,4,5,5,3,3,3,4,3,4,1,0,0,2,2,5,3,5,4,2,1,3,2,1,0,4,3,7,3,8,9,14,6,13,4,3,13,22,21,14,25,10,18,20,16,17,11,10,15,7,50,38,40,27,23,33,37,29,23,28,26,8,16,0,1,12,15,12,9,12,2,11,26,15,6,7,7,5,13,7,15,2,6,1,29,17,26,23,10,0,14,24,3,18,3,40,14,3,28,23,17,2,19,1,18,27,3,41,23,15,14,7,31,1,44,5,6,8,10,58,47,69,1,0,6,13,58,69,44,16,39,62,81,122,14,70,45,98,77,126,132,87,89,1,58,49,21,117,63,84,68,8,17,57,6,36,40,9,16
admin_1,gb,gb-agb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,4,4,1,1,7,2,0,5,1,5,5,6,1,1,6,3,3,4,5,2,0,1,1,0,1,4,2,1,15,2,1,6,4,1,1,2,7,5,1,3,6,4,0,2,7,0,0,2,2,2,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,2,2,3,1,0,2,0,2,0,0,0,1,3,2,3,1,6,2,5,3,4,4,0,5,1,5,6,5,6,4,3,9,3,7,2,8,2,7,2,11,5,10,8,3,5,12,6,7,7,3,1,2,8,7,1,5,5,12,10,5,0,5,1,2,6,8,2,2,9,1,5,4,2,1,2,4,2,4,0,3,4,5,4,2,1,2,5,7,5,8,6,3,2,3,23,1,6,2,3,2,2,4,0,3,2,2,1,6,0,0,0,0,4,1,9,2,7,13,6,4,6,0,15,6,12,3,8,14,12,9,11,7,13,12,10,14,0,8,5,6,5,6,3,2,7,10,1,1
admin_1,gb,gb-agy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,1,1,2,0,3,2,2,5,0,3,2,4,4,4,1,4,2,4,3,2,6,5,4,4,2,1,3,4,4,3,1,1,7,6,11,7,2,1,5,7,3,5,3,15,5,6,3,6,5,4,3,5,1,3,7,2,6,7,4,2,0,1,3,1,1,5,5,3,6,10,6,19,10,8,14,12,12,6,54,7,1,5,9,3,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,2,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,1,4,0,1,1,3,2,1,0,4,0,4,0,0,0,0,0,0,0,2,0,0,4,4,3,3,0,0,19,6,6,0,5,6,10,10,1,13,0,0,21,0,8,17,9,10,0,15,12,0,0,0,2,9,6,0,0,4,4,0,0,6,0,0,0,4,0,0,1,6,4,0,0,0,0,0,5,12,5,0,3,4,4,0,0,3,5,1,1,0,0,2,7,1,4,0,0,4,0,4,0,0,0,0,5,17,9,0,1,16,0,0,0,5,13,0,25,20,0,11,0,0,0,4,2,14,0,0,17,5,6,16,0,0,11,0,0
admin_1,gb,gb-and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,3,0,2,1,3,6,8,7,10,5,9,5,8,6,8,8,5,5,7,7,4,3,5,2,8,4,3,4,4,11,4,1,5,5,5,6,3,0,1,1,2,8,9,14,11,6,4,3,1,11,9,5,3,7,7,9,5,9,5,3,2,10,1,3,2,1,4,3,1,3,2,8,0,6,6,5,1,1,10,1,3,6,1,8,2,2,0,0,8,4,2,0,1,1,2,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,1,1,0,0,1,3,0,4,1,2,0,0,4,1,2,2,0,0,0,1,2,1,10,5,6,3,0,0,0,2,11,9,0,10,9,10,11,7,5,7,3,8,4,8,12,6,6,5,18,20,15,11,15,15,26,35,30,27,27,26,51,34,38,45,45,31,31,36,44,27,42,36,49,24,26,32,28,17,33,33,19,51,32,11,23,27,30,36,40,23,42,43,29,23,22,30,19,24,17,12,16,6,2,24,26,35,14,7,9,20,11,35,19,15,20,30,20,7,7,14,11,13,5,27,37,30,17,13,28,19,24,24,34,24,13,37,34,47,80,71,71,38,93,99,103,66,77,59,70,52,34,58,53,54,38,38,32,35,49,38,51,31,,
admin_1,gb,gb-ann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,4,1,6,1,2,0,4,8,5,4,9,8,5,6,5,5,3,7,7,6,9,8,0,5,6,7,11,10,16,19,4,9,12,14,12,6,4,3,6,8,12,10,12,10,6,6,10,7,5,8,5,10,6,5,4,4,7,2,5,4,3,5,2,1,3,1,3,0,1,1,1,0,3,1,1,1,3,1,2,0,0,0,1,0,0,0,0,0,2,0,0,2,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,5,9,12,3,5,4,9,1,3,8,4,3,13,9,4,2,4,2,7,15,7,2,3,2,6,7,6,9,9,14,7,10,2,11,5,12,2,0,5,5,4,13,3,4,6,4,6,6,13,8,7,8,15,8,20,27,26,23,34,24,63,35,52,41,60,48,54,59,42,58,73,63,73,73,47,80,55,57,56,35,44,51,16,35,30,24,32,31,55,40,26,34,19,40,32,28,43,35,25,42,38,35,36,14,21,16,10,20,14,19,18,13,16,17,41,23,38,37,39,17,16,24,22,49,37,44,16,25,37,42,35,48,53,29,36,23,59,51,46,29,59,75,96,196,177,143,95,147,107,156,124,150,86,94,68,65,77,61,86,69,60,50,43,63,47,48,50,,
admin_1,gb,gb-ans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,2,3,0,1,0,5,8,12,10,3,2,7,9,14,12,7,8,2,20,14,16,8,12,1,3,34,11,11,14,7,4,0,13,5,7,4,14,1,0,18,5,11,5,4,2,0,5,4,4,3,1,2,1,2,5,7,2,5,7,2,13,12,2,11,1,1,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,1,0,1,2,1,1,0,0,0,0,4,4,2,7,3,9,1,4,2,2,3,1,0,1,3,0,3,0,2,-1,2,2,1,1,2,1,0,1,0,0,1,1,4,-1,3,2,0,0,5,4,1,1,0,4,7,3,7,3,4,6,3,4,5,11,6,4,16,10,14,11,7,2,1,5,11,2,1,4,10,4,6,8,2,6,0,3,8,2,3,19,19,15,5,2,0,16,10,18,17,10,0,18,21,7,9,12,0,8,2,7,14,9,4,5,0,3,1,17,4,6,0,1,3,18,0,10,5,3,3,2,14,9,7,2,14,0,6,14,7,14,6,25,48,23,10,43,30,27,46,42,44,46,46,37,1,16,21,6,9,20,25,20,12,5,38,23,15,7,13,8
admin_1,gb,gb-bas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,5,3,3,1,2,4,3,4,5,4,2,6,5,0,5,4,4,1,5,11,7,8,11,16,10,2,6,9,8,5,6,5,10,4,5,9,6,8,3,7,4,3,8,10,5,8,4,3,4,3,2,2,0,4,7,2,1,1,0,3,3,0,0,6,5,2,1,0,1,0,2,1,1,2,3,1,0,1,0,0,0,1,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,1,1,1,0,2,1,1,0,0,0,3,1,3,0,0,1,1,0,0,1,0,0,0,2,1,1,6,0,0,0,3,0,10,7,0,0,0,1,2,0,0,0,0,3,0,0,6,0,4,0,1,0,0,0,6,0,0,4,5,0,0,3,3,0,8,8,0,10,13,0,8,4,1,17,16,19,0,28,0,43,63,54,0,41,37,40,43,0,30,51,0,0,71,0,115,61,12,0,2,86,2,91,68,80,40,1,62,62,0,71,74,63,2,0,57,2,50,105,50,55,89,37,43,1,26,17,3,26,23,22,22,1,13,20,37,3,1,39,39,3,13,3,21,25,5,3,1,24,2,32,39,1,2,0,42,81,2,40,32,3,53,59,103,2,3,15,68,99,76,129,80,109,85,111,103,2,155,102,86,93,86,2,56,81,67,57,38,45,10
admin_1,gb,gb-bbd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,2,0,1,3,4,1,2,4,4,8,8,8,8,12,9,10,8,10,14,12,17,12,10,12,11,16,10,11,5,18,9,9,13,14,24,12,7,9,19,16,20,19,15,4,9,15,12,20,17,10,16,7,12,23,12,13,9,10,5,13,12,14,20,43,9,6,3,9,5,11,13,7,2,4,9,13,4,13,12,4,2,4,3,4,9,4,3,4,2,12,9,5,6,11,4,8,9,3,2,0,10,3,3,7,15,6,3,7,13,6,10,16,9,11,8,15,11,35,32,14,5,12,19,24,26,18,18,9,23,16,20,18,18,14,26,13,18,16,16,13,18,8,22,29,26,25,14,5,5,0,0,0,19,10,13,8,0,0,8,7,11,11,11,9,3,0,1,0,21,2,16,0,51,32,25,26,17,1,29,20,2,0,41,44,0,34,57,40,1,0,0,0,29,59,0,49,0,61,64,103,109,0,88,0,87,2,0,1,1,0,125,136,109,228,165,0,175,7,124,0,2,172,0,152,179,1,126,229,192,167,144,131,123,100,175,122,119,128,98,86,8,90,100,89,62,6,49,2,5,58,72,71,6,30,3,84,56,2,47,59,2,42,67,5,5,3,53,40,39,9,5,50,59,76,1,66,1,81,91,53,30,98,47,64,184,63,1,28,155,3,14,24,154,95,76,119,5,221,169,123,23,121,89,100,148,154,15,102,101,4
