date,region_schema,region_parent,region_child,agerange,value
2020-01-24,admin_0,,hk,,0
2020-01-30,admin_0,,hk,,4
2020-01-31,admin_0,,hk,,1
2020-02-01,admin_0,,hk,,1
2020-02-02,admin_0,,hk,,-11
2020-02-05,admin_0,,hk,,4
2020-02-06,admin_0,,hk,,3
2020-02-07,admin_0,,hk,,-30
2020-02-10,admin_0,,hk,,-33
2020-02-11,admin_0,,hk,,-1
2020-02-12,admin_0,,hk,,3
2020-02-13,admin_0,,hk,,47
2020-02-14,admin_0,,hk,,-43
2020-02-17,admin_0,,hk,,1
2020-02-18,admin_0,,hk,,1
2020-02-19,admin_0,,hk,,-7
2020-02-20,admin_0,,hk,,75
2020-02-23,admin_0,,hk,,14
2020-02-24,admin_0,,hk,,9
2020-02-25,admin_0,,hk,,-11
2020-02-26,admin_0,,hk,,121
2020-02-27,admin_0,,hk,,-129
2020-02-28,admin_0,,hk,,33
2020-03-02,admin_0,,hk,,111
2020-03-07,admin_0,,hk,,-17
2020-03-08,admin_0,,hk,,170
2020-03-09,admin_0,,hk,,3
2020-03-10,admin_0,,hk,,2
2020-03-11,admin_0,,hk,,18
2020-03-12,admin_0,,hk,,6
2020-03-13,admin_0,,hk,,-143
2020-03-14,admin_0,,hk,,-29
2020-03-15,admin_0,,hk,,191
2020-03-16,admin_0,,hk,,-206
2020-03-17,admin_0,,hk,,239
2020-03-18,admin_0,,hk,,-211
2020-03-19,admin_0,,hk,,302
2020-03-20,admin_0,,hk,,-265
2020-03-21,admin_0,,hk,,-4
2020-03-22,admin_0,,hk,,-87
2020-03-23,admin_0,,hk,,99
2020-03-24,admin_0,,hk,,-81
2020-03-25,admin_0,,hk,,69
2020-03-26,admin_0,,hk,,81
2020-03-27,admin_0,,hk,,-133
2020-03-28,admin_0,,hk,,228
2020-03-29,admin_0,,hk,,-147
2020-03-30,admin_0,,hk,,-41
2020-03-31,admin_0,,hk,,6
2020-04-01,admin_0,,hk,,252
2020-04-02,admin_0,,hk,,-193
2020-04-03,admin_0,,hk,,-38
2020-04-04,admin_0,,hk,,-68
2020-04-05,admin_0,,hk,,325
2020-04-06,admin_0,,hk,,-185
2020-04-07,admin_0,,hk,,3
2020-04-08,admin_0,,hk,,1
2020-04-09,admin_0,,hk,,219
2020-04-10,admin_0,,hk,,-217
2020-04-11,admin_0,,hk,,1255
2020-04-12,admin_0,,hk,,-1085
2020-04-13,admin_0,,hk,,-312
2020-04-14,admin_0,,hk,,313
2020-04-15,admin_0,,hk,,52
2020-04-16,admin_0,,hk,,1050
2020-04-17,admin_0,,hk,,-1283
2020-04-18,admin_0,,hk,,-162
2020-04-19,admin_0,,hk,,1455
2020-04-22,admin_0,,hk,,19
2020-04-23,admin_0,,hk,,1326
2020-05-14,admin_0,,hk,,1487
2020-05-15,admin_0,,hk,,2
2020-05-22,admin_0,,hk,,1149
2020-05-30,admin_0,,hk,,1517
2020-05-31,admin_0,,hk,,6
2020-06-01,admin_0,,hk,,-1115
2020-06-02,admin_0,,hk,,-259
2020-06-05,admin_0,,hk,,-378
2020-06-06,admin_0,,hk,,96
2020-06-07,admin_0,,hk,,1437
2020-06-08,admin_0,,hk,,1
2020-06-13,admin_0,,hk,,232
2020-06-18,admin_0,,hk,,288
2020-06-19,admin_0,,hk,,-286
2020-06-20,admin_0,,hk,,52
2020-06-21,admin_0,,hk,,1406
2020-06-22,admin_0,,hk,,-1402
2020-06-23,admin_0,,hk,,186
2020-06-24,admin_0,,hk,,-183
2020-06-25,admin_0,,hk,,185
2020-06-26,admin_0,,hk,,1
2020-06-27,admin_0,,hk,,1279
2020-06-28,admin_0,,hk,,-1219
2020-06-29,admin_0,,hk,,-254
2020-06-30,admin_0,,hk,,1481
2020-07-01,admin_0,,hk,,-1277
2020-07-02,admin_0,,hk,,-361
2020-07-03,admin_0,,hk,,367
2020-07-04,admin_0,,hk,,-208
2020-07-05,admin_0,,hk,,5
2020-07-06,admin_0,,hk,,18
2020-07-07,admin_0,,hk,,-13
2020-07-08,admin_0,,hk,,-206
2020-07-09,admin_0,,hk,,224
2020-07-10,admin_0,,hk,,48
2020-07-11,admin_0,,hk,,5
2020-07-12,admin_0,,hk,,235
2020-07-13,admin_0,,hk,,-455
2020-07-14,admin_0,,hk,,2303
2020-07-15,admin_0,,hk,,-1822
2020-07-16,admin_0,,hk,,-132
2020-07-17,admin_0,,hk,,95
2020-07-18,admin_0,,hk,,-286
2020-07-19,admin_0,,hk,,2898
2020-07-20,admin_0,,hk,,-2556
2020-07-21,admin_0,,hk,,2827
2020-07-22,admin_0,,hk,,-3177
2020-07-23,admin_0,,hk,,15
2020-07-24,admin_0,,hk,,417
2020-07-25,admin_0,,hk,,-377
2020-07-26,admin_0,,hk,,531
2020-07-27,admin_0,,hk,,-512
2020-07-28,admin_0,,hk,,444
2020-07-29,admin_0,,hk,,155
2020-07-30,admin_0,,hk,,41
2020-07-31,admin_0,,hk,,-586
2020-08-01,admin_0,,hk,,5134
2020-08-02,admin_0,,hk,,-4479
2020-08-03,admin_0,,hk,,-30
2020-08-04,admin_0,,hk,,-4
2020-08-05,admin_0,,hk,,-908
2020-08-06,admin_0,,hk,,929
2020-08-07,admin_0,,hk,,117
2020-08-08,admin_0,,hk,,-755
2020-08-09,admin_0,,hk,,790
2020-08-10,admin_0,,hk,,-1078
2020-08-11,admin_0,,hk,,994
2020-08-12,admin_0,,hk,,-691
2020-08-13,admin_0,,hk,,6423
2020-08-14,admin_0,,hk,,-5651
2020-08-15,admin_0,,hk,,-700
2020-08-16,admin_0,,hk,,6537
2020-08-17,admin_0,,hk,,-5812
2020-08-18,admin_0,,hk,,-22
2020-08-19,admin_0,,hk,,5
2020-08-20,admin_0,,hk,,5976
2020-08-21,admin_0,,hk,,-6670
2020-08-22,admin_0,,hk,,6747
2020-08-23,admin_0,,hk,,-7006
2020-08-24,admin_0,,hk,,995
2020-08-25,admin_0,,hk,,-730
2020-08-26,admin_0,,hk,,738
2020-08-27,admin_0,,hk,,-1002
2020-08-28,admin_0,,hk,,210
2020-08-29,admin_0,,hk,,822
2020-08-30,admin_0,,hk,,9
2020-08-31,admin_0,,hk,,1
2020-09-01,admin_0,,hk,,5
2020-09-02,admin_0,,hk,,1
2020-09-03,admin_0,,hk,,6240
2020-09-04,admin_0,,hk,,22
2020-09-05,admin_0,,hk,,-6266
2020-09-06,admin_0,,hk,,-750
2020-09-07,admin_0,,hk,,766
2020-09-08,admin_0,,hk,,29
2020-09-09,admin_0,,hk,,-33
2020-09-10,admin_0,,hk,,6354
2020-09-11,admin_0,,hk,,14
2020-09-12,admin_0,,hk,,-6359
2020-09-13,admin_0,,hk,,-1055
2020-09-14,admin_0,,hk,,1067
2020-09-15,admin_0,,hk,,4
2020-09-16,admin_0,,hk,,-7
2020-09-17,admin_0,,hk,,41
2020-09-18,admin_0,,hk,,6418
2020-09-19,admin_0,,hk,,12
2020-09-20,admin_0,,hk,,-7320
2020-09-21,admin_0,,hk,,870
2020-09-22,admin_0,,hk,,-1088
2020-09-23,admin_0,,hk,,1077
2020-09-24,admin_0,,hk,,41
2020-09-25,admin_0,,hk,,-26
2020-10-08,admin_0,,hk,,-34
