date,region_schema,region_parent,region_child,agerange,value
2020-01-23,admin_0,,hk,,1
2020-01-24,admin_0,,hk,,2
2020-01-26,admin_0,,hk,,7
2020-01-29,admin_0,,hk,,6
2020-01-30,admin_0,,hk,,7
2020-01-31,admin_0,,hk,,18
2020-02-01,admin_0,,hk,,1
2020-02-02,admin_0,,hk,,20
2020-02-04,admin_0,,hk,,2
2020-02-05,admin_0,,hk,,29
2020-02-06,admin_0,,hk,,32
2020-02-07,admin_0,,hk,,33
2020-02-09,admin_0,,hk,,9
2020-02-10,admin_0,,hk,,51
2020-02-11,admin_0,,hk,,7
2020-02-12,admin_0,,hk,,57
2020-02-13,admin_0,,hk,,8
2020-02-14,admin_0,,hk,,17
2020-02-16,admin_0,,hk,,67
2020-02-17,admin_0,,hk,,9
2020-02-18,admin_0,,hk,,9
2020-02-19,admin_0,,hk,,13
2020-02-20,admin_0,,hk,,88
2020-02-22,admin_0,,hk,,90
2020-02-23,admin_0,,hk,,99
2020-02-24,admin_0,,hk,,107
2020-02-25,admin_0,,hk,,15
2020-02-26,admin_0,,hk,,15
2020-02-27,admin_0,,hk,,7
2020-02-28,admin_0,,hk,,141
2020-03-01,admin_0,,hk,,148
2020-03-02,admin_0,,hk,,45
2020-03-04,admin_0,,hk,,17
2020-03-06,admin_0,,hk,,9
2020-03-07,admin_0,,hk,,183
2020-03-08,admin_0,,hk,,186
2020-03-09,admin_0,,hk,,189
2020-03-10,admin_0,,hk,,35
2020-03-11,admin_0,,hk,,19
2020-03-12,admin_0,,hk,,25
2020-03-13,admin_0,,hk,,1
2020-03-14,admin_0,,hk,,43
2020-03-15,admin_0,,hk,,44
2020-03-16,admin_0,,hk,,33
2020-03-17,admin_0,,hk,,38
2020-03-18,admin_0,,hk,,3
2020-03-19,admin_0,,hk,,49
2020-03-20,admin_0,,hk,,93
2020-03-21,admin_0,,hk,,89
2020-03-22,admin_0,,hk,,69
2020-03-23,admin_0,,hk,,101
2020-03-24,admin_0,,hk,,20
2020-03-25,admin_0,,hk,,89
2020-03-26,admin_0,,hk,,117
2020-03-27,admin_0,,hk,,102
2020-03-28,admin_0,,hk,,265
2020-03-29,admin_0,,hk,,126
2020-03-30,admin_0,,hk,,123
2020-03-31,admin_0,,hk,,318
2020-04-01,admin_0,,hk,,1177
2020-04-02,admin_0,,hk,,352
2020-04-03,admin_0,,hk,,138
2020-04-04,admin_0,,hk,,1282
2020-04-05,admin_0,,hk,,114
2020-04-06,admin_0,,hk,,7
2020-04-07,admin_0,,hk,,377
2020-04-08,admin_0,,hk,,337
2020-04-09,admin_0,,hk,,181
2020-04-10,admin_0,,hk,,126
2020-04-11,admin_0,,hk,,183
2020-04-12,admin_0,,hk,,1441
2020-04-13,admin_0,,hk,,170
2020-04-14,admin_0,,hk,,171
2020-04-15,admin_0,,hk,,405
2020-04-16,admin_0,,hk,,130
2020-04-17,admin_0,,hk,,172
2020-04-18,admin_0,,hk,,10
2020-04-19,admin_0,,hk,,1465
2020-04-21,admin_0,,hk,,361
2020-04-22,admin_0,,hk,,1472
2020-04-23,admin_0,,hk,,1477
2020-04-25,admin_0,,hk,,152
2020-05-01,admin_0,,hk,,134
2020-05-04,admin_0,,hk,,364
2020-05-07,admin_0,,hk,,186
2020-05-10,admin_0,,hk,,1489
2020-05-13,admin_0,,hk,,410
2020-05-14,admin_0,,hk,,1501
2020-05-15,admin_0,,hk,,1503
2020-05-17,admin_0,,hk,,411
2020-05-21,admin_0,,hk,,413
2020-05-22,admin_0,,hk,,139
2020-05-27,admin_0,,hk,,368
2020-05-29,admin_0,,hk,,1530
2020-05-30,admin_0,,hk,,18
2020-05-31,admin_0,,hk,,1539
2020-06-01,admin_0,,hk,,1548
2020-06-02,admin_0,,hk,,46
2020-06-04,admin_0,,hk,,143
2020-06-05,admin_0,,hk,,48
2020-06-06,admin_0,,hk,,196
2020-06-07,admin_0,,hk,,377
2020-06-08,admin_0,,hk,,427
2020-06-12,admin_0,,hk,,1584
2020-06-13,admin_0,,hk,,428
2020-06-15,admin_0,,hk,,1586
2020-06-17,admin_0,,hk,,197
2020-06-18,admin_0,,hk,,433
2020-06-19,admin_0,,hk,,24
2020-06-20,admin_0,,hk,,1602
2020-06-21,admin_0,,hk,,435
2020-06-22,admin_0,,hk,,153
2020-06-23,admin_0,,hk,,205
2020-06-24,admin_0,,hk,,197
2020-06-25,admin_0,,hk,,165
2020-06-26,admin_0,,hk,,1670
2020-06-27,admin_0,,hk,,451
2020-06-28,admin_0,,hk,,1673
2020-06-29,admin_0,,hk,,198
2020-06-30,admin_0,,hk,,1679
2020-07-01,admin_0,,hk,,463
2020-07-02,admin_0,,hk,,41
2020-07-03,admin_0,,hk,,464
2020-07-04,admin_0,,hk,,200
2020-07-05,admin_0,,hk,,172
2020-07-06,admin_0,,hk,,206
2020-07-07,admin_0,,hk,,210
2020-07-08,admin_0,,hk,,221
2020-07-09,admin_0,,hk,,47
2020-07-10,admin_0,,hk,,2015
2020-07-11,admin_0,,hk,,24
2020-07-12,admin_0,,hk,,516
2020-07-13,admin_0,,hk,,2260
2020-07-14,admin_0,,hk,,480
2020-07-15,admin_0,,hk,,294
2020-07-16,admin_0,,hk,,314
2020-07-17,admin_0,,hk,,2701
2020-07-18,admin_0,,hk,,2873
2020-07-19,admin_0,,hk,,433
2020-07-20,admin_0,,hk,,555
