region_schema,region_parent,region_child,agerange,2020-01-01,2020-01-02,2020-01-03,2020-01-04,2020-01-05,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-11,2020-01-12,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31
admin_1,id,id-ac,,8753,8761,8763,8768,8776,8805,8836,8878,8894,8909,8919,8967,8991,9002,9018,9035,9053,9055,9071,9089,9100,9115,9126,9144,9144,9149,9163,9181,9202,9224,9228,9230,9252,9266,9276,9285,9298,9312,9323,9370,9373,9390,9398,9399,9403,9403,9403,9403,9435,9448,9456,9457,9458,9487,9513,9523,9531,9534,9541,9543,9557,9570,9580,9589,9605,9609,9616,9642,9642,9661,9667,9681,9686,9686,9696,9702,0,9728,9743,9743,0,9778,0,0,9812,9833,9845,5,9862,5,9903,5,9918,9922,5,5,5,6,10055,10075,5,10106,10134,10160,5,5,10257,10300,10313,7,10429,10516,7,8,10677,9,9,9,9,10,11169,11,12,12,12,11589,17,11802,11830,11898,17,17,12152,12157,12214,12249,18,18,12615,18,12990,13125,13229,19,19,13848,19,14338,20,20,20,15139,20,20,15663,20,16065,20,16352,16578,22,17109,22,22,17542,17697,27,37,18120,18236,39,49,18439,18595,18668,66,69,18911,79,19148,19246,86,19432,19504,87,19610,87,88,89,20140,20273,99,106,106,110,137,140,145,20949,146,21012,149,21166,21311,162,21723,21883,168,22346,238,22817,415,415,23311,23570,23921,24206,24589,536,536,580,676,676,748,748,840,865,876,1044,1069,1132,1137,1141,1211,1211,1241,1261,1291,1399,1449,1546,1600,1633,1649,1697,1794,1884,1945,2023,2042,2054,2152,2258,2403,2527,2739,2892,3032,3127,3236,3352,3527,3595,3694,3785,3835,3891,3982,4173,4246,4325,4471,4554,4666,4854,4927,4994,5064,5182,5254,5423,5546,5644,5767,5844,5895,5960,6077,6254,6436,6551,6667,6765,6844,6947,7037,7125,7212,7252,7265,7339,7373,7394,7405,7426,7457,7482,7526,7563,7634,7661,7687,7690,7719,7770,7797,7842,7862,7911,7932,7975,7993,8043,8064,8106,8124,8154,8160,8199,8223,8244,8255,8282,8292,8301,8311,8355,8369,8384,8422,8426,8444,8450,8458,8478,8507,8522,8526,8538,8546,8554,8557,8569,8573,8591,8620,8650,8664,8679,8698,8711,8727,8736,8742,8746
admin_1,id,id-ba,,17694,17859,17978,18096,18263,18454,18643,18874,19063,19232,19485,19835,20103,20400,20711,21030,21292,21530,21777,22271,22754,23067,23320,23612,23798,24340,24880,25246,25661,25914,26152,26405,26714,26975,27191,27699,27896,28277,28537,28990,29295,29666,29978,30134,30273,30547,30821,31195,31501,31831,32033,32359,32637,32925,33232,33495,33825,33976,34215,34380,34547,34745,35013,35227,35380,35527,35727,35983,36237,36393,36590,36748,36748,36848,36925,37152,1,37665,37795,3,38155,6,38526,9,38905,9,39171,39315,19,19,39856,25,27,32,35,40844,43,41259,41466,75,79,81,42053,92,42376,42587,42756,42928,135,43289,43485,152,167,43915,183,44086,44236,44402,215,44671,44813,237,262,271,277,277,287,45655,45758,45832,45933,46030,332,46171,343,346,46364,46443,46555,46638,46738,380,388,394,396,47032,47063,420,443,455,47259,482,47320,47366,47417,47445,557,47508,47544,47581,640,659,695,723,741,47857,782,47989,895,48239,48345,1050,48563,1116,48931,49126,49372,49546,1414,1444,50217,50528,1640,1706,51498,1849,1900,1940,1971,2024,54757,55318,2195,56697,2358,58331,59216,60235,61179,62016,62896,2856,2934,66664,3058,3114,3157,3219,72555,3310,3360,3407,3448,78509,3529,3578,3617,83988,85015,86199,3779,3817,3862,3892,3927,3980,4024,4065,4110,4158,4220,4292,4368,4446,4513,4576,4650,4726,4808,4901,4989,5078,5207,5367,5536,5710,5906,6071,6212,6385,6549,6723,6834,6978,7113,7226,7312,7380,7429,7492,7543,7628,7749,7888,7996,8126,8245,8389,8452,8532,8639,8745,8878,9019,9149,9254,9365,9448,9547,9652,9759,9897,10028,10135,10228,10304,10413,10513,10605,10697,10771,10880,10955,11042,11125,11203,11279,11388,11455,11520,11588,11647,11712,11764,11821,11846,11906,11979,12039,12113,12181,12225,12293,12337,12430,12519,12583,12631,12691,12698,12700,12769,12857,12918,13012,13115,13183,13294,13389,13500,13582,13681,13790,13879,13988,14190,14420,14542,14633,14743,14845,14931,15070,15182,15292,15361,15433,15510,15583,15728,15860,15981,16077,16176,16311,16428,16550,16673,16785,16881,16947,17085,17257,17414,17593
admin_1,id,id-bb,,2417,2477,2537,2587,2638,2716,2763,2838,2909,3005,3096,3132,3220,3282,3327,3396,3481,3541,3584,3639,3718,3821,3915,3990,4108,4187,4277,4372,4489,4612,4667,4736,4774,4871,4992,5107,5242,5337,5432,5460,5549,5709,5823,5956,6086,6224,6278,6394,6521,6606,6738,6793,6864,6905,7141,7186,7256,7300,7347,7374,7400,7461,7493,7543,7618,7655,7717,7766,7788,7842,7905,7973,8059,8108,8199,8249,8308,0,0,8626,0,0,0,8923,8975,0,9144,0,1,2,2,2,9593,9653,2,9817,2,9984,3,3,10292,4,10490,10634,10822,10968,11062,11176,11252,11404,8,11699,12038,9,12468,10,12822,12982,10,10,19,13739,20,20,28,14281,28,28,14929,29,29,29,29,15533,29,29,15757,15888,29,16246,36,36,39,39,17160,39,42,17746,17922,18167,46,18387,50,62,18925,81,98,19194,19307,121,19504,19601,19658,136,144,144,145,20003,20076,147,20206,20247,20336,20426,148,148,20740,149,20945,21033,21192,21440,155,21806,161,22149,169,22613,22901,23188,23510,172,172,172,174,175,175,26468,176,27052,180,27621,28149,182,29382,30008,188,191,31601,32196,193,33374,33823,34167,34998,35855,36657,197,38144,200,38836,203,203,203,203,205,207,212,214,216,219,220,222,226,228,228,231,235,235,235,235,239,239,239,239,240,242,242,243,243,250,252,263,270,275,283,283,284,295,305,306,310,311,312,320,334,335,336,337,337,337,347,361,371,387,406,411,423,428,438,440,454,461,474,474,475,480,484,488,499,515,516,523,538,544,544,549,553,554,566,573,578,581,583,587,592,603,637,652,667,680,696,696,706,754,777,788,803,803,805,820,832,855,865,873,882,893,908,927,944,964,982,994,1002,1036,1050,1080,1161,1187,1229,1243,1283,1305,1318,1346,1385,1434,1447,1486,1527,1577,1612,1644,1697,1718,1751,1801,1869,1948,2002,2077,2138,2192,2282,2337
admin_1,id,id-be,,3671,3690,3735,3759,3779,3821,3942,3974,4013,4062,4069,4096,4147,4164,4191,4226,4266,4268,4293,4313,4363,4378,4433,4448,4463,4481,4498,4511,4527,4557,4579,4583,4596,4608,4621,4627,4633,4641,4647,4659,4666,4677,4694,4703,4721,4726,4743,4752,4757,4771,4790,4803,4825,4867,4883,4894,4914,4927,4933,4936,4949,4982,4994,5009,5017,5027,5067,5075,5084,5095,5122,5125,5145,5154,5169,5204,5212,5232,5242,5255,5258,5293,0,0,5332,0,0,0,0,5461,5484,1,2,2,2,2,2,5687,4,5750,4,5801,5826,5841,5887,4,4,6091,6118,4,8,6274,8,6404,6518,8,8,8,6739,6782,12,6959,6966,12,12,7105,7170,7246,7283,7301,7317,7367,40,42,53,56,7447,66,67,7545,7625,69,69,7763,69,7820,7839,71,72,86,91,91,92,92,8224,92,8340,92,8401,8425,8458,8522,8565,98,101,8717,8766,8796,8866,8947,9032,9078,9179,9285,9426,9622,124,125,125,9867,125,129,10448,136,137,141,11079,11306,151,11671,11883,162,12191,163,12592,12964,13318,13535,14003,181,14220,14417,14631,195,15334,15609,200,16150,16533,16898,17297,217,218,235,235,238,19418,19820,240,243,20379,253,258,260,264,274,277,279,279,280,286,286,287,288,288,289,300,303,305,329,332,343,343,349,353,361,364,369,391,391,394,397,400,430,458,466,467,476,480,510,523,530,536,536,541,572,579,590,600,645,647,665,693,713,722,724,728,752,758,762,774,785,796,803,804,807,825,832,839,862,877,880,915,917,928,961,969,995,995,1017,1040,1049,1081,1081,1082,1087,1099,1117,1140,1157,1197,1235,1239,1263,1281,1294,1355,1392,1403,1405,1419,1440,1461,1476,1538,1569,1574,1587,1635,1665,1707,1750,1821,1823,1842,1854,1913,2003,2038,2098,2109,2174,2182,2244,2294,2384,2435,2463,2543,2699,2779,2950,3001,3076,3130,3152,3183,3243,3352,3354,3454,3474,3491,3531,3603
admin_1,id,id-bt,,18457,18703,18839,18997,19161,19349,19713,19966,20241,20513,20690,20864,21049,21289,21570,21827,22110,22355,22538,22824,23060,23380,23737,24147,24436,24961,25263,25307,25633,25933,26204,26238,26275,26404,26430,26497,26544,26634,26675,26740,26770,26810,26957,27071,27145,27324,27675,28009,28095,28168,28241,28490,28603,28854,28895,29158,29395,29430,29476,29497,29594,29666,29677,30192,30205,30217,30808,30908,31046,31095,31579,31826,32141,32431,32678,33539,33832,34156,37,43,47,35338,35596,35687,35863,84,103,106,36809,142,152,39514,170,43925,44184,187,194,212,44798,243,45002,281,45516,45602,45683,297,311,45987,46062,46171,341,46343,337,359,370,46874,47101,388,47271,404,418,427,47577,446,47762,47827,47895,505,48037,48129,541,48267,580,48340,48362,48428,48481,48510,698,48650,753,48778,48814,48863,789,48996,817,49205,49277,858,861,49595,883,49764,965,49995,50042,1035,1047,50387,50575,1121,1157,51201,51456,51597,51754,51922,1327,52449,52677,53010,1361,53747,1390,1399,54925,55623,56117,56638,57124,1466,57726,58441,1508,59603,1525,60672,1544,61689,62258,62937,1593,1600,73481,77475,81155,1638,1646,1674,92749,1693,97985,100611,1719,1724,1738,1748,1757,1772,1801,112732,114057,115117,1891,117461,118425,1979,2013,120688,2059,2082,2101,2150,2187,2208,2241,2284,2301,2364,2411,2434,2470,2512,2544,2605,2637,2666,2725,2767,2827,2872,2903,2929,2997,3031,3053,3102,3187,3264,3323,3360,3402,3448,3469,3519,3574,3636,3774,3895,4036,4164,4343,4464,4593,4809,4939,5050,5185,5290,5417,5499,5643,5743,5825,5960,6129,6268,6368,6448,6570,6711,6882,6988,7067,7148,7239,7350,7466,7593,7723,7843,7922,8093,8313,8458,8563,8794,8914,9038,9208,9299,9406,9490,9580,9654,9726,9816,9866,9970,10095,10154,10274,10329,10454,10554,10665,10831,10990,10990,10990,11044,11203,11331,11513,11635,11806,11950,12078,12223,12414,12648,12799,13061,13215,13336,13467,13597,13740,13874,14007,14105,14271,14440,14632,14836,14972,15110,15276,15452,15633,15789,15969,16163,16353,16592,16777,16931,17097,17338,17488,17608,17729,17901,18170
admin_1,id,id-go,,3866,3866,3867,3880,3888,3888,3934,3949,3961,3969,3980,4011,4011,4054,4057,4065,4074,4080,4108,4122,4129,4142,4158,4161,4168,4172,4173,4228,4244,4283,4308,4311,4370,4400,4423,4437,4448,4470,4470,4501,4527,4541,4570,4574,4593,4612,4634,4638,4648,4695,4701,4719,4721,4731,4733,4755,4774,4776,4794,4798,4802,4819,4842,4851,4864,4866,4866,4866,4880,4880,4903,4954,4961,4964,4967,4983,0,0,0,0,5041,5075,5075,5082,0,5111,5119,0,0,5139,0,5172,5191,0,5202,0,5225,0,0,5247,1,1,1,5281,1,4,5316,5323,4,4,7,5338,5340,12,5346,5355,5355,5374,5386,5394,15,5400,15,5407,5411,5422,5422,19,5424,19,5431,19,19,21,22,23,24,28,5449,5449,5454,47,5462,58,58,5473,60,65,5491,69,94,94,108,5510,121,5513,126,5523,134,139,5544,5549,5553,5557,5557,208,5577,214,5605,5614,220,227,5690,5723,238,243,5783,5819,5837,5847,5847,249,5899,5913,5913,5989,6026,276,286,286,6189,345,6310,6364,6419,392,6635,425,6790,6924,6946,616,616,7100,7174,7208,7257,7344,7538,7616,1015,7921,8121,1284,1322,1387,8858,1431,1469,9283,9416,1614,1617,1664,1672,1675,1715,1721,1788,1821,1875,1875,1887,1887,1959,1959,1970,1970,2023,2035,2041,2041,2041,2075,2090,2151,2160,2182,2186,2201,2225,2241,2269,2271,2282,2314,2314,2330,2336,2341,2353,2375,2435,2437,2441,2489,2489,2534,2539,2572,2659,2671,2753,2759,2775,2775,2816,2839,2839,2922,2931,2933,2940,2947,2949,2949,2959,2960,2964,2964,2967,2969,2969,2972,2975,2975,2982,3001,3003,3005,3007,3007,3017,3017,3021,3021,3031,3031,3031,3032,3037,3045,3049,3049,3049,3054,3054,3054,3054,3054,3054,3057,3057,3057,3057,3062,3063,3065,3065,3073,3073,3091,3110,3110,3110,3139,3157,3172,3172,3263,3263,3266,3290,3290,3295,3306,3306,3321,3322,3342,3354,3365,3365,3368,3368,3415,3465,3495,3559,3603,3603,3676,3688,3695,3841
admin_1,id,id-ja,,3263,3296,3322,3336,3356,3397,3454,3526,3570,3601,3615,3649,3727,3807,3858,3894,3946,3975,4024,4056,4127,4189,4225,4263,4289,4328,4388,4453,4499,4543,4580,4580,4633,4693,4741,4797,4834,4859,4861,4883,4928,4961,4991,5024,5058,5067,5091,5113,5168,5178,5198,5219,5239,5265,5321,5349,5373,5456,5488,5489,5534,5543,5587,5594,5611,5631,5637,5657,5675,5684,5713,5734,5734,5739,5775,5800,5835,5867,0,5914,5928,1,1,1,6034,6079,6132,1,6198,6225,2,2,2,6384,2,6465,2,6562,2,2,6640,4,4,6736,6,7,6906,6954,8,8,13,7196,14,18,21,32,7407,32,32,32,32,32,7890,38,8042,47,47,47,62,8447,8511,65,8585,66,69,8671,80,8697,8742,89,89,8955,9010,95,9145,97,97,9359,97,97,9612,9678,9764,97,99,101,10104,10230,10378,103,105,105,106,108,11119,11247,108,11503,109,112,11911,112,112,114,12317,114,12537,12585,117,117,12861,12962,117,13201,13332,13453,13511,121,121,13935,122,122,122,14606,124,125,125,126,16441,16648,132,16884,136,136,18104,18296,139,139,139,154,156,162,168,20730,169,21552,21904,193,205,22854,22882,210,210,215,215,222,225,225,245,245,250,250,271,274,274,274,281,289,296,302,302,302,302,302,303,303,304,304,304,304,304,308,309,314,319,321,321,331,345,351,358,372,386,386,386,395,399,409,425,446,467,490,513,534,558,571,593,618,647,669,715,760,790,812,825,863,893,916,942,968,982,988,1027,1049,1068,1092,1118,1140,1149,1156,1188,1219,1230,1230,1230,1230,1237,1242,1252,1267,1285,1326,1362,1373,1384,1399,1419,1438,1454,1454,1464,1491,1531,1576,1620,1649,1649,1690,1735,1774,1820,1867,1913,1943,1993,2074,2168,2223,2336,2355,2355,2432,2502,2534,2573,2636,2702,2702,2752,2775,2847,2867,2901,2936,2955,2991,3030,3068,3096,3096,3116,3127,3157,3192,3227
admin_1,id,id-jb,,85083,86250,87482,88561,89661,91131,92547,94371,96102,97570,99045,100585,102340,104541,107636,111096,112587,114072,115756,117570,118798,121239,123048,125376,127398,131322,134520,139052,142887,147488,150336,153302,155370,157611,159631,161748,165719,167707,169207,169982,170642,171701,172384,174121,175003,175950,179982,184106,188526,192373,193348,194369,198181,202515,204706,207252,209566,210442,211212,212874,214528,216423,218154,219940,221034,222400,224139,225926,227496,228277,229634,230559,231692,233026,234643,235990,237251,26,41,55,241204,242420,60,73,78,98,246786,248396,180,250282,251186,223,252207,252545,253455,263,343,255903,256834,388,421,450,540,530,559,265286,266118,266887,696,269707,270711,762,273135,862,907,276389,951,969,1009,1012,1012,1043,1054,284835,285830,286868,288821,1404,291522,292592,293965,1545,295179,295789,296512,297304,298665,299784,1700,302335,303420,304417,2045,306807,2113,2130,309861,311067,2211,2231,313949,314841,315771,2319,2354,318892,2376,2404,2424,324186,325520,2551,327698,328940,2604,332265,2662,337664,2758,342559,344568,2848,350719,353629,2945,360528,3014,368303,373074,3134,3218,387634,3344,3374,3463,409376,3700,425206,3878,440377,445303,5027,5077,5160,5235,488686,5350,508814,5461,5488,5548,536756,5741,556180,563767,569069,6039,6084,6218,597911,604823,609027,6584,6637,618438,6787,627150,631730,7147,636982,639404,7599,7694,7803,7914,8275,8512,8595,8640,8685,8789,8988,9081,9215,9283,9420,9670,9848,10002,10528,10815,10918,11063,11278,11481,11719,12104,12332,12505,12709,13045,13333,13668,13940,14231,14388,14591,14938,15231,15584,15925,16395,16822,17502,18077,18593,19397,20131,20517,20954,21443,21759,22205,22764,23308,23651,23899,24402,24910,25662,26259,26763,27031,27236,27522,28087,28529,29119,29543,30043,30254,30778,31250,31907,32643,33147,33568,33924,34355,34745,35148,35607,35927,36338,36583,36924,37408,37924,38551,39138,39614,40093,40423,41171,41839,42572,43373,44182,44491,45049,45697,46062,46456,47328,47692,48064,48666,48965,49706,50482,51181,51548,51776,52517,53395,54159,55807,56799,57885,59273,60444,61175,62083,63043,64072,65355,66210,66810,68066,69500,70777,71764,72896,73948,74664,75589,76492,77194,78097,78698,79590,79993,81322,82555,83579
admin_1,id,id-ji,,85039,85762,86361,87070,87797,88642,89590,90615,91609,92613,93405,94249,95064,96045,97243,98403,99377,100225,101197,102152,103286,104342,105261,106162,107050,108017,109081,110103,111109,111939,112795,113488,114335,115071,115750,116549,117294,117851,118436,118876,119479,120523,121299,121859,122375,122807,123280,123860,124419,124991,125592,126033,126467,127013,127593,128149,128690,129135,129459,129800,130212,130642,131046,131450,131843,132171,132499,132890,133289,133630,133971,134317,134595,134852,135143,135464,8,9,15,26,136959,137197,51,137834,59,138449,77,90,139245,93,139827,104,140331,152,188,141077,194,196,223,142305,142554,142805,440,143316,499,514,522,555,144679,144937,145240,638,145831,690,770,785,146808,147105,147430,147746,1034,148183,1117,148688,148959,1221,149446,149671,149901,1502,1536,1669,1772,150901,151084,151248,151450,151677,151931,152190,152434,152667,3595,3663,153339,3943,153814,154060,154315,4613,4857,4922,155245,155505,5408,5549,5835,5948,157016,6533,6806,158283,7421,7597,7793,159961,160663,161385,162116,9057,163548,9542,9857,165886,166831,167806,10901,11178,11508,171830,12136,174430,12695,13048,13461,14013,182076,184624,14967,189705,15730,16140,197103,16877,17230,17395,226522,233442,18033,18308,18545,253104,19093,19450,272340,20256,20539,20812,21125,298525,21772,308432,22324,314592,22982,322735,326809,331299,24493,337274,339239,25626,25917,26220,26561,26979,27415,27903,28239,28551,28886,29257,29715,30036,30315,30635,30998,31329,31696,32113,32754,33220,33543,33893,34278,34655,35005,35331,35634,35941,36342,36712,37093,37455,37839,38088,38431,38809,39181,39508,39993,40372,40708,41076,41417,41755,42098,42391,42670,42890,43174,43450,43744,44058,44341,44649,44898,45135,45417,45748,46095,46405,46715,46984,47280,47595,47894,48161,48452,48690,48932,49174,49474,49801,50069,50364,50653,50921,51217,51506,51752,52020,52242,52465,52718,53002,53274,53513,53791,54080,54349,54631,54865,55137,55305,55575,55814,56070,56287,56551,56757,57237,57662,58041,58384,58679,59044,59398,59800,60190,60618,61071,61483,61883,62313,62773,63337,63901,64440,65012,65557,66099,66817,67613,68361,69130,69921,70634,71369,72124,72979,73798,74550,75274,76111,76817,77651,78385,79207,80010,80748,81532,82321,83217,84152
admin_1,id,id-jk,,185691,187585,189243,191075,192899,195301,197699,200658,203411,206122,208583,211252,214728,217893,220434,223970,227365,229726,232289,236075,239226,243018,246303,249815,252266,254580,256416,259305,262753,266244,269718,273332,276694,280261,283893,287233,289612,293825,296969,300406,303715,306229,310039,313057,315553,317432,319293,320738,321111,323031,325903,328628,331094,331876,332658,334239,335900,337637,339735,341793,342371,343807,345816,346975,348591,350425,352208,353075,354115,355869,357742,358776,359980,361535,362370,363700,365419,367007,215,370582,307,372871,424,463,376868,378222,627,675,381090,382055,383392,384632,971,386466,1124,1232,1369,389577,1706,1753,1948,393290,394118,394779,396109,2670,398125,399075,400048,400508,401110,3383,403260,3599,405063,405812,3869,406844,4092,4175,4317,4397,4463,411573,412418,4770,414106,4955,415647,5190,5276,5375,5554,5688,5774,419208,419629,6059,420459,421354,6301,423142,424009,424828,425212,425829,6895,427371,7128,429333,430059,7485,431179,7623,432799,7766,7870,436332,8121,8355,8503,442847,8740,8861,8978,9120,454671,9349,463552,468447,9829,9971,482264,486957,10404,501396,10796,10994,528409,535788,543468,551009,560408,570110,12183,591498,12667,610303,13211,636389,649309,14113,14517,14797,701910,15324,15636,737184,16236,16538,16899,763429,17621,778520,18365,18741,794935,798502,19995,807872,811326,21399,817354,22144,820365,23026,825657,23936,24601,831500,25727,26162,26624,27153,27761,28299,28882,29400,29952,30465,31016,31610,32267,32855,33470,34103,34740,35453,36213,37082,37943,39037,40086,40987,42041,43400,44280,45157,46333,47379,48393,49397,50671,51635,52840,54220,55099,56175,57469,58582,59840,60828,61966,63318,64554,65687,66731,67902,69224,70441,71339,72577,73736,74989,76187,77452,78850,79872,80979,82190,83372,84315,85574,86963,88174,89228,90266,91337,92382,93356,94327,95253,96217,97217,98206,99158,100220,100991,101897,102678,103522,104235,104847,105597,106205,107229,107846,108614,109411,110083,111201,112027,112743,113756,114343,115174,116207,117462,118627,119633,120670,121818,123003,124243,125822,127164,128173,129188,130461,131525,132961,134331,135762,136861,137919,139085,140238,141270,142630,143961,145427,146621,147838,149018,150250,151201,152499,154005,155122,156343,158033,159620,161519,163111,164577,165888,167842,169775,171871,173929,175926,177604,179660,181713,183735
