region_schema,region_parent,region_child,agerange,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03
admin_1,kz,kz-akm,,0,0,0,1,5,2,1,1,1,5,2,2,4,3,2,10,22,15,42,0,22,22,21,19,23,23,20,23,15,10,764,0,98,-98,0,0,0,266,35,-301,369,38,-407,0,0,0,611,-611,703,52,53,-808,915,-915,1015,-1015,1124,-1124,0,0,1339,-1339,0,1511,56,-1567,0,1682,37,-1719,0,0,1873,-1873,0,1940,26,24,13,-2003,2036,-2036,2058,-2058,2085,-2085,2104,8,9,7,-2128,0,0,2154
admin_1,kz,kz-akt,,0,6,14,4,6,15,13,0,0,26,17,48,10,14,12,10,8,15,29,0,20,18,25,18,22,23,33,28,51,34,649,63,-63,163,-163,0,317,-317,428,49,-477,604,63,-667,1034,53,51,-1138,1212,-1212,1242,-1242,1331,-1331,1399,37,0,-1436,1469,-1469,1510,24,11,0,-1545,1561,11,2,8,10,0,5,-1597,0,0,0,1654,-1654,0,1664,6,6,2,5,-1683,0,1696,3,2,3,-1704,0,0,0
admin_1,kz,kz-ala,,0,29,39,26,49,31,29,32,22,35,18,48,46,31,31,34,35,35,75,0,66,32,39,41,60,19,73,40,54,59,1726,195,206,-401,0,0,0,0,1177,-1177,0,1859,-1859,2310,229,219,-2758,0,0,0,3893,-3893,0,0,4817,394,0,253,-5464,0,0,6372,-6372,6785,-6785,0,0,0,7649,151,132,120,-8052,0,0,8293,-8293,0,8415,-8415,8461,32,-8493,0,0,8607,-8607,8643,26,-8669,8709,12,3,8
admin_1,kz,kz-ast,,0,59,23,55,35,37,38,24,42,23,27,50,24,39,77,104,87,59,182,0,53,103,59,77,62,67,47,56,72,57,1597,81,119,71,81,-352,0,615,120,180,120,88,123,211,-1457,1911,-1911,0,2703,226,-2929,0,0,0,4052,-4052,4628,250,250,226,-5354,5812,229,-6041,0,6692,210,-6902,7270,174,-7444,0,0,0,8010,-8010,0,0,0,0,8236,-8236,8268,20,-8288,0,0,8342,14,-8356,0,0,8383,8
admin_1,kz,kz-aty,,0,14,21,35,10,11,6,11,9,5,5,14,32,9,23,14,17,21,24,0,16,38,35,65,20,24,0,22,11,23,2493,287,-287,991,342,325,-1658,2023,658,336,-3017,3529,-3529,3985,179,218,181,177,-4740,0,5150,109,138,180,156,-5733,5855,65,58,-5978,6109,-6109,6185,30,-6215,6288,-6288,6378,24,-6402,0,0,6505,20,-6525,0,6574,10,-6584,0,0,0,0,6685,15,12,-6712,0,0,6761,11,-6772,6792,-6792
admin_1,kz,kz-kar,,0,24,0,68,48,33,24,18,41,50,52,52,77,56,47,50,52,37,117,0,61,58,53,43,41,46,48,48,43,49,2571,0,174,76,73,-323,0,681,-681,0,0,1229,-1229,0,0,0,1833,-1833,0,2219,-2219,2562,140,140,150,-2992,3219,118,-3337,3573,101,-3674,3879,88,-3967,0,4236,-4236,4406,-4406,4583,-4583,0,0,4836,-4836,0,0,4981,27,25,22,24,-5079,5119,-5119,0,0,0,5211,-5211,0,5261,-5261
admin_1,kz,kz-kus,,0,0,2,7,4,3,2,2,3,3,1,1,5,3,2,13,8,6,31,0,14,33,33,11,26,25,31,8,12,27,436,11,-11,111,36,17,63,42,-269,501,65,56,49,46,-717,811,53,51,-915,1026,-1026,1137,-1137,0,0,1420,-1420,0,1548,67,66,64,59,-1804,0,1974,-1974,2054,-2054,2117,31,30,29,-2207,2261,-2261,0,2326,-2326,0,2369,12,10,11,-2402,2422,-2422,2439,10,-2449,2466,8,6,-2480
admin_1,kz,kz-kzy,,0,16,30,1,3,4,5,4,0,5,14,0,7,2,7,7,7,8,18,0,8,7,17,12,12,19,11,8,19,11,548,0,0,167,-167,237,7,-244,303,-303,427,-427,0,0,687,-687,0,0,999,19,119,-1137,1329,85,-1414,0,1526,69,-1595,0,0,1772,35,7,-1814,1884,14,33,26,-1957,1968,-1968,0,0,0,0,0,2000,-2000,2003,-2003,2010,2,2,-2014,0,0,2019,0,0,-2019,2019,-2019,0
admin_1,kz,kz-man,,0,19,17,0,11,4,2,3,3,12,14,11,3,7,1,18,4,3,15,0,0,15,2,13,7,6,5,5,6,6,650,83,-83,275,44,124,13,-456,0,660,-660,808,-808,939,-939,1018,-1018,1116,2,-1118,0,0,1310,-1310,1449,116,0,44,-1609,0,1741,-1741,1794,12,-1806,1861,-1861,1929,32,29,28,-2018,0,2073,-2073,0,0,2129,7,-2136,0,2159,12,10,0,7,5,-2193,2199,-2199,0,0,2200,-2200
admin_1,kz,kz-pav,,0,11,0,7,5,13,15,11,16,2,10,2,35,13,3,34,41,13,12,0,20,31,21,14,33,25,37,44,35,31,399,59,-59,164,52,-216,321,-321,0,477,-477,0,0,737,88,63,83,72,-1043,0,0,1376,68,61,109,-1614,0,0,0,0,0,0,2123,-2123,2220,-2220,0,2330,-2330,2371,21,-2392,0,0,0,0,0,2546,-2546,2560,-2560,2596,-2596,0,0,0,0,2668,-2668,2682,7,-2689,2697,1
