region_schema,region_parent,region_child,agerange,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29
admin_1,kz,kz-akm,,0,6,21,4,0,0,3,0,0,3,1,7,2,0,4,1,11,0,1,0,0,0,0,13,16,0,0,0,0,0,67,0,37,-37,0,0,319,633,-952,0,0,808,-808,0,910,34,-944,1096,0,-1096,0,1157,7,56,26,-1246,0,1246,-1246,1589,83,0,-1672,0,0,0,0,0,0,0,2054,-2054,2097,57,-2154,2376,-2376,0,2543,46,-2589,2642,-2642,2685,19,19,-2723,0,0
admin_1,kz,kz-akt,,0,3,4,13,5,7,10,3,10,6,2,0,11,8,1,18,3,5,16,0,19,1,23,25,33,14,17,17,0,0,24,49,-49,66,-66,68,68,433,-569,0,0,334,0,42,-376,641,9,18,-668,0,0,0,0,823,121,-944,0,0,0,968,-968,0,975,-975,0,1002,365,205,-1572,1812,18,-1830,0,0,0,0,2126,158,137,-2421,2441,9,14,8,11,4,10,-2497,2505
admin_1,kz,kz-ala,,46,36,63,39,34,31,74,31,23,47,32,23,15,10,19,23,30,29,15,5,0,0,0,1,2,0,2,3,0,0,25,40,-40,0,0,81,22,1553,-1656,1704,-1704,0,0,0,2580,155,-2735,0,0,0,3457,129,-3586,3974,157,-4131,0,0,0,0,0,4791,78,7,504,50,-5430,5755,185,-5940,0,6145,-6145,0,0,0,8409,-8409,0,0,9750,-9750,9981,30,370,-10381,0,10638,27
admin_1,kz,kz-alm,,5,0,23,34,19,0,15,5,0,22,12,7,0,0,29,32,2,37,18,19,11,21,24,23,9,0,21,0,0,0,0,36,0,-36,36,-36,0,0,0,988,0,-988,1489,-1489,0,0,0,1855,-1855,1855,-1855,0,2234,-2234,0,2307,0,343,242,93,-2985,2985,-2985,0,2985,-2985,0,3434,-3434,0,0,3434,0,-3434,0,3539,0,84,-3623,0,3981,6,0,10,-3997,4012,-4012,4016,-4016
admin_1,kz,kz-ast,,22,27,36,85,27,56,61,186,58,91,59,64,88,0,20,7,81,21,124,15,42,70,140,76,65,0,65,14,0,0,127,0,250,-250,0,0,0,2075,-2075,698,-698,0,888,-888,1774,-1774,0,0,2355,20,288,424,265,165,242,-3759,3918,494,347,288,-5047,5492,29,40,513,-6074,6577,204,165,21,-6967,0,0,7225,113,-7338,0,0,7505,-7505,7583,-7583,0,0,0,9718,80,21,87
admin_1,kz,kz-aty,,19,148,51,74,140,23,4,47,14,42,16,5,35,29,24,9,6,15,49,0,31,39,7,50,46,43,2,51,43,0,29,22,-22,0,0,0,0,0,3176,-3176,3324,20,-3344,3471,-3471,0,3848,105,79,-4032,4192,80,58,-4330,4880,129,-5009,5099,40,44,315,17,57,44,-5616,6099,33,63,80,-6275,6331,-6331,0,0,7286,902,-8188,0,0,0,0,8674,-8674,0,8715,-8715,8790,11,-8801
admin_1,kz,kz-kar,,12,25,34,65,26,37,19,16,53,60,29,11,14,19,2,51,20,34,46,31,17,26,61,56,53,0,55,84,0,0,137,0,0,177,-177,298,49,-347,2313,-2313,2486,64,-2550,0,0,0,2925,-2925,0,3121,47,-3168,3338,61,62,-3461,3590,-3590,0,3865,-3865,4038,-4038,4124,-4124,0,0,4261,-4261,4316,7,41,-4364,4532,16,-4548,0,0,0,0,0,0,6856,360,330,258,-7804,0,8020
admin_1,kz,kz-kus,,2,1,8,5,5,10,11,9,5,2,12,20,0,7,2,2,1,0,2,2,1,0,5,8,8,0,2,17,0,0,30,0,47,-47,73,-73,97,345,3,-445,0,0,0,502,8,58,37,7,-612,0,804,3,63,34,23,-927,0,989,661,-1650,0,0,0,1845,45,-1890,2007,-2007,2068,-2068,2169,-2169,0,2378,11,16,-2405,2435,3,-2438,2452,16,-2468,0,2500,-2500,0,2531,27
admin_1,kz,kz-kzy,,0,8,15,6,5,5,5,7,6,5,37,28,17,0,51,15,8,10,6,3,5,10,29,22,15,0,45,26,13,0,104,61,-61,159,-159,197,-197,664,-354,-310,0,0,0,0,0,628,-628,0,0,0,0,885,39,92,45,76,-1137,0,0,0,0,1320,38,7,-1365,0,0,1551,-1551,0,1582,0,-1582,0,0,0,0,0,0,2207,-2207,0,0,0,2230,4,-2234,2271,-2271
admin_1,kz,kz-man,,5,10,6,4,1,2,4,14,11,4,7,13,17,12,5,14,6,9,6,3,19,8,11,17,7,5,12,17,0,0,23,0,7,14,8,-29,0,740,8,-748,0,794,-794,0,928,-928,1056,95,-1151,0,1210,-1210,1406,47,24,13,0,-1490,0,1653,11,-1664,1696,7,32,-1735,1825,-1825,1857,2,8,121,30,-2018,2045,10,6,-2061,2139,-2139,2168,20,-2188,0,2204,0,-2204,0,0
admin_1,kz,kz-pav,,4,1,5,1,0,10,0,0,2,9,1,1,3,0,2,0,0,5,34,1,2,14,22,20,20,15,19,15,15,0,33,0,39,-39,0,0,0,429,-429,0,472,14,-486,0,0,535,-535,548,-548,567,-567,0,0,622,19,-641,0,0,0,0,0,0,1232,-1232,0,0,0,0,0,1913,-1913,0,0,0,0,0,0,0,0,0,2177,42,-2219,0,2279,7,39,46,28
