region_schema,region_parent,region_child,agerange,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02
admin_1,kz,kz-akm,,166,166,166,166,167,172,174,175,176,177,182,184,186,190,193,195,205,227,242,284,284,306,328,349,368,391,414,434,457,472,482,1246,1298,1246,1386,1246,1246,1246,1512,1547,1581,1246,1246,1688,1246,1246,1246,1246,1899,1246,2001,1246,2108,1246,2210,1246,1246,2370,2422,2473,2532,2585,1246,2700,1246,1246,2859,1246,1246,2965,3004,3046,3069,1246,3151,1246,3186,1246,3236,3249,1246,3282,3296,1246,1246,1246,3343,1246,1246,3367,1246,3380,1246,3393
admin_1,kz,kz-akt,,343,343,349,363,367,373,388,401,401,401,427,444,492,502,516,528,538,546,561,590,590,610,628,653,671,693,716,749,777,828,862,1511,1511,1633,1674,1511,1742,1511,1511,1939,1988,2075,2115,2178,2349,1511,2598,1511,1511,1511,1511,2753,1511,1511,1511,1511,2947,1511,1511,1511,3004,3021,3045,1511,3056,1511,1511,3083,1511,3093,1511,1511,3108,3124,1511,1511,3157,3165,3167,3170,3175,3181,1511,3189,3194,1511,1511,3207,1511,1511,3215,3217,1511,3218
admin_1,kz,kz-ala,,2647,2647,2676,2715,2741,2790,2821,2850,2882,2904,2939,2957,3005,3051,3082,3113,3147,3182,3217,3292,3292,3358,3390,3429,3470,3530,3549,3622,3662,3716,3775,5501,5696,5902,5501,6088,5501,5501,6501,5501,5501,5501,7360,7591,5501,5501,8259,8473,5501,5501,5501,5501,5501,9851,5501,10318,5501,10712,5501,11236,5501,11662,11873,12079,5501,5501,5501,5501,12995,5501,13301,13433,5501,5501,13702,13742,13794,5501,13877,13916,13938,13962,5501,5501,14072,14084,5501,14129,14144,5501,5501,5501,14222,14225
admin_1,kz,kz-alm,,361,361,376,381,402,413,422,426,441,446,457,470,490,500,507,515,527,534,545,565,565,573,583,597,620,630,645,662,681,701,720,2096,2096,2096,2447,2096,2640,2691,2096,2096,2939,3048,3096,2096,2096,2096,2096,2096,2096,2096,2096,3679,3733,2096,2096,3933,4030,4030,4115,2096,4257,4320,4375,2096,4439,4491,4513,4577,4623,2096,4686,2096,4721,4743,2096,2096,2096,2096,4823,2096,2096,4848,4857,4864,4868,2096,4879,2096,4889,2096,2096,2096,4894,2096
admin_1,kz,kz-ast,,2207,2207,2266,2289,2344,2379,2416,2454,2478,2520,2543,2570,2620,2644,2683,2760,2864,2951,3010,3192,3192,3245,3348,3407,3484,3546,3613,3660,3716,3788,3845,5442,5442,5642,5713,5794,5442,5984,6057,5442,5442,5442,6565,6688,6899,5442,7353,7635,5442,8145,8371,5442,5442,9068,9243,5442,10070,5442,10320,10570,10796,11028,5442,11483,5442,11924,5442,5442,12530,5442,5442,13049,5442,13348,5442,5442,5442,13544,13578,5442,5442,5442,13686,5442,5442,13738,13747,13763,5442,13798,5442,5442,13822,13825
admin_1,kz,kz-aty,,1105,1105,1119,1140,1175,1185,1196,1202,1213,1222,1227,1232,1246,1278,1287,1310,1324,1341,1362,1386,1386,1402,1440,1475,1540,1560,1584,1584,1606,1617,1640,4133,4133,4133,5124,4133,5791,4133,6156,6814,4133,7393,4133,4133,4133,4133,4133,4133,4133,9057,4133,4133,4133,9530,9710,4133,9988,4133,4133,4133,4133,4133,4133,4133,10348,10383,4133,10467,10511,10535,4133,4133,10617,10638,4133,4133,4133,4133,4133,4133,10748,10768,10786,10803,4133,10833,4133,4133,4133,10883,4133,10905,4133,4133
admin_1,kz,kz-kar,,932,932,956,956,1024,1072,1105,1129,1147,1188,1238,1290,1342,1419,1475,1522,1572,1624,1661,1778,1778,1839,1897,1950,1993,2034,2080,2128,2176,2219,2268,4839,4839,4839,4839,5162,5243,5336,5520,4839,4839,5910,6068,4839,6346,6444,6544,6672,6792,6910,7058,7226,7401,4839,4839,7831,4839,8058,8176,8305,8412,4839,8623,8718,4839,4839,4839,9075,4839,9245,9335,4839,4839,9575,9631,4839,9714,4839,4839,9820,9847,4839,9894,4839,4839,9958,4839,9997,4839,10035,10050,4839,4839,10100
admin_1,kz,kz-kus,,182,182,182,184,191,195,198,200,202,205,208,209,210,215,218,220,233,241,247,278,278,292,325,358,369,395,420,451,459,471,498,934,945,934,934,934,934,934,934,934,1435,934,934,934,934,1696,1745,1798,1849,934,934,934,934,934,934,934,934,2354,934,934,934,934,2679,934,2796,2853,2908,2953,934,934,3051,934,934,3141,934,934,934,934,3260,934,934,3303,934,934,934,3346,3356,934,3373,3383,934,934,934,3414
admin_1,kz,kz-kzy,,402,402,418,448,449,452,456,461,465,465,470,484,484,491,493,500,507,514,522,540,540,548,555,572,584,596,615,626,634,653,664,1212,1317,1212,1212,1212,1449,1212,1487,1515,1578,1639,1730,1784,1846,1899,1973,1212,1212,1212,1212,2349,1212,2541,2626,2706,2738,2738,2807,1212,1212,2968,1212,3019,3026,1212,1212,1212,3143,3169,1212,1212,3186,1212,1212,3207,1212,1212,3212,3213,1212,1212,1212,1212,3226,1212,3228,1212,3231,1212,1212,1212,3231,3231
admin_1,kz,kz-man,,272,272,291,308,308,319,323,325,328,331,343,357,368,371,378,379,397,401,404,419,419,419,434,436,449,456,462,467,472,478,484,1134,1217,1295,1134,1134,1577,1590,1672,1134,1794,1134,1134,1134,1134,2111,1134,1134,1134,2252,2294,1134,1134,1134,2519,2583,1134,2699,1134,1134,1134,2875,1134,1134,1134,1134,2995,1134,1134,3095,1134,1134,3171,1134,3207,3220,1134,3249,3263,1134,3278,1134,1134,3305,1134,1134,1134,3327,3330,1134,3334,3334,3334,3334
