region_schema,region_parent,region_child,agerange,2020-07-17,2020-07-18,2020-07-19,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06
lt_municipality,lt,alytaus,,1,1,27,0,27,1,0,27,1,1,27,27,0,0,7,27,1,27,27,27,7,27,1,0,7,7,7,27,7,0,1,7,0,0,1,0,1,7,27,2,0,7,7,0,0,3,0,3,4,5,0,6,27,7,0,7,7,6,29,7,6,29,7,7,29,7,7,7,32,32,7,4,32,32,0
lt_municipality,lt,anykščių,,2,7,1,7,1,8,0,8,8,0,0,0,0,8,0,0,0,8,0,8,0,0,8,0,0,8,8,8,8,0,8,0,8,8,0,0,8,1,8,8,8,8,8,2,2,8,2,8,8,2,2,2,8,2,8,2,1,9,1,9,1,10,10,0,0,0,10,0,0,1,10,1,1,10,1
lt_municipality,lt,birštono,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1
lt_municipality,lt,druskininkų,,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,2,1,1,7,7,9,1
lt_municipality,lt,elektrėnų,,4,4,4,4,4,4,4,4,4,4,5,4,5,4,4,4,4,4,5,4,4,5,5,4,5,5,4,4,5,5,5,7,5,5,5,7,5,9,9,9,5,11,5,11,13,13,13,13,13,6,13,7,7,14,7,7,14,8,9,9,15,14,10,14,14,11,14,11,15,16,12,18,12,12,12
lt_municipality,lt,ignalinos,,1,5,5,1,1,5,1,1,5,1,5,5,11,12,12,12,5,5,5,5,19,5,19,19,19,5,7,17,15,9,9,9,15,14,10,14,10,13,13,11,13,13,13,11,12,12,12,8,16,6,18,6,18,18,18,6,6,18,6,6,6,18,6,20,21,21,21,21,22,22,3,3,3,22,2
lt_municipality,lt,jonavos,,13,13,1,2,2,13,2,13,13,2,2,2,13,13,13,2,3,4,13,13,5,5,5,6,6,6,6,6,7,7,13,13,13,13,7,7,13,14,6,6,14,6,5,17,19,1,19,1,19,1,19,19,1,1,19,1,19,1,1,19,1,19,19,19,19,19,19,19,1,19,19,19,19,4,5
lt_municipality,lt,jurbarko,,2,0,0,2,0,2,0,0,0,0,2,2,2,2,0,2,1,2,2,1,2,1,1,2,2,2,2,1,1,1,2,1,1,2,2,2,1,1,3,2,2,6,6,7,8,2,2,9,9,10,2,2,2,16,14,3,4,16,16,4,16,16,5,5,5,15,9,9,9,11,8,17,17,7,19
lt_municipality,lt,kaišiadorių,,0,3,3,0,0,3,3,3,0,0,0,0,3,3,3,3,0,3,3,0,3,3,3,3,3,3,2,3,3,3,5,5,3,3,3,4,4,4,4,4,5,5,4,4,4,4,4,4,5,5,5,4,5,4,5,4,4,5,4,5,5,6,4,4,7,7,4,7,4,8,4,8,8,10,10
lt_municipality,lt,kalvarijos,,0,0,4,4,0,0,0,0,0,4,4,4,4,4,4,4,0,4,4,0,4,0,4,0,0,4,4,0,0,4,0,0,0,0,0,4,4,0,0,0,0,4,4,4,4,4,0,1,1,4,4,4,1,4,4,4,4,1,4,4,1,4,1,4,4,1,1,4,5,0,5,0,0,0,0
lt_municipality,lt,kauno,,21,101,101,1,101,21,21,21,50,101,7,9,102,10,12,103,104,14,104,21,138,27,28,30,21,21,177,178,106,106,200,61,61,205,116,60,209,26,132,132,214,64,65,210,36,36,63,219,66,222,151,151,228,151,153,155,235,63,62,237,62,243,49,68,195,204,52,75,295,215,59,62,90,97,251
lt_municipality,lt,kazlų rūdos,,3,3,0,3,0,0,0,3,0,3,3,3,3,0,3,3,3,0,3,3,0,3,0,3,0,0,0,3,1,3,0,0,3,3,0,0,0,3,3,0,3,0,0,0,0,3,0,3,3,0,0,0,0,0,0,3,3,3,3,3,0,3,0,3,0,0,3,3,0,3,0,0,0,0,3
lt_municipality,lt,kelmės,,0,0,2,0,2,2,0,0,0,2,2,2,2,2,2,0,2,1,1,2,1,2,2,2,2,2,2,1,1,3,3,0,3,0,0,0,3,3,0,3,3,0,0,3,3,3,0,3,0,0,3,3,3,0,0,3,3,3,3,6,11,11,11,11,3,11,14,18,3,3,28,33,3,38,3
lt_municipality,lt,kupiškio,,1,0,1,1,1,0,1,0,0,0,0,2,0,2,0,3,0,3,3,0,3,0,4,4,5,0,2,3,3,3,3,3,3,4,5,3,6,6,6,3,5,5,4,3,3,6,6,3,6,3,3,8,8,8,8,8,3,8,4,9,9,5,9,8,8,9,9,9,9,10,11,11,7,11,8
lt_municipality,lt,kėdainių,,2,3,3,3,3,7,3,3,3,3,8,3,8,3,8,8,8,8,9,9,9,3,3,4,8,4,4,8,2,10,10,4,4,4,10,4,10,4,10,10,5,5,6,6,8,10,12,12,12,12,13,13,11,11,12,13,14,12,14,12,14,12,11,11,16,11,16,18,16,16,16,16,21,16,16
lt_municipality,lt,lazdijų,,0,0,0,0,5,1,1,5,5,1,1,5,1,1,5,5,5,6,0,0,0,6,6,6,0,6,0,6,6,6,6,6,0,0,0,0,6,2,6,6,1,6,6,6,1,1,1,6,6,6,6,7,7,7,7,0,7,7,7,7,0,0,7,0,0,0,0,7,7,7,0,7,0,1,1
