region_schema,region_parent,region_child,agerange,2020-07-18,2020-07-19,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05
lt_municipality,lt,alytaus,,0,-20,6,20,-27,0,0,1,26,0,0,0,0,0,-27,-7,7,0,0,0,-6,6,-7,27,0,-27,1,0,6,-7,7,0,-7,0,7,-7,2,-2,7,-4,24,-24,4,-7,27,-20,-2,1,1,0,-7,0,27,-21,23,-28,5,-5,28,-28,6,-6,0,6,-28,28,-25,0,-6
lt_municipality,lt,anykščių,,-5,0,-6,7,0,0,-8,0,8,0,-8,0,8,-8,8,8,-8,0,8,-8,8,0,-8,8,0,-8,0,8,-8,0,0,8,-7,0,7,-7,7,0,-7,7,0,0,-6,0,0,6,-6,6,-6,6,-6,6,-7,8,0,-8,0,9,0,-10,10,0,0,0,0,-9,9,-9,0
lt_municipality,lt,birštono,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,1,-1,0,1,0,-1,1,0,0,0,1,-1,0
lt_municipality,lt,druskininkų,,0,1,0,-1,0,1,-1,1,1,-1,1,0,-1,0,1,-1,1,-1,1,0,-1,1,-1,0,1,-1,0,0,1,-1,1,0,-1,0,0,1,0,-1,1,0,-1,1,-1,0,1,0,-1,0,0,0,1,0,0,0,0,-1,0,1,0,-1,0,0,1,0,0,6,-6,0,8
lt_municipality,lt,elektrėnų,,0,0,0,0,0,0,0,0,1,-1,0,1,-1,1,-1,-1,0,0,1,-1,1,0,-1,1,0,0,2,0,-2,0,2,-2,0,4,-4,0,0,0,6,0,-6,8,0,0,0,1,-7,0,7,-7,7,-7,1,6,-5,6,-6,5,0,-4,1,2,1,1,5,1,-5,6,-6
lt_municipality,lt,ignalinos,,0,0,0,0,0,4,0,-4,-2,2,7,0,-7,10,4,0,0,14,-14,14,0,0,-2,0,-8,6,0,-6,6,-5,4,0,-4,3,-2,2,-2,2,0,0,-1,0,0,-4,0,10,0,0,0,-12,12,-12,0,0,0,0,0,12,-12,-2,17,-17,17,0,19,0,-19,0,19
lt_municipality,lt,jonavos,,0,-12,0,0,0,11,-11,11,11,0,-11,11,0,-10,10,0,0,8,-8,8,0,0,-7,0,7,0,0,0,0,-6,0,6,0,1,0,-8,8,0,1,-12,-2,0,18,-18,0,0,18,0,-18,0,18,0,-18,0,0,18,-18,18,-18,0,18,-18,18,0,18,0,0,0,-15
lt_municipality,lt,jurbarko,,2,0,2,-2,2,0,0,-2,-2,0,0,0,0,1,0,0,0,0,0,1,-1,0,0,0,1,0,0,0,0,0,-1,0,0,1,0,0,4,-4,4,-4,0,0,0,7,0,-7,9,-9,0,0,1,0,1,0,0,12,0,-12,1,0,11,-9,7,-5,2,4,2,-11,11
lt_municipality,lt,kaišiadorių,,3,0,0,0,0,3,-3,0,3,0,0,-3,3,-3,3,3,0,-2,0,0,0,0,1,1,2,-2,2,-2,2,0,-2,1,0,0,0,0,0,0,1,0,-1,1,0,0,0,0,-1,1,-1,1,0,-1,0,1,-1,0,1,-1,2,0,-2,0,0,0,-4,4,0,0,2
lt_municipality,lt,kalvarijos,,4,0,-4,4,-4,4,0,-4,0,4,0,0,0,-4,4,-4,0,4,0,-4,4,0,0,-4,4,0,0,0,-4,4,0,-4,0,0,0,0,0,4,-4,4,-4,4,0,0,0,0,0,-3,3,0,0,-3,0,0,3,-3,3,-3,3,-3,0,0,0,3,0,-5,0,5,0
lt_municipality,lt,kauno,,-20,0,80,-80,-18,98,0,-49,-40,3,-44,0,-9,92,-19,83,-83,0,126,-126,22,61,73,-128,136,6,9,-91,100,-94,1,-56,2,70,0,80,-149,149,-181,1,30,1,82,-108,29,-28,113,-85,-25,110,-108,191,-170,-18,182,9,-175,1,184,-65,72,-202,152,-152,-125,153,-173,0,260
