region_schema,region_parent,region_child,agerange,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12
admin_1,my,my-01,,-702,0,0,702,-702,0,702,-702,0,0,702,0,0,702,2,-704,0,0,704,0,-704,704,0,-704,0,0,0,704,0,-704,704,-704,0,704,-704,0,705,2,0,2,-719,725,3,8,-735,745,6,5,-756,764,5,-769,0,0,784,3,-787,794,1,-795,0,0,802,4,12,-4,19,-833,0,0,855,8,2,-865,0,876,-876,0,0,890,-890,888,-888,968,2,-970,969,-968,1034,15,-1049,74,54,-1322,0,1563,-1561,2,0,0,2207,59,105,103,-2472,2517,-2517,3,1,2850,-2850,0,0,0,0,0,4341,194,218,-4753,5470,194,112,-5773,0,6824,-6820,0,0,0,3,9830,396,442,-10665,11657,0,1257,362,329,7,0,15727,378,-5,1045,-17139,0,0,0,21419,-21417,21416,583,499,490,-26982,0,0,28649,-28636,30167,490,-30655,-2,31815,0,-31815,0,33840,0,37041,-37041,37801,0,118,-37916,38080
admin_1,my,my-02,,0,184,-184,187,-187,192,-192,0,206,-206,207,-207,0,-212,0,0,0,218,-218,244,-244,0,0,0,0,0,298,1,7,-306,315,-315,0,319,15,0,-334,0,346,1,361,-361,685,113,241,-1034,0,0,0,1488,153,16,-1657,1667,91,-1758,0,1916,9,-1925,0,0,1953,78,-2031,2035,4,-2039,0,2073,-2073,2109,-2109,2126,-2124,2135,-2135,2169,3,8,3,0,36,0,2272,-4,-2268,2304,-2304,0,2370,65,-2506,0,2584,-2584,1,2686,10,-9,14,33,-2734,0,0,2768,20,-2788,2836,17,-2853,0,0,0,0,2884,-2884,2927,-2927,0,0,0,0,1,3058,98,-3155,3243,30,107,-3380,3516,40,-3556,0,0,0,0,4234,142,0,4948,-4948,0,5138,162,76,-5376,0,5692,-5691,5743,-5743,-6113,6220,-6220,0,6364,228,-6592,6888,0,-6885,6977,107,-7084,0,0,0,7443,0,7637,0,35,-1,9,25,-7704
admin_1,my,my-03,,0,-154,0,154,0,0,0,-154,154,0,-154,0,0,154,0,-154,0,154,0,0,0,-154,154,-154,154,0,0,0,0,0,-154,154,-154,154,1,-155,0,155,-155,0,0,0,162,1,1,-164,164,-164,0,0,165,0,0,0,2,0,0,0,-167,167,-167,0,169,3,-172,172,-172,173,-173,173,-173,0,174,2,-176,174,0,0,4,2,-180,188,-188,231,-231,0,0,0,271,-271,0,344,7,-351,363,-363,383,-7,2,14,-437,0,0,0,0,0,458,8,-7,11,1,-469,479,-479,504,4,-508,0,614,-614,701,-701,0,815,-1,-811,950,43,66,-1059,0,0,1367,86,-1453,0,1623,-1623,1957,150,2494,-2494,2733,77,0,-2810,3035,-3034,3070,93,-3162,0,3219,-3475,3568,-3568,0,0,0,0,3,3869,-3869,3957,-3957,0,0,4077,-4077,4472,4949,-4949,4993,104,0,-5097,5141,-5141
admin_1,my,my-04,,-249,0,0,249,-249,0,0,0,0,0,0,0,252,-252,0,0,252,0,-252,0,252,0,0,-252,0,252,-252,0,252,-252,252,-252,0,252,-252,0,0,0,253,2,0,1,-257,257,1,-258,258,-258,0,0,260,3,-263,0,0,0,0,0,273,16,-289,0,0,0,295,2,1,-298,300,-300,0,300,-300,302,-2,7,-307,0,317,5,0,-322,0,358,5,-3,-1,-359,367,-367,0,0,0,373,-373,378,-378,0,0,4,-391,0,0,421,-421,422,5,109,5,143,1,-685,703,-9,-694,908,5,23,-936,0,968,239,-1207,1,0,0,0,0,1408,70,-1478,1563,37,-1600,1693,-1693,1778,-1778,0,2096,-2350,0,0,0,2966,182,63,73,0,116,-3396,3546,-3545,-4121,0,0,5106,-5106,5502,-5502,4,0,5600,-5600,5648,0,-5648,0,5809,-5808,-5982,0,0,6008,0,-6008,6011,-6010
admin_1,my,my-05,,0,0,0,0,0,0,-1016,0,1016,0,0,-1016,0,-1016,0,0,0,1019,-1019,0,1021,0,-1021,0,0,1025,-1025,0,1025,0,-1025,1026,-1026,0,0,0,0,0,1029,-1029,-1031,0,1034,-1034,0,1039,-1039,1048,4,-1052,0,0,0,1065,-1065,0,0,1081,-1081,0,1097,35,-1132,1237,-1237,1284,-1284,1345,-1345,1523,-1523,0,0,1615,-1615,1749,45,-1794,0,2287,-2287,0,0,46,-3470,0,0,0,0,0,0,-4637,4831,0,-4831,5098,19,5854,23,-5877,0,0,0,6190,260,-6450,0,6516,89,-6604,6965,-6965,7080,2,-7082,7346,-7346,0,7524,-7523,7617,78,51,-7746,7873,128,98,-8095,0,8370,-8369,0,8966,-8966,9157,168,-9324,-1,9846,126,1,10580,-10580,0,0,0,0,11232,0,-11232,11501,-3,-11495,-12007,12231,104,-12335,12591,89,0,-12679,12854,40,0,-12894,0,0,0,13819,62,-15946,0,16037,-16037,0,0,0,0
admin_1,my,my-06,,0,0,0,0,356,0,-356,0,0,356,0,0,-356,1,0,0,-357,0,357,-357,0,0,357,0,0,0,0,0,0,0,-357,0,357,0,-357,357,-357,359,0,4,365,2,-367,367,-367,0,368,1,-369,0,371,0,-371,371,-371,372,1,0,-1,-372,374,-374,376,-376,0,0,378,0,0,-378,379,0,1,1,-381,381,-381,0,0,381,-381,378,3,0,0,0,-381,381,0,0,-381,1,-387,0,390,4,-394,0,447,-447,612,-612,786,-786,816,-816,824,16,-840,824,-824,0,854,-854,941,-941,971,-971,0,0,1328,-1328,0,0,1388,33,-1420,1455,25,28,-1508,1585,-1585,1727,143,113,-1983,0,0,0,48,-2392,2528,63,-2591,0,2693,72,-2764,0,2956,-2956,0,-3266,3346,-3346,3374,46,21,0,-3440,0,0,3492,48,0,0,-3540,3669,-3668,3799,-3798,3810,67,-1,3,2,-3880
admin_1,my,my-07,,130,4,-134,134,-134,0,0,0,134,0,-134,134,0,0,-134,0,134,-134,0,0,0,0,0,0,0,136,-136,0,139,0,0,-139,140,-140,0,140,-140,140,0,0,-142,143,2,-144,0,0,148,-148,0,160,7,1,-168,309,39,-348,0,587,45,-632,652,24,41,-6,97,-808,0,0,940,-940,0,0,1013,-1013,1,1080,-1080,0,1308,-1308,1369,17,-1386,0,0,1666,-25,-1641,1720,12,-1732,2009,-2007,2067,29,-2096,0,0,0,2389,-2389,2458,102,26,-2586,0,0,2,0,0,2888,-2886,2925,2,80,25,58,37,-3127,3274,69,-3343,0,0,0,0,4167,-4167,0,4429,273,-4701,0,0,0,0,5658,-5658,6092,-6092,171,202,162,-7020,7109,-7108,1,0,7520,-7520,0,0,7789,0,8882,209,-9091,9269,-9269,9413,285,0,55,0,-9751,10007,-10007,0,0,1,-11700,12037,-12037,12412,-12412,12486,-12484,0
admin_1,my,my-08,,0,-257,257,-257,257,0,0,-257,0,257,0,-257,257,0,0,0,-257,0,0,257,0,0,0,-257,0,0,0,257,0,0,0,-257,257,0,0,-257,0,0,0,257,-259,0,262,-262,266,-266,0,279,-279,0,0,287,-287,291,68,3,9,-371,385,18,7,16,-426,443,-443,457,-457,0,0,488,-5,-483,504,0,-4,-499,1,0,559,-559,0,0,0,0,0,4,909,-913,1041,81,141,268,43,0,-1741,1781,-1781,54,-1995,2040,-2040,1,0,2387,61,0,110,-2557,2632,-2632,2789,-2789,2827,-2827,0,2911,-2911,2967,-2967,3069,48,33,51,12,-1,-3211,3345,-3344,0,3516,42,80,-3638,1,0,0,4081,128,-4209,4430,1,0,0,5366,0,-5366,2,5796,-5794,0,6039,-6035,0,1,0,6845,-6845,0,7009,-7009,7226,0,-7222,7306,252,-7559,7559,-7559,9235,-9231,11467,-11467,0,0,0,11842,33,-11874
admin_1,my,my-09,,0,0,0,-27,0,27,0,-27,0,0,28,-28,0,28,0,-28,28,0,0,1,0,-29,0,0,29,-29,29,-29,29,-29,29,-29,29,0,0,-29,29,-29,29,0,0,34,0,-34,0,34,-34,0,34,-34,0,0,0,34,0,0,0,-34,0,34,-34,28,-28,34,-34,34,-34,34,0,-34,34,-34,0,0,34,0,-34,34,0,-34,34,0,2,-37,37,-37,0,37,1,-38,39,-39,39,0,0,0,-39,0,-40,0,0,0,40,0,0,-40,0,41,-41,41,-41,0,41,-41,0,41,0,1,0,-42,0,41,-41,41,-41,42,-42,42,-42,45,8,-53,0,61,1,-62,0,80,-80,0,-115,136,7,-143,0,0,154,9,-163,0,171,-171,171,177,2,4,0,0,4,0,-187,0,189,0,-189,0,0,0,0,0,208,-208,0,234,0,17,1,-252
admin_1,my,my-10,,-2084,0,2085,-2085,0,0,0,2092,-2092,0,2098,-2098,0,2109,0,-2109,2111,-2111,0,0,0,0,2125,2,1,-2128,0,2133,3,0,-2136,2144,4,0,3,-2151,0,0,2158,22,2205,44,-2249,2312,-2312,2365,39,-2404,0,0,2527,-2527,2629,-7,226,-2848,2966,159,77,107,116,-3425,0,0,0,0,0,0,0,0,4447,-4447,0,0,4980,-4978,5598,-5597,5992,-5992,0,0,0,-7512,8008,-45,-18,-7945,0,10713,-10713,0,0,13474,1140,-14614,15529,16345,417,-16761,0,0,20211,-20211,21178,0,-21178,4,0,23234,-23234,1,0,0,27369,461,710,-28540,3,30031,-30031,31708,776,-32477,33106,1360,502,963,-35918,37706,555,-38249,39535,-39524,0,3,0,-3,0,0,-49818,0,0,0,12,55815,819,1574,-58202,0,67045,-67016,67015,75818,-75811,78613,-78613,81232,-81232,0,84841,0,1094,0,3601,-89504,89504,-89504,93364,868,100475,-100472,101099,2366,-10,-103445,104629,-104623
