date,region_schema,region_parent,region_child,agerange,value
2020-07-04,admin_1,na,na-ca,,0
2020-07-04,admin_1,na,na-er,,0
2020-07-04,admin_1,na,na-ha,,0
2020-07-04,admin_1,na,na-ka,,0
2020-07-04,admin_1,na,na-kh,,0
2020-07-04,admin_1,na,na-ku,,0
2020-07-04,admin_1,na,na-od,,0
2020-07-04,admin_1,na,na-oh,,0
2020-07-04,admin_1,na,na-on,,0
2020-07-04,admin_1,na,na-os,,0
2020-07-04,admin_1,na,na-ot,,0
2020-07-04,admin_1,na,na-ow,,0
2020-07-05,admin_1,na,na-ca,,0
2020-07-05,admin_1,na,na-er,,0
2020-07-05,admin_1,na,na-ha,,0
2020-07-05,admin_1,na,na-ka,,0
2020-07-05,admin_1,na,na-kh,,0
2020-07-05,admin_1,na,na-ku,,0
2020-07-05,admin_1,na,na-od,,0
2020-07-05,admin_1,na,na-oh,,0
2020-07-05,admin_1,na,na-on,,0
2020-07-05,admin_1,na,na-os,,0
2020-07-05,admin_1,na,na-ot,,0
2020-07-05,admin_1,na,na-ow,,0
2020-07-06,admin_1,na,na-ca,,0
2020-07-06,admin_1,na,na-er,,1
2020-07-06,admin_1,na,na-ha,,0
2020-07-06,admin_1,na,na-ka,,0
2020-07-06,admin_1,na,na-kh,,0
2020-07-06,admin_1,na,na-ku,,0
2020-07-06,admin_1,na,na-od,,0
2020-07-06,admin_1,na,na-oh,,0
2020-07-06,admin_1,na,na-on,,0
2020-07-06,admin_1,na,na-os,,0
2020-07-06,admin_1,na,na-ot,,0
2020-07-06,admin_1,na,na-ow,,0
2020-07-07,admin_1,na,na-ca,,0
2020-07-07,admin_1,na,na-er,,0
2020-07-07,admin_1,na,na-ha,,0
2020-07-07,admin_1,na,na-ka,,0
2020-07-07,admin_1,na,na-kh,,0
2020-07-07,admin_1,na,na-ku,,0
2020-07-07,admin_1,na,na-od,,0
2020-07-07,admin_1,na,na-oh,,0
2020-07-07,admin_1,na,na-on,,0
2020-07-07,admin_1,na,na-os,,0
2020-07-07,admin_1,na,na-ot,,0
2020-07-07,admin_1,na,na-ow,,0
2020-07-08,admin_1,na,na-ca,,0
2020-07-08,admin_1,na,na-er,,0
2020-07-08,admin_1,na,na-ha,,0
2020-07-08,admin_1,na,na-ka,,0
2020-07-08,admin_1,na,na-kh,,0
2020-07-08,admin_1,na,na-ku,,0
2020-07-08,admin_1,na,na-od,,0
2020-07-08,admin_1,na,na-oh,,0
2020-07-08,admin_1,na,na-on,,0
2020-07-08,admin_1,na,na-os,,0
2020-07-08,admin_1,na,na-ot,,0
2020-07-08,admin_1,na,na-ow,,0
2020-07-09,admin_1,na,na-ca,,0
2020-07-09,admin_1,na,na-er,,0
2020-07-09,admin_1,na,na-ha,,0
2020-07-09,admin_1,na,na-ka,,0
2020-07-09,admin_1,na,na-kh,,0
2020-07-09,admin_1,na,na-ku,,0
2020-07-09,admin_1,na,na-od,,0
2020-07-09,admin_1,na,na-oh,,0
2020-07-09,admin_1,na,na-on,,0
2020-07-09,admin_1,na,na-os,,0
2020-07-09,admin_1,na,na-ot,,0
2020-07-09,admin_1,na,na-ow,,0
2020-07-10,admin_1,na,na-ca,,0
2020-07-10,admin_1,na,na-er,,0
2020-07-10,admin_1,na,na-ha,,0
2020-07-10,admin_1,na,na-ka,,0
2020-07-10,admin_1,na,na-kh,,0
2020-07-10,admin_1,na,na-ku,,0
2020-07-10,admin_1,na,na-od,,0
2020-07-10,admin_1,na,na-oh,,0
2020-07-10,admin_1,na,na-on,,0
2020-07-10,admin_1,na,na-os,,0
2020-07-10,admin_1,na,na-ot,,0
2020-07-10,admin_1,na,na-ow,,0
2020-07-11,admin_1,na,na-ca,,0
2020-07-11,admin_1,na,na-er,,0
2020-07-11,admin_1,na,na-ha,,0
2020-07-11,admin_1,na,na-ka,,0
2020-07-11,admin_1,na,na-kh,,0
2020-07-11,admin_1,na,na-ku,,0
2020-07-11,admin_1,na,na-od,,0
2020-07-11,admin_1,na,na-oh,,0
2020-07-11,admin_1,na,na-on,,0
2020-07-11,admin_1,na,na-os,,0
2020-07-11,admin_1,na,na-ot,,0
2020-07-11,admin_1,na,na-ow,,0
2020-07-12,admin_1,na,na-ca,,0
2020-07-12,admin_1,na,na-er,,0
2020-07-12,admin_1,na,na-ha,,0
2020-07-12,admin_1,na,na-ka,,0
2020-07-12,admin_1,na,na-kh,,0
2020-07-12,admin_1,na,na-ku,,0
2020-07-12,admin_1,na,na-od,,0
2020-07-12,admin_1,na,na-oh,,0
2020-07-12,admin_1,na,na-on,,0
2020-07-12,admin_1,na,na-os,,0
2020-07-12,admin_1,na,na-ot,,0
2020-07-12,admin_1,na,na-ow,,0
2020-07-13,admin_1,na,na-ca,,0
2020-07-13,admin_1,na,na-er,,0
2020-07-13,admin_1,na,na-ha,,0
2020-07-13,admin_1,na,na-ka,,0
2020-07-13,admin_1,na,na-kh,,0
2020-07-13,admin_1,na,na-ku,,0
2020-07-13,admin_1,na,na-od,,0
2020-07-13,admin_1,na,na-oh,,0
2020-07-13,admin_1,na,na-on,,0
2020-07-13,admin_1,na,na-os,,0
2020-07-13,admin_1,na,na-ot,,0
2020-07-13,admin_1,na,na-ow,,0
2020-07-14,admin_1,na,na-ca,,0
2020-07-14,admin_1,na,na-er,,0
2020-07-14,admin_1,na,na-ha,,0
2020-07-14,admin_1,na,na-ka,,1
2020-07-14,admin_1,na,na-kh,,0
2020-07-14,admin_1,na,na-ku,,0
2020-07-14,admin_1,na,na-od,,0
2020-07-14,admin_1,na,na-oh,,0
2020-07-14,admin_1,na,na-on,,0
2020-07-14,admin_1,na,na-os,,0
2020-07-14,admin_1,na,na-ot,,0
2020-07-14,admin_1,na,na-ow,,0
2020-07-15,admin_1,na,na-ca,,0
2020-07-15,admin_1,na,na-er,,2
2020-07-15,admin_1,na,na-ha,,0
2020-07-15,admin_1,na,na-ka,,0
2020-07-15,admin_1,na,na-kh,,0
2020-07-15,admin_1,na,na-ku,,0
2020-07-15,admin_1,na,na-od,,0
2020-07-15,admin_1,na,na-oh,,0
2020-07-15,admin_1,na,na-on,,0
2020-07-15,admin_1,na,na-os,,0
2020-07-15,admin_1,na,na-ot,,0
2020-07-15,admin_1,na,na-ow,,0
2020-07-16,admin_1,na,na-ca,,0
2020-07-16,admin_1,na,na-er,,1
2020-07-16,admin_1,na,na-ha,,0
2020-07-16,admin_1,na,na-ka,,0
2020-07-16,admin_1,na,na-kh,,0
2020-07-16,admin_1,na,na-ku,,0
2020-07-16,admin_1,na,na-od,,0
2020-07-16,admin_1,na,na-oh,,0
2020-07-16,admin_1,na,na-on,,0
2020-07-16,admin_1,na,na-os,,0
2020-07-16,admin_1,na,na-ot,,0
2020-07-16,admin_1,na,na-ow,,0
2020-07-17,admin_1,na,na-ca,,0
2020-07-17,admin_1,na,na-er,,0
2020-07-17,admin_1,na,na-ha,,0
2020-07-17,admin_1,na,na-ka,,0
2020-07-17,admin_1,na,na-kh,,1
2020-07-17,admin_1,na,na-ku,,0
2020-07-17,admin_1,na,na-od,,0
2020-07-17,admin_1,na,na-oh,,0
2020-07-17,admin_1,na,na-on,,1
2020-07-17,admin_1,na,na-os,,0
2020-07-17,admin_1,na,na-ot,,0
2020-07-17,admin_1,na,na-ow,,0
2020-07-18,admin_1,na,na-ca,,0
2020-07-18,admin_1,na,na-er,,0
2020-07-18,admin_1,na,na-ha,,0
2020-07-18,admin_1,na,na-ka,,0
2020-07-18,admin_1,na,na-kh,,0
2020-07-18,admin_1,na,na-ku,,0
2020-07-18,admin_1,na,na-od,,0
2020-07-18,admin_1,na,na-oh,,0
2020-07-18,admin_1,na,na-on,,0
2020-07-18,admin_1,na,na-os,,0
2020-07-18,admin_1,na,na-ot,,0
2020-07-18,admin_1,na,na-ow,,0
2020-07-19,admin_1,na,na-ca,,0
2020-07-19,admin_1,na,na-er,,1
2020-07-19,admin_1,na,na-ha,,0
2020-07-19,admin_1,na,na-ka,,0
2020-07-19,admin_1,na,na-kh,,0
2020-07-19,admin_1,na,na-ku,,0
2020-07-19,admin_1,na,na-od,,0
2020-07-19,admin_1,na,na-oh,,0
2020-07-19,admin_1,na,na-on,,0
2020-07-19,admin_1,na,na-os,,0
2020-07-19,admin_1,na,na-ot,,0
2020-07-19,admin_1,na,na-ow,,0
2020-07-20,admin_1,na,na-ca,,0
2020-07-20,admin_1,na,na-er,,0
2020-07-20,admin_1,na,na-ha,,0
2020-07-20,admin_1,na,na-ka,,0
2020-07-20,admin_1,na,na-kh,,0
2020-07-20,admin_1,na,na-ku,,0
2020-07-20,admin_1,na,na-od,,0
2020-07-20,admin_1,na,na-oh,,0
2020-07-20,admin_1,na,na-on,,0
2020-07-20,admin_1,na,na-os,,0
2020-07-20,admin_1,na,na-ot,,0
2020-07-20,admin_1,na,na-ow,,0
2020-07-21,admin_1,na,na-ca,,0
2020-07-21,admin_1,na,na-er,,6
2020-07-21,admin_1,na,na-ha,,0
2020-07-21,admin_1,na,na-ka,,2
2020-07-21,admin_1,na,na-kh,,2
2020-07-21,admin_1,na,na-ku,,0
