date,region_schema,region_parent,region_child,agerange,value
2020-05-19,admin_1,so,so-bn,,39
2020-05-19,admin_1,so,so-ga,,0
2020-05-20,admin_1,so,so-bn,,42
2020-05-20,admin_1,so,so-ga,,0
2020-05-21,admin_1,so,so-bn,,42
2020-05-21,admin_1,so,so-ga,,0
2020-05-25,admin_1,so,so-bn,,42
2020-05-25,admin_1,so,so-ga,,0
2020-05-26,admin_1,so,so-bn,,43
2020-05-26,admin_1,so,so-ga,,0
2020-05-27,admin_1,so,so-bn,,43
2020-05-27,admin_1,so,so-ga,,0
2020-05-28,admin_1,so,so-bn,,43
2020-05-28,admin_1,so,so-ga,,0
2020-05-29,admin_1,so,so-bn,,50
2020-05-29,admin_1,so,so-ga,,0
2020-06-01,admin_1,so,so-bn,,53
2020-06-01,admin_1,so,so-ga,,0
2020-06-03,admin_1,so,so-bn,,52
2020-06-03,admin_1,so,so-ga,,0
2020-06-04,admin_1,so,so-bn,,52
2020-06-04,admin_1,so,so-ga,,0
2020-06-05,admin_1,so,so-bn,,52
2020-06-05,admin_1,so,so-ga,,0
2020-06-09,admin_1,so,so-bn,,54
2020-06-09,admin_1,so,so-ga,,0
2020-06-10,admin_1,so,so-bn,,54
2020-06-10,admin_1,so,so-ga,,0
2020-06-11,admin_1,so,so-bn,,54
2020-06-11,admin_1,so,so-ga,,0
2020-06-15,admin_1,so,so-bn,,54
2020-06-15,admin_1,so,so-ga,,1
2020-06-16,admin_1,so,so-bn,,54
2020-06-16,admin_1,so,so-ga,,1
2020-06-17,admin_1,so,so-bn,,54
2020-06-17,admin_1,so,so-ga,,1
2020-06-18,admin_1,so,so-bn,,54
2020-06-18,admin_1,so,so-ga,,1
2020-06-19,admin_1,so,so-bn,,54
2020-06-19,admin_1,so,so-ga,,1
2020-06-25,admin_1,so,so-bn,,54
2020-06-25,admin_1,so,so-ga,,1
2020-06-26,admin_1,so,so-bn,,54
2020-06-26,admin_1,so,so-ga,,1
2020-06-29,admin_1,so,so-bn,,54
2020-06-29,admin_1,so,so-ga,,1
2020-06-30,admin_1,so,so-bn,,54
2020-06-30,admin_1,so,so-ga,,1
2020-07-01,admin_1,so,so-bn,,54
2020-07-01,admin_1,so,so-ga,,1
2020-07-06,admin_1,so,so-bn,,57
2020-07-06,admin_1,so,so-ga,,1
2020-07-07,admin_1,so,so-bn,,57
2020-07-07,admin_1,so,so-ga,,1
2020-07-08,admin_1,so,so-bn,,57
2020-07-08,admin_1,so,so-ga,,1
2020-07-09,admin_1,so,so-bn,,55
2020-07-09,admin_1,so,so-ga,,1
2020-07-10,admin_1,so,so-bn,,55
2020-07-10,admin_1,so,so-ga,,1
2020-07-13,admin_1,so,so-bn,,55
2020-07-13,admin_1,so,so-ga,,1
2020-07-14,admin_1,so,so-bn,,55
2020-07-14,admin_1,so,so-ga,,1
2020-07-15,admin_1,so,so-bn,,55
2020-07-15,admin_1,so,so-ga,,1
2020-07-16,admin_1,so,so-bn,,55
2020-07-16,admin_1,so,so-ga,,1
2020-07-20,admin_1,so,so-bn,,55
2020-07-20,admin_1,so,so-ga,,1
2020-07-22,admin_1,so,so-bn,,55
2020-07-22,admin_1,so,so-ga,,1
2020-07-23,admin_1,so,so-bn,,55
2020-07-23,admin_1,so,so-ga,,1
2020-07-24,admin_1,so,so-bn,,55
2020-07-24,admin_1,so,so-ga,,1
2020-07-27,admin_1,so,so-bn,,55
2020-07-27,admin_1,so,so-ga,,1
2020-07-28,admin_1,so,so-bn,,55
2020-07-28,admin_1,so,so-ga,,1
2020-07-29,admin_1,so,so-bn,,55
2020-07-29,admin_1,so,so-ga,,1
2020-08-04,admin_1,so,so-bn,,55
2020-08-04,admin_1,so,so-ga,,1
2020-08-05,admin_1,so,so-bn,,55
2020-08-05,admin_1,so,so-ga,,1
2020-08-10,admin_1,so,so-bn,,55
2020-08-10,admin_1,so,so-ga,,1
2020-08-17,admin_1,so,so-bn,,55
2020-08-17,admin_1,so,so-ga,,1
2020-08-19,admin_1,so,so-bn,,55
2020-08-19,admin_1,so,so-ga,,1
2020-08-24,admin_1,so,so-bn,,55
2020-08-24,admin_1,so,so-ga,,1
2020-08-31,admin_1,so,so-bn,,55
2020-08-31,admin_1,so,so-ga,,1
2020-09-07,admin_1,so,so-bn,,55
2020-09-07,admin_1,so,so-ga,,1
2020-09-14,admin_1,so,so-bn,,55
2020-09-14,admin_1,so,so-ga,,1
2020-09-22,admin_1,so,so-bn,,55
2020-09-22,admin_1,so,so-ga,,1
2020-09-28,admin_1,so,so-bn,,55
2020-09-28,admin_1,so,so-ga,,1
2020-10-12,admin_1,so,so-bn,,55
2020-10-12,admin_1,so,so-ga,,1
2020-10-20,admin_1,so,so-bn,,55
