region_schema,region_parent,region_child,agerange,2020-02-03,2020-02-04,2020-02-05,2020-02-08,2020-02-09,2020-02-10,2020-02-13,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15
admin_0,,at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,34,-11,-12,0,-34,0,0,0,11,0,-34,11,0,12,-23,-12,-23,12,0,-20,-7,-13,-18,0,2,-4,-5,-3,-1,-13,0,-3,-7,-7,-5,-11,-2,-7,-4,-9,-4,-1,-7,3,-2,-3,1,-9,-5,-1,-3,1,2,1,0,-2,-5,-2,4,2,-3,-5,1,-2,-3,0,0,2,-2,-3,-5,1,2,3,-3,-1,1,0,0,0,0,-1,0,0,-1,0,-1,-1,-2,3,-2,0,1,2,1,-1,1,1,-3,0,1,-2,1,1,1,0,0,3,2,7,-5,-3,2,-1,-1,1,-1,5,-2,-2,3,1,1,2,2,0,0,-1,-2,2,1,0,-3,-3,2,-2,4,-4,1,1,1,0,1,0,0,0,1,3,3,0,1,-1,0,-1,-1,0,0,1,-1,8,3,2,1,2,3,2,5,1,7,22,-16,-1,8,2,1,0,2,4,4,2,0,8,2,-3,6,-2,0,-1,38,23,-23,85,-126,10,5,
admin_0,,be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,21,31,34,63,62,32,63,89,138,78,99,78,75,79,67,56,61,40,16,6,-7,16,9,-7,-16,-30,2,-8,-22,-22,-32,-31,-38,-10,8,-59,-27,-23,-36,-33,2,-27,-79,-28,-20,-59,-6,-29,-9,-64,-40,-34,-6,-27,2,-12,-38,-20,-27,-16,-19,-3,3,-32,-36,-9,-9,-3,-5,-2,-26,-14,-22,-14,-5,-4,2,6,-27,-8,-16,-10,5,-1,-13,-3,-10,-1,-6,3,-10,-8,-7,-8,-2,3,-3,-8,-1,-1,-2,-2,-2,2,5,-4,-1,-1,-3,-3,1,-3,5,0,4,-4,-4,-1,-4,4,0,1,0,2,1,5,-3,8,-1,1,3,3,5,-3,-2,-5,6,8,2,-4,9,-2,4,4,-2,2,4,4,-1,-2,6,2,4,5,-2,-6,-1,2,1,2,2,-4,-4,1,-5,-5,-1,3,-6,-8,-2,-6,1,0,-1,7,1,5,2,1,3,1,-5,7,-5,9,0,-1,10,7,1,9,5,11,15,5,10,7,-1,7,22,1,9,-6,12,12,1,14,17,22,14,,
admin_0,,bg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,5,1,2,1,0,-7,2,6,7,0,-8,0,-2,6,-3,4,0,-4,4,-2,0,1,3,0,-3,0,-3,2,-1,5,6,7,2,-8,1,0,-2,-4,1,-3,-7,-3,-2,-2,0,-7,-2,1,1,-2,0,-2,-1,-1,4,-11,-1,0,4,0,0,3,-2,4,-2,0,1,-1,-1,-1,-1,1,4,-4,0,-2,2,3,0,2,2,5,6,1,0,-1,-2,0,-1,1,3,-3,-1,4,1,0,-4,-2,1,0,5,1,0,0,-3,-7,3,1,5,1,5,1,-3,-3,8,1,3,-3,-2,3,3,8,0,-1,0,10,-1,0,-5,-3,1,0,5,-1,3,10,1,0,-9,-1,-4,5,-6,2,2,2,-3,1,-2,-5,1,-3,-1,4,3,-5,1,-3,0,-4,-3,-3,-6,-3,3,-2,-2,-2,-2,1,6,0,5,1,2,0,3,3,4,2,3,-2,-4,3,2,1,3,3,-1,3
admin_0,,cz,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,1,1,9,-1,4,4,4,10,2,10,9,-4,13,6,3,3,10,-3,-3,6,12,-6,2,-7,-2,13,-7,-10,-6,6,-2,-6,6,-3,1,-4,3,-3,-4,1,-4,0,-4,-4,-5,-5,0,5,-8,-3,-3,3,-5,1,2,-2,-1,-4,0,-1,1,-2,-1,0,-2,-5,-2,-1,-2,-4,1,-2,0,-3,0,1,-2,-1,-1,0,0,1,-1,0,2,1,-1,1,-2,-1,-1,0,2,-2,1,0,0,0,4,-1,-2,1,3,-3,0,-1,1,0,2,0,-3,1,-1,5,0,-1,1,4,-2,0,4,-1,-1,0,-1,4,-1,-1,-4,-1,-1,3,2,1,0,-1,0,0,-3,-3,2,-1,2,0,1,5,1,-1,2,1,2,-1,2,-1,-2,-1,-1,3,-2,7,1,2,0,3,0,-2,0,5,0,4,6,2,2,8,-5,7,1,4,1,4,4,3,10,2,1,-7,23,5,5,11,20,17,13,6,0,15,-4,23,24,29,-9,61,28,12,46,-4,30,-12,41,51,,
admin_0,,dk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,6,7,5,4,9,14,18,7,15,12,10,6,8,1,0,-7,-1,0,-5,-6,0,-7,-7,-7,-2,-4,-7,-4,3,1,-6,-3,0,-3,-1,-6,-5,1,0,2,-6,0,-4,-1,-1,2,-5,-8,-3,-3,-1,-3,1,3,0,-6,-2,-3,-4,-1,-1,-1,0,-2,0,-4,2,-1,3,-1,-2,-2,2,0,0,1,-1,-3,0,,,1,-1,2,-4,-1,-3,0,0,-1,-2,0,0,0,0,1,1,0,1,2,,,,,,-2,-3,0,0,1,-2,0,0,-1,1,1,0,0,0,-1,0,-3,1,0,1,0,-1,0,0,0,0,0,0,0,0,-1,0,0,1,-1,0,0,0,0,0,0,-1,0,0,-1,0,1,0,0,0,0,0,1,1,0,0,-1,0,2,0,0,0,0,-1,0,0,1,-1,0,2,0,2,-3,0,0,-1,-1,1,0,1,5,3,2,1,-1,2,1,0,0,-2,0,0,-2,4,1,-1,,,,,,,,,,
admin_0,,ee,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0,0,0,3,0,3,0,2,1,0,4,-3,-3,-2,-1,-2,0,2,0,-2,2,-1,0,1,0,-1,4,0,-1,-1,-1,-1,1,0,1,1,-1,-3,0,0,0,1,0,-2,-1,-1,0,0,0,0,0,0,0,0,0,1,-2,0,-1,0,0,1,0,-4,0,0,1,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-1,1,2,0,0,1,0,0,-2,0,-1,-1,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,-1,,
admin_0,,fi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,-1,10,8,7,6,3,7,1,3,5,2,-1,0,-1,-1,-3,-3,1,0,1,-3,-3,-2,-1,-4,0,-3,1,-1,2,-6,0,-5,-3,1,3,-3,0,-1,-4,0,1,0,0,-1,-10,1,-2,-1,-2,-1,5,-9,-5,2,-1,0,-2,-1,-7,0,0,-1,1,-1,-1,0,-2,0,1,-1,-1,0,-2,0,0,-1,-1,-1,2,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-1,,,,,,,,,,,,,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_0,,fr,,0,0,0,0,0,0,0,,,,,,0,,,,8,16,6,,,20,19,24,,,,,,72,231,295,156,221,406,436,419,416,407,478,356,464,440,444,365,251,167,136,89,56,15,-82,-62,-123,-38,-24,-91,-268,-192,-217,-189,-89,-60,-250,-207,-160,-182,-144,-43,-72,-134,-264,-181,-128,-49,-8,-123,-264,-280,-184,-91,-56,-36,-62,-170,-111,-129,-94,-71,-44,-89,-104,-100,-46,-44,-36,-10,-46,-53,-52,-72,-67,-35,-6,-17,-49,-42,-46,-68,-35,-6,-29,-69,-22,-29,-24,-8,-2,-23,-26,-48,-20,-25,-12,0,-14,-19,-24,-7,-17,-12,0,-3,-17,-20,-9,-12,-16,4,0,-10,-8,-17,-15,-1,3,-6,-2,-8,-1,-4,-2,-2,-6,-12,-10,-9,-26,-17,-1,7,-13,-5,1,-10,-3,1,15,4,-4,6,-7,7,2,4,-5,-12,-4,-7,9,0,8,-4,5,6,-1,1,3,16,14,-28,2,6,13,2,7,15,22,18,9,9,4,51,37,25,15,20,27,7,43,47,44,-3,27,7,7,78,32,51,46,51,13,7,46,40,34,27,11,19,46,74,8,-11,12,21,17,27,56,94,31,
admin_0,,hu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,-3,-1,2,0,,,-2,-4,-2,7,2,-3,-2,-1,0,-2,3,0,-1,0,0,-3,0,0,0,-1,0,-1,1,0,0,-1,-2,-1,-1,0,0,0,,,-1,0,0,-2,-2,0,0,-1,0,1,-1,0,0,-1,-1,0,0,-1,0,0,0,0,0,-1,-1,0,2,-1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,-2,0,0,0,-1,0,0,1,0,0,0,0,1,0,-1,1,0,2,-2,0,0,,,0,0,0,0,0,1,1,2,0,1,1,-2,1,3,1,0,1,1,3,8,1,2,3,1,-1,-3,-2,6,2,6,7,3,-2,-5,-4,-1,-2,-3,4,15,26,28,28,16,6,-4,
admin_0,,ie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,16,11,13,8,4,5,3,-1,5,-1,3,5,4,0,-7,-5,6,-9,2,-5,-3,-1,6,-6,-2,-8,-5,5,-3,-3,-4,-10,3,-7,0,-6,-2,-1,-8,-6,-4,0,0,-3,-2,-5,-3,-3,-2,-3,4,-1,-5,3,-3,2,-2,-1,0,0,-3,-3,-6,0,1,-1,1,-1,1,-1,-2,0,1,-6,-2,0,,,-3,-4,1,0,-5,1,-1,0,-5,-2,3,0,-1,0,1,1,-1,-2,0,1,-1,0,-1,0,0,0,1,1,-1,0,-2,0,0,0,1,-1,-1,-1,0,-1,0,0,1,0,-2,0,0,0,0,1,0,1,-1,0,1,0,1,-2,1,0,2,0,0,0,-1,-1,0,0,0,0,-1,-1,0,1,0,0,0,1,0,0,1,0,0,-1,0,0,0,1,0,2,1,1,2,1,0,1,1,0,1,-1,1,-1,1,1,-1,0,1,4,-2,1,-1,1,2,1,3,-2,6,-1,0,2,-1,-1,
