date,region_schema,region_parent,region_child,agerange,value
2020-02-07,admin_0,,jp,,3
2020-02-08,admin_0,,jp,,-18
2020-02-09,admin_0,,jp,,0
2020-02-10,admin_0,,jp,,14
2020-02-11,admin_0,,jp,,-14
2020-02-12,admin_0,,jp,,15
2020-02-13,admin_0,,jp,,0
2020-02-14,admin_0,,jp,,2
2020-02-18,admin_0,,jp,,7
2020-02-19,admin_0,,jp,,5
2020-02-20,admin_0,,jp,,9
2020-02-21,admin_0,,jp,,8
2020-02-22,admin_0,,jp,,11
2020-02-23,admin_0,,jp,,24
2020-02-24,admin_0,,jp,,10
2020-02-25,admin_0,,it,,23
2020-02-25,admin_0,,jp,,13
2020-02-26,admin_0,,ee,,0
2020-02-26,admin_0,,it,,14
2020-02-26,admin_0,,jp,,4
2020-02-27,admin_0,,ee,,0
2020-02-27,admin_0,,it,,140
2020-02-27,admin_0,,jp,,12
2020-02-28,admin_0,,ee,,0
2020-02-28,admin_0,,it,,105
2020-02-28,admin_0,,jp,,22
2020-02-28,admin_0,,nl,,8
2020-02-28,admin_0,,se,,0
2020-02-29,admin_0,,ee,,0
2020-02-29,admin_0,,is,,0
2020-02-29,admin_0,,it,,97
2020-02-29,admin_0,,jp,,15
2020-02-29,admin_0,,nl,,1
2020-02-29,admin_0,,se,,0
2020-03-01,admin_0,,ee,,0
2020-03-01,admin_0,,is,,0
2020-03-01,admin_0,,it,,273
2020-03-01,admin_0,,jp,,12
2020-03-01,admin_0,,nl,,10
2020-03-01,admin_0,,se,,0
2020-03-02,admin_0,,ee,,0
2020-03-02,admin_0,,is,,-1
2020-03-02,admin_0,,it,,129
2020-03-02,admin_0,,jp,,13
2020-03-02,admin_0,,nl,,14
2020-03-02,admin_0,,se,,2
2020-03-03,admin_0,,ee,,0
2020-03-03,admin_0,,il,,0
2020-03-03,admin_0,,is,,0
2020-03-03,admin_0,,it,,355
2020-03-03,admin_0,,jp,,11
2020-03-03,admin_0,,nl,,6
2020-03-03,admin_0,,se,,0
2020-03-04,admin_0,,ee,,0
2020-03-04,admin_0,,hu,,2
2020-03-04,admin_0,,il,,2
2020-03-04,admin_0,,is,,0
2020-03-04,admin_0,,it,,378
2020-03-04,admin_0,,jp,,14
2020-03-04,admin_0,,nl,,13
2020-03-04,admin_0,,se,,0
2020-03-05,admin_0,,ee,,0
2020-03-05,admin_0,,hu,,2
2020-03-05,admin_0,,il,,1
2020-03-05,admin_0,,is,,1
2020-03-05,admin_0,,it,,500
2020-03-05,admin_0,,jp,,32
2020-03-05,admin_0,,nl,,12
2020-03-05,admin_0,,se,,3
2020-03-06,admin_0,,ee,,0
2020-03-06,admin_0,,hu,,0
2020-03-06,admin_0,,il,,3
2020-03-06,admin_0,,is,,0
2020-03-06,admin_0,,it,,715
2020-03-06,admin_0,,jp,,11
2020-03-06,admin_0,,mt,,0
2020-03-06,admin_0,,nl,,12
2020-03-06,admin_0,,pt,,4
2020-03-06,admin_0,,se,,1
2020-03-07,admin_0,,ee,,0
2020-03-07,admin_0,,hu,,1
2020-03-07,admin_0,,il,,3
2020-03-07,admin_0,,is,,0
2020-03-07,admin_0,,it,,362
2020-03-07,admin_0,,jp,,52
2020-03-07,admin_0,,mt,,0
2020-03-07,admin_0,,nl,,16
2020-03-07,admin_0,,pt,,8
2020-03-07,admin_0,,se,,0
2020-03-08,admin_0,,ee,,0
2020-03-08,admin_0,,hu,,2
2020-03-08,admin_0,,ie,,-1
