region_schema	region_parent	region_child	date_updated	datatype	agerange	value	source_url	text_match
admin_1	BD	BD-B	2020_04_04	total		3	https://iedcr.gov.bd/	
admin_1	BD	BD-C	2020_04_04	total		78	https://iedcr.gov.bd/	
admin_1	BD	BD-D	2020_04_04	total		1	https://iedcr.gov.bd/	
admin_1	BD	BD-F	2020_04_04	total		6	https://iedcr.gov.bd/	
bd_district	BD-B	BD-08	2020_04_04	total		1	https://iedcr.gov.bd/	
bd_district	BD-B	BD-10	2020_04_04	total		1	https://iedcr.gov.bd/	
bd_district	BD-B	BD-11	2020_04_04	total		1	https://iedcr.gov.bd/	
bd_district	BD-C	BD-13	2020_04_04	total		52	https://iedcr.gov.bd/	
bd_district	BD-C	BD-13	2020_04_04	total		2	https://iedcr.gov.bd/	
bd_district	BD-C	BD-18	2020_04_04	total		1	https://iedcr.gov.bd/	
bd_district	BD-C	BD-36	2020_04_04	total		11	https://iedcr.gov.bd/	
bd_district	BD-C	BD-40	2020_04_04	total		11	https://iedcr.gov.bd/	
bd_district	BD-C	BD-62	2020_04_04	total		1	https://iedcr.gov.bd/	
bd_district	BD-D	BD-12	2020_04_04	total		1	https://iedcr.gov.bd/	
bd_district	BD-F	BD-19	2020_04_04	total		5	https://iedcr.gov.bd/	
bd_district	BD-F	BD-55	2020_04_04	total		1	https://iedcr.gov.bd/	
admin_1	BD	BD-B	2020_04_05	new		0	DERIVED	
admin_1	BD	BD-B	2020_04_05	total		3	https://iedcr.gov.bd/	
admin_1	BD	BD-C	2020_04_05	new		0	DERIVED	
admin_1	BD	BD-C	2020_04_05	total		78	https://iedcr.gov.bd/	
admin_1	BD	BD-D	2020_04_05	new		0	DERIVED	
admin_1	BD	BD-D	2020_04_05	total		1	https://iedcr.gov.bd/	
admin_1	BD	BD-F	2020_04_05	new		0	DERIVED	
admin_1	BD	BD-F	2020_04_05	total		6	https://iedcr.gov.bd/	
bd_district	BD-B	BD-08	2020_04_05	new		0	DERIVED	
bd_district	BD-B	BD-08	2020_04_05	total		1	https://iedcr.gov.bd/	
bd_district	BD-B	BD-10	2020_04_05	new		0	DERIVED	
bd_district	BD-B	BD-10	2020_04_05	total		1	https://iedcr.gov.bd/	
bd_district	BD-B	BD-11	2020_04_05	new		0	DERIVED	
bd_district	BD-B	BD-11	2020_04_05	total		1	https://iedcr.gov.bd/	
bd_district	BD-C	BD-13	2020_04_05	new		50	DERIVED	
bd_district	BD-C	BD-13	2020_04_05	total		2	https://iedcr.gov.bd/	
bd_district	BD-C	BD-13	2020_04_05	total		52	https://iedcr.gov.bd/	
bd_district	BD-C	BD-18	2020_04_05	new		0	DERIVED	
bd_district	BD-C	BD-18	2020_04_05	total		1	https://iedcr.gov.bd/	
bd_district	BD-C	BD-36	2020_04_05	new		0	DERIVED	
bd_district	BD-C	BD-36	2020_04_05	total		11	https://iedcr.gov.bd/	
bd_district	BD-C	BD-40	2020_04_05	new		0	DERIVED	
bd_district	BD-C	BD-40	2020_04_05	total		11	https://iedcr.gov.bd/	
bd_district	BD-C	BD-62	2020_04_05	new		0	DERIVED	
bd_district	BD-C	BD-62	2020_04_05	total		1	https://iedcr.gov.bd/	
bd_district	BD-D	BD-12	2020_04_05	new		0	DERIVED	
bd_district	BD-D	BD-12	2020_04_05	total		1	https://iedcr.gov.bd/	
bd_district	BD-F	BD-19	2020_04_05	new		0	DERIVED	
bd_district	BD-F	BD-19	2020_04_05	total		5	https://iedcr.gov.bd/	
bd_district	BD-F	BD-55	2020_04_05	new		0	DERIVED	
bd_district	BD-F	BD-55	2020_04_05	total		1	https://iedcr.gov.bd/	
admin_1	BD	BD-B	2020_04_06	new		3	DERIVED	
admin_1	BD	BD-B	2020_04_06	total		6	https://iedcr.gov.bd/	
admin_1	BD	BD-C	2020_04_06	new		68	DERIVED	
admin_1	BD	BD-C	2020_04_06	total		146	https://iedcr.gov.bd/	
admin_1	BD	BD-D	2020_04_06	new		0	DERIVED	
admin_1	BD	BD-D	2020_04_06	total		1	https://iedcr.gov.bd/	
admin_1	BD	BD-F	2020_04_06	new		0	DERIVED	
admin_1	BD	BD-F	2020_04_06	total		6	https://iedcr.gov.bd/	
admin_1	BD	BD-G	2020_04_06	total		2	https://iedcr.gov.bd/	
admin_1	BD	BD-H	2020_04_06	total		3	https://iedcr.gov.bd/	
bd_district	BD-B	BD-08	2020_04_06	new		1	DERIVED	
bd_district	BD-B	BD-08	2020_04_06	total		2	https://iedcr.gov.bd/	
bd_district	BD-B	BD-10	2020_04_06	new		2	DERIVED	
bd_district	BD-B	BD-10	2020_04_06	total		3	https://iedcr.gov.bd/	
bd_district	BD-B	BD-11	2020_04_06	new		0	DERIVED	
bd_district	BD-B	BD-11	2020_04_06	total		1	https://iedcr.gov.bd/	
bd_district	BD-C	BD-13	2020_04_06	new		-46	DERIVED	
bd_district	BD-C	BD-13	2020_04_06	total		84	https://iedcr.gov.bd/	
bd_district	BD-C	BD-13	2020_04_06	total		6	https://iedcr.gov.bd/	
bd_district	BD-C	BD-18	2020_04_06	new		0	DERIVED	
bd_district	BD-C	BD-18	2020_04_06	total		1	https://iedcr.gov.bd/	
bd_district	BD-C	BD-33	2020_04_06	total		3	https://iedcr.gov.bd/	
bd_district	BD-C	BD-36	2020_04_06	new		0	DERIVED	
bd_district	BD-C	BD-36	2020_04_06	total		11	https://iedcr.gov.bd/	
bd_district	BD-C	BD-40	2020_04_06	new		27	DERIVED	
bd_district	BD-C	BD-40	2020_04_06	total		38	https://iedcr.gov.bd/	
bd_district	BD-C	BD-42	2020_04_06	total		2	https://iedcr.gov.bd/	
bd_district	BD-C	BD-62	2020_04_06	new		0	DERIVED	
bd_district	BD-C	BD-62	2020_04_06	total		1	https://iedcr.gov.bd/	
