region_schema	region_parent	region_child	date_updated	datatype	agerange	value	source_url	text_match
admin_0		be	2020_03_01	total	30-39	1	https://epistat.wiv-isp.be/covid/	
admin_0		be	2020_03_02	new		20	DERIVED	
admin_0		be	2020_03_02	total		37	https://epistat.wiv-isp.be/covid/	
admin_0		be	2020_03_02	total_male		22	https://epistat.wiv-isp.be/covid/	
admin_0		be	2020_03_02	total_female		15	https://epistat.wiv-isp.be/covid/	
admin_0		be	2020_03_02	new	10-19	6	DERIVED	
admin_0		be	2020_03_02	total	10-19	10	https://epistat.wiv-isp.be/covid/	
admin_0		be	2020_03_02	new	20-29	1	DERIVED	
admin_0		be	2020_03_02	total	20-29	2	https://epistat.wiv-isp.be/covid/	
admin_0		be	2020_03_02	new	40-49	6	DERIVED	
admin_0		be	2020_03_02	total	40-49	12	https://epistat.wiv-isp.be/covid/	
admin_0		be	2020_03_02	new	50-59	4	DERIVED	
admin_0		be	2020_03_02	total	50-59	7	https://epistat.wiv-isp.be/covid/	
admin_0		be	2020_03_02	new	60-69	2	DERIVED	
admin_0		be	2020_03_02	total	60-69	3	https://epistat.wiv-isp.be/covid/	
admin_0		be	2020_03_02	new	70-79	1	DERIVED	
admin_0		be	2020_03_02	total	70-79	2	https://epistat.wiv-isp.be/covid/	
admin_1	be	be-van	2020_03_02	new		1	DERIVED	
admin_1	be	be-van	2020_03_02	total		2	https://epistat.wiv-isp.be/covid/	
admin_1	be	be-vbr	2020_03_02	new		9	DERIVED	
admin_1	be	be-vbr	2020_03_02	total		15	https://epistat.wiv-isp.be/covid/	
admin_1	be	be-vov	2020_03_02	new		1	DERIVED	
admin_1	be	be-vov	2020_03_02	total		2	https://epistat.wiv-isp.be/covid/	
admin_1	be	be-vwv	2020_03_02	total		2	https://epistat.wiv-isp.be/covid/	
admin_1	be	be-wbr	2020_03_02	total		2	https://epistat.wiv-isp.be/covid/	
admin_0		be	2020_03_04	total	NA	1	https://epistat.wiv-isp.be/covid/	
admin_1	be	be-bru	2020_03_05	new		2	DERIVED	
admin_1	be	be-bru	2020_03_05	total		19	https://epistat.wiv-isp.be/covid/	
admin_1	be	be-vli	2020_03_05	new		8	DERIVED	
admin_1	be	be-vli	2020_03_05	total		21	https://epistat.wiv-isp.be/covid/	
admin_1	be	be-wht	2020_03_05	new		10	DERIVED	
admin_1	be	be-wlg	2020_03_05	new		6	DERIVED	
admin_1	be	be-wlg	2020_03_05	total		21	https://epistat.wiv-isp.be/covid/	
admin_1	be	be-wna	2020_03_05	new		1	DERIVED	
admin_1	be	be-wna	2020_03_05	total		3	https://epistat.wiv-isp.be/covid/	
admin_0		be	2020_03_06	new	0-9	2	DERIVED	
admin_0		be	2020_03_06	total	0-9	9	https://epistat.wiv-isp.be/covid/	
admin_1	be	unknown	2020_03_06	total		7	https://epistat.wiv-isp.be/covid/	
admin_0		be	2020_03_09	new		94	DERIVED	
admin_0		be	2020_03_09	total		503	https://epistat.wiv-isp.be/covid/	
admin_0		be	2020_03_09	total_male		263	https://epistat.wiv-isp.be/covid/	
admin_0		be	2020_03_09	total_female		239	https://epistat.wiv-isp.be/covid/	
admin_0		be	2020_03_09	new	10-19	4	DERIVED	
admin_0		be	2020_03_09	total	10-19	53	https://epistat.wiv-isp.be/covid/	
admin_0		be	2020_03_09	new	20-29	9	DERIVED	
admin_0		be	2020_03_09	total	20-29	59	https://epistat.wiv-isp.be/covid/	
admin_0		be	2020_03_09	new	30-39	10	DERIVED	
admin_0		be	2020_03_09	total	30-39	55	https://epistat.wiv-isp.be/covid/	
admin_0		be	2020_03_09	new	40-49	34	DERIVED	
admin_0		be	2020_03_09	total	40-49	135	https://epistat.wiv-isp.be/covid/	
admin_0		be	2020_03_09	new	50-59	16	DERIVED	
admin_0		be	2020_03_09	total	50-59	96	https://epistat.wiv-isp.be/covid/	
admin_0		be	2020_03_09	new	60-69	10	DERIVED	
admin_0		be	2020_03_09	total	60-69	44	https://epistat.wiv-isp.be/covid/	
admin_0		be	2020_03_09	new	70-79	2	DERIVED	
admin_0		be	2020_03_09	total	70-79	30	https://epistat.wiv-isp.be/covid/	
admin_0		be	2020_03_09	new	80-89	6	DERIVED	
admin_0		be	2020_03_09	total	80-89	14	https://epistat.wiv-isp.be/covid/	
admin_0		be	2020_03_09	new	90+	1	DERIVED	
admin_0		be	2020_03_09	total	90+	4	https://epistat.wiv-isp.be/covid/	
admin_1	be	be-van	2020_03_09	new		8	DERIVED	
admin_1	be	be-van	2020_03_09	total		60	https://epistat.wiv-isp.be/covid/	
admin_1	be	be-vbr	2020_03_09	new		14	DERIVED	
admin_1	be	be-vbr	2020_03_09	total		86	https://epistat.wiv-isp.be/covid/	
admin_1	be	be-vov	2020_03_09	new		6	DERIVED	
admin_1	be	be-vov	2020_03_09	total		45	https://epistat.wiv-isp.be/covid/	
admin_1	be	be-vwv	2020_03_09	new		3	DERIVED	
admin_1	be	be-vwv	2020_03_09	total		56	https://epistat.wiv-isp.be/covid/	
admin_1	be	be-wbr	2020_03_09	new		5	DERIVED	
admin_1	be	be-wbr	2020_03_09	total		20	https://epistat.wiv-isp.be/covid/	
admin_1	be	be-wht	2020_03_09	total		38	https://epistat.wiv-isp.be/covid/	
admin_0		be	2020_03_12	total	NA	7	https://epistat.wiv-isp.be/covid/	
admin_1	be	be-bru	2020_03_12	new		35	DERIVED	
admin_1	be	be-bru	2020_03_12	total		118	https://epistat.wiv-isp.be/covid/	
admin_1	be	be-vli	2020_03_12	new		25	DERIVED	
admin_1	be	be-vli	2020_03_12	total		114	https://epistat.wiv-isp.be/covid/	
admin_1	be	be-wht	2020_03_12	new		28	DERIVED	
