region_schema	region_parent	region_child	date_updated	datatype	agerange	value	source_url	text_match
admin_0		ve	2020_03_17	new		3	https://data.humdata.org/dataset/corona-virus-covid-19-cases-and-deaths-in-venezuela	
admin_0		ve	2020_03_17	total		36	https://data.humdata.org/dataset/corona-virus-covid-19-cases-and-deaths-in-venezuela	
admin_0		ve	2020_03_17	status_active		36	https://data.humdata.org/dataset/corona-virus-covid-19-cases-and-deaths-in-venezuela	
admin_0		ve	2020_03_17	status_active_new		3	DERIVED	
admin_0		ve	2020_03_24	new		7	https://data.humdata.org/dataset/corona-virus-covid-19-cases-and-deaths-in-venezuela	
admin_0		ve	2020_03_24	total		91	https://data.humdata.org/dataset/corona-virus-covid-19-cases-and-deaths-in-venezuela	
admin_0		ve	2020_03_24	status_recovered		15	https://data.humdata.org/dataset/corona-virus-covid-19-cases-and-deaths-in-venezuela	
admin_0		ve	2020_03_24	status_active		76	https://data.humdata.org/dataset/corona-virus-covid-19-cases-and-deaths-in-venezuela	
admin_0		ve	2020_03_24	status_recovered_new		0	DERIVED	
admin_0		ve	2020_03_24	status_active_new		7	DERIVED	
admin_0		ve	2020_03_30	new		6	https://data.humdata.org/dataset/corona-virus-covid-19-cases-and-deaths-in-venezuela	
admin_0		ve	2020_03_30	total		135	https://data.humdata.org/dataset/corona-virus-covid-19-cases-and-deaths-in-venezuela	
admin_0		ve	2020_03_30	status_deaths		3	https://data.humdata.org/dataset/corona-virus-covid-19-cases-and-deaths-in-venezuela	
admin_0		ve	2020_03_30	status_recovered		39	https://data.humdata.org/dataset/corona-virus-covid-19-cases-and-deaths-in-venezuela	
admin_0		ve	2020_03_30	status_active		93	https://data.humdata.org/dataset/corona-virus-covid-19-cases-and-deaths-in-venezuela	
admin_0		ve	2020_03_30	status_deaths_new		0	DERIVED	
admin_0		ve	2020_03_30	status_recovered_new		0	DERIVED	
admin_0		ve	2020_03_30	status_active_new		6	DERIVED	
admin_0		ve	2020_04_05	new		4	https://data.humdata.org/dataset/corona-virus-covid-19-cases-and-deaths-in-venezuela	
admin_0		ve	2020_04_05	total		159	https://data.humdata.org/dataset/corona-virus-covid-19-cases-and-deaths-in-venezuela	
admin_0		ve	2020_04_05	status_deaths		7	https://data.humdata.org/dataset/corona-virus-covid-19-cases-and-deaths-in-venezuela	
admin_0		ve	2020_04_05	status_recovered		52	https://data.humdata.org/dataset/corona-virus-covid-19-cases-and-deaths-in-venezuela	
admin_0		ve	2020_04_05	status_active		100	https://data.humdata.org/dataset/corona-virus-covid-19-cases-and-deaths-in-venezuela	
admin_0		ve	2020_04_05	status_deaths_new		0	DERIVED	
